mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-16742.9722222,-1308.08333333,-668.638888889,13400.2777778,206.527777778,5769.72222222,-168.965277778,-14.8680555556,109.930555556,419.354166667,264.688970249,108.364026493,99.1428023625,73.6282900598,77.6936735861,108.65705622,57.8940934696,80.0374253829,58.53964681,44.6049432411,-16766.0,-1300.0,-676.0,13400.0,196.0,5774.0,-174.0,-18.5,112.5,414.5,236.834104938,88.2546296296,78.7233796296,57.475308642,62.0775462963,85.5632716049,44.385320216,61.4864969136,45.9760802469,35.208912037,-16280,-1068,-388,13652,420,6124,-16,209,242,535,-17184,-1560,-988,13200,8,5464,-335,-187,-56,330,0.69128245177,-0.0151749026808,0.0953083374121,-0.0192134924794,-0.283422583306,-0.104150739288,0.0965312055319,,,-0.239224759625,,,0
-16732.5,-1299.55555556,-587.055555556,13377.0277778,133.0,5813.19444444,-175.659722222,-23.2847222222,123.194444444,396.541666667,260.985062402,92.255784421,102.477272103,73.0578795781,72.8734893809,97.6468073718,43.8588267973,65.0702324383,60.5164576561,30.8952380516,-16724.0,-1292.0,-582.0,13374.0,132.0,5814.0,-176.0,-20.5,123.5,397.5,232.847222222,72.9567901235,80.7091049383,57.0293209877,57.4166666667,79.1944444444,35.2477816358,51.4592978395,48.1944444444,25.3107638889,-16232,-1068,-320,13652,328,6124,-63,154,253,473,-17184,-1528,-868,13188,-92,5548,-271,-187,-56,331,0.59958660505,0.0630088793348,0.165726044165,-0.0464713364901,-0.285184247803,0.024328583477,-0.271553051264,,,-0.0666890177536,,,0
-16734.9444444,-1302.97222222,-538.777777778,13347.0833333,109.833333333,5837.08333333,-147.027777778,-15.5208333333,109.868055556,380.243055556,270.238635226,94.0593433007,91.3969628456,70.0508806092,65.2583890596,89.3566359685,58.1697473152,65.8199460438,54.2401093466,39.5492516754,-16762.0,-1300.0,-540.0,13344.0,112.0,5840.0,-151.0,-10.0,97.5,380.5,242.488425926,77.0135030864,70.5169753086,53.7800925926,52.7314814815,72.6238425926,47.2897376543,48.6403356481,43.1070601852,33.0069444444,-16232,-1012,-316,13532,280,6068,-10,154,253,467,-17176,-1528,-868,13124,-92,5596,-271,-245,-11,289,0.622360035802,0.0209261467908,0.24434304617,-0.186966328887,-0.101244530908,0.244951373232,-0.0974434172482,,,0.130936156895,,,0
-16731.3055556,-1316.91666667,-529.388888889,13319.9444444,123.75,5872.61111111,-140.069444444,-43.2361111111,115.631944444,372.638888889,260.487903637,99.2421281513,86.7222163736,71.4665335907,66.3775490733,92.6602268393,53.7991151795,74.7807972538,52.1472828849,35.080050536,-16744.0,-1324.0,-528.0,13322.0,128.0,5872.0,-142.5,-37.0,109.0,375.0,231.445601852,80.6863425926,71.4081790123,56.2808641975,52.4409722222,75.5169753086,44.2490354938,55.9706790123,42.7211612654,28.6956018519,-16248,-1012,-316,13508,288,6096,-10,112,239,451,-17160,-1536,-732,13124,-60,5624,-251,-251,-11,289,0.580150054703,0.0865714439032,0.207610808469,-0.148030634227,-0.109667775242,0.115723183244,0.226209934006,,,-0.0340685785376,,,0
-16706.25,-1348.52777778,-496.055555556,13295.6388889,123.972222222,5916.25,-161.513888889,-24.1111111111,107.236111111,390.965277778,249.504894356,105.312053411,87.5142168493,66.4225308382,67.3219947064,110.988659409,40.3321846722,78.3997387529,65.3379580091,31.6330386714,-16694.0,-1348.0,-494.0,13296.0,128.0,5920.0,-165.5,-28.0,110.5,389.0,219.868055556,86.0906635802,70.5015432099,53.4266975309,52.8638117284,86.9618055556,32.9508101852,60.0092592593,50.5424382716,24.4777199074,-16280,-1092,-284,13484,304,6236,-55,178,239,490,-17164,-1576,-732,13076,-60,5608,-251,-251,-108,317,0.609712735772,0.111209921515,0.0694996673217,-0.112848758584,0.0960229146623,0.0622643382913,0.1044578511,,,-0.482101276115,,,0
-16698.6111111,-1302.36111111,-499.805555556,13337.1111111,103.583333333,5876.86111111,-136.611111111,20.2430555556,41.875,400.694444444,251.164257154,149.383001959,91.2941360089,90.6164676609,70.2805069016,133.970177827,103.262318631,148.296586521,107.248934335,45.5662551159,-16696.0,-1310.0,-496.0,13324.0,104.0,5872.0,-149.5,7.0,49.0,400.5,218.333333333,121.096064815,73.7445987654,72.1388888889,55.3842592593,107.551697531,73.3757716049,109.922839506,81.9166666667,36.4444444444,-16216,-844,-284,13568,304,6236,152,462,408,491,-17164,-1576,-780,13076,-124,5548,-324,-256,-237,282,0.451547982686,-0.044962632229,-0.351043169888,-0.277039372026,-0.158475102147,0.191634524454,0.75787503921,,,0.175390679573,,,0
-16700.6388889,-1245.30555556,-523.361111111,13381.0833333,73.5555555556,5812.58333333,-142.729166667,-21.1388888889,98.2916666667,388.208333333,250.928196096,141.40539736,97.788312193,82.1286301366,75.7221436955,117.413589712,108.708387666,164.550398729,134.47582126,50.2544400154,-16682.0,-1258.0,-518.0,13378.0,78.0,5818.0,-162.0,-37.0,121.0,384.5,217.998842593,116.326003086,79.787808642,67.8356481481,60.6790123457,94.5752314815,82.7641782407,122.831790123,110.177662037,42.8952546296,-16216,-844,-248,13592,256,6060,152,462,408,491,-17164,-1516,-780,13180,-160,5548,-324,-327,-237,282,0.334805651756,-0.00702360834476,-0.21370956538,-0.241052611936,-0.175654477352,0.0579881750092,0.69421488536,,,-0.0025514928818,,,0
-16725.9444444,-1274.69444444,-495.5,13347.4722222,89.1666666667,5846.25,-156.354166667,-50.7291666667,142.583333333,378.611111111,253.889458292,133.085033954,124.795441014,86.7440527733,99.2716129961,134.990675669,110.439393799,159.864900076,109.825704253,59.1806657985,-16704.0,-1278.0,-504.0,13344.0,92.0,5848.0,-174.0,-45.0,151.0,373.5,221.274691358,108.619598765,97.6041666667,66.4911265432,79.5625,108.965277778,77.8726851852,117.086516204,88.4618055556,46.4699074074,-16224,-924,-140,13592,320,6196,219,341,401,509,-17164,-1596,-764,13128,-204,5568,-379,-486,-168,203,0.258618888469,0.0285995071477,-0.33688140234,-0.297071562348,-0.278957933751,0.306008519837,0.459252487919,,,0.0494392570275,,,0
-16741.0833333,-1259.66666667,-501.916666667,13341.1944444,104.444444444,5859.86111111,-124.527777778,-2.93055555556,75.8541666667,365.618055556,249.555787168,149.106429347,139.496772903,97.1309603856,104.668225606,152.621778093,136.468902907,229.751786186,157.867917207,95.2654734988,-16768.0,-1258.0,-512.0,13332.0,112.0,5866.0,-144.5,11.0,75.0,376.0,217.023148148,117.833333333,112.952546296,75.1604938272,84.2037037037,124.751929012,108.400462963,191.206404321,122.64380787,75.4223572531,-16188,-780,-140,13700,324,6196,219,486,401,556,-17156,-1596,-792,13128,-204,5408,-440,-491,-428,128,0.322506512444,0.0472346299131,-0.398503110701,-0.180345356541,0.122509064547,0.281498823404,0.5301992973,,,-0.270968674176,,,0
-16711.2222222,-1237.22222222,-511.583333333,13350.5555556,116.666666667,5848.30555556,-139.263888889,-2.70138888889,81.2638888889,374.097222222,245.267270927,138.609500499,130.660907418,88.8888500388,95.8822121219,134.119520738,142.706701325,203.453954512,145.849380402,94.4312618205,-16746.0,-1248.0,-514.0,13334.0,120.0,5856.0,-143.5,-22.5,90.5,379.0,212.276234568,110.466049383,107.81712963,70.0663580247,77.4907407407,107.245756173,115.426890432,169.98746142,112.28433642,73.7002314815,-16188,-780,-176,13700,336,6160,153,486,382,556,-17156,-1492,-792,13132,-176,5408,-530,-491,-428,128,0.511306050332,0.0636797990255,-0.22696856514,-0.105829194775,0.200224118294,0.143310585011,0.550177547121,,,-0.230108779816,,,0
-16713.3333333,-1268.13888889,-477.111111111,13337.3888889,111.722222222,5867.94444444,-169.104166667,-22.2222222222,109.715277778,407.493055556,241.072661188,113.56588988,109.739877505,73.7598741628,91.4586111018,96.4627380342,116.423372485,135.073222538,89.5909635174,52.3778627941,-16754.0,-1274.0,-478.0,13336.0,104.0,5878.0,-179.0,-38.0,116.5,410.5,206.12962963,91.9683641975,87.1111111111,59.3719135802,74.0401234568,77.4490740741,86.1605902778,109.530864198,74.2370756173,39.2295524691,-16220,-1004,-176,13556,336,6152,100,244,326,523,-17244,-1556,-772,13172,-148,5640,-530,-347,-77,257,0.569503092525,0.0936909245696,-0.0456647545531,-0.203534395185,-0.0504836286501,0.0290154569641,0.608204616552,,,0.347894946818,,,0
-16737.2222222,-1271.19444444,-431.444444444,13321.5833333,74.5555555556,5886.91666667,-155.1875,-11.8472222222,100.881944444,394.708333333,253.316034252,114.965320267,82.9277027597,81.9690799627,79.0200273612,130.095795796,64.1296729101,140.711295934,114.472612325,56.0676258756,-16756.0,-1264.0,-430.0,13320.0,68.0,5886.0,-157.5,-3.0,84.0,405.5,220.132716049,92.0609567901,68.1111111111,64.3599537037,59.4197530864,95.3611111111,50.5685763889,114.620756173,84.1049382716,43.1082175926,-16280,-976,-256,13556,304,6432,-9,249,603,491,-17320,-1584,-620,13060,-148,5564,-315,-347,-168,225,0.462373342484,0.0284853822336,0.110716423956,-0.245611074981,0.132364931423,-0.0260786692148,0.280272318019,,,-0.0285888569717,,,0
-16748.7777778,-1256.83333333,-412.055555556,13321.7777778,47.75,5881.75,-120.388888889,-29.0208333333,108.486111111,376.090277778,256.2080788,133.305160194,93.3096040431,84.1799973288,74.8872812639,144.172948783,107.03499925,159.90265696,116.681023925,67.5547861782,-16738.0,-1244.0,-404.0,13320.0,52.0,5882.0,-141.0,-4.5,87.0,373.5,224.365740741,107.256944444,73.837191358,61.7839506173,59.1701388889,111.583333333,82.6820987654,123.745949074,85.7964891975,54.6609760802,-16324,-900,-192,13684,260,6432,156,249,603,564,-17320,-1584,-656,13060,-128,5476,-358,-495,-168,225,0.389690817262,-0.0376915024879,-0.219288639496,-0.117425514041,0.0448696418073,-0.0065398000987,0.33794757286,,,-0.200013109775,,,0
-16746.8055556,-1254.02777778,-505.055555556,13350.5,92.2222222222,5828.77777778,-119.597222222,-3.47222222222,40.0138888889,399.569444444,258.216401839,145.530327238,150.344303116,102.11401827,108.127640479,145.400553305,124.026915613,171.065805211,139.703381386,76.3996350427,-16756.0,-1266.0,-512.0,13336.0,86.0,5836.0,-138.0,11.0,52.0,395.0,226.783179012,114.969907407,119.429783951,71.7222222222,91.512345679,113.700617284,95.8308256173,122.573688272,99.4436728395,56.2201003086,-16160,-740,-192,13872,308,6284,191,581,369,634,-17288,-1544,-956,13024,-212,5296,-384,-495,-433,241,0.344438466169,0.0259747310456,-0.200891741058,-0.0451247228838,-0.313834439417,-0.0417863400711,0.317103576731,,,-0.186368242959,,,0
-16711.4444444,-1210.41666667,-616.0,13463.9166667,176.388888889,5694.38888889,-124.597222222,-18.1805555556,53.3611111111,384.597222222,248.841168141,168.787510723,166.979249999,168.305063517,103.889472677,187.445585992,288.436327388,244.389024188,274.895036831,117.560834985,-16694.0,-1214.0,-604.0,13430.0,182.0,5718.0,-138.0,-4.5,30.5,377.0,211.62808642,140.549768519,133.333333333,139.907407407,79.6342592593,150.512345679,204.272376543,174.838348765,202.554012346,88.0831404321,-16160,-740,-176,13904,404,6284,635,600,695,710,-17200,-1536,-1044,13024,-212,5228,-847,-760,-568,100,0.39651692959,0.0868660569364,-0.299851596504,0.0394711811258,-0.503251868906,-0.0688346477007,0.64978794545,,,-0.222120975,,,0
-16704.5,-1193.08333333,-620.472222222,13515.25,194.361111111,5657.94444444,-164.576388889,-52.0138888889,157.354166667,392.833333333,245.234239387,192.291863684,160.596438336,139.938023245,112.730299543,164.791191367,324.646652022,371.642790112,307.81477649,128.402012925,-16694.0,-1176.0,-620.0,13510.0,190.0,5676.0,-207.0,-106.5,133.5,357.5,207.847222222,157.355324074,130.089891975,114.006944444,90.6489197531,128.477623457,264.244212963,253.691936728,243.406539352,104.979166667,-16180,-684,-176,13904,432,6156,635,1378,695,710,-17268,-1768,-1044,13228,-124,5228,-847,-760,-568,100,0.276832122969,0.0959193773205,-0.21158729868,-0.172805377982,-0.213217305318,0.0344192378541,0.64272834642,,,-0.101450966597,,,0
-16709.2777778,-1284.91666667,-500.944444444,13343.8888889,153.777777778,5843.41666667,-156.118055556,-1.65972222222,108.708333333,363.006944444,259.408537702,179.551402929,175.457514941,160.914828321,120.780471517,171.385122283,246.059049611,363.67510597,286.979565438,122.50551559,-16708.0,-1308.0,-512.0,13332.0,152.0,5846.0,-201.5,-117.0,93.5,341.0,222.333333333,139.635416667,131.741512346,131.322530864,98.2469135802,142.702546296,203.459490741,276.804783951,241.353009259,100.674672068,-16200,-684,84,13684,432,6156,506,1378,665,700,-17268,-1768,-884,12980,-124,5340,-530,-504,-428,88,0.102772427047,0.155932650643,-0.344084674873,-0.0091029900378,-0.56270873169,-0.106816335627,0.72147958877,,,0.298923701282,,,0
-16702.3333333,-1346.58333333,-435.555555556,13256.25,138.083333333,5936.69444444,-134.291666667,-38.3472222222,124.361111111,348.722222222,249.760724655,130.473880782,143.682720481,120.560201716,95.3297919371,110.640429249,215.847909256,246.527500826,261.832985018,101.822788912,-16674.0,-1332.0,-446.0,13232.0,140.0,5948.0,-130.0,-58.5,104.0,338.0,211.25,104.171296296,106.216049383,97.4965277778,74.9699074074,89.1365740741,167.391203704,199.277199074,225.412808642,82.8819444444,-16156,-992,84,13600,408,6156,506,557,599,531,-17208,-1672,-720,12980,-100,5596,-496,-528,-375,88,0.283070073043,0.0761233539894,-0.386545536759,-0.128844245067,-0.398617938624,0.011042908813,0.813210227447,,,0.631954686315,,,0
-16713.4166667,-1361.38888889,-443.75,13269.4166667,155.638888889,5948.19444444,-171.236111111,-51.1736111111,137.083333333,401.576388889,241.238514709,124.181071895,101.279334005,101.787623411,68.5823083786,108.051611456,119.461377795,159.810697886,162.001446078,51.799314176,-16662.0,-1362.0,-440.0,13248.0,148.0,5972.0,-155.0,-20.0,92.0,398.5,207.907407407,100.888888889,80.5763888889,77.5844907407,51.9016203704,86.3449074074,83.5736882716,119.235146605,122.262731481,40.6222993827,-16156,-992,-236,13600,408,6168,186,178,599,516,-17200,-1624,-720,13060,-76,5596,-496,-528,-198,242,0.541057276747,-0.172009106787,-0.32654518581,-0.0286642459422,-0.355242959984,-0.10201261915,0.628238245229,,,0.772191672523,,,0
-16711.0555556,-1342.08333333,-399.333333333,13271.5555556,112.805555556,5965.38888889,-169.354166667,2.86111111111,89.0625,422.673611111,262.517978812,142.264576723,103.687534907,79.3132920172,84.6410171672,106.725260713,103.848899698,190.751022548,128.470791693,50.3325764273,-16666.0,-1368.0,-396.0,13266.0,128.0,5968.0,-167.5,-25.5,85.5,410.5,227.074845679,112.576388889,83.8148148148,61.1358024691,65.849537037,83.2947530864,71.997974537,131.155478395,87.6753472222,38.8094135802,-16196,-928,-116,13476,348,6272,164,596,505,600,-17368,-1608,-672,13060,-120,5692,-399,-441,-371,329,0.464418412478,0.023957567789,-0.164380233019,-0.208400300903,-0.0330380367984,0.0213156800409,0.796557681364,,,0.355818607764,,,0
-16722.8055556,-1297.72222222,-394.944444444,13284.1666667,71.2222222222,5935.72222222,-140.75,-14.9375,83.5486111111,396.256944444,267.482050317,153.880638715,140.943463236,103.259195903,85.640690646,121.051479799,170.52902056,291.282436142,180.707693106,87.9697775922,-16704.0,-1306.0,-406.0,13292.0,72.0,5932.0,-171.5,-68.0,109.0,404.5,232.327932099,128.404320988,106.465277778,81.6041666667,67.4984567901,95.4405864198,140.197916667,207.111979167,139.285590278,66.6002121914,-16196,-928,64,13540,368,6272,280,871,505,600,-17368,-1608,-704,12996,-152,5692,-494,-519,-422,173,0.288214421174,0.147555356574,-0.423376711257,-0.0747739423253,-0.15339434198,0.0159199631799,0.733485140176,,,0.248112189401,,,0
-16740.7222222,-1317.97222222,-423.527777778,13262.75,101.611111111,5929.83333333,-137.333333333,-44.0625,118.3125,355.826388889,246.676210992,134.100262274,144.922064633,105.823147097,81.6669949092,124.255432829,155.993634441,250.925844191,155.663725277,73.8544523906,-16772.0,-1312.0,-424.0,13276.0,112.0,5932.0,-136.0,-55.5,154.0,362.5,215.358796296,111.609953704,106.596450617,84.4965277778,63.5655864198,99.3078703704,126.240740741,161.764756944,110.615451389,59.5890239198,-16196,-992,64,13540,368,6276,280,871,487,497,-17268,-1560,-756,12984,-152,5676,-494,-519,-422,173,0.341303319996,0.208788726915,-0.230486050863,-0.0838407499242,-0.280261656395,0.0469978385266,0.63850088125,,,0.221060348651,,,0
-16705.6111111,-1414.30555556,-423.083333333,13206.25,151.972222222,6024.38888889,-160.694444444,-74.2916666667,174.638888889,375.256944444,243.996707278,142.062789121,143.763378824,131.384212099,65.415289208,154.489237913,223.662685515,200.882767712,185.098938243,76.4865495308,-16712.0,-1428.0,-406.0,13224.0,152.0,6012.0,-150.5,-46.0,173.5,367.5,214.922067901,111.391203704,117.96412037,106.600694444,50.2503858025,127.894290123,178.269290123,159.219328704,138.976080247,63.2259837963,-16196,-1012,-132,13528,380,6396,403,369,633,583,-17164,-1852,-756,12848,8,5676,-607,-583,-263,241,0.345916171852,0.300360324055,-0.111195379889,-0.176706020284,-0.241096154193,0.0213912136167,0.532615678765,,,0.473480045242,,,0
-16707.3611111,-1458.58333333,-406.527777778,13158.6944444,162.444444444,6082.41666667,-147.673611111,-21.0069444444,100.833333333,389.625,242.348723231,128.2126457,146.183711626,140.262953743,68.1193705215,128.039520778,260.850245864,248.829722342,261.317372616,73.9112939315,-16678.0,-1450.0,-394.0,13156.0,154.0,6090.0,-164.0,-2.0,137.5,390.0,212.287808642,100.707175926,121.334876543,117.398533951,53.5154320988,102.18287037,218.987943673,200.34056713,226.483796296,60.0659722222,-16236,-1160,-36,13528,380,6396,403,548,633,583,-17164,-1852,-736,12848,28,5700,-607,-583,-480,241,0.332673207546,0.252186627228,-0.241652973723,0.0142014168255,-0.0256718887598,-0.113032333961,0.666700346524,,,0.460900817188,,,0
-16735.5555556,-1428.38888889,-383.861111111,13197.1944444,166.638888889,6028.75,-116.361111111,19.1597222222,59.5,379.381944444,231.108541017,118.079095875,125.263951311,119.944117395,74.0457816339,125.170624807,197.294129619,202.210534307,216.676388521,76.058405652,-16772.0,-1436.0,-374.0,13224.0,160.0,6026.0,-151.0,-7.5,96.0,372.5,200.25308642,94.4336419753,100.799768519,97.7399691358,59.8398919753,97.7604166667,163.819830247,158.168016975,179.243055556,60.1082175926,-16248,-1152,-36,13468,348,6344,311,548,534,625,-17120,-1768,-692,12856,-12,5640,-515,-425,-480,216,0.440267403395,0.168937889669,-0.218582425944,0.0789853808845,-0.0975687277368,-0.0926024699186,0.768249460516,,,0.400461685545,,,0
