mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-15556.8611111,5240.86111111,-743.305555556,-9274.08333333,-647.5,-15864.25,-7.95833333333,51.1597222222,5.6875,-71.0416666667,179.12118846,156.957194784,212.169258128,179.015469894,257.691038511,170.394010696,381.2763782,523.379572689,272.459953271,414.491901867,-15566.0,5248.0,-710.0,-9314.0,-696.0,-15828.0,-93.5,10.0,16.0,85.0,148.170524691,128.40470679,175.358796296,141.09375,183.888888889,137.715277778,281.969907407,431.855806327,205.0234375,339.672453704,-15060,5612,-288,-8764,136,-15476,1223,1057,831,467,-15960,4940,-1260,-9676,-1072,-16360,-423,-1225,-578,-977,0.351518049755,-0.157232192609,0.0471475319816,0.339138389438,-0.545167567641,-0.208002614957,-0.580874014623,-0.282601271007,0
-15572.1944444,5217.52777778,-830.722222222,-8989.33333333,-439.638888889,-16049.5555556,-20.125,65.4027777778,-2.88888888889,-72.6597222222,221.547680002,175.755708735,303.538719882,239.528207604,269.241426252,183.286003638,537.192271643,666.454089506,231.110033767,476.71847644,-15560.0,5200.0,-868.0,-8912.0,-472.0,-16066.0,-27.0,-170.0,7.0,28.5,177.480324074,148.514660494,235.972993827,208.962962963,234.09837963,149.558641975,363.581597222,561.084104938,182.99845679,381.227141204,-15040,5600,20,-8592,136,-15660,1223,1459,520,822,-16260,4892,-1348,-9464,-1020,-16420,-1390,-995,-534,-977,0.279228915112,-0.482709608285,-0.192094932172,0.327878922384,-0.657124575692,-0.176365603917,-0.24941692203,-0.362237655816,0
-15577.0833333,5275.63888889,-955.777777778,-8855.75,-101.138888889,-16133.2222222,-130.291666667,83.1111111111,-142.465277778,186.048611111,235.949132245,197.214682325,310.668767563,114.109228741,328.475406177,137.394152238,475.948649681,684.632718759,318.169456394,301.64772048,-15602.0,5296.0,-1022.0,-8834.0,-108.0,-16142.0,-32.5,-83.5,-81.0,132.5,187.08912037,167.396219136,222.490740741,94.1180555556,259.123070988,109.175925926,351.971643519,562.896604938,237.638117284,231.708815586,-15024,5704,20,-8592,648,-15760,1147,1459,499,822,-16260,4892,-1440,-9124,-792,-16420,-1390,-995,-1049,-780,0.280931902573,-0.539961732823,-0.450113701426,-0.5623392838,-0.0703050088106,0.202582155837,-0.261835021232,0.0894574519274,0
-15560.1111111,5280.30555556,-1007.91666667,-8830.41666667,38.0,-16167.0277778,-265.909722222,22.3125,-56.75,256.458333333,470.326045384,260.955996017,161.915435928,363.419107302,294.134358719,344.759365648,403.209413275,628.043053051,354.379207033,224.228837749,-15560.0,5336.0,-996.0,-8882.0,42.0,-16144.0,-270.5,78.5,4.5,238.5,334.390432099,217.536651235,133.299768519,284.503472222,239.5,239.835648148,358.855420525,492.212673611,261.434027778,179.96875,-14580,5704,-600,-8112,648,-15428,445,1220,623,726,-17132,4676,-1440,-9604,-624,-17328,-927,-1504,-1049,-156,-0.348408429188,0.0423763248924,-0.373472904762,-0.440488466248,0.708437401249,-0.101346409371,-0.742561910153,0.1708718033,0
-15550.0833333,5198.16666667,-901.666666667,-8802.69444444,-212.638888889,-16158.8611111,-366.479166667,104.840277778,-82.1736111111,459.6875,624.483937993,271.715554684,177.188927656,462.225647644,440.53791993,533.968734989,461.425322489,716.008806282,439.82768924,435.903329707,-15440.0,5226.0,-890.0,-8636.0,-236.0,-16136.0,-387.0,265.0,-33.0,369.5,506.172453704,227.627314815,139.069444444,407.032407407,341.445601852,412.353395062,367.952546296,586.915219907,338.146412037,305.0078125,-14320,5736,-488,-8112,1060,-15036,631,1121,1352,2160,-17132,4532,-1492,-9968,-1556,-17972,-1511,-1504,-1440,-245,-0.434832892457,-0.0649166421016,-0.329158431812,-0.0634699339442,0.670606676824,-0.372960784549,-0.467416942051,0.0281877671956,0
-15551.9722222,5200.72222222,-932.75,-8837.27777778,-296.5,-16168.6388889,-250.340277778,105.3125,-99.9513888889,363.638888889,522.365249388,193.665649609,189.889901852,333.904438497,377.343493237,458.483645621,438.576992678,604.71521898,412.820476566,465.138126881,-15540.0,5214.0,-924.0,-8758.0,-280.0,-16198.0,-244.0,163.0,-69.5,186.0,407.47183642,144.520833333,151.256944444,258.635030864,259.270833333,318.761188272,338.206114969,477.453125,301.848090278,331.399691358,-14320,5736,-488,-8240,1060,-15036,631,1121,1352,2160,-16876,4532,-1492,-9968,-1556,-17972,-1511,-1245,-1440,-325,-0.336555293976,-0.290595405274,-0.148583531011,0.0641333424943,0.584512218141,-0.394173649734,-0.311081616684,-0.00257264897959,0
-15585.1666667,5193.47222222,-928.944444444,-8790.58333333,-289.722222222,-16233.2222222,-214.409722222,66.3611111111,-90.7569444444,50.2916666667,319.518475122,163.730460082,163.661589181,153.561700317,159.164006739,188.744710274,298.767828872,439.460581796,199.635655774,164.205477409,-15548.0,5202.0,-920.0,-8770.0,-296.0,-16234.0,-225.5,132.0,-138.5,88.0,234.675925926,120.799768519,134.634259259,104.795138889,122.11882716,128.222222222,254.195698302,346.72492284,154.811342593,132.237268519,-14508,5700,-524,-8520,312,-15640,471,1044,537,414,-16612,4492,-1300,-9556,-632,-17236,-872,-1106,-393,-325,-0.0680687754896,-0.284955264043,-0.0646929337339,-0.166627285386,0.608500888044,-0.226872060631,-0.624625604818,0.369917421093,0
-15591.6111111,5194.91666667,-920.277777778,-8886.44444444,-422.666666667,-16125.25,-123.027777778,105.284722222,-252.770833333,-108.888888889,307.097695467,615.822373582,330.768683977,167.852823386,165.776832042,154.498760943,428.807436275,580.61073058,114.092694418,342.816922152,-15606.0,5192.0,-870.0,-8852.0,-432.0,-16126.0,-232.0,158.0,-246.5,-42.5,209.733024691,270.583333333,186.268518519,140.018518519,136.574074074,122.694444444,306.883101852,464.193479938,88.869212963,265.685185185,-13212,10980,-44,-8596,4,-15792,1464,2482,-22,353,-16152,3424,-3020,-9260,-860,-16472,-738,-1189,-588,-1074,-0.0842704625479,-0.276180375309,-0.308664627305,0.486221753922,-0.470355809159,-0.333449730434,-0.548833396515,0.407989974481,0
-15596.1388889,5210.41666667,-930.666666667,-9099.13888889,-480.555555556,-15970.3333333,-119.444444444,101.1875,-216.736111111,-63.9375,323.240035322,623.046468651,325.260261579,147.327645472,141.711110538,124.647979852,420.2121139,647.173758498,137.187584614,357.400388954,-15612.0,5196.0,-888.0,-9132.0,-488.0,-15968.0,-210.5,126.5,-211.0,54.0,224.907021605,293.295138889,171.314814815,116.873842593,113.37345679,99.1990740741,287.280864198,542.576388889,112.728780864,275.558159722,-13212,10980,-44,-8664,-88,-15700,1464,2482,76,382,-16160,3424,-3020,-9332,-860,-16420,-749,-1189,-588,-1074,-0.0824787186576,-0.291769796539,-0.306622462895,0.0762676805567,-0.34951097667,0.0152866425617,-0.424655823691,0.484770064482,0
-15639.5,5156.83333333,-1042.5,-9180.91666667,-344.416666667,-15933.6388889,-306.347222222,11.0,-105.777777778,265.631944444,278.090139836,295.377108733,303.56349781,104.25543537,192.708900365,117.909447957,266.118600182,493.537239723,95.0701209336,260.958179178,-15650.0,5190.0,-968.0,-9188.0,-356.0,-15924.0,-293.0,-1.5,-94.5,254.0,223.229166667,225.097222222,235.979166667,80.7800925926,156.288194444,93.8638117284,221.681134259,402.861111111,71.0030864198,205.000385802,-14852,5800,-468,-8936,228,-15668,204,985,89,915,-16216,3928,-1784,-9468,-812,-16252,-872,-917,-409,-248,0.270122096425,0.111342355509,0.17249930905,0.419895066192,0.297248239683,-0.133234147775,-0.025586027788,0.249794907282,0
