mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-5898.5,8561.97222222,-18718.25,5407.5,121.861111111,11582.0833333,-1895.6875,-10713.4652778,134.055555556,13369.7222222,4048.05801321,7218.94802784,8201.26913213,1792.31833305,3163.13810414,2155.74353827,17599.4988595,17087.9868692,2863.89042397,3289.7720359,-5916.0,6054.0,-18906.0,5278.0,1128.0,11302.0,-2590.5,-11693.0,241.5,13717.0,3406.27777778,6318.35648148,7134.49652778,1517.95833333,2759.53935185,1718.84143519,15788.4322917,14940.6190201,2384.83101852,2629.33873457,1300,22276,-6528,8744,5720,18208,24795,19510,5561,20292,-13352,-1248,-32012,1736,-7172,6636,-28461,-32768,-6203,6260,0.795962032381,0.385622296676,0.0813379639517,0.247738309355,0.0462782701884,-0.213004947883,0.28528294003,,,-0.398884812961,,,10
-5659.97222222,7792.38888889,-19458.1666667,5407.72222222,-16.9722222222,11471.5555556,-3139.17361111,-9758.57638889,20.6041666667,13150.2916667,3879.7832683,7398.57453395,7647.65616272,1981.84671401,3255.77722117,2004.82339273,19241.7856416,16192.754628,3315.26561545,3337.49047902,-5406.0,5736.0,-19610.0,5498.0,488.0,11566.0,-5478.0,-9983.0,483.0,13992.5,3191.74884259,6381.80864198,6540.99537037,1666.11111111,2798.47067901,1640.89506173,17275.9187886,14327.2291667,2671.08709491,2698.54398148,1300,21584,-6372,9196,6792,16644,27703,19510,7113,20292,-13352,-3156,-32768,1388,-7448,7368,-32768,-32768,-7528,6182,0.673286910662,0.324865714051,-0.0186520567417,0.0104441697016,0.0209381889613,-0.183069628251,0.408969142693,,,-0.411986626774,,,10
-4016.05555556,6024.38888889,-17757.4444444,5489.5,276.694444444,11420.5833333,-4437.8125,-11911.6458333,55.4375,11644.5972222,4673.68790723,7254.29037954,7103.9859291,1806.97327583,3181.90338708,2140.06077784,18247.4751919,13538.0826888,3325.36152242,3452.40224325,-4698.0,4658.0,-18146.0,5746.0,1194.0,11262.0,-9593.5,-14821.5,623.5,11956.5,3784.99305556,6080.57561728,6138.77314815,1446.22916667,2676.49652778,1695.61574074,15935.1944444,11816.3975694,2762.98784722,3044.66396605,7476,21584,-3748,9500,6792,17404,27703,14966,7113,19165,-12528,-5248,-32768,1388,-7448,6428,-32768,-32768,-7528,4355,0.312869853669,0.50261334739,-0.0808607521723,-0.0142578634442,0.0779773737315,-0.131365956813,0.367579464422,,,-0.449774465313,,,10
-4029.91666667,5937.94444444,-17622.75,5359.13888889,244.972222222,11538.8611111,-5058.1875,-11410.6805556,220.9375,11725.9861111,4950.99007899,7452.30430011,7963.2562826,1837.67248127,2874.88345995,2228.43913078,18272.5951238,15084.2560389,3227.53982868,3201.31965356,-4776.0,3720.0,-16434.0,5458.0,558.0,11262.0,-10324.0,-15788.0,876.0,11917.0,4181.89699074,6352.10339506,6615.11111111,1454.83371914,2441.5007716,1775.09143519,15966.5894097,12533.6182485,2755.05729167,2704.41743827,7476,22740,-3536,10840,5616,17404,32767,23712,7362,17644,-12356,-5860,-32768,760,-6316,6428,-32768,-32768,-6232,4355,0.0945433105891,0.546931412974,-0.0423305330981,0.111358761443,0.112848619936,-0.202040903277,0.311517712791,,,-0.293448185674,,,10
-4191.80555556,6646.63888889,-19490.5277778,5711.88888889,95.0833333333,11373.6111111,-4602.88888889,-8880.79861111,324.1875,13708.625,4685.09314231,7886.60858326,8731.75295399,2261.47438481,2784.01445695,2404.64842701,19422.240925,17311.8763174,4236.672312,3289.70040482,-3908.0,4124.0,-18294.0,5846.0,-344.0,11066.0,-9403.0,-12593.0,1142.5,13456.0,4026.63348765,6728.72646605,7559.98996914,1845.33641975,2253.19097222,1894.0007716,16929.7237654,14916.8098958,3586.97569444,2584.515625,5244,22740,-3536,11568,7968,19468,32767,23712,9409,23453,-14096,-9516,-32768,760,-4968,5892,-32768,-32768,-8542,7342,0.296262482708,0.342777593028,-0.0598843131179,0.152407422951,0.121456982438,-0.140199029845,0.544103071492,,,-0.399715430018,,,10
-2752.27777778,6347.58333333,-19136.6111111,5890.88888889,400.722222222,11332.0833333,-4125.83333333,-9831.17361111,427.805555556,13000.5208333,4210.62939076,8112.55275587,8397.41648342,2323.66185301,2817.80547067,2780.93499269,17211.9493843,16352.1124695,4549.6315939,3572.1638522,-2002.0,3536.0,-16784.0,6138.0,152.0,10976.0,-7390.0,-11927.0,1345.0,12168.5,3373.55015432,7051.72453704,7416.79861111,1869.12962963,2259.87345679,2151.14814815,14670.3981481,13976.8445216,3823.85763889,2758.12268519,5244,21564,-8788,11568,7968,19468,32767,20343,9409,23453,-14096,-9516,-32768,856,-5864,5876,-28156,-32768,-8542,5892,0.406918378262,0.188477970868,-0.0385817098083,0.106420185593,0.109528060107,-0.0315895973111,0.657510816794,,,-0.477581830201,,,10
-2572.94444444,7306.41666667,-18155.0,5652.5,218.805555556,11436.0833333,-4607.42361111,-10179.2986111,190.666666667,12571.3888889,2805.48728993,7923.26252247,8102.65312329,2093.07439418,2967.78930057,2656.88659348,15360.7901351,17626.3961574,4070.02853377,3105.60066397,-2786.0,4850.0,-15574.0,5860.0,152.0,11518.0,-6622.5,-12840.5,1101.0,12248.5,2338.96064815,7004.4849537,7141.06944444,1633.30555556,2355.56674383,2100.69212963,13152.0966435,15188.6333912,3399.61111111,2401.82947531,1988,23924,-8184,10932,6296,19160,25596,25708,9191,20907,-8892,-8940,-32768,856,-7760,5876,-28156,-32768,-9215,5892,0.0454091269889,0.313394740639,-0.184124923285,0.114592524735,0.0395181522723,-0.0935277844471,0.681237904497,,,-0.309263864086,,,10
-2281.91666667,7309.22222222,-18196.3333333,6050.19444444,317.138888889,11256.8055556,-3324.58333333,-10211.5555556,-296.576388889,13068.2222222,2724.36034579,6978.19701847,7275.85164986,2096.19381103,2955.17670389,2561.27038321,15094.841279,17834.2173982,4029.61401712,2894.25891681,-2864.0,5222.0,-16950.0,5714.0,-226.0,11428.0,-3372.5,-13385.0,504.5,12765.0,2246.42824074,6188.01234568,6173.26388889,1514.53510802,2358.83680556,2055.39429012,13247.8611111,15787.1219136,3444.58275463,2284.06635802,5264,23924,-720,14108,6488,18944,25596,25708,6243,20907,-8604,-5672,-32768,1100,-7760,5664,-27976,-32768,-9687,8295,0.191274233352,0.244307698864,-0.248108837687,-0.0419387484221,-0.0472895988773,0.119843841612,0.704855851415,,,-0.25820975373,,,10
-1500.55555556,6236.47222222,-18715.3055556,6330.38888889,433.555555556,11179.1944444,-3001.31944444,-10471.4236111,-304.229166667,12492.0416667,3177.72694805,6010.19740428,6901.40925436,2189.14260801,2526.37648634,3039.64961469,14570.058741,16409.2982717,3664.13978823,2555.06727533,-2270.0,4100.0,-17222.0,6126.0,-102.0,10890.0,-2978.0,-13259.0,-301.0,12366.0,2703.70061728,5288.58024691,5745.3757716,1614.82098765,2135.88271605,2312.44984568,12540.0738812,14605.9855324,3086.74305556,2005.05787037,5264,17788,468,14108,6488,21040,22038,16158,6243,18900,-8428,-5672,-32768,1344,-4688,5636,-26057,-32768,-9687,6840,0.569987246407,0.0185829295274,-0.0591011373997,-0.353012727624,-0.00294829904228,0.436363417171,0.641036357776,,,-0.359041439874,,,10
-629.472222222,5143.5,-18146.8333333,6104.80555556,-250.416666667,11267.8611111,-2020.95138889,-9232.73611111,-308.965277778,11457.1527778,2913.08447287,5369.77613577,7289.14416686,1966.18015692,2549.65879933,3161.77867666,13324.4563522,16271.4388088,2728.74712001,2347.16665773,-218.0,4212.0,-15326.0,6100.0,-626.0,11336.0,-1207.5,-12567.0,-684.5,11398.5,2418.63580247,4470.22916667,6244.875,1456.30555556,2156.49305556,2378.91859568,10985.3097994,14328.6302083,2299.7191358,1861.43479938,5012,18040,468,11716,6108,21040,21374,17397,5536,17355,-8084,-4212,-32768,1292,-6012,4644,-27399,-32555,-6966,6692,0.342678856105,0.14717947196,-0.158584303192,-0.443986516696,0.151501340212,0.165138882299,0.566109429872,,,-0.160790973651,,,10
