mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-1627.5,4887.61111111,935.159722222,345.722222222,-1014.30555556,-20829.3888889,460.423611111,-176.8125,84.7638888889,384.777777778,4161.32076599,12712.597365,19304.2387424,896.533139684,720.604964162,632.976022382,28264.8797626,21063.2314627,1111.04204213,902.226728241,-2304.0,870.0,434.0,366.0,-1030.0,-20828.0,1585.5,-2903.0,-238.5,419.0,3409.40277778,10975.0300926,16529.5252701,728.094907407,548.630401235,441.444444444,26407.7729552,18947.2951389,945.602044753,718.452160494,8404,29812,32767,2544,1280,-19060,32767,32767,3160,2253,-8972,-14368,-32768,-1468,-3192,-23636,-32768,-32535,-1950,-1595,0.680294818891,0.660523971216,0.928505645939,0.300729000939,-0.0937083912277,0.104422991257,-0.964714353556,-0.608861465669,1
-2268.13888889,5195.25,-399.840277778,99.1944444444,-986.333333333,-20844.6944444,-1962.52777778,2367.63194444,-8.82638888889,534.645833333,3859.00879083,12918.7226281,18641.5141131,879.993970718,838.630318549,645.730867727,28053.5155482,23418.7916891,1141.5750396,945.416631943,-2392.0,1270.0,-1252.0,74.0,-1026.0,-20826.0,-6739.5,3189.0,-82.0,609.5,3119.80169753,11116.8263889,15700.7730517,721.56095679,640.402777778,447.918981481,26156.5262346,21380.7620563,945.336033951,789.373842593,6048,29812,32767,2544,1324,-19060,32767,32767,3160,2253,-9692,-14368,-32768,-1716,-3192,-23636,-32768,-32535,-1904,-1394,0.743380162605,0.774360486621,0.934576003005,0.349015475507,0.0034414667144,0.226471402772,-0.974744464505,-0.538156208072,1
-1580.22222222,5187.80555556,-2237.19444444,43.5277777778,-949.833333333,-20831.5277778,-2989.84722222,2512.05555556,-13.1527777778,492.8125,5715.01273661,11957.7879034,17401.1998948,704.507207073,789.734964837,468.301378432,27666.6539856,23197.0660313,962.510073106,1148.51319496,-1480.0,1022.0,-1372.0,88.0,-994.0,-20808.0,-8386.5,2595.5,-58.0,637.5,4421.94753086,10183.2040895,14799.6886574,526.449459877,597.701388889,353.266203704,25807.1452546,21591.5277778,770.390046296,928.936631944,14628,30592,21588,1960,1324,-19736,32767,32767,2046,2707,-12776,-11980,-32768,-1716,-3128,-22240,-32768,-29240,-1904,-2878,0.834643505367,0.85405079829,0.895869213846,0.49038630437,0.226598716631,0.393478030396,-0.969158574889,-0.501180727065,1
-452.111111111,3734.69444444,-2178.69444444,60.2222222222,-848.722222222,-20814.8333333,-3614.70138889,3333.71527778,43.7430555556,421.229166667,5773.15938411,10911.6940961,17719.9641278,692.245282174,745.141413757,404.984571924,27923.1822675,22000.9694366,891.043520764,1248.28960307,-224.0,690.0,-1524.0,112.0,-882.0,-20798.0,-11152.0,5426.0,-202.0,580.5,4485.2808642,8746.03356481,14658.7704475,498.981481481,576.081018519,303.569444444,26041.7776813,20498.7509645,765.755787037,1005.53703704,14628,30592,28304,1960,1396,-19608,32767,31110,1884,2707,-12776,-15488,-32768,-2048,-3128,-21992,-32768,-28499,-1479,-2878,0.860913429491,0.877066803765,0.880644198148,0.503391651616,0.0120244542487,0.0807239239558,-0.972687967569,-0.47957834004,1
-322.722222222,2378.88888889,-2212.94444444,46.9166666667,-627.138888889,-20842.4722222,-4293.79166667,4418.77777778,-62.8333333333,432.819444444,3918.19395109,10026.7056712,18372.5135958,736.220128034,650.312228519,501.576144363,28614.1924409,21258.449538,1128.8186349,927.253638348,-434.0,722.0,-3124.0,96.0,-594.0,-20854.0,-13827.0,8502.5,-398.0,634.0,3144.09104938,7934.35493827,14820.6828704,543.759259259,495.813271605,370.758101852,26828.0925926,19657.1265432,946.097222222,702.125964506,9884,26340,30372,1592,1396,-19520,32767,30700,3647,2044,-8476,-15488,-32768,-2364,-2604,-22320,-32768,-28499,-1445,-2376,0.792404620469,0.799927997409,0.928736738463,0.387942625134,-0.164223896347,0.0426932282577,-0.983172640535,-0.195029022839,1
-2219.30555556,1896.19444444,-3826.65277778,-38.6666666667,-750.722222222,-20882.6388889,-3179.69444444,2823.59722222,-11.6527777778,435.25,4009.53493855,10612.045483,19598.4551347,816.866672621,1169.57931858,682.315951373,28955.1505821,22178.2777076,1277.87602034,797.81997987,-1704.0,128.0,-5698.0,-30.0,-740.0,-20894.0,-11809.0,4250.5,-260.5,545.5,3113.83950617,8536.77970679,15963.0706019,592.277777778,743.964506173,534.362268519,27274.2989969,20342.5611497,998.849537037,618.111111111,8068,26340,32767,2356,2928,-19508,32767,32767,3647,2554,-13344,-15396,-32768,-2744,-5704,-22764,-32768,-28786,-2528,-1620,0.676729444835,0.671812212177,0.947063190411,0.157471242604,-0.116135533728,0.479600310542,-0.973862270405,-0.182973481976,1
-2926.61111111,987.083333333,-4427.51388889,-147.333333333,-965.083333333,-20884.7222222,1566.85416667,-1695.55555556,426.916666667,414.131944444,4803.56404558,10867.650372,19783.0008832,937.659398104,1286.04370555,788.715468425,29253.360216,23422.799477,1210.47212947,982.941854212,-1822.0,230.0,-6620.0,-114.0,-1074.0,-20796.0,7356.0,-8395.5,328.5,481.5,3915.54861111,8736.01967593,16426.3043981,672.148148148,902.104166667,627.459104938,27751.8046875,21179.3966049,936.157407407,800.69222608,6768,25792,32767,2356,2928,-19048,32767,32767,3738,2554,-14384,-20272,-32768,-2928,-5704,-22928,-32768,-32768,-2528,-1860,0.748106288131,0.772034439614,0.930819699064,0.192811407445,-0.151344869364,0.542783041592,-0.952375788297,0.0104844030996,1
-965.972222222,3228.08333333,-2729.55555556,117.222222222,-977.916666667,-20848.9166667,4445.38194444,-4957.6875,288.930555556,414.069444444,6261.30999938,13490.5251607,17460.0693002,991.257592459,983.839428453,768.935141444,27823.1505154,24213.0303455,1334.38709984,884.350250621,-1394.0,1000.0,-3348.0,106.0,-1030.0,-20800.0,14538.5,-12965.5,422.0,568.0,4684.33526235,10959.650463,14562.4444444,755.722222222,761.75462963,594.646990741,25741.2038966,21733.5121528,1023.16435185,731.447723765,16720,32767,32767,2060,1820,-19048,32767,32767,3738,2072,-14384,-20272,-32768,-2928,-3836,-22928,-32768,-32768,-3115,-1860,0.902689955341,0.834734045569,0.873506218802,0.238552225952,-0.188886467845,0.305533141177,-0.952271018176,0.343495721772,1
96.5555555556,5990.61111111,-1440.94444444,454.916666667,-986.277777778,-20811.0833333,1288.77083333,-1870.71527778,44.1805555556,167.638888889,6372.65324614,15176.7287119,16234.2211427,908.828889863,1000.10580171,726.439997474,26120.8149957,25395.7161881,1211.90702552,828.102309573,-904.0,2822.0,882.0,614.0,-998.0,-20814.0,4141.5,-5090.5,145.5,179.5,5031.60185185,12970.5632716,13488.3009259,705.112268519,771.746141975,584.972222222,24003.3359375,23304.7826968,952.036651235,627.195601852,16720,32767,23248,2672,1820,-19024,32767,32767,2621,1540,-11140,-16316,-32768,-2484,-3836,-22420,-32768,-32768,-3115,-2633,0.933491003314,0.88418083687,0.921786028729,0.267232484756,-0.109508771259,0.247590987242,-0.97691314915,0.108612166265,1
-866.138888889,6074.09027778,-2369.72222222,442.833333333,-994.527777778,-20802.5277778,-2292.84722222,1857.61111111,82.2638888889,169.055555556,5539.20924226,14943.7203037,15694.736522,1012.39035839,1094.78650053,673.277963405,26308.0252829,25584.9674067,1102.05542857,1092.33057945,152.0,2644.0,-356.0,558.0,-1020.0,-20778.0,-6951.5,5794.0,-29.5,202.5,4392.96180556,12573.6658951,13048.191358,756.43287037,821.381558642,556.173996914,24323.5223765,23615.0910494,879.323881173,840.926697531,15220,32767,23248,2768,2132,-19024,32767,32767,2848,2960,-13676,-16996,-32768,-2796,-4264,-22212,-32768,-32768,-2111,-2633,0.832444876375,0.898035672011,0.897584731474,0.428881360212,-0.181359357059,0.289192410597,-0.973944030318,-0.220508205419,1
