mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-625.666666667,7332.76388889,4760.75,-809.25,-970.138888889,-20879.75,-1358.13888889,4051.77083333,-475.486111111,401.930555556,6013.06533652,16576.8707402,15551.6936354,1245.62607899,976.304539578,892.878205306,18140.3546864,26255.9613407,2807.1235931,737.847319215,-778.0,7698.0,5322.0,-700.0,-914.0,-20838.0,-3902.0,8855.0,-275.0,505.5,4091.28703704,13372.6871142,13491.3298611,965.260416667,709.646604938,696.84375,15523.1114969,24417.495081,2576.26350309,607.478009259,16888,32767,28084,2568,1548,-18720,32767,32767,4350,1834,-12848,-28656,-28488,-4628,-3488,-23648,-26778,-32768,-5638,-1529,0.285008597893,0.0999393901352,0.942961261218,-0.245634220188,-0.15965736039,0.424844038789,-0.921513415771,,,0.335137654184,,,1
-310.638888889,6372.81944444,3535.36111111,-1174.05555556,-738.722222222,-20832.1666667,-34.9791666667,3120.95833333,-359.659722222,285.243055556,5350.54837607,16259.8118529,15402.7757714,1207.8003805,1004.53613443,895.989245065,18304.8357455,26162.2830206,2673.32473432,844.464759905,-778.0,5252.0,874.0,-1238.0,-722.0,-20838.0,-3470.0,8245.5,140.0,415.5,3595.47685185,13241.2310957,13405.4567901,968.609567901,724.982253086,662.888888889,15637.4673032,24269.0023148,2446.05275849,641.737075617,16888,32767,28380,3144,2268,-18472,32767,32767,3281,2791,-11184,-25812,-23536,-4232,-3488,-24040,-27184,-32768,-5603,-1929,0.324505199617,0.237300519798,0.960100070046,0.011718864196,-0.168666524628,0.550970269917,-0.9251150355,,,0.242051788747,,,1
-152.277777778,5540.07638889,3235.55555556,-1072.33333333,-828.5,-20785.0,354.368055556,3054.6875,126.173611111,385.694444444,4653.36136639,16551.0103341,15641.2436478,1421.44341098,817.641277542,877.02567919,18529.0848806,25726.2036588,2928.87242756,918.160271197,-800.0,4824.0,-470.0,-1006.0,-886.0,-20822.0,-3179.5,8358.0,874.0,427.5,3136.16049383,13559.7996721,13653.882716,1186.84722222,591.479166667,642.180555556,15957.8329475,23921.3020833,2620.85358796,686.594907407,15212,32767,28380,3144,2268,-18472,32767,32767,4959,2791,-8920,-26124,-23536,-4232,-3108,-24040,-27668,-32768,-5603,-1929,0.359883247857,0.324994126701,0.963496906332,-0.023438744367,-0.0771680420436,0.495785911681,-0.920587778248,,,0.492639152748,,,1
920.083333333,3716.20833333,2197.19444444,-948.444444444,-1053.16666667,-20805.4166667,1031.51388889,2113.63888889,297.631944444,383.847222222,4484.30321473,16928.144473,16426.1854202,1377.71539774,614.721200095,590.994320373,18478.3346622,23569.6587402,2833.11270846,845.854194973,156.0,3892.0,-1358.0,-592.0,-1094.0,-20862.0,-652.0,2464.0,958.5,463.5,3030.45138889,13987.8165509,14328.5162037,1163.62345679,462.736111111,454.599537037,15512.3825231,21470.0466821,2496.52006173,663.45929784,15212,32767,30036,1704,1036,-19048,32767,32767,4959,2597,-5704,-26124,-24628,-4260,-2868,-22344,-27668,-32768,-4414,-1457,0.432211283337,0.418692035798,0.952262850878,0.0198343322325,0.121584182006,0.0238764922557,-0.894149124123,,,0.60645550654,,,1
1905.30555556,2875.05555556,2319.61805556,-1064.72222222,-1182.41666667,-20779.7777778,2192.39583333,1505.59722222,221.145833333,435.180555556,4416.05639545,15164.3477057,16972.0979212,1275.78718025,837.272590981,577.349967729,18661.2141171,21543.088647,2427.40227769,1281.80555376,604.0,3772.0,-978.0,-854.0,-1228.0,-20850.0,1225.0,-10.5,1066.0,714.5,3255.25655864,12559.8302469,14618.0862269,1021.45910494,615.982638889,453.808641975,15671.3289931,18990.7388117,2149.27228009,968.082368827,15184,32380,32767,3008,1108,-19184,32767,32767,3697,3508,-7268,-25056,-24628,-4260,-3648,-22344,-26661,-31433,-4128,-3940,0.584065308124,0.572569453339,0.858133881881,0.100622293028,-0.0534600930954,0.301851561385,-0.754061168212,,,0.411704568425,,,1
773.0,4254.04861111,4508.05555556,-971.611111111,-1159.33333333,-20741.8888889,3735.05555556,223.486111111,307.368055556,436.680555556,5063.49056751,14486.0480272,16277.9926228,1125.87483381,822.488939709,635.719592395,20366.3324518,23294.4085352,2170.60235508,1332.04040685,-282.0,4158.0,1436.0,-918.0,-1168.0,-20804.0,5283.0,-1435.5,989.0,782.5,3682.625,11673.5215085,13899.8402778,855.917438272,620.574074074,515.483024691,17624.9984568,20912.6520062,1870.7964892,1007.25540123,15832,32767,32767,3008,1108,-19156,32767,32767,3529,3508,-8140,-28484,-21220,-3872,-3648,-22224,-29232,-32219,-4386,-3940,0.502280344554,0.485749897976,0.850140927224,-0.0296225763442,-0.208421052652,0.309220267073,-0.790801093566,,,0.427445252299,,,1
-10.9166666667,6028.29861111,5704.27777778,-962.083333333,-953.861111111,-20833.1111111,2964.28472222,-1809.92361111,427.138888889,344.791666667,5624.05539108,15687.3443188,16332.8089955,1408.35031948,775.41264098,1056.33248045,21086.000367,25355.1918811,2366.31281918,924.920301802,-1270.0,5468.0,3394.0,-924.0,-976.0,-20810.0,5937.5,-9528.0,977.0,414.0,3817.76273148,12909.088831,13935.5748457,1070.03009259,612.890817901,817.141975309,18614.2014853,23452.9865934,1913.53626543,691.000578704,20156,32767,32767,2564,756,-18176,32767,32767,6320,2412,-8180,-28484,-24688,-4820,-3040,-23744,-29232,-32768,-4386,-2195,0.424571451195,0.41495132696,0.956789566646,0.000803476129057,-0.55412233895,-0.143314705733,-0.922521965229,,,0.333817389937,,,1
944.416666667,7983.72222222,5663.89583333,-863.333333333,-973.555555556,-20767.5555556,1580.27777778,-2123.66666667,474.076388889,451.451388889,6649.6548851,17233.9994134,16087.3392745,1617.94026012,831.500268306,1165.19743384,18495.171052,25902.9939032,2929.69501045,861.590274908,-574.0,8752.0,5334.0,-630.0,-1034.0,-20856.0,4690.0,-6764.0,1263.5,445.0,4764.11689815,14454.0632716,14034.0625,1305.59259259,631.537037037,926.308641975,15790.7847222,23834.3564815,2427.2025463,612.207658179,21852,32767,32767,2564,1420,-18176,32767,32767,6320,2449,-8180,-28372,-24688,-4820,-3056,-23744,-28056,-32768,-6540,-2195,0.472072132162,0.432284911267,0.959953094254,0.00844180071301,-0.415893425174,-0.148178376123,-0.922318034295,,,-0.00116425036357,,,1
659.5,8534.71527778,4366.91666667,-825.027777778,-919.833333333,-20690.5833333,1855.4375,-153.1875,257.541666667,399.25,6486.67058673,17762.3301894,15505.6931406,1537.1960485,745.204510344,975.560427064,17754.3547128,25676.1083276,3297.06695015,780.482444488,-1100.0,8266.0,5172.0,-620.0,-916.0,-20736.0,2974.0,-2408.5,1527.5,467.5,4714.6875,14736.25299,13555.8206019,1233.94675926,544.44212963,791.809027778,15209.0381944,23742.5269097,2903.08043981,571.6875,21852,32767,27888,2852,1420,-18500,32767,32767,4481,2449,-8164,-28372,-28092,-4788,-3056,-23020,-27118,-32768,-6540,-2070,0.538360062242,0.416707263304,0.958173735593,-0.0577447497899,-0.00431166397458,-0.10075244393,-0.929773092745,,,0.0269971034145,,,1
200.833333333,8250.25,3652.05555556,-790.333333333,-601.388888889,-20749.8055556,1120.84722222,1842.48611111,-18.1180555556,391.048611111,5282.95030679,17202.0352168,14849.5783462,1546.18480155,764.288426418,919.353354972,17754.4786515,25616.6400853,3182.8172802,872.217849302,-1100.0,8396.0,5888.0,-670.0,-620.0,-20754.0,-750.0,3549.5,1190.5,462.0,3738.5,14530.9166667,12876.7199074,1175.49537037,593.145061728,758.805555556,15703.8109568,23960.2571373,2868.87220293,640.517457562,17172,32767,21868,2984,1224,-18500,32767,32767,4481,2451,-8164,-27428,-28092,-4788,-2760,-23020,-22612,-32768,-5944,-2595,0.463073627753,0.327892602077,0.957489460235,0.0926077982394,-0.028905973148,0.0891365255921,-0.955145186387,,,0.23544554177,,,1
31.5833333333,8157.84027778,3579.88888889,-826.722222222,-470.444444444,-20804.4444444,-19.3194444444,1643.70138889,-278.368055556,371.277777778,5005.21238171,17245.666367,14060.6267779,1412.47062446,830.017691089,760.435813375,17273.9553233,26480.8841565,2919.50709928,863.275365029,-918.0,8368.0,5888.0,-710.0,-434.0,-20828.0,-2060.0,3744.0,955.5,421.0,3573.23611111,14605.3447145,12359.8950617,1089.94907407,651.135802469,602.802469136,15241.6489198,24716.8346836,2660.47839506,653.317901235,15904,32767,23336,2984,1224,-18804,31481,32767,4211,2451,-7748,-27428,-24080,-4236,-2792,-22760,-24582,-32768,-5590,-2595,0.402089984868,0.329152852467,0.968301373982,-0.0553358435691,-0.192128324212,0.400518506344,-0.956597190902,,,0.247654872493,,,1
130.111111111,7479.96527778,2621.94444444,-998.5,-567.5,-20790.1666667,-950.513888889,1738.70138889,-289.743055556,308.6875,4728.03043178,16764.3059035,13532.6961614,1217.84694802,732.728190667,665.243906057,16435.1876432,26781.9680406,2716.88917067,813.877995262,-652.0,8608.0,3862.0,-798.0,-606.0,-20814.0,-1715.5,3997.0,172.0,233.5,3255.13888889,13859.1903935,11763.4459877,978.458333333,577.958333333,515.909722222,14546.8678627,24969.918017,2455.70775463,668.276041667,14856,32767,23336,2160,1160,-18824,30446,32767,4211,2338,-7748,-28344,-24080,-3944,-2792,-22760,-24582,-32768,-4900,-1474,0.431261327864,0.332469961303,0.972981333795,-0.162855551011,-0.228632589926,0.109287823178,-0.959039286815,,,0.542315875635,,,1
442.777777778,7222.9375,1566.02777778,-982.472222222,-855.111111111,-20737.2222222,-1572.44444444,2536.88888889,-100.25,440.333333333,4516.13105728,16483.2145438,13053.0974852,1167.64684732,1002.06739518,697.072925567,16005.9015872,26889.6208872,2633.23605188,984.978704821,-816.0,8608.0,738.0,-702.0,-806.0,-20748.0,-1793.5,5636.0,341.0,452.5,3161.79783951,13586.4114583,11316.6114969,946.34992284,717.030864198,541.205246914,14363.7098765,25076.3796296,2364.73958333,750.842592593,15072,32767,20684,1496,2032,-18824,25641,32767,3724,3469,-7032,-28344,-23752,-3944,-3980,-22624,-24971,-32768,-5260,-1921,0.509651602988,0.428202154707,0.977009927565,-0.0980741280971,-0.0945449206502,0.149394419331,-0.965907209604,,,0.45084010404,,,1
-4.38888888889,6692.36805556,402.722222222,-1133.19444444,-1281.13888889,-20774.6944444,-1854.26388889,2558.21527778,-55.6041666667,268.326388889,4746.9132276,17010.8701346,13427.4285748,1177.83246032,1114.30185494,717.212604441,16729.0585697,26668.2818547,2578.93325705,1124.57128944,-852.0,4290.0,-1346.0,-1004.0,-1300.0,-20784.0,-3253.5,6523.5,866.0,319.5,3154.7037037,14379.7927276,11719.0223765,962.232638889,804.051697531,555.71257716,14845.1732253,24683.5088735,2295.90740741,779.201967593,15072,32767,20684,1736,2032,-18884,25641,32767,3555,4073,-11680,-24956,-25324,-3900,-4208,-22624,-31160,-32768,-5260,-2214,0.384456637875,0.314398086257,0.977288035585,-0.0471681686401,-0.0584644266171,0.250650481533,-0.966894256799,,,0.130147989581,,,1
-628.138888889,5803.35416667,403.722222222,-1356.77777778,-1607.19444444,-20720.6111111,-2066.90972222,669.548611111,11.2916666667,322.458333333,5035.45419179,18200.1771038,13945.4102345,1213.48030053,1151.06601415,762.035304792,16701.6442999,26041.7444712,2441.31526478,1210.36757912,-1094.0,4088.0,-1826.0,-1220.0,-1606.0,-20768.0,967.5,1532.5,1041.0,325.5,3240.42592593,15547.8917824,12259.3101852,992.331790123,831.416666667,586.585648148,14345.5284529,23878.735436,2160.60821759,873.069444444,15300,32767,24152,1736,1264,-18648,25380,32767,3273,4073,-11680,-26568,-25324,-4212,-5148,-22728,-31160,-32768,-5046,-2279,0.302069825555,0.259842001539,0.971327119271,0.00224919461458,-0.0386345109008,0.266924026704,-0.940669266334,,,0.183728295273,,,1
-1441.22222222,6555.20138889,484.138888889,-1391.94444444,-1739.25,-20688.5277778,-1209.38194444,-1083.18055556,219.659722222,556.305555556,5087.19484498,18903.9701183,13218.4528313,1226.9959209,1057.0875909,783.126564488,15611.5489817,26269.6372334,2401.58490548,1087.64325495,-1612.0,5704.0,-1002.0,-1264.0,-1662.0,-20660.0,2410.5,-3420.5,1173.5,476.5,3297.41512346,16309.8347801,11586.1466049,1012.27469136,762.486111111,601.035108025,13210.4627701,24069.814429,2144.56336806,857.797839506,15300,32767,24152,876,1264,-18648,25087,32767,3614,3151,-13956,-26568,-23868,-4212,-5148,-22756,-30566,-32768,-5046,-2279,0.200918138807,0.155363924717,0.96433577213,-0.0781464640905,-0.127690384719,0.279433222047,-0.93389864978,,,0.181686482055,,,1
