mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
10206.75,1284.97222222,-4183.75,-5210.27777778,-1553.77777778,-17922.1111111,549.736111111,-559.402777778,-102.583333333,45.9444444444,4371.75694546,11716.1935464,9934.66632062,334.101078555,241.611270879,213.633733721,11952.0646933,18854.7928407,407.811685254,362.094678686,8306.0,2654.0,-2258.0,-5144.0,-1500.0,-17960.0,1027.0,-1132.0,-45.5,111.0,3871.72916667,9561.59992284,8324.21875,267.768518519,198.604938272,164.569444444,10505.9481096,16195.5748457,320.920138889,318.156635802,19308,24592,12656,-4504,-1056,-17132,17583,31633,958,711,4824,-22616,-24320,-6064,-2188,-18496,-19185,-28442,-907,-673,0.748301271612,0.804343744487,0.977714889217,0.268376710684,-0.323492670455,0.0150464093553,-0.975484606562,-0.0831176189339,1
10870.8055556,2011.83333333,-3144.77777778,-5367.02777778,-1611.80555556,-17855.0,452.180555556,276.923611111,-210.013888889,119.805555556,4594.26074511,12085.8862691,10764.8112495,434.419344706,281.968040588,231.874815515,12192.6518956,18183.6929239,583.00805433,438.093027094,8858.0,1996.0,-1730.0,-5318.0,-1552.0,-17872.0,4918.5,-41.0,-80.5,166.5,3802.82947531,10074.5,8982.27469136,362.389660494,234.233796296,177.486111111,10946.7690972,16402.2975502,485.057484568,340.946373457,22792,24592,13480,-4544,-1008,-17276,16974,31633,950,1213,5596,-21476,-24320,-6540,-2316,-18496,-20599,-28117,-1407,-795,0.755208797216,0.749687439474,0.958037389772,0.275744460328,-0.429547130075,0.200864555297,-0.929535093863,-0.297234323065,1
10847.5277778,783.666666667,-3823.52777778,-5523.75,-1586.36111111,-17805.4444444,-1920.27777778,2274.17361111,-323.361111111,156.756944444,4877.93663811,11358.7722029,10268.0424755,460.206391825,396.044615187,225.758636439,11333.3012611,18191.9862298,889.94604701,543.397808491,8726.0,1014.0,-3298.0,-5542.0,-1554.0,-17810.0,155.5,6173.5,-375.5,190.0,4053.10570988,9142.95833333,8456.48186728,364.479166667,300.260030864,178.979938272,10426.8070988,16510.7817323,768.272762346,386.478395062,22792,21816,13480,-4392,-132,-17276,13444,28343,1689,1327,4992,-22768,-24716,-6540,-2508,-18428,-20599,-23444,-1846,-1388,0.800062584935,0.739457483468,0.95659492361,0.321047435109,-0.0831892371834,0.216514762799,-0.919886000694,-0.331683404795,1
10250.0833333,-1509.88888889,-5958.08333333,-5606.61111111,-1738.08333333,-17797.4166667,-1474.49305556,2785.38888889,3.27083333333,240.868055556,4176.48235482,10989.0223056,10353.7755308,534.315130702,417.79359678,256.403296292,11404.6092534,17232.7034448,922.979753536,563.404464715,8660.0,-170.0,-4808.0,-5564.0,-1788.0,-17754.0,-936.5,4212.5,198.0,226.0,3329.83101852,9101.52314815,8842.78125,423.698302469,315.822916667,202.240740741,10398.451196,15452.8557099,784.910011574,439.89216821,20212,21816,9720,-4392,-132,-17116,16613,28343,1689,1327,4716,-22768,-25152,-6896,-2508,-18528,-19650,-23444,-1846,-1388,0.790931466856,0.743242146541,0.968289761096,0.115431006102,-0.222594433626,0.222630565718,-0.95086866823,-0.210878761912,1
10389.3333333,-3154.86111111,-6690.69444444,-5417.80555556,-1796.61111111,-17839.25,686.076388889,-841.076388889,144.423611111,191.465277778,4287.14047851,11207.7627011,10277.5546582,624.36511281,400.27579847,301.430053119,10952.0764574,16326.3234193,744.889352837,525.172471346,8660.0,-3204.0,-6400.0,-5392.0,-1806.0,-17846.0,4532.5,-2338.0,323.5,120.0,3338.72222222,9544.15470679,8811.39853395,489.886188272,315.222222222,241.9375,9701.48138503,14596.0176505,595.817708333,442.499517747,22456,20196,10320,-3600,-768,-17116,16613,26730,1500,1294,4464,-25524,-25152,-6896,-2552,-18636,-19650,-26869,-1561,-1119,0.774651421352,0.738542977169,0.95959502737,0.130410230768,-0.345387885691,0.163059522788,-0.92501351188,-0.0563328467581,1
11210.0,-1098.63888889,-4387.5,-4876.05555556,-1845.91666667,-17976.0555556,2010.90277778,-2428.73611111,57.5277777778,48.2569444444,4511.17651068,11623.4012923,10416.7301032,565.074706092,496.131038127,344.145029149,10844.3060289,16881.6062367,723.408452697,639.159224245,9080.0,-818.0,-3186.0,-4934.0,-1966.0,-17978.0,5440.0,-5696.5,274.5,41.5,3797.11111111,9668.8599537,8752.27083333,436.659722222,426.25462963,268.944444444,9242.27025463,15175.5256559,577.501157407,488.659722222,22456,20196,14288,-3600,-768,-16896,21185,26730,1988,1508,4464,-25524,-25052,-6168,-2640,-18928,-17756,-26869,-1561,-1758,0.756937132087,0.703343994395,0.940158880432,0.0636979660025,-0.173416889277,0.262154375003,-0.90422735713,-0.0555660130586,1
11598.0,184.805555556,-3568.19444444,-4601.16666667,-1897.52777778,-18085.2777778,-921.680555556,1192.59027778,-93.7430555556,31.5694444444,4442.16717726,10658.5055915,9917.6373831,432.592930313,411.380482426,307.36694647,11992.3497314,17326.297091,641.859718749,691.873686406,9422.0,352.0,-2106.0,-4606.0,-1926.0,-18124.0,1356.0,2525.0,-60.5,89.0,3781.69444444,8580.51658951,8146.89891975,363.5,319.699459877,226.502314815,10700.5794753,15804.6490162,538.496238426,541.700617284,23084,19264,14288,-3604,-732,-16896,21185,24930,1988,1508,6568,-23608,-25052,-5588,-2640,-18928,-20564,-25131,-1175,-1758,0.786121549931,0.717441003954,0.942913952436,0.336977801156,-0.0293000833595,0.173089477914,-0.932387927648,-0.345944387914,1
10176.7777778,-2872.77777778,-6306.27777778,-4677.30555556,-1532.05555556,-18112.2777778,-1911.81944444,2414.59722222,-228.229166667,0.597222222222,5529.35356867,11823.8643716,9170.3902064,455.139865966,518.893063047,275.794451798,10971.6129779,18629.5532497,726.427918339,605.13583194,8188.0,-1726.0,-5826.0,-4736.0,-1640.0,-18128.0,-733.0,6289.0,-241.0,71.0,4217.77932099,9779.62037037,7785.42052469,356.603780864,394.158950617,202.199074074,9851.69328704,17081.005787,624.076388889,451.244984568,26720,19264,8672,-3360,540,-17204,15235,25163,1118,998,3912,-26536,-23576,-5640,-2664,-18896,-20564,-25131,-1559,-2003,0.790229802264,0.742425180208,0.975541589099,0.174910646906,-0.175038543018,-0.153970369889,-0.907820410749,-0.182255569895,1
9298.16666667,-3330.16666667,-7223.63888889,-4775.91666667,-1386.13888889,-18081.1111111,1339.33333333,-1813.3125,-92.3333333333,-107.034722222,5362.73118758,11893.9495778,9791.91484849,427.560840966,515.796872947,323.229661605,12137.9758194,19896.1224765,640.627686077,603.785163168,7148.0,-2206.0,-6792.0,-4816.0,-1414.0,-18124.0,4816.5,-3864.0,-85.5,36.5,4140.44444444,10171.8981481,8481.02276235,317.313657407,388.164737654,249.033950617,10553.2407407,18272.8689236,492.685185185,462.30632716,26720,18296,8800,-3360,540,-17204,19285,28006,1118,998,3308,-26536,-26012,-5640,-2664,-19032,-21824,-28048,-1559,-2003,0.799156852098,0.75860525635,0.975117752282,0.30868042484,-0.336199590895,-0.0284788349931,-0.925615504064,-0.033054877647,1
10224.3333333,150.888888889,-4446.13888889,-4811.58333333,-1587.38888889,-18053.1944444,1808.34027778,-2172.68055556,-203.770833333,-24.2152777778,4511.11439258,11693.2036917,10968.0750806,410.501782319,449.22044538,301.844059164,13266.5347582,19100.8490042,463.373231112,605.010722476,9056.0,2014.0,-3200.0,-4816.0,-1626.0,-18034.0,4741.5,-5668.0,-204.0,45.0,3774.46759259,9867.19444444,9349.51350309,331.58912037,357.49537037,238.22183642,11806.4555363,17250.105517,369.923611111,505.103298611,20920,18380,14504,-4012,-280,-17328,20877,28006,852,1214,3308,-23004,-26012,-5824,-2472,-19032,-21824,-28048,-1035,-1497,0.826919402487,0.821384804999,0.988221921197,0.389142823482,-0.248639767254,0.346423687994,-0.972252408547,-0.448174192311,1
