mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
723.277777778,6455.05555556,10100.6666667,1723.0,-2265.86111111,-20585.0555556,-1113.46527778,1487.02777778,-34.375,539.791666667,4530.82218637,8014.65107344,6732.45422681,412.232943856,1458.37713527,406.24825814,3781.53393029,4645.13256632,418.899354953,444.067103778,580.0,7438.0,13152.0,1644.0,-2220.0,-20616.0,-1480.0,343.5,-58.5,498.0,4206.98996914,7304.24537037,6422.16666667,363.930555556,1344.35725309,328.81558642,2560.81732253,3668.64544753,312.659722222,339.351851852,7156,18856,19552,2520,188,-19692,11785,8805,1271,1651,-7024,-7752,324,1012,-4368,-21688,-6844,-10634,-893,-617,0.941367804385,-0.925376280893,-0.800459413573,-0.846560881166,0.570610684529,-0.626077296769,-0.85208415913,-0.0835410260845,2
4862.63888889,8134.22222222,-4780.75,1432.77777778,142.277777778,-20795.0833333,-1499.16666667,2161.13888889,104.875,526.194444444,1443.10629711,6868.9582688,9607.93176954,220.77107228,1262.59828916,281.362407219,4476.60399507,4306.89396235,310.655068651,586.924963667,5176.0,10070.0,-226.0,1418.0,76.0,-20774.0,-597.0,359.5,53.0,454.5,1173.69675926,6205.87654321,8874.98958333,164.487654321,1083.76157407,207.643518519,3492.2337963,3726.00501543,242.871527778,458.216049383,7320,18856,12820,2136,2264,-20012,11175,9436,868,1789,332,-3668,-19136,856,-2232,-21688,-9244,-6211,-620,-743,0.524638341039,0.106338358318,0.876460617675,0.201103867911,-0.0584029096835,0.507404372079,-0.921630451273,-0.183951543423,2
4558.66666667,6801.88888889,-2955.0,1494.86111111,153.611111111,-20773.0,1490.13194444,222.493055556,153.131944444,372.743055556,1342.8124957,5702.70138798,12116.652029,277.218012995,1310.16973817,262.91470073,6914.83292301,4650.38415737,331.331267831,660.188506101,4248.0,8486.0,-5286.0,1476.0,246.0,-20780.0,300.5,-281.0,156.0,313.0,1099.61111111,5074.51851852,11072.8472222,204.13117284,1138.55478395,207.027777778,5669.29465664,3533.31114969,257.364390432,516.16570216,7592,16088,17320,2336,2264,-20012,14671,9436,868,1789,248,-3668,-19136,732,-2164,-21524,-9244,-6738,-769,-902,0.332888188944,-0.0931432487975,0.825017244542,0.0836978313777,0.0180067935226,0.378297762346,-0.890346790545,0.282484159433,2
334.277777778,4848.72222222,12081.4722222,1911.44444444,-2551.44444444,-20485.3611111,2794.65277778,-1724.34027778,99.7986111111,198.270833333,4389.0788215,6385.55000993,6987.90792141,513.57332809,1923.96086849,617.136752094,6637.83206702,5951.49307607,755.162054389,744.696044614,744.0,4360.0,15060.0,1880.0,-2142.0,-20658.0,1193.0,-1908.5,109.5,198.0,3990.24614198,5909.56558642,5504.81751543,452.88117284,1673.98611111,512.782021605,5845.97106481,4915.60416667,580.304205247,590.784722222,7592,16088,21920,2836,1172,-18972,14671,8893,2131,2184,-6292,-4336,-10152,732,-5952,-21640,-7729,-10944,-1176,-1230,0.932881869739,-0.689591777348,-0.562744846546,-0.767814998784,0.661286060923,-0.710112291876,-0.777668894788,0.00213066819124,2
107.916666667,2089.02777778,5246.77777778,2005.36111111,-2018.94444444,-20468.6666667,-1190.71527778,1915.79166667,144.548611111,418.284722222,4179.71703044,5949.22071637,14423.0413582,472.380589286,2572.81025579,673.404792072,6669.06680093,7630.53838835,794.595193854,825.814602394,996.0,-86.0,13504.0,2044.0,-2410.0,-20542.0,-3699.0,6124.5,115.5,468.5,3772.19907407,4839.11959877,13036.8441358,397.841049383,2247.62037037,575.138888889,5741.85590278,6968.45949074,650.855516975,699.082368827,7284,17224,21920,2836,2340,-18972,13955,12957,2131,2184,-6292,-4852,-19892,788,-5952,-21640,-10502,-10944,-1176,-1230,0.561860133163,-0.78545899638,-0.0336958768797,-0.527615078778,0.606593956256,-0.456956477174,-0.906146913948,-0.247186636807,2
2169.41666667,3379.16666667,2665.61111111,1905.27777778,-859.722222222,-20687.8888889,3224.5625,-99.5902777778,263.256944444,393.6875,4038.52658775,5967.48864258,14109.6746282,426.790566946,1960.98771475,496.381298159,8822.38651943,7250.21656046,443.071853974,804.284536061,3758.0,2614.0,5736.0,1920.0,-688.0,-20762.0,2194.0,-2319.5,275.5,362.5,3315.82060185,5045.53009259,12789.632716,340.186728395,1663.90972222,397.569444444,8067.30815972,6229.09481096,359.461709105,647.466145833,7412,17224,20012,3032,2340,-19504,15648,12957,1351,1899,-6564,-5644,-19892,788,-4472,-21572,-10502,-13846,-725,-1381,0.465230538583,-0.629938129019,0.0220817895118,-0.306691218767,0.42298432554,-0.169333343103,-0.788344127945,-0.398931792959,2
201.0,3278.5,9665.36111111,2493.36111111,-1874.16666667,-20561.1666667,1581.60416667,2367.74305556,381.763888889,348.576388889,4549.39324626,5296.2200718,10927.4765375,539.369466261,1833.93106001,471.936673481,9490.99666354,8605.40132768,434.111325771,742.897536252,-148.0,2606.0,15292.0,2530.0,-2032.0,-20586.0,-1652.5,2943.0,415.5,296.0,4174.375,4420.68055556,9293.75964506,435.174382716,1604.26388889,373.935185185,8524.30758102,7847.49662423,360.669174383,589.848765432,7996,15404,20252,4748,1388,-19504,15648,15065,1301,1867,-6564,-5644,-16836,1404,-4492,-21680,-12850,-13846,-625,-1381,0.553886887316,-0.728304747726,-0.367310900847,0.0180105641633,0.0824383496663,-0.533335786078,-0.813336122035,0.401032973522,2
683.916666667,3864.55555556,3905.47222222,3057.25,-1069.02777778,-20546.8333333,2122.06944444,2378.36805556,198.722222222,379.423611111,4454.09080062,4816.88897334,14802.3620852,408.802848854,1865.2975913,443.179832163,10643.0668254,8951.00294005,609.849774514,636.174202952,1790.0,2278.0,8646.0,3052.0,-772.0,-20532.0,-2100.5,4032.0,256.0,271.5,3867.04513889,4115.31481481,13288.9197531,328.0625,1621.65470679,362.078703704,9699.26060957,8062.63782793,522.581018519,548.695023148,7996,15404,23116,4748,1752,-19652,18962,15065,1301,1561,-9072,-3348,-21652,2024,-4492,-21680,-12850,-15981,-1109,-953,0.527064290161,-0.68485094187,-0.0679052534025,0.643501098438,-0.123507144227,-0.089460056972,-0.852238966247,0.426514352775,2
-279.444444444,3847.25,7095.86111111,3296.41666667,-1325.25,-20436.4722222,2671.6875,-160.534722222,69.9097222222,448.208333333,5036.35229551,4087.06274666,14368.9785159,327.658604098,1807.6911964,443.91935172,10450.9698292,8890.71196258,502.451234988,679.749767564,894.0,4014.0,13690.0,3298.0,-1566.0,-20442.0,1510.5,-2375.0,106.0,420.5,4504.99382716,3444.14930556,12260.6180556,254.25,1585.125,355.194444444,9442.99826389,7744.80960648,382.605324074,558.144675926,8068,14400,23116,4560,1752,-19356,18962,14457,1157,2001,-9072,-3356,-21652,2356,-4332,-21380,-12193,-15981,-1109,-953,0.636901318778,-0.642654084113,-0.114105026754,0.0751996431968,0.185296678648,-0.213014767018,-0.789922567616,0.204517347374,2
1364.44444444,3474.19444444,3240.66666667,3238.11111111,-703.305555556,-20452.1944444,-285.388888889,1988.10416667,-17.9166666667,442.354166667,4857.9632697,3936.50587544,14669.7959544,355.541291478,2182.13708452,482.050707918,10193.2676268,7920.57221543,395.580806947,931.745691983,3436.0,3270.0,7438.0,3264.0,-606.0,-20520.0,-3837.0,3791.5,53.0,509.5,4317.22839506,3216.7804784,13357.4907407,276.967592593,1913.96257716,393.614583333,8966.07407407,7117.50115741,295.929398148,772.778935185,8068,14400,21348,4560,3216,-19356,17632,14457,917,2145,-9016,-3692,-20608,2180,-4332,-21476,-14122,-15572,-1059,-1537,0.259362791493,-0.664345576298,0.309250908001,-0.159638051924,0.083880828402,-0.154513002487,-0.825872798389,0.0199836817187,2
