mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-1881.72222222,9712.92361111,10140.4444444,-438.027777778,-1928.38888889,-20757.8888889,4466.65277778,1746.31944444,371.201388889,698.486111111,3778.31346259,12606.9540251,14948.7320948,680.596036029,1054.43540794,741.536027362,8169.28233131,15761.742209,892.795308374,1288.5628303,-928.0,10282.0,14916.0,-476.0,-2024.0,-20820.0,5127.0,7597.0,248.0,934.0,3346.61959877,10691.1201775,11787.9320988,514.053626543,850.578703704,560.058641975,6806.47280093,14184.538966,758.493152006,1052.34915123,4328,32767,28412,1584,628,-18552,22627,20954,2229,2918,-9372,-20764,-31032,-2252,-4768,-22604,-13388,-28458,-1418,-2619,-0.410050759146,-0.569540528966,0.669075905678,-0.0923998876469,-0.244369222753,-0.0237808700574,-0.292493226262,,,-0.0343337307594,,,2
-2721.83333333,9281.51388889,12038.1388889,-381.388888889,-1878.66666667,-20766.8333333,5583.78472222,-1380.04861111,130.486111111,423.791666667,4194.26714637,11991.3225525,15126.2566543,587.723034422,1050.90101867,714.01237967,9035.73522782,16149.8662981,871.187325694,1140.98333786,-2818.0,7206.0,16248.0,-414.0,-1918.0,-20852.0,5908.5,-4969.5,11.5,569.0,3698.86342593,10222.9868827,11447.6261574,465.533950617,820.574074074,562.335648148,7240.92660108,14493.0570988,741.067901235,935.697916667,4080,32767,28412,1564,984,-18552,23554,20954,1973,2918,-11252,-17624,-32768,-1980,-4768,-22132,-13657,-28458,-1494,-2655,-0.552876680496,-0.484410243857,0.557165991759,0.0647962307085,-0.135370530654,-0.123411090335,-0.222412628214,,,0.154339266097,,,2
-1589.33333333,4073.11111111,6821.94444444,-428.583333333,-1451.13888889,-20863.2222222,6049.88194444,-2030.98611111,161.347222222,218.784722222,4101.01072993,12085.5624154,18873.6896233,542.879753328,1169.41863873,657.556958042,9755.4150195,16030.1809708,859.883618076,1211.36374148,-242.0,1580.0,12008.0,-456.0,-1436.0,-20904.0,5901.5,-5904.5,110.0,395.0,3511.68518519,9694.14506173,15990.4012346,435.241898148,960.738040123,532.898148148,8182.92033179,13849.9328704,750.35320216,947.802662037,5380,32724,29240,932,984,-19332,23554,22860,2086,2574,-11252,-18428,-32768,-1980,-4428,-22304,-13657,-28030,-1494,-2910,-0.625883409017,-0.407232834649,0.660897743401,0.168657681322,-0.247808256246,0.0587501792376,-0.337634887215,,,0.149142233902,,,2
-797.916666667,4949.63888889,3426.5,-315.027777778,-1256.19444444,-20832.3611111,3853.09722222,2635.36805556,173.868055556,304.631944444,3169.50038528,11189.798555,17848.8768337,572.357215766,1197.79558174,702.43339889,10228.6671549,14618.0637898,882.606876561,1579.52862645,-18.0,3860.0,7832.0,-288.0,-1222.0,-20902.0,3241.0,4714.5,113.0,533.5,2603.32060185,9356.64158951,15192.5763889,444.389660494,1052.58333333,551.447145062,8712.83738426,13157.4967207,764.720003858,1259.41039738,5380,30156,29240,1560,700,-19044,23035,22860,2086,2934,-8384,-18428,-32768,-1716,-3776,-22340,-12876,-26400,-1480,-3038,-0.387260332295,-0.298283463705,0.714716275884,0.0445156470228,-0.121592123767,0.0849147398497,-0.511215278495,,,-0.232452628822,,,2
-1267.47222222,10089.3055556,7873.91666667,-282.25,-1346.47222222,-20755.2777778,2186.59027778,4083.91666667,103.458333333,510.027777778,2844.57451916,10057.026399,14447.1193961,513.95642791,1087.63424503,700.175666714,8868.21204409,13003.9673712,791.090049731,1681.18321198,-1486.0,12216.0,13312.0,-278.0,-1346.0,-20850.0,2535.5,11660.0,65.5,715.0,2434.42399691,8450.62191358,11430.9976852,391.114583333,910.861111111,558.858024691,6930.6244213,11624.3900463,662.372685185,1338.76080247,5584,30156,24708,1560,700,-19044,22813,19259,1753,4128,-6484,-11876,-32768,-1668,-3776,-22340,-12876,-26324,-1480,-3038,-0.344174672902,-0.274172447674,0.674470666801,0.0324953744329,-0.0228829996617,-0.00617346111958,-0.371769676853,,,-0.297807281936,,,2
-1193.33333333,9307.80555556,9484.66666667,-418.555555556,-1279.5,-20801.6666667,3251.80555556,-1064.95833333,126.451388889,453.104166667,3311.84354889,10496.002498,14815.3227956,558.01518612,1102.4904928,580.237424277,9241.48268708,13893.0849459,727.184385481,1443.68391306,-984.0,8298.0,14424.0,-364.0,-1290.0,-20848.0,2860.5,-4081.0,2.0,508.5,2746.40740741,8496.7974537,11430.8333333,436.304012346,884.611111111,468.550925926,7209.86998457,12498.3784722,596.159239969,1097.33304398,6848,30820,27372,1024,1104,-19488,22069,18562,1909,4128,-8748,-16788,-32768,-2272,-4216,-22008,-14716,-26324,-1065,-3204,-0.408816972458,-0.208755610163,0.536483072753,0.109270819983,-0.0846992639126,-0.027396228551,-0.14341864549,,,0.0304139790358,,,2
-519.722222222,5656.58333333,3766.47222222,-656.916666667,-1138.88888889,-20871.6944444,5520.17361111,-1184.25694444,-3.18055555556,216.493055556,3536.914942,11043.1469111,18136.1464546,593.305632391,1160.20875329,583.513750987,9985.16555173,13341.9605864,696.629665065,1449.98007219,-286.0,4062.0,7366.0,-596.0,-1154.0,-20890.0,8120.5,-4952.5,-62.5,146.0,2769.31018519,8654.27662037,15159.7137346,469.962962963,946.015432099,464.091820988,8517.09153164,11549.3010224,536.95466821,1094.24990355,7828,30820,27824,1024,1104,-19536,21790,23483,1909,4185,-8748,-16788,-32768,-2272,-4216,-22684,-14716,-24411,-1342,-3204,-0.410398421606,-0.1278592664,0.622561207238,0.204207687489,-0.0962531098191,0.0854918808484,-0.211097971136,,,0.0109919130332,,,2
-678.722222222,6137.22222222,3725.5,-677.388888889,-1262.41666667,-20825.0555556,3246.86111111,3715.96527778,130.694444444,292.493055556,3155.67315183,10831.065544,18252.3254141,472.683709965,1167.18097721,668.14109914,9847.21630724,13801.8410986,723.150742855,1578.49920311,-408.0,4254.0,8662.0,-634.0,-1270.0,-20850.0,5140.0,7477.5,44.5,375.0,2566.65354938,9196.92592593,15506.75,365.043209877,964.849537037,515.233796296,8604.19020062,12272.7469136,551.103780864,1242.23620756,7828,28684,27824,376,1056,-19048,19799,23483,1961,4185,-6908,-13564,-32768,-2144,-3724,-22684,-15261,-24411,-1342,-3523,-0.487111460449,-0.353209940834,0.746988023783,0.145039635532,-0.075356933666,0.166290189982,-0.41652816647,,,-0.113503193325,,,2
-3363.41666667,11281.3888889,10049.0833333,-476.277777778,-1712.33333333,-20731.6111111,3797.49305556,2158.67361111,270.75,519.048611111,4707.67058561,10792.9797781,15479.2946567,500.533902982,1249.87169132,748.494630137,11644.5422373,16109.4912587,698.368182896,1418.71251754,-2618.0,11736.0,13084.0,-530.0,-1836.0,-20744.0,2499.0,7161.5,271.5,825.5,3751.58217593,9104.01697531,11838.1203704,394.821759259,1019.92592593,599.449845679,9772.75675154,14725.7980324,528.138888889,1142.20920139,2948,30536,27884,924,1056,-18620,29097,25854,1961,3678,-15676,-13564,-32768,-1720,-4780,-22304,-15261,-26150,-1526,-3523,-0.626144193908,-0.485454329802,0.614972694676,-0.0174385816297,-0.103295694452,0.0699653232174,0.0396456237974,,,0.0135179264051,,,2
-3350.75,9710.33333333,9850.69444444,-424.833333333,-1577.41666667,-20744.75,4523.0,-3284.22222222,239.8125,549.881944444,4804.73550715,11077.4855494,15806.6482805,580.707622352,1363.71163359,768.031317653,12289.0197997,16387.5058699,607.171085309,1597.18953119,-1724.0,8208.0,11862.0,-412.0,-1696.0,-20808.0,4061.0,-9339.5,289.5,830.5,3931.82291667,9286.33796296,12194.3406636,470.368055556,1087.61574074,614.229166667,10631.4444444,14408.8703704,475.525173611,1250.86564429,3196,30536,29440,988,1828,-18620,29097,25854,1681,3678,-15676,-13844,-32768,-1720,-5292,-22304,-14792,-26650,-1526,-4150,-0.649051838719,-0.376035231267,0.515688772573,-0.0637651345438,-0.195767507265,-0.0805833514754,0.0252023241774,,,0.352422132443,,,2
