mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-1936.88888889,9532.47222222,1399.30555556,-8628.33333333,-1505.11111111,-16001.5833333,74.5763888889,1108.69444444,-294.326388889,100.381944444,3478.02726641,3508.49676324,12933.2867084,833.410249131,2652.32134008,434.097528599,5328.90183465,7312.77107539,893.369052159,1754.80867802,-856.0,9750.0,3936.0,-8886.0,-1556.0,-16050.0,-273.0,1866.0,-451.5,179.5,3039.91358025,2867.55054012,11384.2523148,669.24537037,2312.35802469,322.863425926,4302.35040509,6552.66550926,739.374035494,1433.3521412,3876,17928,18208,-6468,2888,-14380,8733,12319,1742,3207,-8704,3072,-20784,-9856,-5812,-16992,-13247,-11565,-1729,-3704,0.0605975922614,-0.724965321462,0.426539499227,-0.629803281811,0.50437800571,-0.279205863651,-0.550440405488,-0.669237835428,2
-368.972222222,8873.83333333,-500.611111111,-9164.13888889,-760.833333333,-15851.9444444,1553.25694444,602.409722222,-161.888888889,-26.9097222222,3366.56944343,3626.39757289,12789.9622821,601.261408436,2244.67169559,395.129221631,6287.37568715,6288.70684608,789.830831769,1347.8407436,146.0,9260.0,-550.0,-9282.0,-970.0,-15882.0,1584.5,-208.5,-235.5,15.0,2690.74537037,2913.8125,11242.6111111,481.788194444,1991.97685185,299.55941358,5464.79504244,5202.94704861,664.094135802,1054.72665895,5708,17928,18596,-7472,2888,-14552,10112,11444,1713,3030,-9168,928,-20784,-10292,-4520,-16868,-13247,-12153,-1729,-2353,0.252195205121,-0.503877640879,0.229759651999,-0.273160938584,0.193972715154,-0.362809516939,-0.594323311965,-0.690769904852,2
-967.611111111,7755.91666667,3561.91666667,-9153.94444444,-1589.66666667,-15779.0,382.159722222,2004.67361111,-11.9513888889,86.1527777778,3879.8105734,4044.04957932,13468.6196693,625.670703373,2011.70240678,379.036245661,7130.60416791,7745.95880455,727.916850798,1380.92827966,-644.0,9114.0,10700.0,-9278.0,-1852.0,-15822.0,356.0,623.0,-115.5,269.0,3371.02854938,3470.65393519,12049.4016204,509.174382716,1765.125,287.944444444,5903.8125,6402.15576775,620.217303241,1119.13580247,5708,16276,18596,-7472,1808,-14552,10112,17433,1713,2933,-9168,752,-21572,-10292,-4632,-16740,-14063,-12153,-1379,-2353,-0.0756952580077,-0.583946004255,0.579446335417,-0.426478797473,0.384233666658,-0.515782850206,-0.494287997334,-0.623047524453,2
-1017.22222222,7284.94444444,572.777777778,-9123.25,-1265.5,-15865.1666667,246.118055556,1554.36111111,-107.854166667,-320.736111111,3402.03184957,4024.75420051,14591.9862231,616.396016333,2140.52901768,419.102170563,7207.2129231,8043.71149035,817.01008689,1798.89115802,-552.0,8842.0,4208.0,-9198.0,-976.0,-15936.0,790.5,-206.5,-233.5,117.0,2855.1867284,3608.88194444,13483.8348765,453.489583333,1894.81944444,308.00462963,5986.06983025,6796.6878858,668.291087963,1511.77700617,4544,16276,16660,-7232,1808,-14364,10766,17433,1925,2933,-7424,752,-21572,-11104,-5972,-16740,-14063,-11174,-1419,-4507,-0.489570881289,-0.558658043297,0.899922513505,-0.157652060085,0.507567701637,-0.577576623946,-0.490862395302,-0.46057876619,2
-967.777777778,9105.41666667,3296.44444444,-9091.33333333,-1655.88888889,-15781.9722222,886.875,1397.27083333,-254.993055556,129.388888889,3360.2479355,3556.42578394,12101.8218601,778.769192088,2261.69256229,397.054891212,7098.23346277,7578.92413183,849.185133855,2363.81981704,-248.0,9386.0,6406.0,-9304.0,-1448.0,-15812.0,1785.5,-653.0,-364.5,-426.0,2994.69753086,2731.96180556,10501.8641975,619.842592593,2013.55246914,298.085648148,5489.38020833,6720.13049769,663.813175154,2037.60185185,4336,17292,16560,-7232,1828,-14364,10766,13375,1925,4220,-7424,-100,-20304,-11104,-5972,-16448,-16018,-11174,-1580,-4507,-0.289578972654,-0.646204802472,0.680224620264,-0.486484086153,0.579075175939,-0.497645483535,-0.497770076378,-0.443960646921,2
-638.944444444,8532.0,2140.25,-9228.77777778,-1253.33333333,-15744.8888889,2411.69444444,2118.80555556,-236.0,107.895833333,3698.53937486,3546.95016831,13077.589934,708.824422661,2515.20711933,306.918797742,9084.36697094,7318.59918986,779.691574309,2706.51037863,678.0,8010.0,4922.0,-9410.0,-844.0,-15752.0,1915.0,1403.0,-210.0,1120.5,3309.08719136,2848.05555556,11479.21875,537.606481481,2241.2037037,240.154320988,7137.44791667,6150.15316358,626.722222222,2387.85329861,5208,17292,18136,-7604,2756,-14776,19268,13375,1731,4220,-8564,-100,-21856,-10616,-5660,-16608,-16018,-12903,-1580,-4694,-0.157275647947,-0.69308210298,0.372115975317,-0.580384662819,0.515551249798,-0.408987281675,-0.582038441486,-0.336481030581,2
-1862.61111111,7837.5,2403.05555556,-9256.13888889,-1459.66666667,-15630.9444444,1681.38888889,2061.11111111,-193.756944444,76.4236111111,4633.3282712,3149.03740204,13607.4024444,760.042606563,2601.40930068,352.960224344,9348.35536945,7722.51147154,784.797325817,2829.69793436,332.0,7784.0,6650.0,-9410.0,-1394.0,-15648.0,1419.0,998.0,-199.5,743.0,4205.62345679,2488.40972222,12194.7291667,591.9375,2321.10648148,263.736882716,7804.27160494,6578.24537037,648.805362654,2559.95563272,5208,14956,18136,-7476,2756,-14608,19268,14564,1731,4225,-9732,1216,-21856,-10616,-5660,-16608,-14048,-12903,-1406,-4694,-0.311522928333,-0.715353794517,0.475810325266,-0.579189742025,0.653424002261,-0.593656844139,-0.683062063139,-0.311915973352,2
-2400.19444444,7540.61111111,1701.11111111,-9217.30555556,-1539.58333333,-15675.5833333,743.597222222,2150.21527778,-158.75,184.263888889,4185.96080035,3873.58611446,13866.7621316,711.655739805,2475.54184081,355.628381115,8097.47618829,7447.25350619,788.053071409,2538.22814965,-1070.0,8174.0,4010.0,-9380.0,-1424.0,-15710.0,1400.0,781.0,-170.5,138.0,3731.8908179,3236.79089506,12305.462963,542.591435185,2224.23842593,275.106481481,6920.96431327,6643.61612654,638.420138889,2219.83699846,4028,14956,19116,-7476,2032,-14608,14660,14564,1919,4225,-9732,-464,-22320,-10356,-5340,-16432,-14048,-11472,-1929,-4033,-0.178139674667,-0.718153554772,0.569469286973,-0.532116252887,0.576146080214,-0.571019616261,-0.777198989995,-0.354196447535,2
-1563.25,6123.94444444,1172.77777778,-9246.77777778,-1421.16666667,-15657.3055556,136.097222222,753.548611111,-95.4444444444,426.458333333,3819.21706819,3544.54979985,15017.7646025,854.403750257,2522.45540827,419.621629063,7971.42318616,6361.91519942,1048.95460299,2691.7269858,-830.0,6346.0,1964.0,-9372.0,-1096.0,-15778.0,-2115.0,54.5,-154.5,226.0,3302.57986111,2662.5625,13544.6018519,640.160493827,2277.27083333,336.032407407,7189.74691358,5365.36448688,864.830246914,2377.67824074,5416,14096,20664,-7248,2200,-14492,14660,12603,1919,4444,-8396,-4172,-22320,-11004,-5400,-16432,-10661,-11472,-2004,-4033,0.198161457925,-0.613051851773,0.505017895009,-0.553978493351,0.718850199765,-0.592791078133,-0.768524558789,-0.29953505324,2
-1947.91666667,5673.75,2255.19444444,-9293.27777778,-1273.47222222,-15554.8055556,-660.840277778,1027.09722222,-120.194444444,118.069444444,3423.78897686,4509.40369974,14733.4649922,962.744637474,2564.07628904,441.252909066,6665.81365533,5707.45654878,1175.22823421,2889.47499684,-1680.0,6430.0,6120.0,-9514.0,-1272.0,-15668.0,-740.5,-495.5,-460.5,-520.5,2833.07291667,3506.34375,13377.6948302,804.604938272,2290.08333333,352.27662037,5842.10638503,4935.4996142,1008.01466049,2651.11593364,5416,17244,20664,-7248,2512,-14444,12963,12603,2722,4444,-8396,-4172,-22460,-11004,-5400,-16532,-10661,-8410,-2004,-4202,0.183904300003,-0.58360220287,0.47248660182,-0.51943531611,0.749200176393,-0.529465958314,-0.745182713551,-0.225327099972,2
