mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-15913.8055556,5368.16666667,529.5,2570.5,-813.666666667,-20595.5,-746.555555556,226.777777778,137.819444444,838.583333333,3890.76749269,2180.07787761,1979.8807833,2290.74464334,2598.71707993,3128.11549426,10123.297134,9794.60177599,1691.95619251,2119.7148756,-15932.0,5098.0,850.0,2368.0,-1086.0,-20304.0,-1451.0,-1138.5,64.5,778.0,3028.11381173,1842.62268519,1423.375,1916.20833333,2116.59722222,2220.35416667,8160.2808642,8116.12037037,1197.28800154,1768.19097222,-8292,11280,3020,7028,5320,-13844,20636,19552,6042,5991,-29380,1656,-7764,-3036,-7048,-32768,-17198,-16702,-4321,-3675,-0.0383057563552,-0.386729478898,-0.332805612067,0.206123080254,-0.0266025351893,-0.205570550491,-0.889880656337,0.177617911587,3
-15748.6388889,5158.11111111,454.361111111,3542.33333333,283.5,-20593.7222222,398.666666667,-603.354166667,-30.7152777778,-94.1180555556,3878.33809591,2110.70891585,1491.41088977,2597.33946716,2000.96155207,2509.86505208,9943.97661728,11467.6870724,1513.23287816,1728.25583081,-15082.0,4602.0,850.0,3668.0,650.0,-20156.0,-887.5,-1996.5,201.0,-550.0,3107.52546296,1714.66203704,1173.77083333,2319.0462963,1590.52083333,1724.12885802,7975.2037037,9758.16290509,1039.86226852,1396.73726852,-8292,11280,2988,9724,5320,-15992,21321,19552,2938,5040,-27764,1932,-3548,-1512,-5180,-32224,-17198,-24072,-7147,-4397,-0.0834714555523,0.0427198225686,-0.183481812404,0.474537188515,-0.0691060969836,-0.149606301008,-0.929978855086,0.380095917112,3
-16644.0,4933.19444444,727.722222222,3663.91666667,12.4722222222,-20727.4166667,898.069444444,-2247.40972222,340.576388889,665.333333333,3879.1165024,1610.82846807,1583.94466618,2619.44293309,2168.68972057,3265.26281511,9353.41802425,12422.6986874,1978.23329947,1962.94809325,-16084.0,5084.0,1074.0,4008.0,510.0,-19914.0,-1257.0,-3597.5,521.0,786.5,3108.27777778,1296.94483025,1189.63657407,2122.58912037,1809.17785494,2361.38888889,7877.21604938,11005.9122299,1399.48881173,1583.32407407,-8880,8892,3124,9724,4036,-14172,21321,17828,7881,5040,-27764,1668,-4256,-3732,-6212,-32688,-14725,-24072,-7147,-4397,-0.181832384048,-0.218183994424,0.0838390620368,0.534353860137,-0.113832987189,-0.119601044193,-0.955141668628,0.457433562853,3
-16436.1666667,4838.30555556,617.361111111,2054.55555556,-1229.08333333,-20671.7777778,-133.180555556,-137.020833333,-33.7569444444,537.534722222,3009.99888484,1486.19113905,1647.459492,1793.10777518,2101.15195677,2794.81216814,6801.11295464,9790.92282019,1742.14155345,1841.58931024,-15762.0,5070.0,1042.0,1920.0,-872.0,-20380.0,-1645.5,1937.5,-327.5,658.5,2298.51851852,1195.70100309,1252.72762346,1450.84876543,1793.45138889,1902.37654321,5098.23148148,7804.88628472,1192.1960841,1595.21431327,-8880,8720,3124,6156,2804,-14172,17465,17828,7881,4190,-26280,1668,-4256,-3732,-6332,-32688,-12318,-22590,-4523,-3078,-0.142400713042,-0.285754722089,-0.0881946914727,-0.0633975714008,-0.189052508838,-0.231775661319,-0.95017844616,0.189037722998,3
-16012.3888889,4532.02777778,593.861111111,3268.72222222,-333.611111111,-20622.1111111,-1325.28472222,1359.20833333,-202.381944444,-43.1458333333,1978.2064813,1470.64383381,1432.42599541,2494.17333431,2374.2087062,2356.9721928,4089.77986595,5459.13113796,1532.1949884,2402.66080349,-15554.0,4232.0,696.0,3392.0,58.0,-19982.0,-1830.5,2439.0,-394.5,202.0,1479.57021605,1036.70023148,974.098765432,2054.37885802,1826.59182099,1558.73919753,3052.14998071,4402.14814815,1060.76475694,1922.19357639,-13248,11888,4760,13400,6732,-17508,10665,8456,5395,4644,-23848,2520,-4164,-2348,-6332,-30528,-6949,-12874,-4523,-6827,-0.476601535101,0.0604770299525,0.252119594484,0.559178042097,-0.077918682275,0.0796260728215,-0.899069373308,0.238629550317,3
-15767.9166667,5451.91666667,1113.72222222,2991.5,-498.861111111,-20707.6666667,286.194444444,-965.25,314.708333333,890.118055556,2302.05407669,2057.2075292,1691.53963237,2932.74276265,2429.387245,3117.82231694,4667.37646209,5921.04439911,2164.52540988,2398.99011823,-15412.0,4986.0,868.0,3474.0,-302.0,-19842.0,-223.5,-1060.5,54.0,1041.5,1648.57407407,1681.24074074,1258.8587963,2348.27083333,1871.22646605,2238.09259259,3888.81905864,5165.86111111,1672.6724537,1632.51832562,-10612,11888,6140,13400,6732,-15660,10665,8197,6926,5153,-23848,2140,-2220,-4040,-7164,-30528,-6949,-12874,-4418,-6827,-0.368179485328,-0.258089355664,0.251101045273,0.497720136715,-0.141420579532,0.0482545777389,-0.87021400736,0.166868309165,3
-15491.5555556,5522.30555556,1064.94444444,1646.91666667,-1497.22222222,-20601.5277778,148.756944444,237.708333333,214.222222222,381.791666667,2306.22411643,1882.25519133,1597.17155494,2184.14171106,1734.19998058,2753.62677551,3576.33881087,5237.20334791,1791.91375387,2065.27284259,-15050.0,5594.0,780.0,1290.0,-1024.0,-20216.0,129.0,590.5,43.0,550.0,1769.09259259,1494.55787037,1253.61805556,1724.17476852,1412.56790123,1903.50771605,2995.20138889,4382.86921296,1223.49074074,1461.81481481,-10612,10676,6140,6772,2184,-15660,8855,10364,6926,5153,-22196,2140,-2216,-4040,-7164,-29652,-5920,-12462,-3084,-5179,-0.429648760103,-0.218971577674,-0.0387980016434,-0.301694744231,-0.0787126549156,-0.114722330439,-0.841472127468,-0.0235265031412,3
-15743.8333333,4811.11111111,415.888888889,3590.22222222,288.777777778,-20326.0833333,-694.243055556,1178.31944444,-202.854166667,-616.819444444,2106.18780002,1215.41994303,873.033703649,2480.32539159,2041.69737573,2099.62367424,4501.63585689,5597.37086091,1207.58558149,2164.05080099,-15000.0,4662.0,342.0,4884.0,490.0,-19926.0,-1392.0,1691.5,-308.0,240.5,1642.73148148,997.216049383,663.435185185,2192.01851852,1702.32407407,1379.80208333,3635.90335648,4741.64891975,882.489293981,1700.61284722,-13312,7872,2204,9580,4796,-16252,11860,10364,4228,2580,-21916,2268,-2204,-920,-5424,-28652,-8868,-11845,-3649,-6882,-0.535355919281,-0.0101363939208,-0.120653588839,0.54058221314,0.105811267699,0.00385646270594,-0.920408988881,-0.15775591432,3
-15599.0,5581.86111111,617.027777778,3615.52777778,268.055555556,-20637.3055556,-327.0625,-435.347222222,290.625,761.576388889,2618.62448278,3373.93231723,2214.19389409,2594.96267255,2316.57127808,3088.7334478,4608.47693727,5197.73914988,1982.40581704,2731.82375513,-15408.0,4886.0,708.0,4592.0,1378.0,-19826.0,-671.0,-320.0,-408.0,989.0,1943.19444444,1732.36265432,1294.70717593,2060.00192901,2003.93595679,2276.75771605,3646.23958333,4364.97222222,1581.02083333,2047.61545139,-8344,31944,4204,9580,4796,-15512,11860,9004,6538,5183,-21916,2492,-13948,-3380,-5972,-29844,-8868,-11845,-3649,-6882,-0.0210639295733,-0.203080742032,-0.57351520867,0.550629505964,-0.0242459580835,0.0689230237448,-0.662560321103,0.000505553668675,3
-15652.0833333,5598.52777778,771.666666667,1960.94444444,-1188.83333333,-20889.7777778,-295.347222222,181.722222222,526.708333333,953.006944444,2755.84320476,3425.26062496,2311.28110874,2111.15261588,1933.47456361,3183.57521775,4186.06728555,5174.52764568,1806.41659684,2218.57836575,-15454.0,5074.0,1172.0,1872.0,-1066.0,-20576.0,-646.5,590.0,215.0,885.0,2115.64467593,1753.45524691,1454.75925926,1733.24845679,1523.34722222,2295.2962963,3000.88715278,3938.27700617,1393.60590278,1843.49315201,-8344,31944,4204,6608,3396,-14052,11727,11616,6538,5183,-22916,2028,-13948,-3380,-6720,-29844,-7149,-10943,-2633,-3143,0.00363077788734,-0.156244000282,-0.641923015359,-0.226782563494,-0.062473562932,-0.0325221057037,-0.466326815309,0.000247253255344,3
