mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-16296.2222222,5232.27777778,-790.416666667,3242.30555556,-236.972222222,-20981.8055556,-638.194444444,-20.2569444444,-58.0347222222,257.916666667,4234.13719952,1373.73098437,2009.9217516,2872.10255889,1952.46310261,3768.25140818,2409.49420824,8486.58107521,2433.78925949,2148.74665533,-15504.0,4904.0,-484.0,2674.0,0.0,-19646.0,-321.5,1927.0,-138.5,171.5,3005.50308642,1194.91589506,1586.43055556,2297.24537037,1571.8595679,2937.22646605,1726.7662037,7474.2886767,1755.86467978,1583.09027778,-7868,8408,3328,10756,5768,-14148,3117,13244,7388,5522,-30660,3084,-7268,-4700,-4744,-32768,-8519,-16043,-5736,-4187,-0.516652732688,-0.137162415207,0.175198965365,0.411629669966,-0.0782481363929,-0.25780900776,-0.0514786631074,,,0.0869549753866,,,3
-16040.7777778,5727.86111111,-663.833333333,3407.61111111,53.0833333333,-20976.8333333,-133.5625,-1014.10416667,383.569444444,497.444444444,3258.14541705,1470.37074727,1543.8743291,2818.37949052,1951.95845529,3396.35657933,1841.86617404,7544.3004057,2413.92874401,1822.23181294,-15056.0,6060.0,-520.0,3530.0,406.0,-20176.0,-258.5,-1609.0,-18.5,118.5,2548.92746914,1325.87075617,1239.5462963,2340.00540123,1503.9837963,2827.05324074,1488.62847222,6066.84114583,1702.42399691,1452.08024691,-10124,8468,2876,10756,5768,-15160,4002,12151,7388,5431,-25088,3248,-4092,-2672,-3992,-29052,-4831,-16043,-5736,-2430,-0.288649985521,-0.0161768338956,0.00430614483629,0.334007026598,-0.191688918458,-0.304657414296,0.137797052143,,,0.107455596719,,,3
-15755.0555556,5362.86111111,-811.083333333,3292.47222222,578.75,-20437.9444444,99.1111111111,1964.09027778,-227.409722222,-58.5138888889,3190.97212488,1458.5872397,1389.78617614,2697.97858531,2103.19884073,3182.14504726,1985.77521496,6777.1984495,1873.29897633,1697.85641895,-14852.0,5034.0,-690.0,3630.0,528.0,-19390.0,295.5,1663.5,-397.5,-86.0,2358.7962963,1312.19483025,1125.71643519,2223.43942901,1699.65972222,2464.64814815,1525.16820988,5824.95264275,1399.36670525,1319.55478395,-11548,8468,1524,13060,6980,-14392,4002,12418,6218,5431,-26056,2940,-4076,-3332,-3992,-29052,-4831,-14365,-5676,-2430,-0.304451314176,0.13795890219,-0.117961945603,0.406960359736,-0.0383097303515,-0.204424522573,-0.0689835543153,,,0.190772722343,,,3
-15804.3611111,5011.91666667,-742.027777778,3292.88888889,601.555555556,-20422.8333333,-442.0625,433.3125,153.298611111,739.298611111,3397.52712748,1242.9258933,1580.02545764,2720.61537442,2143.32465677,3254.44618085,2191.11214287,8267.02889651,2197.00741499,1711.38893856,-15036.0,4792.0,-508.0,3290.0,-110.0,-19388.0,92.0,2499.0,-170.0,617.5,2398.02700617,1064.5787037,1232.08873457,2146.72222222,1853.83641975,2566.29398148,1682.14149306,7114.68576389,1735.7816358,1416.26379244,-10900,7716,2008,13060,6980,-14392,3140,12418,5726,4334,-26056,2700,-5240,-5988,-2896,-31176,-6998,-14750,-5676,-2214,-0.451487473414,0.0307271925764,0.145045278098,0.519914941637,-0.15891099961,-0.299032179024,-0.206086062357,,,0.347172692763,,,3
-16087.0833333,5389.63888889,-487.666666667,2800.52777778,-94.8333333333,-20979.3611111,-268.826388889,-884.215277778,-143.916666667,1057.68055556,3075.39260215,1148.47746346,1548.39965207,2506.32494432,1918.36847201,3162.95977749,2002.86258542,7429.58632451,2222.83949164,1852.17130433,-15274.0,5554.0,-276.0,2430.0,-540.0,-20244.0,38.5,-768.0,-379.5,1012.5,2318.17939815,967.456790123,1194.26388889,2000.71219136,1494.36342593,2528.03240741,1437.93393133,6201.57937886,1680.28125,1590.69000772,-10900,7716,2008,9672,5680,-15224,3140,11226,5726,4087,-26012,2700,-5240,-5988,-3008,-31176,-6998,-14750,-4045,-2672,-0.397429794973,-0.169790435418,0.191962039469,0.428792865583,-0.143981592614,-0.447874028976,-0.383446159564,,,0.243679398312,,,3
-15957.4722222,5005.44444444,-7.25,3706.83333333,-816.666666667,-20380.2222222,435.868055556,-412.604166667,249.604166667,154.576388889,2215.75453673,1111.44370158,1256.92727507,2440.10422224,1984.96620957,2604.98782582,1639.40367909,7905.69752076,2349.91951423,2105.01836472,-15468.0,4842.0,296.0,3916.0,-540.0,-19712.0,171.5,560.5,342.5,-261.5,1728.13271605,960.262345679,993.458333333,2041.9375,1598.50925926,2016.13271605,1300.83034336,6477.15740741,1830.56799769,1784.22376543,-12024,7404,2292,9672,4764,-15580,4192,11226,6400,4574,-21780,2824,-3760,-1080,-5484,-27980,-3465,-17683,-4045,-2933,-0.377512755098,-0.107132788739,0.0689213826368,0.454714827997,-0.201481915047,-0.485892490456,0.377703911286,,,0.0494496227128,,,3
-16177.5555556,4751.36111111,-223.944444444,3788.55555556,-891.555555556,-20398.2222222,269.138888889,361.180555556,705.006944444,126.986111111,2944.12735781,1144.07018839,1547.40556962,2172.30989102,2147.31791653,3343.44043827,2158.07572474,8473.9779883,2079.53227493,1964.57279467,-15866.0,4816.0,-116.0,3916.0,-810.0,-19440.0,393.5,1167.0,509.5,197.0,2289.30555556,933.443287037,1151.38348765,1775.4367284,1739.54320988,2491.41358025,1739.31365741,6965.24266975,1620.74353781,1639.45852623,-11272,7404,3436,9548,5620,-14664,4192,13237,6400,4574,-24780,2392,-5056,-784,-5484,-32216,-5462,-17683,-3015,-3123,-0.294144807387,-0.358638690042,-0.140313733817,0.266257287646,0.0302875582359,-0.247160577684,0.589782521108,,,0.148545998576,,,3
-16259.6388889,4717.77777778,-708.305555556,3257.41666667,210.611111111,-21044.1388889,-248.041666667,1434.54166667,-508.472222222,161.159722222,3060.78342412,1125.85639475,1808.64040146,2150.13673821,2184.18039263,3367.6016047,2059.27880265,7938.81048749,2136.5570662,1542.02583429,-15570.0,4726.0,-478.0,3384.0,-156.0,-19942.0,-425.0,1121.0,-756.5,303.0,2380.63425926,949.086419753,1378.24112654,1701.15509259,1857.57253086,2657.50115741,1715.8744213,6800.07060185,1612.50308642,1266.37528935,-11272,6800,3436,9552,5652,-14664,3745,13237,5302,3917,-24780,2392,-5056,-2432,-3696,-32216,-5462,-15311,-5551,-3123,-0.36063095111,-0.0074930395917,-0.319167254657,0.43684755005,-0.0728953593786,-0.120124647755,0.381617174711,,,0.171388088162,,,3
-16014.8611111,5044.83333333,-781.333333333,2883.83333333,240.0,-20815.5555556,-345.590277778,-1669.63194444,548.840277778,299.597222222,2368.81641866,1227.93889509,1581.42738039,2257.11284733,1977.58759586,2869.05461337,2118.76961068,9526.13869907,2463.61383503,1373.47555834,-15678.0,5246.0,-670.0,3152.0,-238.0,-19892.0,-295.0,-1599.0,636.5,292.5,1813.82214506,1057.97453704,1213.7037037,1844.01157407,1673.55555556,2214.31481481,1803.84027778,8369.65972222,1883.04137731,1076.14718364,-11584,8220,2440,9552,5652,-14572,3745,14790,5337,3917,-22768,2728,-4864,-2476,-3276,-30712,-5121,-18710,-5551,-2422,-0.383493980827,0.138711625359,-0.227223254399,0.595638222092,-0.0688835594566,-0.186763491697,-0.182062633454,,,0.312021531016,,,3
-16289.0833333,5022.33333333,-605.444444444,3171.55555556,-196.888888889,-20596.6666667,-100.958333333,-334.1875,6.10416666667,403.159722222,2525.86965291,1209.9677855,1607.02002711,2219.54461964,1729.04943816,2906.65824511,1839.3917202,9974.49463113,2299.95434044,1378.57785576,-15932.0,5264.0,-542.0,2916.0,-492.0,-19762.0,223.5,1608.5,106.5,467.5,2064.11805556,1013.31018519,1315.80246914,1830.19135802,1359.78395062,2209.7037037,1427.11574074,8790.40017361,1911.44994213,1075.73861883,-11584,8220,2440,7924,5312,-14572,2806,14790,5337,3917,-22768,2688,-4368,-2476,-2784,-30712,-5121,-18710,-4157,-2581,-0.435126977669,0.113760128694,-0.293847802267,0.46004590581,0.0269789620625,-0.300622173089,-0.0893559906767,,,0.0297017038031,,,3
