mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-17222.0277778,1488.80555556,-4008.0,-9172.27777778,-1223.58333333,-16148.1388889,-189.847222222,-1409.45833333,267.090277778,-601.076388889,3942.21406667,2385.63282797,3580.32347642,2785.82894079,3377.44315818,3920.03677486,5753.53948139,9128.51667488,3394.36904322,3150.95980733,-16316.0,1342.0,-2934.0,-9094.0,-1312.0,-15238.0,2029.5,-1214.0,220.5,-584.0,2992.14583333,1915.58371914,2428.11111111,2143.34876543,2733.53935185,3014.94560185,4784.66473765,7790.99247685,2423.8125,2589.02295525,-7776,8820,124,-2064,8220,-9380,6679,14123,10185,7645,-29404,-3692,-21136,-16252,-8952,-29316,-16922,-20262,-8352,-5551,0.133558124307,-0.364712944066,-0.0906303118582,0.0717082521599,0.35373366977,-0.125133597656,-0.272042903612,0.187012803393,3
-17318.8611111,1397.47222222,-2559.33333333,-8181.5,-622.222222222,-17104.9444444,-374.638888889,-215.784722222,-39.1527777778,-261.048611111,3755.73436546,2613.18810176,3073.50549503,3336.61928062,3527.99710695,4304.67556468,5689.53430027,8439.42893634,3384.03689146,3131.46061304,-16440.0,1302.0,-1984.0,-8330.0,-394.0,-15686.0,205.5,1322.5,-161.5,-319.5,2958.08410494,2054.01890432,2078.62037037,2682.82638889,2925.98148148,3397.1412037,4880.19328704,7166.27170139,2529.3601466,2707.36670525,-9492,8820,2320,-1492,8680,-9588,9012,14123,9140,5592,-29976,-4276,-21136,-17720,-10908,-29504,-15076,-18917,-8352,-5551,0.0442836663802,-0.208585826282,-0.138449773052,0.260460434278,0.44001046267,-0.227833357709,-0.113291537625,0.0536410059676,3
-17263.2222222,1641.36111111,-2615.38888889,-7867.88888889,-587.388888889,-16829.7222222,501.305555556,6.84027777778,-59.6111111111,890.020833333,4260.1435027,2838.10145004,3519.72406164,2953.06907109,3376.32823511,3910.98010795,7339.96941008,7797.47224207,3270.81950149,2709.78419255,-16672.0,1598.0,-1942.0,-7370.0,-424.0,-15934.0,210.0,923.0,-826.0,1180.0,3199.52469136,2203.38001543,2086.53549383,2301.54012346,2731.87191358,3009.9058642,5872.07368827,6422.11082176,2316.39351852,2398.36747685,-7176,8820,2320,-1492,8812,-8328,14247,19330,12691,5896,-32556,-10368,-20424,-17720,-10908,-29504,-26303,-18917,-5596,-4674,0.152250174854,-0.307647930844,0.042768565517,0.102806533857,0.394821534665,-0.350608570115,0.0697428272605,0.128049485434,3
-17228.8611111,1373.72222222,-3704.08333333,-8337.27777778,-327.138888889,-16803.5555556,324.25,1040.52083333,-598.25,-320.861111111,4047.7160453,2392.8207144,3452.4342998,2913.86932442,3503.64934744,3998.6050186,6360.81082321,8152.33773669,3560.95721299,3256.36617933,-16260.0,1460.0,-3154.0,-7874.0,-152.0,-15992.0,-412.0,650.0,-1083.0,-504.5,3083.68325617,1896.19830247,2339.31712963,2289.9375,2776.65856481,3015.70987654,4496.59722222,7056.04195602,2121.42361111,2843.1408179,-7176,6116,1300,-3176,8812,-8328,14247,19330,13052,5896,-32556,-10368,-20424,-16684,-10996,-31468,-26303,-13623,-12495,-7392,0.0986175229008,-0.198971518474,-0.0441596208322,0.35426124372,0.335567687565,-0.339693444143,0.258254299,0.286588564466,3
-16881.2222222,1249.63888889,-4057.83333333,-8774.16666667,-80.1111111111,-16443.3333333,-66.2569444444,-1815.49305556,306.423611111,-58.9097222222,3901.11426873,2309.38024748,2966.17774814,2925.61436976,4099.38971257,3865.62096623,3829.98644257,9931.31323016,3454.20785972,3543.72777316,-16064.0,1344.0,-3940.0,-8138.0,398.0,-15668.0,220.0,-2759.5,-308.0,807.0,2718.24537037,1863.03780864,2151.07638889,2271.22453704,3394.78549383,2881.69444444,2956.46566358,8558.38233025,2358.58130787,3010.17621528,-6988,6880,1300,-3180,10328,-9452,6218,13976,13052,8194,-29852,-3880,-15836,-16684,-10996,-31468,-13017,-23091,-12495,-7392,0.153483361528,-0.262813489136,-0.0070035904062,0.275816075493,0.447080085088,-0.144113065174,-0.239558403829,0.168960960272,3
-17202.9166667,2008.13194444,-4304.22222222,-8674.05555556,-529.305555556,-16053.25,649.673611111,-1394.20138889,-524.701388889,-495.430555556,4229.48926061,5301.82775615,3743.62175418,2400.34761987,3760.74189467,3571.64436381,7099.97408725,11191.6496154,3235.4695838,3415.81931044,-16250.0,1756.0,-3576.0,-8486.0,-626.0,-15246.0,1429.5,-606.0,-219.5,-590.0,3033.01967593,3126.14293981,2818.48765432,1853.28395062,3044.95408951,2716.75347222,5530.34876543,9120.44039352,2329.48350694,2872.875,-6988,32767,1704,-3532,10328,-9452,22736,18955,8019,8194,-30672,-14528,-17104,-16476,-8172,-28088,-26217,-25240,-10624,-6414,-0.15961438884,0.129719353202,-0.367979709659,-0.0449527669407,0.491770561086,0.0217805301029,0.0707589008905,0.0530664588192,3
-17830.0555556,2008.79861111,-3221.75,-8893.41666667,-948.611111111,-16734.6111111,-281.333333333,913.458333333,-125.958333333,661.229166667,3790.51214463,5218.25898488,3311.15822277,2591.86930814,3809.63531671,3587.21482064,7487.04624085,10892.5457072,3470.7985274,3701.23691802,-16684.0,1874.0,-2968.0,-8570.0,-780.0,-16044.0,-21.0,2239.5,-137.5,529.0,3049.76157407,3011.2652392,2300.02430556,2084.11342593,3033.74768519,2742.0462963,5720.59722222,8480.31770833,2521.88888889,3007.25896991,-9100,32767,1820,-3532,10732,-10448,22736,18955,9294,10230,-30672,-14528,-17104,-14784,-10208,-28088,-26217,-25240,-10624,-6414,-0.150109223514,0.37003351561,-0.564288317452,0.0984794374519,0.388573088507,-0.154931243234,0.134940089459,0.263121050263,3
-17317.6666667,1205.71527778,-3750.55555556,-9174.94444444,-1411.47222222,-16165.5555556,380.375,200.243055556,319.347222222,922.493055556,3556.76453902,5269.41341816,4358.81630461,2375.55433583,3680.61892778,3324.03940334,9981.62294067,10105.0953562,3086.43867083,3282.00265486,-16584.0,1336.0,-3302.0,-9012.0,-836.0,-15476.0,801.0,1192.0,191.0,18.5,2800.32407407,3400.92158565,2628.87191358,1828.44135802,2893.77623457,2462.0,7165.73784722,8195.12220293,2245.7964892,2637.99189815,-9016,32767,7680,-2360,10732,-10432,32767,32767,9294,10230,-26656,-13228,-26320,-14784,-10208,-30004,-26429,-20872,-9739,-5561,-0.164907353553,-0.300633348041,0.0214809777222,0.0955287510069,0.336755427165,-0.0500182305487,-0.120790557607,0.17896565711,3
-17032.1944444,774.298611111,-4454.27777778,-9292.77777778,-840.916666667,-16307.8611111,500.291666667,-89.3402777778,-749.875,-457.618055556,3469.08631343,5263.71797669,4423.30642783,2736.95510576,3467.18717437,3932.74839859,9450.69287716,9250.78291615,3789.72763911,3478.16343708,-16584.0,390.0,-3752.0,-9108.0,-126.0,-15220.0,-130.5,709.5,-1139.0,-1138.5,2753.15779321,3284.36371528,2892.22067901,2052.16358025,2626.3900463,2920.1558642,6538.32175926,7425.74363426,2610.34375,2807.76832562,-9016,32767,7680,-2360,6480,-10432,32767,32767,13440,9043,-26656,-13228,-26320,-16444,-12144,-30004,-26429,-20926,-9739,-6944,-0.307053641156,-0.21255531203,-0.0408822663524,0.40269817616,0.439384978265,-0.0581040204853,0.00467276423838,0.218411418998,3
-16557.5277778,1169.80555556,-3521.58333333,-9001.63888889,-602.25,-16360.2777778,-686.444444444,-1445.30555556,623.097222222,-132.513888889,3455.48238148,1975.28294964,2552.87085208,2690.07256151,3396.09403673,3853.64291632,3546.18287401,6304.70103358,3977.16894482,3721.48426098,-15850.0,1100.0,-3464.0,-8296.0,-46.0,-15596.0,-429.5,-906.0,291.5,-1431.5,2805.62885802,1538.52237654,1977.71643519,2056.84915123,2627.46180556,2875.99459877,2840.00154321,4876.97106481,2930.13445216,3203.2964892,-10824,5948,2932,-3776,7508,-9496,7418,10919,13440,7667,-25168,-6812,-9952,-16444,-12144,-27692,-10071,-20926,-9658,-6944,0.0467119332473,0.179968551677,-0.151870569607,0.216014475456,0.549806367065,-0.218422651956,0.14640793833,0.162054391336,3
