mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxz0,corr_gyz0,corr_gxy1,corr_gxz1,corr_gyz1,label
-17136.3888889,-859.361111111,-1336.63888889,10871.75,25.5277777778,8335.19444444,-255.388888889,-101.326388889,28.7569444444,143.319444444,3565.05398523,1631.97166184,3041.3382282,2654.90141653,5501.00241589,3641.65017785,5275.12310016,4910.48115203,2244.04286213,1971.82177187,-16760.0,-896.0,-1016.0,10704.0,-1228.0,6844.0,208.5,-1134.0,696.0,-71.0,2870.5933642,1357.42554012,2566.34104938,2092.06597222,4851.90354938,2931.59259259,4147.8742284,4257.39670139,1794.49151235,1647.85108025,-10304,2116,3984,18676,11480,19320,11115,9150,5296,4634,-25324,-5436,-9292,6024,-12360,2708,-11403,-10033,-6814,-3321,0.248798103438,-0.146394266078,0.699772325062,-0.138182898145,0.844133352555,0.228936586612,-0.484993825476,,,-0.198327520816,,,4
-17063.0833333,-564.083333333,-1558.0,11013.6388889,464.0,8303.44444444,-75.125,-728.305555556,-58.5347222222,430.145833333,3480.39402058,1920.17251374,3113.46437583,2723.31473932,5420.98705434,3598.55111826,4941.13670832,4191.79168809,2205.47500525,2044.08496453,-16462.0,-722.0,-1594.0,10794.0,1720.0,6994.0,420.5,-1584.0,433.5,723.5,2842.97337963,1543.46643519,2644.75,2073.96219136,4664.61111111,2834.55246914,3795.96875,3372.51967593,1723.85445602,1634.95688657,-10304,4072,3504,19216,11480,19320,11115,9150,5850,6371,-26120,-5436,-9292,6024,-15696,2128,-11403,-7999,-6814,-3321,0.124981913895,-0.100072056594,0.803461590353,-0.24183155603,0.812287522651,0.203175192426,-0.581171849381,,,-0.083672063058,,,4
-17074.9444444,-937.416666667,-1723.08333333,11282.7222222,156.055555556,8048.77777778,12.1319444444,-414.479166667,151.631944444,496.472222222,3414.32133091,1982.67971346,3354.57466481,2710.70595002,5593.32145188,3456.03147738,4467.58317081,3550.71486345,2308.19843091,2032.90048375,-16382.0,-1140.0,-1126.0,10944.0,-978.0,6694.0,549.5,-776.5,359.5,551.0,2760.98765432,1544.4849537,2981.99421296,2040.98688272,4855.44675926,2703.77160494,3475.24228395,2977.43865741,1893.66261574,1639.71566358,-10484,4072,4152,19216,13568,18352,10037,6035,5850,6371,-26120,-5712,-8412,7220,-15696,2128,-9015,-7999,-5868,-3639,0.0516877930585,-0.257305861028,0.715898093675,-0.267923258041,0.795779320895,0.112391871651,-0.568325428806,,,-0.156528611237,,,4
-16793.75,-1035.52777778,-1939.88888889,11109.75,860.416666667,8043.63888889,-201.993055556,34.4652777778,200.597222222,484.145833333,4052.68323356,2106.84731142,3473.13899478,2804.44054354,5553.45934588,3704.0572097,4341.55370419,3485.94393496,2551.45779342,1831.84483406,-16238.0,-1254.0,-3048.0,10834.0,2240.0,6772.0,-100.5,5.0,547.0,246.5,3188.82638889,1661.28935185,3241.44598765,2115.15625,4850.98726852,2880.49807099,3352.14554398,2968.65972222,2113.71971451,1522.44762731,-10416,4216,4152,19700,13568,21232,10037,6035,7437,5345,-30064,-5712,-8412,6596,-12364,2592,-8753,-7324,-7104,-3639,0.055329014217,-0.276789977825,0.711424898487,-0.252142185068,0.817840289455,0.0845883047447,-0.507297980102,,,-0.308624285199,,,4
-16765.2777778,-728.861111111,-1368.22222222,11058.9444444,445.222222222,8051.52777778,-285.944444444,114.527777778,-12.5416666667,565.305555556,4402.08143147,2371.68519536,3507.64566798,2887.27333268,5413.98793911,3846.89679304,3540.18506841,3526.98083004,2482.15455945,2028.98603385,-16076.0,-1022.0,-176.0,10860.0,1150.0,6520.0,-116.0,438.0,545.5,237.0,3526.71527778,1946.4996142,3152.29320988,2193.84490741,4833.50462963,2968.78549383,2705.49691358,2987.72145062,1944.10185185,1681.94753086,-9108,4216,3740,19700,11736,21232,7604,8735,8454,5345,-30064,-7320,-9328,6360,-12364,2592,-7908,-7324,-7104,-3340,0.16615567154,-0.194766883054,0.790984378946,-0.233444599991,0.798709292076,0.138270293408,-0.469313898652,,,-0.21439906211,,,4
-16815.0,-437.694444444,-950.388888889,11227.4722222,500.388888889,7968.94444444,136.923611111,-111.256944444,47.0347222222,388.930555556,4122.03136832,2365.0223946,3755.38879034,2937.62685236,5454.4113373,3665.50459186,3938.94487501,4801.25030445,2227.15483277,2020.27721442,-15686.0,-588.0,120.0,10778.0,1492.0,6564.0,552.0,-1029.0,276.5,28.0,3320.0,1887.39313272,3350.67746914,2245.02893519,4809.20601852,2833.19058642,3175.54002701,4057.46807485,1669.01745756,1668.21547068,-9108,4216,4584,20940,11736,20184,7604,10917,8454,5050,-27132,-7320,-9328,6360,-14512,2184,-8752,-9395,-5145,-3340,0.207606600003,-0.207941661402,0.733302963003,-0.228426124779,0.830924849868,0.0680163510206,-0.523447244527,,,-0.088814131815,,,4
-17039.4166667,-132.833333333,-1023.61111111,11426.2777778,417.916666667,7898.05555556,-87.2638888889,1.51388888889,79.7291666667,245.638888889,4428.70466389,2003.73597217,3459.20863481,2941.94746984,5251.60695953,3541.55719332,4149.74758687,5412.32101755,2173.71370603,2117.22707758,-15878.0,-210.0,-622.0,11126.0,-294.0,6638.0,-563.0,-644.5,17.5,365.0,3591.71643519,1596.13194444,3018.91203704,2202.49074074,4632.52546296,2752.37731481,3269.26967593,4636.07021605,1555.52719907,1744.43055556,-7388,4216,4584,20940,10688,19360,9192,10917,9412,4597,-27132,-4816,-7816,5964,-14512,2184,-8883,-9758,-5145,-4134,0.204420385767,-0.14123714196,0.76810905487,-0.219071510813,0.843679476286,0.0897115720325,-0.531274835065,,,-0.120653329608,,,4
-16816.8611111,195.916666667,-1241.33333333,11323.9722222,486.638888889,7830.0,24.3194444444,487.569444444,142.520833333,583.541666667,4473.55743457,2124.43733892,3489.92927975,2978.04401933,5450.32447178,3619.76195176,3821.61558238,4289.62678484,2180.713,2131.57431519,-16048.0,168.0,-938.0,11084.0,1332.0,6644.0,-6.5,896.0,47.5,931.0,3693.30979938,1749.24768519,3058.87037037,2332.19212963,4830.51003086,2839.25,2839.46277006,3483.62905093,1634.5630787,1732.82002315,-7388,4244,4544,19876,10864,19360,9192,10006,9412,4613,-26256,-4816,-7836,5964,-13400,1852,-8883,-9758,-4966,-4134,0.213547626344,-0.0729221612861,0.85135897687,-0.195538715548,0.854730637059,0.11411289147,-0.547939077711,,,-0.107976310308,,,4
-16584.1944444,963.25,-1135.83333333,11396.4166667,-180.888888889,7767.13888889,1.06944444444,-31.7847222222,200.861111111,406.194444444,4142.77243286,2006.70211134,4520.44574509,3099.57195218,5587.74880563,3739.31094698,4271.87016194,3531.42843217,2168.67083656,1754.20408218,-16032.0,1392.0,-1180.0,11266.0,-1824.0,6502.0,-6.5,-717.5,193.5,303.5,3217.32445988,1804.00347222,3678.72222222,2334.79050926,4950.87037037,2943.56635802,3279.40277778,2823.25713735,1557.13695988,1406.33294753,-8996,4244,6260,20220,11752,19820,8926,8131,6912,4613,-28536,-2708,-14500,4444,-13400,1852,-8170,-7204,-5980,-3864,0.182459332529,0.13798014093,0.760021455694,-0.13232408061,0.909751185118,0.119598094274,-0.139771458879,,,0.0398470516826,,,4
-16708.6388889,795.472222222,-1766.47222222,11118.8333333,214.111111111,7920.33333333,215.805555556,-499.611111111,158.263888889,312.159722222,3963.54234904,1953.58454812,4609.92765131,2996.9464693,5549.63531481,3506.68752509,4255.40284186,3478.93499319,2181.37085591,1813.35791237,-15968.0,528.0,-1568.0,10770.0,672.0,6604.0,-519.5,-855.5,-88.5,248.0,3118.18094136,1773.90200617,3865.74189815,2297.71990741,4964.83333333,2709.26851852,3394.94521605,2518.55632716,1473.58931327,1433.80748457,-8996,3992,6260,20220,11752,19820,8926,8131,6912,4015,-28536,-2904,-14500,4444,-13624,2136,-8170,-7219,-5980,-3864,0.0861521605142,0.0800375909156,0.736697614769,-0.151136748203,0.888761781793,0.0993524317799,0.0661904510933,,,0.0403284000379,,,4
