mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-16979.4722222,1482.30555556,-3524.83333333,-8224.86111111,-1942.05555556,-16668.5277778,-1367.1875,37.25,31.9027777778,-138.784722222,4667.67074172,1560.10066592,3405.14982676,1915.93142136,4099.79107736,2933.7514778,8236.82679155,5938.82701152,1598.96691001,1637.64394195,-16192.0,1304.0,-2916.0,-8072.0,-2670.0,-16236.0,-3345.0,540.0,2.0,-182.5,3572.16203704,1303.52121914,2726.84027778,1301.96875,3325.51929012,2094.3117284,6892.76996528,4814.25694444,1170.35841049,1258.23215664,-9220,5220,3492,-1780,6392,-8716,16784,10992,4014,5218,-30872,-1676,-11372,-13056,-11792,-25452,-17346,-13590,-4878,-4067,0.0657210328575,-0.3046437837,0.328259661137,-0.0343980659544,0.8360215501,-0.00356502567918,-0.902428617192,-0.171759901005,4
-16677.6111111,1264.19444444,-3564.11111111,-7801.63888889,-568.833333333,-16678.8333333,1464.38194444,-1442.29861111,-55.9722222222,128.493055556,5191.85975695,1689.43023158,3541.14848248,2087.71160097,4499.24231383,3317.23541058,6988.86051318,5068.6930483,1690.02097452,1979.32485486,-15482.0,1218.0,-3344.0,-7518.0,408.0,-16308.0,1510.5,-1178.0,20.0,43.0,3983.34645062,1374.91936728,2911.11265432,1474.25540123,3670.73842593,2424.65509259,5822.34027778,4077.52768133,1186.77584877,1619.73601466,-8232,5220,3492,-1780,8616,-8716,16784,9452,4014,5218,-30872,-3084,-11372,-13248,-11792,-25584,-10635,-13590,-5614,-4067,-0.0346945996911,-0.165600090255,0.45613199252,0.0403537559987,0.886447772522,-0.0335059464974,-0.747105574097,-0.117233881711,4
-16927.3888889,1444.55555556,-2791.44444444,-8016.25,-1381.30555556,-16831.8055556,1221.55555556,-954.944444444,-69.5,144.194444444,3851.12660496,1512.55057953,3174.32724832,1884.76706839,4203.52592138,3149.72447519,6379.29006811,3758.13609838,1626.65291943,1789.36985931,-16678.0,1748.0,-2292.0,-7646.0,-2296.0,-16270.0,2866.5,-1720.5,3.0,-131.0,2672.02160494,1168.16975309,2702.80246914,1353.14930556,3577.75347222,2336.43981481,5134.88117284,3035.5933642,1006.21527778,1442.32175926,-8232,5260,2540,-3780,8616,-10412,14057,9452,8320,4455,-28716,-3084,-11340,-13820,-9016,-25584,-13715,-8781,-5614,-4482,0.102275150331,0.190455020769,0.398235491824,-0.243473404446,0.901825078057,-0.338290279462,-0.618999536787,-0.0169945412382,4
-16422.9444444,1126.72222222,-4159.41666667,-7898.83333333,-731.888888889,-16642.2777778,-675.444444444,-121.152777778,-0.479166666667,402.819444444,3291.18607604,1630.00753546,3253.62174853,2113.57066384,3952.81234947,3345.87449228,5606.25778203,3283.99496886,1973.97847874,2055.74538454,-16484.0,1424.0,-4570.0,-7728.0,-190.0,-16160.0,-222.5,-823.0,119.5,423.0,2373.97376543,1156.54861111,2659.06134259,1545.71064815,3464.10802469,2496.37191358,4731.33796296,2802.23726852,1423.5546875,1603.75501543,-7816,5260,936,-3536,5756,-10052,7458,7305,8320,4545,-26748,-4480,-12232,-13820,-9016,-26288,-13715,-5143,-4446,-4934,0.273113264576,-0.0401438518825,0.525513008558,0.0656080918841,0.863493366116,-0.0790727017166,-0.812476352665,-0.119065575445,4
-15920.9166667,857.333333333,-4536.86111111,-7634.02777778,-3.69444444444,-16225.6666667,-695.361111111,238.770833333,-119.041666667,-922.25,3694.0449138,1945.06368206,3172.3485082,2724.63845538,3744.34318192,3675.58843203,6136.89706065,3684.77873199,2797.5977854,2902.42164022,-16302.0,818.0,-4748.0,-7742.0,334.0,-15930.0,-702.5,622.0,416.0,-586.5,2757.17361111,1343.55555556,2534.93209877,2070.52623457,3070.64776235,2799.71759259,4672.84722222,2990.95543981,2295.25289352,2336.39930556,-7816,6372,1292,4,6016,-10052,12704,6559,4641,4545,-26748,-4480,-12232,-13408,-9128,-27332,-17070,-8925,-9308,-9378,0.324940219415,0.135980485198,0.546744987569,0.270236204258,0.850845915947,0.0539349340195,-0.793799467303,-0.185653971412,4
-16806.8055556,1422.63888889,-3095.61111111,-7851.22222222,-2042.86111111,-16552.4722222,-759.444444444,-31.8055555556,-147.152777778,-436.548611111,3745.71651166,1893.84369804,3532.83731356,2751.97439725,3826.7766688,3683.27885234,6462.30894866,4037.46597514,2826.93013293,3387.49619323,-16480.0,1156.0,-2432.0,-8040.0,-1954.0,-15748.0,-590.5,409.5,287.5,-392.5,2719.39506173,1378.94753086,2888.30246914,2067.26388889,3176.67862654,2881.8908179,4819.83179012,3446.65316358,2259.73167438,2717.18123071,-8612,6712,3040,4,6016,-10400,12704,6559,5545,7833,-29052,-3668,-10628,-13388,-9128,-27332,-17070,-8925,-9308,-9378,0.165225518576,-0.261771988058,0.0519394129959,0.184085035366,0.706136932343,0.295473441999,-0.721691569496,-0.203265385068,4
-16991.4722222,840.166666667,-3418.22222222,-7904.88888889,-1031.36111111,-16744.0833333,-290.770833333,-4.18055555556,-266.111111111,591.958333333,4515.29070217,2068.03329429,4116.88773148,2399.45338505,4273.37100295,4229.89534745,5434.37712892,3875.07174877,3046.01388522,2742.70444317,-16360.0,748.0,-3296.0,-7896.0,-1376.0,-15916.0,-34.0,87.5,135.0,526.0,3618.45023148,1501.11805556,3387.87037037,1833.80246914,3475.56095679,3227.04166667,4089.05208333,3099.41280864,2269.08179012,2255.79108796,-5920,6712,3040,-1572,9520,-8304,10639,8197,7253,7833,-29052,-4384,-14880,-14348,-8776,-30428,-16947,-7422,-12436,-4697,0.150715059981,-0.0398374529437,0.102918852338,-0.180440746566,0.669228432268,-0.0173034699548,-0.715057614356,0.104916571191,4
-16963.9722222,446.861111111,-2658.66666667,-7140.13888889,-2625.13888889,-16724.8611111,142.8125,585.236111111,-24.9305555556,99.7847222222,4888.83230291,2022.00983795,4311.90907698,2850.78917453,4626.85129172,4127.67771722,7109.36088614,5265.9128018,3365.68883971,4009.35904258,-16014.0,328.0,-2030.0,-7420.0,-3374.0,-16150.0,1806.5,82.5,102.0,-674.5,3888.4679784,1537.82947531,3633.90740741,2097.83989198,3696.7345679,3098.06790123,5564.43229167,4190.83757716,2616.42862654,3172.22106481,-5920,6000,4924,1676,9520,-8304,10639,13744,7253,9720,-30008,-4384,-14880,-14348,-10700,-30428,-18850,-7422,-12436,-6567,-0.0858274395497,-0.034936031983,0.38971966503,-0.295202522917,0.530307549368,0.0108997549826,-0.801921672243,-0.278903570852,4
-16904.5555556,266.972222222,-3627.33333333,-6992.02777778,-1428.77777778,-17145.4444444,-161.180555556,-138.729166667,415.298611111,574.333333333,4765.98968769,2657.83607219,3776.63859125,2784.3971462,5204.37505629,3841.48647252,6218.50668182,4958.27095288,2553.41149579,4399.20780217,-16092.0,416.0,-4344.0,-7132.0,-1962.0,-16912.0,988.0,-751.0,136.0,-595.0,3502.24228395,1887.80709877,2951.19444444,2014.80439815,4530.36728395,2840.47839506,4792.23341049,3759.60763889,1977.61371528,3664.51388889,-6036,10892,4924,1676,9136,-8776,10316,13744,5503,9916,-30008,-9996,-14184,-13948,-10856,-30564,-18850,-7972,-7382,-7125,-0.0382993092541,-0.11363452451,0.311529337125,-0.0854529549406,0.548253549342,0.0519500994639,-0.634628520238,-0.452544259574,4
-16279.9722222,634.944444444,-3281.11111111,-6684.72222222,-1192.05555556,-16478.5833333,104.909722222,-57.4236111111,486.736111111,-568.8125,3653.07907668,2769.37129968,3153.62108909,2397.55869553,4601.00576384,3503.05500137,7266.39240904,4298.92401984,2149.75275204,3222.58847436,-15876.0,652.0,-3272.0,-6618.0,-2142.0,-16006.0,762.0,-700.5,354.0,-808.0,2525.52507716,1886.45910494,2421.72222222,1624.72685185,3840.65895062,2442.09259259,5408.61419753,3196.43634259,1666.92689043,2466.95052083,-6036,10892,4300,1824,9136,-9000,13771,11600,5503,9916,-27256,-9996,-14184,-13948,-10856,-30564,-19559,-7988,-5860,-8883,0.0925543135772,0.281682155652,0.178136846385,-0.160209288405,0.762997973859,-0.279665789657,-0.687471401355,0.0681667009725,4
