mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-16469.0,-1110.44444444,-2166.5,-1575.0,-2252.97222222,-18326.1944444,-564.395833333,230.548611111,103.930555556,358.194444444,2073.69730951,2151.64757096,2967.38168121,912.391953561,3936.20331064,2838.84317343,1870.81577591,2414.82126582,1488.88176301,1646.03020763,-16466.0,-764.0,-1838.0,-1554.0,-3316.0,-17754.0,-803.5,-322.5,56.5,550.0,1363.01388889,1658.0154321,2378.59722222,733.277777778,3169.64506173,1995.34876543,1476.33246528,2022.52131559,1174.67862654,1334.74768519,-12320,3052,3164,468,11852,-12740,3653,4711,3487,2764,-24908,-7080,-9036,-4088,-8468,-30396,-3603,-5828,-3331,-5646,0.125426986232,-0.135230938174,0.84451642644,-0.523282924323,0.171470206352,-0.196244732379,-0.566497155525,0.107086189113,4
-16580.4166667,-1867.36111111,-3315.36111111,-1789.5,-561.527777778,-18763.5555556,66.0486111111,-10.2152777778,-318.868055556,-12.9861111111,3366.46330469,2400.09191727,3502.40132331,1043.50242678,4547.79364925,4038.28193368,2121.52938742,2652.99236557,1626.57704108,1703.80101183,-16056.0,-1698.0,-3510.0,-1920.0,-136.0,-17850.0,213.0,-211.5,-380.5,60.5,2304.05902778,1785.91010802,2865.04552469,842.777777778,3761.93287037,2944.88271605,1770.64245756,2210.49797454,1297.79205247,1378.93036265,-7680,3964,3780,788,11852,-10396,4309,5464,3515,2821,-30820,-7096,-11072,-4568,-10244,-32768,-3603,-5828,-4311,-5646,0.0196614939553,-0.00621526990416,0.69820278545,-0.459733108502,0.0898573727954,-0.00462338622032,-0.564602706782,0.0777753044925,4
-17064.3333333,-1069.63888889,-2104.91666667,-1695.61111111,-1841.66666667,-19030.1666667,194.069444444,-606.479166667,-156.576388889,97.6319444444,3577.12616613,2126.7457481,3123.71397091,1030.42980449,4286.5355369,4197.51923739,2008.98901845,2264.01099595,1878.97673603,1483.37607634,-16592.0,-950.0,-1768.0,-1716.0,-2686.0,-18066.0,192.5,-636.0,-207.0,222.5,2549.39351852,1573.42939815,2298.00578704,779.56095679,3434.78240741,3023.91435185,1565.23611111,1881.20862269,1546.46903935,1230.38705633,-7680,3964,3780,960,10084,-10396,5931,5464,3973,2821,-30820,-7096,-11072,-4980,-10244,-32768,-5164,-5108,-4311,-3230,0.18817984961,0.161100385678,0.614509527532,-0.505625107655,0.191732943606,-0.0834523585989,-0.116882538073,0.0877445014383,4
-16331.9166667,-1507.02777778,-3096.83333333,-1861.41666667,-656.666666667,-18548.4722222,-3.88194444444,136.381944444,35.1180555556,-163.0,3037.40461417,1383.64992108,3044.10719512,849.16195215,3655.20733247,3100.60958578,2339.41629949,2548.30708647,1394.93086525,1339.21757243,-16190.0,-1472.0,-2716.0,-1876.0,-376.0,-18124.0,-131.5,-225.5,30.0,-449.0,2111.30208333,1092.83410494,2211.39583333,598.583333333,2856.10185185,2018.42013889,1882.2185571,2155.52816358,1075.1875,1136.15277778,-9660,708,3272,960,10084,-13616,5931,6069,3973,2344,-26116,-5560,-14288,-4980,-9040,-30840,-5164,-4209,-3467,-3230,0.0902453488757,-0.229816800985,0.671397929938,-0.446779452731,0.261069826295,0.0329354449418,-0.468377029566,-0.0882031371434,4
-16091.0833333,-1636.97222222,-4066.97222222,-2084.97222222,330.805555556,-18435.6388889,-373.006944444,335.0,-236.972222222,-278.944444444,3063.74355657,2520.71563805,3088.47468168,946.658251629,3444.47011825,3251.74718955,2059.8941228,2343.86630266,1502.76576228,1297.30526937,-16258.0,-1586.0,-3334.0,-2062.0,64.0,-18132.0,-550.5,-170.5,-290.5,-543.5,2135.10416667,1747.76350309,2345.10570988,664.192901235,2709.97800926,2246.32098765,1597.25636574,1880.86111111,1053.52854938,1121.61805556,-9660,4368,1668,644,8980,-12012,4188,6069,4526,2125,-26292,-8972,-14288,-4976,-8276,-30236,-4896,-3580,-4812,-3059,0.267555702208,0.110891167035,0.821470273721,-0.577957916158,0.249081955991,-0.0672618768488,-0.553374158139,0.322671708608,4
-16870.0,-1337.94444444,-2869.63888889,-1931.16666667,-1165.30555556,-19066.2222222,-656.833333333,80.2291666667,-115.520833333,421.597222222,3839.15742504,2886.72765053,3603.88248804,1328.89058309,4801.06414381,4193.99690274,1884.43028804,2297.15838666,1908.90950442,1702.45095765,-16504.0,-842.0,-2422.0,-2036.0,-1806.0,-18780.0,-621.5,-215.0,-324.5,646.0,2785.36111111,2224.87808642,2589.19984568,1039.8587963,3469.55401235,3212.77160494,1383.21296296,1745.60185185,1387.60734954,1239.59780093,-8344,4368,3380,1020,15868,-10636,3994,5333,6711,5515,-28628,-8972,-13348,-5024,-11888,-30236,-5288,-6185,-4812,-3964,0.107576697037,-0.103749796253,0.824717251561,-0.28731274481,-0.0649302932392,0.00171157955963,-0.238691540189,0.376658759984,4
-16739.3888889,-2309.72222222,-3503.16666667,-1698.77777778,-43.8611111111,-19195.1666667,208.548611111,-276.354166667,28.8125,-20.3472222222,3615.91138945,2593.93679917,3894.01933757,1277.77790318,4857.83217733,3829.01540413,2046.22593695,2136.49841448,1496.01241519,1696.63824463,-16262.0,-2190.0,-3372.0,-1788.0,122.0,-18762.0,8.5,-245.0,-225.0,-151.0,2601.83024691,2040.34953704,2823.4537037,911.229938272,3467.06597222,2842.78009259,1556.19290123,1596.54861111,1094.4453125,1289.43846451,-8344,3392,6180,4568,15868,-10636,4281,5023,6711,5515,-28628,-8960,-13348,-5024,-11888,-28576,-5288,-6185,-2681,-3964,0.0142666427391,-0.135428031469,0.876673597979,-0.126456673877,-0.124215687436,-0.00124434076799,-0.407589676961,0.280772368075,4
-16498.5277778,-1879.33333333,-3036.97222222,-1627.19444444,-653.805555556,-18785.6111111,-220.506944444,12.3958333333,-13.9791666667,-181.590277778,2247.12541763,2299.26601849,3015.16729973,899.134076654,3535.18893428,2663.31738328,1847.71497513,1330.02489182,1070.4563465,1077.1999536,-16446.0,-1172.0,-2344.0,-1708.0,-1366.0,-18602.0,-446.5,146.5,-258.0,-128.5,1455.48688272,1726.97222222,2150.54861111,552.883873457,2662.03858025,1586.32407407,1378.31134259,1000.91579861,868.107638889,824.71711034,-11784,2396,6180,4568,10548,-12500,4281,2660,2951,2612,-24572,-8960,-12332,-4360,-10304,-28576,-4267,-3256,-2241,-2802,0.48888184345,0.469280795517,0.938992081496,-0.381791332733,0.207478641199,-0.45542150809,-0.712260604565,0.459615404462,4
-16508.3333333,-929.055555556,-1852.02777778,-1438.11111111,-2559.36111111,-18324.0277778,-561.819444444,370.625,-161.347222222,480.993055556,2819.20302183,1808.74624034,2958.57400905,904.609355175,3834.73866436,2572.14581568,1575.42549987,1964.3120466,1304.48611815,1076.19599104,-16548.0,-816.0,-1728.0,-1570.0,-2684.0,-18484.0,-508.0,816.5,-237.5,519.5,1890.70833333,1368.86574074,1948.53009259,730.686728395,2647.86766975,1671.63618827,1245.01022377,1289.78993056,980.721643519,846.07648534,-11044,2680,4392,352,9308,-12500,3176,3397,3601,3435,-24528,-5456,-12248,-3516,-12720,-28708,-4267,-6585,-3806,-2190,-0.183402759128,-0.361943726498,0.850360536538,-0.44114462184,0.22575226763,0.153296667974,-0.422587336302,-0.13995907493,4
-16459.9444444,-1987.88888889,-2998.02777778,-1680.66666667,-827.194444444,-18671.3888889,400.319444444,-39.7152777778,-259.118055556,113.722222222,3483.30209018,2823.7501799,4197.42797028,1147.18086807,5199.88627266,3628.38192975,1785.71112024,2212.25213115,1434.38943662,1461.84808527,-15982.0,-2418.0,-3480.0,-1836.0,712.0,-18326.0,314.5,242.5,39.5,260.0,2702.21219136,2287.0154321,3328.54976852,959.87962963,4246.26003086,2642.80864198,1333.51774691,1713.13001543,1112.12712191,1238.03935185,-9452,3996,5948,1676,9308,-12580,5551,3410,3601,3435,-24528,-8848,-12248,-4632,-13088,-28764,-3923,-6585,-3806,-2648,0.0450525177909,-0.0795261780166,0.892153633837,-0.589519149995,0.179781435011,0.049447535428,-0.541815014131,-0.118458799149,4
