mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-14273.25,363.833333333,-463.472222222,12537.7291667,405.111111111,6289.97916667,-121.902777778,-913.972222222,-700.993055556,550.486111111,14616.1450609,4514.84408888,1935.37753656,14686.2532823,1806.03132155,12421.1045889,4232.77373775,13529.5528433,12067.6365705,914.09980164,-7312.0,456.0,-626.0,4084.0,-180.0,2264.0,425.0,4579.0,-458.0,574.0,13803.4236111,3349.94444444,1499.87885802,13710.9858218,1373.05555556,10882.3645833,3467.64197531,10972.9344136,8965.9373071,747.152777778,2248,8880,5500,32767,6568,32767,7344,20824,19902,2128,-32768,-15632,-4556,-4348,-2560,-9124,-10305,-32768,-32768,-2312,0.441583656987,-0.548523559556,-0.243358604765,0.682889236612,0.929205127248,0.511105877823,0.411252509545,0.297673622005,5
-12539.0555556,401.944444444,-526.222222222,10517.1597222,273.25,4772.73611111,-574.076388889,189.493055556,175.256944444,579.895833333,14206.7236637,3534.3229889,1541.51201971,13749.9140898,1471.36383857,12088.3123777,3072.84970602,12230.2935444,12129.2828299,862.238221903,-4316.0,-208.0,-918.0,1968.0,-216.0,-320.0,-603.5,4666.0,631.5,512.0,13113.4143519,2710.4382716,1152.44444444,12438.6324267,1134.52083333,10425.4450231,2545.65972222,9875.89168596,9000.24266975,751.042824074,2248,8880,4600,32767,6568,32767,5872,20824,19902,2128,-32768,-11964,-4092,-2812,-2424,-10320,-7971,-28550,-32768,-1107,0.353204322685,-0.590910914827,-0.20697334471,0.72663137953,0.93655689172,0.671935100057,0.258512285771,0.287806659466,5
-13344.8333333,-331.833333333,-687.75,11315.8611111,234.888888889,5457.36111111,-1019.86805556,194.069444444,1325.20833333,335.680555556,14452.6598118,3032.11512873,1748.57347452,13562.0295718,1578.61020185,11687.5953957,3558.79413899,9849.80320676,11259.5826842,768.909859975,-6372.0,-178.0,-1062.0,4106.0,-216.0,1754.0,-1642.5,2157.5,1465.5,309.5,13492.0601852,2326.76157407,1361.03819444,12413.3915895,1172.54320988,10244.6234568,2899.28366127,7914.22781636,8412.33333333,614.893904321,2964,6032,4384,32767,6328,30276,7758,15961,19074,2090,-32768,-9028,-4284,-3996,-2836,-10320,-11930,-24423,-32768,-2160,0.548398001961,-0.723845691942,-0.330573394486,0.681351153855,0.944085477671,0.602964433242,0.0674430167609,0.320709772508,5
-15544.4444444,-1063.69444444,-628.611111111,13510.6875,514.888888889,7489.41666667,-766.423611111,-949.020833333,322.284722222,201.993055556,14885.8973659,3315.37290096,2327.65778945,14045.6070521,1777.0937503,11706.6629044,4987.40278778,7774.33314341,10944.0970427,724.134308298,-13464.0,-334.0,-1092.0,8776.0,-78.0,6312.0,-1614.5,530.0,870.5,218.5,14091.9135802,2595.19058642,1922.0779321,13126.0043403,1356.9691358,10373.9560185,4201.4695216,6355.03703704,8019.47723765,566.673804012,3808,5800,5300,32767,6328,31312,8456,13204,19074,1687,-32768,-10196,-4608,-3996,-2836,-10100,-14721,-16896,-32768,-2160,0.557088711948,-0.671098805727,-0.234944023982,0.664262243702,0.949177032781,0.518698623414,0.0179613557967,0.454926454099,5
-13681.1388889,-881.472222222,-1031.80555556,12001.0138889,607.611111111,6623.67361111,210.236111111,312.097222222,-348.243055556,134.222222222,14975.5825331,3913.8283012,2578.29573808,14075.5401605,1686.27548003,12336.1712061,5407.46616074,8614.16044419,11812.217567,797.89472503,-7138.0,276.0,-1362.0,3842.0,2.0,3100.0,1699.0,1732.5,964.5,129.0,14093.4320988,2923.40162037,2117.4992284,13023.9747299,1313.50308642,10681.512635,4599.03337191,7021.53800154,8480.9851466,613.353395062,4000,5800,5308,32767,6264,32767,11126,13754,22689,2412,-32768,-13136,-5984,-2816,-2308,-9896,-14721,-20657,-32768,-2574,0.550015771442,-0.64250936448,-0.147384378976,0.696183110097,0.933322884466,0.509296805213,-0.192276613869,0.502564616465,5
-11173.3611111,-562.027777778,-1303.88888889,9540.5625,434.305555556,4580.24305556,-17.6944444444,1742.60416667,1065.54861111,317.611111111,14469.5089466,4316.57336247,2382.05928162,13888.3381581,1755.67533388,12601.4558923,5172.58806234,9115.35865688,12299.2606844,975.590222006,-1672.0,912.0,-1848.0,1248.0,12.0,-1368.0,1177.0,5022.0,2541.0,242.0,13234.4425154,3287.39930556,1815.58179012,12400.0121528,1343.31134259,10548.0883488,4336.41589506,7377.64496528,8991.86130401,788.470679012,4000,5672,7928,32767,6484,32767,11126,14112,22689,2412,-32768,-13136,-5984,-4868,-2972,-8728,-12638,-20657,-32768,-2574,0.731999368446,-0.650604570552,-0.327455244865,0.749961945258,0.934956226746,0.586879160647,0.0431651800133,0.364066473112,5
-13175.5555556,-171.944444444,-380.361111111,11132.625,562.361111111,5851.45833333,-525.715277778,338.729166667,1045.01388889,683.173611111,14657.1470763,3882.39992063,2793.69976164,14188.0809945,1728.3980643,12329.747944,5949.93351513,8231.92471373,12162.043434,924.412497834,-5264.0,950.0,-1498.0,2040.0,106.0,1192.0,175.0,2608.5,2945.0,816.5,13696.9814815,2967.31558642,2260.9224537,13037.9305556,1362.17361111,10738.4085648,4985.5943287,6943.1556713,9161.42881944,720.615065586,2480,5580,8200,32767,6484,32767,12866,14327,18751,2389,-32768,-11760,-4480,-4868,-2972,-9776,-12782,-18351,-32768,-3014,0.627871066463,-0.590868509365,-0.0519218020126,0.748200675365,0.94448948133,0.654561109716,-0.00674158779615,0.372901305608,5
-15554.25,-612.611111111,-186.472222222,13446.1805556,724.888888889,7615.77083333,-63.5416666667,-542.6875,-542.145833333,479.180555556,15160.385328,3455.22716428,2733.00740097,14362.1204147,1576.34666199,12688.1792578,5991.93039499,7073.50344494,12434.0161546,810.70338667,-12892.0,472.0,-1120.0,6750.0,118.0,4286.0,1516.0,215.0,805.0,529.5,14461.875,2682.7808642,2247.14506173,13550.1400463,1320.47530864,11114.526331,4966.46296296,5847.33680556,9294.04716435,610.170524691,2480,5176,8200,32767,5008,32767,12866,16910,21486,2108,-32768,-10472,-4480,-3832,-1696,-9776,-15107,-14407,-32768,-3014,0.5576524083,-0.513869978411,0.111226439331,0.741177421066,0.934366007852,0.667531147436,-0.141767599182,0.37545671831,5
-12913.0833333,-1087.58333333,-1110.33333333,10952.0972222,445.166666667,5619.67361111,-0.847222222222,2070.72916667,-514.590277778,193.465277778,14749.7736379,3560.67615858,2312.81837574,13766.0973929,1391.57889901,12335.9835094,5121.0567205,8582.04009783,12205.802698,743.685143856,-5190.0,-122.0,-1488.0,2856.0,-94.0,-86.0,1132.0,1714.0,313.5,203.0,13768.2083333,2679.97685185,1695.125,12594.3410494,1154.79166667,10471.1146798,4312.61651235,7011.70023148,8758.30796682,577.77179784,2372,4812,8124,32767,4268,32767,9812,23487,21486,1956,-32768,-13372,-5468,-3720,-1948,-8760,-15107,-13299,-32768,-2464,0.62777422315,-0.568660854532,-0.220261862968,0.798927896573,0.939486751583,0.749810751759,-0.105660572525,0.192762247013,5
-12017.7777778,-1066.88888889,-1174.47222222,10288.3611111,506.166666667,4575.40277778,-598.590277778,2408.44444444,1038.75694444,528.291666667,14394.8044456,5926.87061983,2471.95985196,13889.1129768,1779.63509263,12125.5075357,5448.91469711,14355.6289444,12021.6054489,1007.93836444,-3332.0,-428.0,-1536.0,1740.0,228.0,-202.0,-789.5,4244.5,2552.0,641.0,13274.8148148,4083.15740741,1734.96527778,12464.8452932,1426.02314815,9983.05613426,4454.32388117,10574.5432099,8845.97839506,775.660300926,3784,14916,8124,32767,5136,32767,13962,32105,20598,2523,-32768,-23488,-5468,-4160,-3272,-9516,-13217,-32768,-32768,-3840,0.394016564695,-0.589023364007,-0.0576855376426,0.750731480746,0.925853639802,0.688035418861,-0.186286391569,0.373747220922,5
-14972.4722222,-624.611111111,-224.777777778,12883.5,491.472222222,6711.86805556,-214.756944444,-1435.91666667,798.548611111,535.861111111,14712.829475,6651.11021503,2623.40170042,14614.4909856,1882.89408228,12664.337702,4944.30487417,15941.9645118,12474.6777067,1138.65545549,-9330.0,-196.0,-932.0,5758.0,324.0,3044.0,-831.5,3242.5,3436.0,809.5,13935.5050154,4976.64506173,1952.23919753,13606.0347222,1489.74691358,10791.6201775,3954.24266975,12348.9409722,9394.58709491,876.925540123,3784,14916,9228,32767,5136,32767,13962,32105,20598,2523,-32768,-23488,-4560,-4164,-3272,-9520,-13217,-32768,-32768,-3840,0.363513538117,-0.589176808998,-0.0064226304974,0.665261728959,0.90970651503,0.580562276134,-0.0478240852866,0.478415974133,5
-14177.8888889,-696.888888889,-85.2777777778,12158.2916667,214.75,6144.26388889,408.298611111,-2171.6875,-39.5763888889,281.243055556,14717.0299219,5229.89811385,2557.92409945,14276.384641,1631.31669973,12305.1059673,4867.49293042,12916.4220925,13121.4135163,1001.84912426,-7764.0,-888.0,-682.0,3774.0,-8.0,2400.0,1171.0,2357.5,1951.0,449.5,13848.4583333,3985.4382716,1970.18055556,13241.1498843,1245.46875,10597.9079861,3995.82783565,10101.2282986,9976.51379244,804.168016975,4048,12820,9228,32767,4764,32767,9940,16608,19892,1669,-32768,-15960,-4488,-4164,-3648,-9680,-13320,-32768,-32768,-2450,0.506294639674,-0.649550068756,-0.199819901622,0.634186774382,0.912501737596,0.55612659935,0.10238622533,0.49990773929,5
-11413.6944444,-1588.66666667,-1077.36111111,10232.2361111,370.777777778,4013.38888889,-484.631944444,180.541666667,1284.72222222,408.006944444,14793.2088564,4808.65562243,2538.76265939,13801.704538,1665.68945151,11725.4321495,5606.31527863,11281.1548378,12514.4732213,809.722213409,-2010.0,-1072.0,-1488.0,1524.0,-8.0,-366.0,572.5,2503.5,1762.0,444.5,13617.6820988,3451.44444444,1960.33873457,12482.1873071,1285.54938272,9924.71450617,4775.28038194,8377.78009259,9345.80324074,581.103684414,4048,10764,7148,32767,4764,32767,9940,17577,22089,1753,-32768,-17860,-5456,-2968,-3648,-10244,-13320,-32217,-32768,-2641,0.641538672202,-0.663290478363,-0.328651095449,0.717590126995,0.918952013704,0.676382765364,-0.0277105579945,0.454518261716,5
