mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-14250.7777778,4587.91666667,-5444.88888889,-1454.47222222,-23.0833333333,-14094.6111111,544.229166667,56.8541666667,-461.4375,104.993055556,12342.8564864,3951.74788892,6009.91494897,5497.23482421,3133.9446211,13889.581025,7055.3236248,13207.5010823,11346.4351234,2265.49180661,-11068.0,3856.0,-4656.0,-730.0,80.0,-8792.0,983.0,2044.5,1315.5,5.0,11187.8811728,3198.12731481,4648.20987654,3936.64891975,2252.8912037,12826.7152778,5464.81365741,10647.7057292,8163.90538194,1780.6871142,1668,16216,7052,27180,8756,2032,19255,24907,18042,7663,-32768,-2720,-22432,-15992,-9976,-32768,-16197,-32768,-32768,-5205,0.0827544571046,0.426628996179,-0.117018943346,0.663599847278,0.355363486118,0.149118993973,0.5883201197,-0.0611719484655,5
-14005.75,2956.58333333,-4755.19444444,-1037.63888889,90.9166666667,-13992.7777778,-1311.52083333,-914.034722222,815.604166667,-68.4236111111,13674.182951,2491.97478773,3231.75535943,6535.20914172,3830.92959104,13916.9207371,3999.39081719,9294.82027905,11466.5896664,2602.47104625,-8802.0,2714.0,-4328.0,-204.0,194.0,-7826.0,-400.5,2195.5,2604.0,-131.0,12630.96875,2008.94097222,2711.42746914,4666.35378086,2631.18402778,12940.3858025,3090.8365162,7175.66695602,8096.49797454,1994.80873843,3924,8132,280,27180,13184,1320,6102,9348,17374,7663,-32768,-4928,-12160,-20024,-13080,-32768,-14442,-32768,-32768,-5265,0.17991695662,0.594701979752,-0.18979525008,0.74825178101,0.282592214157,0.179850566506,0.723444767986,-0.0795345688458,5
-12696.7222222,2292.08333333,-3912.22222222,-1698.69444444,-418.722222222,-11985.6388889,-328.819444444,1100.90277778,359.798611111,-0.1875,13256.3544285,2660.96256705,2674.8719032,5958.15836436,4320.2640855,12904.3269323,2671.37347051,6042.81744634,11033.3966554,3197.98242771,-6288.0,2008.0,-2982.0,-714.0,92.0,-5908.0,259.5,2234.5,1655.0,118.0,12007.4282407,2105.64467593,2167.81481481,4421.3283179,3167.67592593,11549.2808642,2084.09239969,5056.3746142,7790.67939815,2639.13715278,3924,9256,172,20248,13184,1384,3986,12408,17374,7279,-32768,-4928,-11900,-20024,-13080,-32768,-8173,-12847,-32768,-7279,0.428011981092,0.643064966199,0.0693600513661,0.773744954737,0.468815391577,0.468546382816,0.758952217608,-0.0958930124998,5
-15273.2777778,2030.83333333,-3807.44444444,-3248.80555556,-1604.08333333,-14558.4722222,-400.145833333,98.6458333333,-792.715277778,238.416666667,13246.3674178,2452.30691448,2044.94508886,6049.9937436,5126.95773899,13361.5023149,2986.28036279,6899.70353419,10187.5277007,3894.06373838,-10912.0,1616.0,-3242.0,-1716.0,-892.0,-9960.0,135.5,1196.5,851.0,944.5,12247.9020062,1944.83796296,1592.82098765,5011.31751543,4238.04398148,12321.8792438,2429.19184028,5915.54224537,7297.40200617,3419.03472222,664,9256,-632,6556,8956,3156,6449,12408,16949,5975,-32768,-2540,-10124,-24084,-12852,-32768,-7069,-14040,-32768,-7279,0.447762258926,0.491211172809,0.022364977085,0.760188914425,0.682325901041,0.692193603306,0.763102273968,0.173455591959,5
-14194.1666667,1592.38888889,-3571.30555556,-2454.83333333,-1551.55555556,-14769.6111111,-502.958333333,-548.534722222,665.472222222,-132.930555556,14245.2083025,2310.98021497,1763.94956272,5926.51002622,5241.90766772,13789.4989078,2836.81547025,6134.16238965,9814.81395749,4158.619946,-9618.0,1266.0,-3250.0,-670.0,-810.0,-10352.0,221.5,971.0,993.5,-98.0,13188.125,1774.03780864,1344.58834877,4901.14583333,4300.37654321,12774.9344136,2307.22858796,5200.33121142,7046.76041667,3561.72125772,4360,6652,2508,6376,8956,4056,6449,9120,18758,7514,-32768,-4096,-7604,-24084,-14440,-32768,-6630,-14040,-32376,-8490,0.50644152553,0.134283179252,-0.270127325729,0.675219340894,0.672395791664,0.648455590542,0.791161724738,-0.0977464632799,5
-11658.6111111,1189.08333333,-3391.19444444,-1265.39583333,-605.944444444,-11744.1388889,76.7152777778,970.569444444,1444.13888889,-75.1180555556,14054.2392704,2631.42320369,2410.84679804,6749.93342026,4435.0032486,13423.6349368,3270.83310245,5356.60310853,11132.9610049,4330.5031596,-4460.0,1450.0,-2750.0,-130.0,792.0,-5060.0,676.5,1820.0,3209.0,364.5,12705.8580247,1858.23032407,1891.21566358,4639.0228588,3498.04320988,11990.2214506,2646.86381173,4291.984375,8113.36574074,3576.9056713,4360,6652,2508,32767,6680,4856,4605,10646,19708,8349,-32768,-7976,-9888,-29432,-14440,-32768,-8098,-12860,-32768,-10655,0.54730985875,0.201817231354,-0.193038191913,0.523375662251,0.432137305699,0.703452163109,0.644209690176,-0.374281450475,5
-13219.0833333,1325.80555556,-3755.91666667,-1467.5625,-608.333333333,-12589.9444444,317.798611111,866.263888889,812.097222222,322.006944444,14303.8054986,2917.61499801,2622.93409481,7832.33406318,3790.94711121,13887.6916113,4098.91870029,6994.43757016,12752.3865877,3599.66701936,-6248.0,1594.0,-3208.0,-1006.0,70.0,-4892.0,1774.5,2064.0,3893.5,415.0,13277.2893519,2093.11033951,2105.40046296,5142.79600694,2755.47222222,12720.7399691,3374.33227238,5555.27912809,9381.40760031,2740.18721065,2720,8340,2816,32767,8960,4856,6196,10646,19708,8349,-32768,-7976,-9888,-29432,-14264,-32768,-9812,-20260,-32768,-10655,0.519025848276,0.279112738911,-0.172486636679,0.650937534506,0.247815354904,0.572743509585,0.674252260061,-0.262297853433,5
-13863.4444444,2239.75,-4743.36111111,-1307.5,-626.083333333,-13874.3055556,-155.208333333,-389.104166667,658.784722222,70.9652777778,14461.0998285,3604.76322705,3038.10105075,6454.91324334,3186.29453004,13975.0526382,4766.51005707,7640.03093458,12577.3164254,2378.13307341,-7586.0,1886.0,-3818.0,-1112.0,-288.0,-8466.0,1056.0,1585.5,2331.0,-47.5,13543.382716,2894.57291667,2489.24575617,4353.8125,2164.98611111,12997.59375,3899.51331019,6413.66030093,9383.61419753,1843.95090664,4512,10528,2816,29500,9580,3020,7015,10606,17819,6413,-32768,-6560,-13424,-23920,-9772,-32768,-13261,-20260,-32768,-5600,0.636416507453,0.220856772791,-0.229014836604,0.732790257066,0.260031541611,0.274811465543,0.778230633185,-0.341308757408,5
-11734.9722222,2511.27777778,-4453.91666667,-926.145833333,-486.694444444,-12230.1111111,-50.4236111111,15.5416666667,1750.04166667,-527.027777778,14478.6363129,3286.83666326,3050.3072584,7021.1472943,2814.94758743,14108.4716895,4207.90966091,6251.61515228,12561.8645652,2513.12837098,-2824.0,2366.0,-3376.0,-410.0,-136.0,-4402.0,1051.0,1678.5,1690.0,-489.0,13247.3962191,2639.78317901,2556.5625,4617.30671296,1831.82947531,13008.2700617,3277.33506944,5391.49537037,9561.72222222,1946.73649691,6120,10528,360,32767,9580,3892,7015,10606,20725,9020,-32768,-5340,-13424,-23920,-9772,-32768,-13261,-15920,-32768,-6268,0.490577364943,0.407723621396,-0.255619466001,0.644312273187,0.190787146596,0.212613886651,0.723904615061,-0.581926340072,5
-11019.1944444,2077.16666667,-3751.72222222,-1005.11805556,-662.805555556,-11342.8055556,96.8194444444,643.659722222,1316.86111111,-685.381944444,14357.1561754,2375.72590894,2480.59707014,7086.76804486,2783.43664744,14385.530781,3576.48594313,5301.33371155,12524.6256796,2560.46233532,-2370.0,1868.0,-3036.0,-952.0,-164.0,-2578.0,738.5,2410.0,1156.5,-1031.0,13007.4151235,1916.58101852,2091.64506173,4548.30189043,1750.14621914,13145.595679,2743.66647377,4587.92062114,9421.13503086,1911.01350309,6120,7560,232,32767,6716,3892,7858,7846,20725,9020,-32768,-1900,-8632,-22244,-13852,-32768,-8425,-10843,-32768,-6268,0.181721697751,0.536148315323,-0.552482703744,0.706588412207,0.159577687417,0.308323324233,0.682187772672,-0.709936708592,5
