mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-18864.6944444,6359.93055556,5117.07638889,-10087.8055556,-1758.38888889,-9628.5,-5174.05555556,3626.75,1254.45138889,526.784722222,12322.8814206,16405.8759398,16446.7236932,13133.2262118,5757.57774087,10591.8916276,22531.1869244,29077.2767635,17139.1357004,5518.03348366,-21404.0,4318.0,10968.0,-5164.0,-510.0,-5858.0,-10185.0,15816.0,1897.0,-255.5,9191.43634259,12725.8653549,13202.9398148,11277.0374228,3955.90895062,8796.13194444,19426.5748457,27630.8888889,13576.057581,4280.5851659,28996,32767,32767,21512,5684,3816,32767,32767,32767,18177,-32768,-32768,-32768,-32768,-31644,-32768,-32768,-32768,-32768,-9948,-0.604641397578,-0.631340316247,0.58221234261,0.524777087514,0.657347964311,0.578435560971,-0.776490776485,-0.530347837707,6
-16482.5069444,4404.70138889,2396.75,-12203.6180556,-1870.11111111,-10744.4166667,-2603.8125,431.215277778,1192.41666667,-459.215277778,14327.6412769,16320.2279576,17558.981712,14074.4689361,6200.23245122,10932.8565698,23329.2443114,28636.2260711,16476.0059708,4908.18713084,-20600.0,1374.0,9376.0,-5990.0,-1170.0,-8434.0,-5921.0,10004.5,3804.5,-1209.5,11366.0885417,12355.6808449,15039.7291667,12492.8844522,3970.67901235,8968.15856481,20138.0052083,27370.5535301,12935.9618056,3694.99093364,32767,32767,31516,32767,30020,4556,32767,32767,32767,18177,-32768,-32768,-32768,-32768,-31644,-32768,-32768,-32768,-32768,-9948,-0.603188780999,-0.742128036151,0.558507774963,0.552058061831,0.597202486261,0.403356475496,-0.767570445022,-0.485416407686,6
-16312.5902778,3894.72222222,3296.47222222,-11471.6180556,-2201.63888889,-10751.1388889,287.798611111,-1608.88888889,2495.08333333,-763.138888889,14105.5796922,15414.4591228,17778.0051395,14188.8127575,5719.63111751,10643.1058842,24394.0818587,29314.9730479,15603.5838937,4023.78340665,-21328.0,1720.0,11406.0,-6004.0,-1214.0,-8546.0,141.5,-3000.5,5477.5,-1239.0,11358.7211613,11016.4737654,15002.0632716,12345.9240934,3850.51311728,8663.22955247,21682.5902778,28218.8333333,12197.849537,2703.14737654,32767,32767,31516,32767,30020,4556,32767,32767,32767,26940,-32768,-32768,-32768,-32768,-23136,-32768,-32768,-32768,-32768,-8442,-0.634742772624,-0.864400702706,0.657965191583,0.568438033426,0.541470503263,0.409890177532,-0.864683049758,-0.498396466332,6
-19709.5833333,5362.72916667,2418.13888889,-9765.55555556,-2188.44444444,-9470.41666667,889.208333333,-2967.84027778,4338.88194444,-224.402777778,13558.3782616,16075.135069,15741.1547539,13249.0224269,5257.93729368,10128.2418162,24359.0807992,29992.5495843,17754.5600881,3966.644763,-23690.0,2032.0,9020.0,-4720.0,-1010.0,-6718.0,1923.0,-12614.5,7274.0,-888.0,10571.0775463,12244.9493634,12609.7592593,11115.5432099,3498.30246914,8034.65277778,21566.3831019,28991.708044,14232.2455633,2645.73283179,30568,32767,24120,27132,3508,4920,32767,32767,32767,26940,-32768,-32768,-32768,-32768,-24144,-32768,-32768,-32768,-32768,-8442,-0.58630378131,-0.851950239862,0.566849088098,0.544637813255,0.628459892574,0.628923512729,-0.862448036173,-0.434720390363,6
-21757.6458333,5970.43055556,3300.93055556,-8698.22222222,-1730.11111111,-8464.36111111,1290.30555556,-2469.09722222,5014.53472222,150.097222222,14031.8987134,15633.8206998,15580.6386983,12886.1669533,5009.23508407,9978.89324876,26727.7878716,28500.237185,18145.4433159,3997.3718417,-26574.0,2310.0,8054.0,-2676.0,-380.0,-5198.0,2889.0,-19345.0,8209.0,-574.5,10333.2271412,11849.1950231,11494.7999614,10799.4876543,3235.59259259,7764.20910494,24389.5513117,27245.6599151,14638.0993441,3100.48302469,32767,32767,32767,8804,3508,4920,32767,32767,32767,13109,-32768,-32768,-32768,-32768,-27476,-32768,-32768,-32768,-32768,-7954,-0.423004346478,-0.80503709743,0.492697478119,0.652180096038,0.645064320306,0.610716715265,-0.885651522582,-0.496421807363,6
-18877.375,7431.76388889,6098.47222222,-9570.16666667,-1755.55555556,-9360.36111111,1805.93055556,-2271.64583333,1808.11111111,247.618055556,14470.8868402,14742.2894783,17352.1930771,13678.4450584,4863.80242309,10201.2470146,28473.7191871,25871.5987873,17956.0048312,4749.02528976,-22208.0,4332.0,8128.0,-3170.0,-204.0,-5882.0,7640.5,-12162.0,4566.0,-353.0,10456.5225694,11126.0773534,12813.4652778,11549.2592593,3338.84567901,8220.95138889,26796.9770448,24189.5037616,14375.8888889,3647.19405864,32767,32767,32767,32244,5316,3624,32767,32767,32767,15594,-32768,-32768,-32768,-32768,-27476,-32768,-32768,-32768,-32768,-10652,-0.299061033837,-0.700098554347,0.570472143363,0.582632106281,0.459912293921,0.540543720958,-0.922218541109,-0.610526031844,6
-16025.1180556,9884.07638889,8465.70138889,-11278.9722222,-1937.0,-10388.6944444,-2094.91666667,-727.888888889,1095.44444444,-37.1875,13138.1663495,15298.5310589,18457.3274714,13868.5624647,4714.00153389,10103.3155074,27344.6237547,24840.326475,18172.3997903,4823.31424078,-19042.0,5150.0,12566.0,-6866.0,-318.0,-7466.0,-6179.5,-252.5,4216.5,-386.0,9789.99787809,12722.4235147,14577.3233025,11816.6469907,3426.72222222,8243.45756173,25523.5150463,22903.1373457,14600.0694444,3677.05555556,32767,32767,32767,32244,5316,3624,32767,32767,32767,15594,-32768,-32768,-32768,-32768,-22540,-32768,-32768,-32768,-32768,-10652,-0.269020076857,-0.655354760547,0.601994388757,0.562694450845,0.495333444271,0.550630767337,-0.916916195805,-0.64279034866,6
-16483.5833333,8939.97916667,7132.49305556,-10438.9722222,-1832.19444444,-9897.55555556,-5983.44444444,2361.40972222,2755.875,-264.986111111,12879.2193024,15155.6787471,17214.5428838,13010.0602601,4555.52719736,10579.6041816,25642.4352323,26196.0341814,17874.7052132,4591.20283611,-18796.0,3398.0,12718.0,-6026.0,-686.0,-7734.0,-14286.5,9225.5,5697.0,-686.0,9751.54166667,12957.364294,13210.6765046,11123.9660494,3539.22955247,8663.63888889,23269.5570988,24224.2808642,14379.015625,3650.40451389,32656,32767,32767,6316,5504,8296,32767,32767,32767,11640,-32768,-25340,-32768,-32768,-16044,-32768,-32768,-32768,-32768,-9976,-0.380282249125,-0.695693139275,0.524869899225,0.669513656422,0.745580324552,0.656912300018,-0.889189248932,-0.598254284858,6
-15917.6180556,7468.76388889,5849.15972222,-9204.30555556,-1428.86111111,-8722.0,-6320.31944444,3217.93055556,2454.27083333,108.361111111,13515.6393473,14343.0959357,15414.5984279,13288.2409099,4158.78699806,11362.3934542,25519.8054001,27189.9462694,17724.3776855,4998.7107843,-18146.0,2250.0,10486.0,-4580.0,-822.0,-5974.0,-15267.5,10524.5,5846.0,-823.0,9839.90065586,12007.8543596,11755.3592785,11120.8263889,3309.47646605,9456.30555556,23155.2795139,25325.8966049,14199.2054398,4055.60686728,32767,32767,32767,28224,5504,8956,32767,32767,32767,17030,-32768,-20892,-32768,-32768,-15704,-32768,-32768,-32768,-32768,-14199,-0.410406294704,-0.821019137964,0.321328258844,0.641809623873,0.706831171781,0.709495539333,-0.87951237009,-0.544069725868,6
-13088.2916667,7149.92361111,4695.39583333,-10861.0555556,-1522.63888889,-9684.22222222,-5220.90972222,2871.72222222,534.423611111,83.7777777778,14662.3958369,14859.6625422,17112.2387508,14248.8032346,3981.95066688,11204.7120236,25386.2600382,26426.9698433,18303.8705306,5093.91076417,-16318.0,2062.0,9910.0,-4660.0,-874.0,-7068.0,-12893.5,10363.5,2404.5,-783.5,10807.0081019,12356.2934028,13921.9525463,12485.2785494,3008.56095679,9592.08024691,22889.4021026,24495.0131173,14467.1740934,3990.66049383,32767,32767,32767,28224,3324,8956,32767,32767,32767,17361,-32768,-20892,-32768,-32768,-15704,-32768,-32768,-32768,-32768,-14199,-0.373987731113,-0.751045366746,0.442972286039,0.494283891753,0.629629339389,0.647562650082,-0.875398647175,-0.55215211585,6
-11824.9583333,7197.36111111,2243.68055556,-12607.0833333,-1662.63888889,-10722.0277778,-1471.39583333,-49.2222222222,1120.32638889,-342.645833333,14430.2010487,15181.4156119,16407.5180762,14057.6492238,4320.3499512,10486.1729858,24447.8394072,27217.0332294,18078.0203418,4582.41427721,-15940.0,2946.0,8274.0,-7210.0,-902.0,-8674.0,-2240.5,823.0,2824.0,-846.5,10890.0954861,12379.7202932,13577.7092978,12661.3368056,3133.78317901,8975.66859568,22054.5292245,25458.1141975,14334.0168789,3319.85185185,32767,32767,32767,8280,8552,6224,32767,32767,32767,19880,-32768,-22404,-32768,-32768,-18300,-32768,-32768,-32768,-32768,-9300,-0.530713195975,-0.663014220147,0.534309312683,0.423820356358,0.672542144859,0.464214338049,-0.875548060112,-0.502887850073,6
-15439.5625,6725.79166667,5020.66666667,-10567.5555556,-1479.97222222,-9261.58333333,1482.61111111,-2806.76388889,3821.92361111,-400.138888889,13323.4555267,14736.0520042,15346.0274808,13674.1598715,4264.759546,10251.2034126,24959.9611824,28434.7898235,17755.3703217,4107.82405199,-17518.0,2778.0,10330.0,-3930.0,-728.0,-5592.0,6240.5,-10370.0,6429.5,-791.0,9887.47916667,11628.197338,12241.4166667,11771.7407407,3118.5787037,8482.12384259,22488.6574074,26868.8325617,14174.6286651,2915.61149691,32767,32767,28328,27868,8552,6224,32767,32767,32767,19880,-32768,-32768,-32768,-32768,-18300,-32768,-32768,-32768,-32768,-9048,-0.493917034077,-0.694608614463,0.518506093001,0.513662150086,0.673593825518,0.403658260957,-0.914022630363,-0.507930170088,6
-16576.0625,6057.14583333,7643.07638889,-9260.13888889,-1418.61111111,-8777.41666667,1889.79166667,-2885.3125,3790.77777778,-358.208333333,13773.2772503,13983.729784,16656.6186476,13804.3136942,3932.63018289,9940.15905059,26566.398894,27792.8544274,17479.7759565,3917.3943832,-20088.0,2942.0,12930.0,-3622.0,-546.0,-4640.0,3530.5,-13907.0,6407.0,-754.5,10001.6996528,10650.5196759,12859.7689043,11742.2924383,2921.65509259,8122.27430556,24208.0225694,26269.4340278,14111.2268519,3169.6244213,32767,32767,32767,27868,5812,3720,32767,32767,32767,16634,-32768,-32768,-32768,-32768,-18204,-32768,-32768,-32768,-32768,-7187,-0.427617999149,-0.744921121974,0.576409631195,0.52896760905,0.679346471092,0.574613777301,-0.918831630076,-0.583665192732,6
-15317.2083333,7621.8125,6816.83333333,-11702.9444444,-1697.11111111,-9555.33333333,155.625,-910.673611111,1200.04861111,-312.402777778,14428.8694098,14277.1158646,16833.3383905,14737.8114494,4745.10421103,10443.3018276,27028.7723219,25522.522494,17505.8967733,4619.46343768,-18724.0,4286.0,11232.0,-4866.0,-580.0,-6502.0,787.0,-4820.0,1685.0,-112.5,10681.1678241,11316.4722222,13089.3888889,13502.8503086,3576.06481481,8572.83333333,24753.8802083,23573.0483218,14155.6834491,3850.99170525,32767,32767,32767,10836,8480,5384,32767,32767,32767,13684,-32768,-24124,-32768,-32768,-16752,-32768,-32768,-32768,-32768,-9427,-0.521708850372,-0.726041425401,0.523041761209,0.465921609051,0.680105522272,0.686996545139,-0.902815920323,-0.638993120149,6
