mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-26026.2847222,286.097222222,-2457.11111111,-2545.76388889,-978.194444444,-13545.3333333,2140.32638889,1915.15972222,1417.42361111,1.30555555556,14786.8881101,19547.0654183,20057.0474478,9556.3739334,3110.50827425,12891.0992961,24219.3601444,31035.9804557,14442.214954,3890.4079213,-32768.0,7698.0,6370.0,-1566.0,-400.0,-7292.0,3894.5,17148.0,2335.5,-36.5,10711.2952353,15840.6440972,17824.382716,6725.17881944,2317.20717593,11577.6481481,21063.9839892,30220.1530671,10415.4358603,2994.92091049,32767,32767,30676,32767,10364,5844,32767,32767,28564,13051,-32768,-32768,-32768,-30468,-11672,-32768,-32768,-32768,-32768,-10696,-0.773611431791,-0.54933690376,0.289757843649,0.0681955269196,0.209704074916,0.213631416799,0.529743460165,-0.218583876725,6
-25471.0625,1078.01388889,-4916.30555556,-2865.91666667,-899.638888889,-15022.0833333,64.9513888889,-4235.79166667,1841.49305556,-71.5277777778,15324.9789939,19736.625168,20386.4346126,9756.18101334,3263.51953523,13115.826967,24749.116737,30135.4947603,14918.1654059,4397.44678774,-32768.0,8564.0,810.0,-1448.0,-524.0,-13172.0,3964.5,-21226.0,4100.5,-501.0,11225.2065972,16060.787037,18374.8352623,6962.68287037,2428.76041667,11844.8125,21912.4845679,29099.6203704,11453.6816165,3341.13657407,32767,32767,29192,30060,10364,5844,32767,32767,28564,13051,-32768,-32768,-32768,-29356,-10248,-32768,-32768,-32768,-32768,-10696,-0.742119449649,-0.465708851461,0.19686117132,-0.0729490811579,0.22092514115,0.179255164662,0.57021247862,-0.263903798626,6
-27646.2777778,4290.625,-4060.77777778,-2427.5,-651.333333333,-13757.6944444,3210.48611111,2110.69444444,1177.13194444,-98.9583333333,13092.8197193,18008.4761344,19446.9537782,9187.05294978,2838.19771435,12216.9805074,25768.8474862,30553.3103208,13539.1482504,3813.59996559,-32768.0,9534.0,3116.0,-1342.0,-366.0,-9242.0,7826.0,16357.0,4042.0,-27.0,8398.14814815,13516.2690972,17261.1851852,6381.27083333,1878.37962963,10826.5814043,22689.3070988,29687.0767747,10650.6896219,2848.88888889,30624,32767,29192,30060,8864,2848,32767,32767,22153,13030,-32768,-32768,-32768,-29736,-11476,-32768,-32768,-32768,-32768,-9420,-0.703963888457,-0.394778443412,0.0815062860589,0.115808400071,0.22799458468,0.0605265916093,0.637958709095,-0.180653342059,6
-25277.4166667,9.625,-2865.00694444,-3068.53472222,-943.5,-14807.6111111,3299.45833333,3651.49305556,147.284722222,57.0555555556,15296.1855218,19658.9448268,18099.8057894,8338.41923601,2299.03908781,11980.0313792,24023.3976897,30366.1232032,13288.0873358,2738.48635844,-32768.0,7304.0,4452.0,-1744.0,-774.0,-11642.0,3070.0,22805.0,1961.5,325.5,11421.6851852,16417.015625,15686.2028356,5983.50983796,1532.95138889,10788.4729938,20792.6452546,29322.6812307,10152.0368441,2151.37037037,30624,32767,32767,32767,8864,1428,32767,32767,26005,7908,-32768,-32768,-32768,-29736,-11476,-32768,-32768,-32768,-32768,-6328,-0.8020379826,-0.361590982466,0.0541945408066,0.218346183213,0.297144909828,0.124015086312,0.552964218621,-0.021242436923,6
-26108.6111111,-90.9583333333,-2842.61805556,-3274.39583333,-1070.52777778,-14557.5555556,-1813.59027778,-3193.27777778,1690.30555556,-52.4722222222,13751.4943,19023.2450619,18680.438465,7741.19315284,2259.17599913,12552.23703,24092.6152393,30354.4761267,14775.190668,3146.37515478,-32768.0,7674.0,3804.0,-1930.0,-794.0,-12226.0,-1510.5,-16749.5,3458.5,178.0,10206.1604938,15876.8587963,16281.5576775,5599.09230324,1623.06018519,11409.5308642,20919.0290316,29152.7507716,11544.3923611,2377.04012346,29328,32767,32767,32767,5548,3808,32767,32767,29226,8945,-32768,-32768,-32768,-27456,-7636,-32768,-32768,-32768,-32768,-11536,-0.805727061707,-0.313535808623,0.125120573293,0.22407351478,0.35896891974,0.28500718281,0.529352255522,-0.100745952274,6
-28663.7222222,3926.66666667,-2914.41666667,-2684.02777778,-776.472222222,-13184.8055556,1371.77083333,704.625,2517.48611111,-210.965277778,10664.5835843,17237.6954482,18535.845901,8577.15875817,2844.90640879,12571.1037959,26331.3883227,30764.1991586,14849.7187457,3857.71590346,-32768.0,8878.0,4314.0,-1572.0,-362.0,-8876.0,2507.0,-235.0,4033.5,135.5,6819.35570988,12737.9444444,16362.2314815,5937.25617284,1917.76350309,11187.6508488,23968.8049769,29780.40625,11147.6820988,2640.50260417,23128,32767,25576,30792,7624,3808,32767,32767,32512,13154,-32768,-32768,-32768,-23948,-13216,-32768,-32768,-32768,-32768,-16461,-0.743033175101,-0.271192356906,0.0669880082229,0.372602340321,0.319293336235,0.289792058612,0.71549427272,-0.272138725677,6
-26401.5833333,2037.1875,-3023.3125,-3177.27777778,-887.194444444,-14191.1111111,3083.48611111,6184.13888889,187.375,-275.451388889,13422.5094,19479.752185,17953.1217031,9593.48901176,2688.47804523,12584.4226981,24744.8903229,30226.9578842,14532.3268395,3815.76521545,-32768.0,9524.0,5094.0,-2088.0,-444.0,-10346.0,2932.5,30298.5,1721.0,-141.5,9897.68171296,15954.2092014,15756.7204861,6565.08179012,1870.05979938,11226.8888889,22486.9305556,29042.0621142,10563.0798611,2700.99035494,24760,32767,32767,30792,7624,2744,32767,32767,32512,13154,-32768,-32768,-32768,-32768,-13216,-32768,-32768,-32768,-32768,-16461,-0.792548833406,-0.383640775022,0.137709473599,0.296683914778,0.317605286596,0.239459373742,0.724467810627,-0.303956299165,6
-25479.3680556,207.166666667,-1233.5625,-3261.66666667,-902.222222222,-13903.1666667,-1003.1875,-942.1875,1298.20138889,-14.5694444444,14827.6857376,19692.9882179,18199.9074587,8650.29396485,2206.577822,12312.8508353,20944.6181538,31309.9103337,14089.237189,3385.33109526,-32768.0,7492.0,6774.0,-1880.0,-512.0,-10074.0,-613.0,-8887.0,2920.0,-271.0,11118.2432485,16264.587963,16035.6423611,5949.71296296,1729.08641975,11051.5740741,17558.1901042,30609.5269097,10538.4233218,2626.79378858,32767,32767,32767,23164,4516,2008,32767,32767,28137,9404,-32768,-32768,-32768,-32768,-8884,-32768,-32768,-32768,-32768,-6844,-0.752993377786,-0.54340994682,0.254518814506,0.0360141767293,0.354362012115,0.162991062996,0.621424221932,-0.243248666614,6
-27423.5069444,2757.39583333,-2432.92361111,-3001.59027778,-824.888888889,-14665.0555556,-1472.0,-3195.86805556,2034.38194444,117.784722222,12965.4497472,18523.3777838,18916.4210852,8763.06060977,2354.81138499,12790.2252624,22247.2330612,30843.3670033,15242.8703453,3751.69309129,-32768.0,6094.0,3780.0,-1642.0,-96.0,-13556.0,4.0,-21385.5,3530.0,-311.5,8674.74565972,13853.0856481,16900.6106289,6285.88628472,1880.88888889,11530.9035494,18695.0277778,29843.061439,11946.3586998,2763.64477238,32767,32767,32767,32767,5624,3992,32767,32767,32061,11095,-32768,-32768,-32768,-32768,-8884,-32768,-32768,-32768,-32768,-11505,-0.670259797131,-0.410559820571,-0.0288814481033,-0.0390234566962,0.260941110399,0.259897304772,0.626040976748,-0.296883581241,6
-27853.3611111,3219.33333333,-2317.86805556,-3257.25694444,-943.666666667,-14475.5833333,1405.44444444,4151.61111111,874.826388889,-301.208333333,12532.0375846,17816.544355,18306.2236355,9255.91487376,3110.81184286,12143.4981858,23927.1429601,30758.3571774,14696.3251814,3738.4363413,-32768.0,6508.0,5786.0,-3054.0,-400.0,-11372.0,5177.5,28032.0,1313.0,-806.0,8090.19483025,12911.0740741,16223.4136767,6679.40653935,2322.05555556,10800.7326389,21020.7608025,29842.3518519,11660.416956,2874.22106481,32204,32767,32767,32767,13180,3992,32767,32767,32061,11095,-32768,-32768,-32768,-26360,-10676,-32768,-32768,-32768,-32768,-11505,-0.701405882656,-0.417970931753,-0.0683739283541,0.0828326690037,0.234201052086,0.198083766483,0.628163583184,-0.204181953027,6
