mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-8719.47916667,8414.13194444,-287.222222222,-4327.47222222,2135.72222222,-18508.7222222,9276.30555556,-4677.05555556,830.645833333,-19812.6527778,15446.1283922,6709.2030951,5131.08985335,1981.34049398,2862.06969574,2419.91932607,10536.3212873,21200.3037228,2651.77914803,10784.5868203,-14458.0,7970.0,-458.0,-4284.0,1290.0,-18270.0,8078.5,-6550.0,1052.0,-21432.5,13161.2887731,4502.66521991,3412.74382716,1492.66512346,2202.01080247,1976.25231481,7681.13233025,17282.6905864,2059.03153935,9479.49691358,32767,32767,19900,896,9088,-13888,32767,32767,7928,2097,-32768,-32768,-32768,-10024,-2776,-25624,-28297,-32768,-7075,-32768,-0.203829273248,-0.13195805688,-0.492383855189,-0.405908003146,-0.263793718186,0.0785580036373,-0.464133682285,-0.114554465033,7
-10886.0277778,7608.07638889,-435.388888889,-5201.33333333,2156.69444444,-18294.5,11701.1736111,-7052.74305556,2.88194444444,-23192.1666667,15635.7044805,7336.66858344,6164.55520104,2029.08000097,3178.30112793,1938.71299679,11867.7104415,22348.8429017,2528.72962798,9370.59520242,-14944.0,6950.0,-58.0,-4872.0,1646.0,-18418.0,10134.0,-10622.0,-124.0,-27451.0,13566.3001543,5056.36053241,4229.50462963,1658.64814815,2544.4212963,1572.84027778,9206.94347994,18796.2370756,2026.88927469,8264.44212963,23700,32767,19900,124,9088,-14292,32767,32767,5229,-5666,-32768,-32768,-32768,-9220,-3468,-23336,-28297,-32768,-7075,-32768,-0.0792240233211,-0.243940138055,-0.195718379299,-0.215031224624,-0.358712578924,0.207491947761,-0.605345735419,-0.391331645098,7
-11492.9444444,8410.86111111,-1114.39583333,-4775.16666667,1582.41666667,-18360.3055556,12144.125,-10875.6736111,-404.020833333,-19930.0277778,15236.8142256,8173.10168085,6852.63797423,2360.85914787,3396.72372691,2234.1334306,14744.5403673,21328.5296802,2436.40900625,10827.483284,-15468.0,7474.0,-160.0,-4234.0,982.0,-18332.0,14553.0,-16478.5,-288.0,-21751.5,13342.3657407,5701.59182099,5096.08159722,1914.53935185,2742.71875,1641.19868827,12389.8940972,17292.8527199,1863.60503472,9984.66473765,30656,29680,32767,1576,11672,-13928,32767,32767,5229,-3376,-32768,-32768,-32768,-10096,-3468,-26356,-25996,-32768,-6196,-32768,0.132527468968,-0.471576054643,-0.154959956083,-0.315178979726,-0.294216523521,0.227199282247,-0.767929308571,-0.139929360175,7
-14558.8055556,8882.13888889,-1920.72916667,-3868.30555556,1429.44444444,-18782.6111111,5711.49305556,-4173.5625,-922.631944444,-19817.6319444,13373.5998623,9374.3779345,6656.26585736,2068.51991029,3563.33677554,2696.58711291,15829.4073212,23395.0766758,2838.12111035,9252.11206033,-17718.0,8526.0,-1894.0,-3570.0,1266.0,-18402.0,5629.0,-10934.0,-681.0,-20598.5,10896.9598765,6362.36496914,4953.61429398,1564.23263889,2841.76697531,2029.51234568,13809.6665702,20678.7282986,2198.33738426,7943.42139275,30656,29680,32767,1576,11672,-13928,32767,32767,3584,-3376,-32768,-32768,-32768,-10096,-5516,-27360,-25996,-32768,-11998,-32768,0.276768480631,-0.150032468957,-0.0823766387869,-0.12384264998,-0.216247167929,0.453438093246,-0.58681884116,-0.0117489313938,7
-13786.3472222,8896.15972222,-953.395833333,-2957.5,1072.25,-18940.1944444,9692.04861111,-5331.19444444,-1104.125,-18953.8194444,14176.1231606,9099.36487652,7059.24815844,2190.02590271,2969.98234437,2490.16227538,16558.0517896,21755.5539085,2732.01444128,8198.82315848,-16802.0,8774.0,-1022.0,-2684.0,736.0,-18918.0,13432.0,-6414.0,-660.0,-18671.5,11997.4342207,6307.77748843,5320.08478009,1804.49305556,2447.31944444,1788.58333333,13359.3704668,18969.9363426,2057.57986111,6925.58082562,32767,32767,32767,2064,6848,-13520,32767,32767,3584,-4396,-32768,-32388,-32768,-8212,-5516,-27360,-32768,-32768,-11998,-32768,0.226495482439,0.0559889218739,-0.0266777137385,0.0974378206754,-0.233691992866,0.561975778428,-0.210343796948,0.0328496669389,7
-11999.4305556,8974.40972222,1698.49305556,-4225.25,1762.58333333,-18568.9166667,16936.3888889,-3790.01388889,-1194.77083333,-22119.8055556,12689.4289983,7745.10890678,5996.98820563,3350.6074671,2879.47802064,2379.1080761,15571.2004703,16097.6530088,2255.05990096,9588.31650075,-15536.0,7980.0,2858.0,-3490.0,754.0,-18494.0,20569.5,-3488.0,-644.0,-23587.5,10512.1803627,5458.66743827,4292.91087963,2850.35763889,2488.51041667,1745.27546296,12217.9938272,12729.1668596,1754.73900463,8487.65239198,32767,32767,32767,2064,8100,-13520,32767,32767,3292,-4396,-32768,-32388,-32768,-11124,-3376,-25820,-32768,-32768,-6959,-32768,0.177953821166,-0.249876843598,-0.387809205163,-0.320975093516,-0.288415542187,0.322016729559,-0.145407992998,0.154687220562,7
-14956.3333333,8044.52083333,3276.91666667,-5581.77777778,1198.91666667,-18411.9444444,16367.1458333,-1286.09027778,-1060.46527778,-22549.75,13116.3250226,8479.05956074,6910.42115999,3726.89871719,3658.17334428,2753.55883588,16476.2412421,20040.1586132,2715.39598244,10793.3659724,-18318.0,6602.0,4248.0,-5270.0,726.0,-18116.0,23600.5,-2072.5,-791.5,-26715.5,11070.3611111,5961.45543981,4678.94791667,2950.5,3147.17476852,2081.60648148,14874.34375,16477.700135,2157.74112654,9305.60763889,27180,32767,31588,96,8100,-12612,32767,32767,3378,-1974,-32768,-32768,-32768,-17440,-6084,-27720,-29934,-32768,-10066,-32768,0.136704107468,0.00467612039593,-0.339827959132,-0.295758414368,-0.0927738820043,0.284717432981,-0.342876965692,0.0482749054773,7
-7661.25,9268.6875,4523.05555556,-5230.30555556,1765.47222222,-18273.9166667,12168.4930556,7180.95138889,-663.215277778,-19792.1597222,14688.709213,8820.08020076,7365.00087,4157.03012816,3925.25367216,3065.89643401,16560.7311994,21613.3831184,3000.12224031,10025.1919289,-2860.0,8192.0,6168.0,-4172.0,1874.0,-17906.0,5481.5,11300.5,-593.0,-19166.0,13041.0902778,6748.20052083,5463.68364198,3112.05709877,3279.82021605,2327.60069444,15241.9019097,18330.77826,2342.23215664,8528.70360725,27180,32767,31588,2264,9288,-12612,32767,32767,7827,-1974,-32768,-32768,-32768,-17440,-6084,-27720,-29934,-32768,-10066,-32768,0.0194778472302,-0.198257818657,-0.211787656845,-0.369429620293,-0.199950913703,0.382124853923,-0.513120613807,-0.11115414208,7
-9880.17361111,8103.24305556,5570.38888889,-6864.47222222,2399.41666667,-18028.1388889,15636.2013889,-2848.85416667,104.222222222,-21951.9305556,15038.4584569,7579.04567239,7817.01417531,4818.34992495,3893.67576078,2649.76331602,15775.0258797,19668.3554217,2854.14830093,10228.149761,-13972.0,7416.0,7090.0,-4990.0,1916.0,-17882.0,16689.5,-6009.5,278.0,-24411.0,13313.4206211,5665.57937886,6200.65740741,3888.65895062,3166.05092593,1982.20408951,14083.1985918,16015.0431134,2314.71759259,9054.52064043,32767,32767,20544,2264,11388,-12964,32767,32767,7827,-1520,-32768,-32768,-32768,-19784,-5688,-26604,-27515,-32768,-7697,-32768,-0.0808523143152,-0.402156870036,-0.0664841544097,-0.447720020901,-0.1094239744,0.180307653131,-0.311239895668,-0.0458883552271,7
-5051.01388889,8927.84722222,2952.86111111,-5686.19444444,1718.13888889,-18072.1666667,13084.7916667,-5379.92361111,231.270833333,-18339.9791667,16068.105535,8869.27391587,9426.99415984,4572.11363232,3474.21562232,2107.32959311,14139.7364625,19251.4211972,2579.85166869,10991.968353,-4898.0,8438.0,2218.0,-4242.0,1276.0,-18098.0,11666.5,-7202.5,631.5,-19897.5,13404.5279707,6455.33873457,7782.17476852,3397.40084877,2615.96180556,1735.77546296,10687.9965278,15103.3391204,2070.14612269,10091.5075231,32767,32767,21596,-260,11388,-13948,32767,32767,5044,-1520,-32768,-32768,-32768,-19784,-5688,-23108,-30818,-32768,-6855,-32768,-0.119354290135,-0.223048006416,-0.365116939224,-0.369883405617,-0.0658409746198,-0.10646271967,0.0151197832188,0.111364286506,7
