mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-9470.47222222,9180.40277778,4303.44444444,4487.75,1010.41666667,-20238.5,13789.4861111,-364.638888889,1089.86111111,-14850.5972222,9849.48262171,7557.33513298,7508.10564487,3651.04330237,5014.9345679,2500.09256892,14313.4606587,18803.6916869,4930.45063773,10169.2638864,-9488.0,7722.0,5804.0,4244.0,-48.0,-20314.0,16608.0,3305.5,2100.0,-15755.0,8237.88233025,5228.56462191,4625.8595679,2899.89583333,3957.48726852,1838.75,10426.3987269,14878.5297068,4110.01736111,8422.33352623,15236,32767,13744,14608,11844,-13804,32767,32386,10925,5395,-32768,-17192,-32768,-3540,-7984,-28120,-32768,-32768,-9220,-31297,-0.0880768598016,-0.141470553264,-0.0133846597404,0.36542869958,0.135263796079,0.159724027395,-0.1463952944,-0.282926367749,8
-6027.05555556,13266.125,4229.80555556,5229.41666667,4021.52777778,-19593.9166667,-2608.44444444,1948.94444444,-1306.75694444,2163.94444444,6590.89901842,8343.07503797,6186.4822243,3169.24713987,5274.32736167,2839.42773585,20522.1174516,16348.0960624,5451.50694409,18331.8373191,-7426.0,12028.0,4766.0,4962.0,2640.0,-19162.0,-4362.5,5300.5,-1889.0,4707.5,5179.19675926,6409.390625,3888.15509259,2476.12268519,4680.2662037,2181.93634259,18077.6141975,12429.5100309,4527.06548997,15559.8302469,13016,32767,15224,13732,13684,-10484,31879,32386,11857,27896,-21252,-17192,-32768,-2380,-6304,-28120,-32768,-32768,-10826,-31297,-0.1878801509,0.0365490499577,-0.00246465301543,0.476820675218,-0.159277614998,-0.268970145307,0.191175419738,-0.198545719986,8
-6420.08333333,14973.9444444,4063.16666667,4079.30555556,2073.61111111,-20175.8055556,-13981.5069444,-2198.49305556,-1632.94444444,13896.2708333,5901.4990907,7264.69134462,6727.70872996,4390.18404966,5093.30295668,2954.42992567,17175.9030609,16706.4937071,5728.85301836,13755.7893095,-6670.0,13774.0,4870.0,3712.0,850.0,-19974.0,-16456.5,-1313.5,-2609.5,18320.5,4264.74768519,5677.18132716,4460.53703704,3599.3128858,4090.85802469,2173.06712963,13664.4707755,12259.0061728,4892.71219136,11539.4719329,11616,32767,15224,13732,13684,-10484,32767,32767,11857,32767,-32768,2176,-32768,-5524,-6728,-29836,-32768,-32768,-10826,-16336,-0.0694116239386,0.202912922682,0.176061851098,0.470291235611,0.253494745758,-0.0506588174684,-0.498876838254,-0.667382215003,8
-9365.80555556,12213.7291667,5869.83333333,4268.72222222,686.972222222,-20872.6111111,5658.86805556,843.0,421.888888889,-6859.77777778,8122.51786144,6516.01903243,6705.710029,4640.01460458,5043.68234325,3102.20448824,22249.7562668,16663.3608616,5528.08843795,21719.2270923,-8736.0,10118.0,6818.0,3630.0,-406.0,-20554.0,12166.5,3374.5,981.0,-15267.0,6983.67824074,5066.03385417,3854.59259259,3855.40354938,3966.67708333,2235.4992284,19443.5889275,12590.3055556,4663.5941358,18478.757716,11616,32767,18496,17244,12844,-13420,32767,32767,9904,32767,-32768,2176,-32768,-5524,-7900,-30836,-32768,-32768,-10502,-32768,0.183682075171,-0.0176436274014,0.169994837924,-0.0510514285095,0.197506381902,0.00576202213214,-0.224661200179,-0.641207281614,8
-6603.86111111,12089.8333333,4319.80555556,5260.30555556,2012.69444444,-19770.0,7575.06944444,-180.305555556,1475.89583333,-9660.50694444,10466.2966665,7259.81660559,6427.08635906,3460.91388812,5102.97978119,3013.96633407,20970.5939065,16067.5789706,4414.82993633,17604.8002306,-7342.0,10234.0,5610.0,4750.0,2004.0,-19760.0,10075.0,3076.0,1724.0,-15711.5,8952.87075617,5805.46296296,4676.22685185,2722.24112654,3946.0929784,2267.55555556,17526.6095679,12770.3734568,3584.76273148,15636.2141204,11804,30028,18496,17244,13852,-13364,32767,29102,9904,20736,-31992,-7504,-32768,-4152,-7900,-30836,-32035,-32768,-7397,-32768,0.0335542180256,-0.200419408064,-0.0531802265928,-0.184397895728,-0.187512449772,-0.0605270257186,0.287631701891,-0.0372925831348,8
-2832.30555556,15326.5277778,3960.83333333,5796.63888889,2581.30555556,-19404.0555556,-14110.6805556,56.5625,-3505.04861111,13118.8819444,7173.51160292,7458.31538746,5952.02984944,3888.35402754,4656.33622485,2716.41664358,17383.5155065,16665.8990025,5171.28184773,13237.3815532,-5446.0,16370.0,5404.0,5064.0,1928.0,-19180.0,-21320.5,-6.0,-4829.0,17633.0,5921.58410494,5868.03935185,4323.40740741,3181.45871914,3604.29861111,2055.33641975,13640.5609568,12219.9097222,4306.20717593,10678.6148727,11804,30028,12708,14612,13852,-11908,32767,32767,7201,32767,-31992,-7504,-32768,-6100,-8232,-26436,-32122,-32768,-13609,-21964,-0.284986487798,0.0156074142687,0.185295346473,0.566914367757,0.125624383949,0.128133638442,0.203817151212,-0.195895281684,8
-7975.55555556,15109.9930556,5827.72222222,5307.19444444,625.444444444,-20123.4444444,-2587.8125,-2149.88194444,-2351.19444444,2817.23611111,3613.90461942,5603.78272653,6141.55058716,4409.67598714,5405.78937752,2558.77670122,23398.0524579,15605.2798719,6022.18807931,20332.3381596,-6886.0,14862.0,7370.0,4932.0,-312.0,-20406.0,-13232.5,-1332.5,-4186.5,4548.5,2858.54938272,4175.18721065,3611.41820988,3789.42746914,4368.68518519,1843.56944444,22095.0078125,11045.3582176,5350.97839506,18632.8128858,-780,32767,11912,14612,13680,-11128,32022,32767,9239,32767,-18804,-5788,-32768,-6100,-8232,-26128,-32122,-32768,-13609,-26131,-0.00813091782379,-0.0481356991195,0.28927357172,0.432787821062,0.339081033606,0.395630471681,-0.417043631602,-0.839036846663,8
-4284.11111111,12831.7847222,3908.05555556,3975.97222222,1213.63888889,-20624.6111111,16661.1527778,-816.354166667,1021.40277778,-15268.3125,8705.34959642,7429.89165764,7412.91004623,2900.75614918,4826.19702983,2619.11742224,17548.1617216,16531.2859929,4988.80872914,13157.9388068,-5450.0,12492.0,5218.0,4058.0,60.0,-20900.0,23496.0,-246.0,1974.0,-19626.5,6908.87191358,5486.83130787,4802.54320988,2380.6404321,4128.33371914,1919.77391975,14090.6649306,13340.0911458,4138.52719907,11454.9114583,14016,32767,13028,10148,10668,-11128,32767,32767,9241,13841,-32768,-5788,-32768,-2364,-7360,-26988,-32768,-32768,-8437,-32768,-0.0824673282119,0.0987369214715,0.0223802549846,0.0100208941416,0.0136258951115,0.102165805299,-0.213736902055,-0.508044473424,8
-5646.5,13100.2083333,3079.66666667,5861.86111111,4401.33333333,-19239.8055556,276.006944444,971.958333333,-1428.0625,1824.21527778,9749.41397557,7173.19487965,6200.2933294,3928.53165796,4746.51464621,3288.94085291,22060.767178,16599.9526985,5093.13011209,20351.2802721,-8258.0,12180.0,4598.0,5298.0,4578.0,-19524.0,-3322.0,5324.5,-1280.5,12915.5,8477.02083333,5460.80150463,4593.27314815,2960.4375,4066.94444444,2537.43016975,18863.1615548,13237.6325231,4036.98003472,17807.4313272,14016,32767,13640,18584,17812,-8964,32767,27331,9241,25003,-32768,-4876,-32768,-556,-3932,-26988,-32768,-32768,-12924,-32768,-0.0425271013987,0.212866557596,-0.331355544404,0.186075554229,0.371973890882,-0.259687251711,0.189830953182,-0.351302336092,8
-7706.63888889,13883.1388889,3497.88888889,5173.44444444,2194.33333333,-19504.75,-12118.2013889,-3085.82638889,-2413.50694444,12795.1527778,6227.52231328,5872.42532259,6638.31433561,4798.26184406,5015.53169204,3189.47299832,16808.9016513,18833.2706396,4823.24801773,14018.8782695,-6800.0,14232.0,5672.0,3644.0,862.0,-19514.0,-14405.5,-523.5,-1740.0,17365.5,5180.97106481,4375.19868827,5116.85493827,3874.30555556,3965.83796296,2276.75,13492.4401042,15130.0287423,4103.97955247,11295.8198302,5524,27068,13640,18584,17812,-8964,26814,31061,5793,32767,-32768,-13608,-32768,-3512,-5888,-29364,-32768,-32768,-12924,-21557,0.0430158264556,0.251439703081,-0.0734044793696,0.474629688511,0.357155517302,0.0697270336708,-0.462834032402,-0.515935669879,8
