mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-12984.2847222,7834.77777778,1062.02083333,1553.08333333,835.694444444,-18202.0555556,11433.7291667,-7008.49305556,1049.11805556,-16073.6666667,8864.84909425,6801.3863544,7785.2676133,6325.10218442,4300.68887843,4409.6524002,16605.1637567,14404.8738265,9151.95529377,14287.5149821,-15682.0,8828.0,388.0,294.0,-248.0,-17896.0,11596.5,-2618.5,2.5,-16689.5,6646.60831404,4361.38734568,5289.21788194,5183.09722222,3594.03665123,3464.19984568,13836.260706,12362.5398341,7771.45958719,12082.5740741,32767,28888,32767,14684,13644,-8072,32767,13372,19487,13822,-32768,-32768,-32768,-9228,-6852,-31356,-32768,-32768,-17207,-32768,-0.392411055928,0.428170951531,-0.0229949849654,-0.317639519294,-0.0877315295766,-0.0662007652656,0.718056434126,0.689798107945,8
-12196.8958333,7681.16666667,5436.4375,572.722222222,3364.91666667,-18712.4722222,1801.32638889,-4602.34722222,-3746.19444444,6052.78472222,8672.38250608,6880.2783628,9336.64076899,5355.1914273,5297.40985858,4386.41650251,19081.2069775,11942.8448944,7878.78770473,25763.3703337,-13206.0,8942.0,3182.0,526.0,2870.0,-18244.0,-1807.0,-258.5,-4725.5,13292.5,6446.13396991,4963.29166667,7372.00434028,4306.12114198,4316.60416667,3365.24691358,15444.1673418,9413.76736111,6739.49459877,22851.3404707,32767,23796,32767,20436,17596,-6368,32767,12439,10328,32767,-32768,-32768,-32768,-9228,-6220,-31356,-32768,-32768,-17207,-32768,-0.188492243775,0.287026813634,-0.154636598077,0.282392353884,-0.0824545898684,-0.0127647568939,0.317694398238,-0.0430289771819,8
-14873.9444444,7602.13194444,3852.13888889,3008.94444444,2148.63888889,-18668.8055556,-1518.0,-181.0,-1240.42361111,11797.9722222,6065.02967412,8966.98530254,10321.9573296,5933.15101341,5497.776683,4439.9606268,13587.4909466,12580.9580661,9512.17635314,19675.824541,-15750.0,8370.0,3546.0,3460.0,1336.0,-18284.0,-1293.5,-136.5,-3118.5,18731.5,4977.89197531,6093.70978009,8534.86496914,4861.61419753,4235.66319444,3500.50578704,10576.8888889,8653.34722222,7444.31770833,17793.1689815,1780,32767,26368,20436,17596,-6368,32767,32767,21346,32767,-32768,-27812,-32768,-9332,-11116,-29856,-32768,-26998,-16608,-29780,-0.0875574436663,-0.0106990716544,-0.0960123986319,0.261696101915,-0.231690295155,0.155579090237,0.0211660227089,-0.545906788439,8
-11936.75,8131.15972222,1172.27777778,280.277777778,1522.33333333,-18666.2222222,11470.4236111,-1972.54861111,540.347222222,-14467.5763889,8833.64697789,9178.94794287,10110.9418833,6624.50389376,4686.11178232,4481.21141907,17889.7066343,14740.530614,7907.66565444,17115.7596309,-14678.0,8384.0,408.0,-890.0,1178.0,-17900.0,17447.0,-2192.0,-1924.0,-14176.0,7065.09375,5734.38474151,7189.52700617,5342.03472222,3382.82407407,3545.41975309,15246.9817708,11059.3326582,6102.58371914,14623.3819444,16072,32767,25564,16104,16932,-10232,32767,32767,21346,32767,-32768,-27812,-32768,-12420,-11116,-31656,-32768,-32768,-11875,-32768,-0.0279112511593,0.0816751576842,-0.126182432819,-0.294300529631,-0.182071322124,0.125160452206,0.398162796134,0.303375619421,8
-13532.8333333,6401.05555556,2668.66666667,1605.80555556,4380.83333333,-17932.7777778,7933.39583333,-5246.77083333,-3204.25694444,-627.423611111,8824.44089554,6986.37403055,9252.47392206,6150.00238249,5173.42084821,3828.31062533,19314.3469365,10697.7414502,7729.06224488,25909.1339615,-15794.0,6510.0,3028.0,880.0,3146.0,-17504.0,6887.5,-3354.5,-3587.0,10553.0,6602.9212963,5090.12268519,6486.82407407,5255.26967593,4239.68287037,2850.67438272,15588.6927083,7730.24565972,6144.06886574,24590.7922454,16072,31608,25564,11644,16932,-10428,32767,11836,14544,32447,-32768,-20324,-32768,-12420,-6024,-31656,-32768,-32768,-18915,-32768,0.0876204813684,-0.0149116618537,-0.258688259477,0.0918754565602,0.0886745600352,-0.135276583555,0.771727360979,-0.0484626721869,8
-17702.4166667,6445.4375,853.527777778,959.611111111,2628.63888889,-17948.6388889,-1670.86111111,-2343.78472222,-845.215277778,16158.3680556,7975.37996508,10516.2727049,9572.8755031,5537.16385598,5551.22897577,3548.23783825,13615.0706285,17338.3463916,9376.00155669,14027.7097477,-18238.0,5146.0,2678.0,-318.0,1866.0,-17788.0,2091.0,-1553.0,-1576.5,22161.5,6235.38194444,8043.74826389,7657.47723765,4619.58564815,4153.36766975,2772.30324074,10701.6994599,12098.814429,7696.66956019,12379.2241512,168,32767,18120,11644,15700,-10428,25876,32767,17460,32767,-32768,-21848,-32768,-12080,-12132,-28652,-32768,-32768,-18915,-6981,-0.421555710223,-0.348414162209,-0.347960482283,0.63593501941,0.155000202749,-0.115425655743,0.544727811317,-0.469322843049,8
-17564.4722222,8215.21527778,1677.75,-70.1111111111,1072.02777778,-18093.8888889,10148.4305556,328.333333333,712.763888889,-7659.125,8931.83484697,9861.19473901,8913.19374962,7789.87080435,5603.94253818,3625.14895399,17234.4623769,16958.2902617,8171.40405631,21648.3664656,-16880.0,7310.0,1938.0,-1710.0,966.0,-17544.0,8237.0,1377.5,-1159.5,-6019.5,7373.82523148,7327.86120756,7246.86805556,6273.83487654,4180.91782407,2975.01388889,14360.5756173,13083.5046296,6679.61419753,16872.34375,168,32767,18120,17768,15592,-11664,32767,32767,17460,32767,-32768,-21848,-32768,-12104,-12132,-28652,-32768,-32768,-13989,-32768,-0.36555299041,-0.237191713342,-0.32949015192,-0.483403154635,0.172439050255,-0.151748749122,0.0646575351264,0.15827948492,8
-13689.5555556,9015.85416667,979.0,1557.08333333,3107.16666667,-17869.6944444,8858.09027778,-4997.9375,155.138888889,-6909.28472222,9585.88975977,6032.2446007,8892.29862753,7321.06283268,6373.83822185,4202.90908456,19146.2739386,12048.4878976,7511.24815977,23104.5508419,-14592.0,8040.0,1562.0,940.0,1784.0,-17136.0,7216.5,-3635.0,-564.5,-10075.5,7207.65123457,4473.65306713,6463.875,5658.26967593,5262.07175926,3216.5003858,16078.4071181,9504.23350694,6201.95794753,20121.3582176,15452,32767,23080,17768,18452,-8076,32767,17177,15153,30984,-32768,-4200,-32768,-12104,-10708,-32768,-32768,-32768,-13989,-32768,-0.149335290976,-0.0297413171699,-0.408132129491,-0.509035671231,0.0265755289641,-0.0278736545195,0.300458850326,0.187990394675,8
-12515.0833333,8248.54166667,1903.25,2257.97222222,3123.72222222,-17947.8888889,-5656.69444444,1030.09027778,-3990.80555556,14791.4097222,7882.58017066,7795.63012957,10175.0201398,4565.33651659,5778.30058309,4374.02801209,13219.7962889,15138.5954291,7160.21596471,15707.0046111,-14712.0,7710.0,3248.0,1276.0,1390.0,-17570.0,-5803.5,3090.0,-4917.0,20992.5,5849.65856481,5716.71296296,7062.98611111,3539.46682099,4568.42669753,3255.98919753,9367.23611111,10925.6017554,5908.30246914,12916.8874421,15452,32767,23080,14832,18452,-8076,32767,31799,14867,32767,-27468,-11352,-32768,-9612,-7972,-32768,-32768,-32768,-17351,-29341,0.00278548278741,-0.116302846078,-0.517526885241,0.307302163567,-0.0359559608635,0.209703482455,0.358721214672,-0.437383456306,8
-15093.5555556,8067.79861111,2751.61111111,3824.30555556,1066.63888889,-18519.4722222,1676.625,3102.97916667,-3551.08333333,1067.09722222,4699.62836468,7111.65853167,8242.04465527,4126.18559572,4702.44332654,4259.41779393,14931.9324483,14110.9487063,7788.35045733,21445.6275809,-15330.0,8352.0,4362.0,3288.0,688.0,-18250.0,-3858.0,4530.5,-5111.0,-3388.0,3565.59259259,5126.7570409,6528.44290123,3518.27546296,3125.26658951,3450.09490741,12520.7517361,10213.2884838,6041.77083333,18412.2608025,-1800,32767,17440,14832,17860,-9396,29211,31799,14837,32767,-26664,-11352,-32768,-3360,-10388,-27752,-32768,-32768,-17351,-32768,-0.0749450160004,-0.268790985021,-0.465293815649,0.108622500907,-0.0293780397719,0.280799297223,-0.0207441577991,-0.468118221127,8
