mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
-5182.44444444,15316.125,-2916.52777778,77.25,-759.5,-20847.2222222,1143.35416667,-5123.19444444,355.243055556,355.576388889,4226.66532542,12854.3955225,9388.84025245,1063.54072518,686.587568712,665.776421915,19711.8398738,21852.7399618,1486.77266873,693.461930224,-4048.0,14564.0,-3056.0,42.0,-818.0,-20900.0,8380.5,-5385.5,430.5,293.0,3696.60802469,11755.015625,7978.85378086,833.579861111,531.861111111,555.066358025,17280.1423611,19278.9834105,1245.75356867,546.330632716,1468,32767,11992,2792,1600,-19252,23758,32455,3378,2680,-13056,-2668,-20252,-2080,-2064,-22256,-32768,-32768,-2580,-1398,0.0281221612938,0.861053380428,0.0254084380092,0.382613219508,-0.376944268375,-0.293888338577,0.215636454332,-0.0172737797254,9
-4706.66666667,18257.5069444,-3972.58333333,215.194444444,-777.916666667,-20865.8055556,-4305.65277778,-4183.44444444,337.451388889,539.013888889,3905.72881015,11970.1945185,9200.38830398,1014.38918393,722.577975079,675.908684172,19743.4038224,21937.9411152,1482.35711386,766.320716388,-4020.0,21968.0,-3830.0,132.0,-774.0,-20824.0,-1332.0,-4062.0,441.5,484.0,3421.92592593,10701.4643133,8000.71064815,798.793981481,575.805555556,541.300154321,17644.0314429,19421.7916667,1308.84789738,612.820216049,3264,32767,10780,2612,1600,-19372,22157,29936,3378,2780,-12464,-2668,-19368,-2080,-2180,-22544,-32768,-32768,-2349,-1398,-0.128798040599,0.834893020979,-0.0724266373515,0.386977718553,-0.399343963413,-0.299414534878,0.132194311092,0.129076649732,9
-4904.16666667,17074.9027778,-6013.72222222,166.194444444,-905.527777778,-20826.6666667,-2716.36805556,-685.083333333,-192.451388889,491.986111111,3394.79360733,10424.6672998,7525.00521798,875.94230801,587.058186135,627.0627722,18272.0914182,20407.8880357,1294.27585299,725.020096043,-5152.0,18554.0,-6914.0,32.0,-892.0,-20752.0,344.0,1907.0,-616.5,406.5,2928.10416667,9099.13580247,6676.72993827,693.302083333,495.382330247,498.37037037,16079.5339506,17727.5763889,1088.76282793,574.234567901,3264,32767,8672,2844,700,-19372,20270,28972,2426,2780,-10376,188,-19184,-1632,-2180,-22544,-32768,-32768,-2229,-911,-0.198701979578,0.839897788789,-0.118648274931,0.36712153775,-0.378103797682,-0.174204681901,0.0790591368351,0.442243445709,9
-1596.75,14269.2777778,-7115.88888889,-331.888888889,-1012.83333333,-20815.5277778,554.680555556,-633.236111111,-322.770833333,389.833333333,5131.9531574,8322.53579771,6282.76341934,945.267010867,596.875008879,530.666818211,14904.6994512,16179.2481206,1243.42792998,662.290262354,-1958.0,15754.0,-7516.0,-284.0,-1058.0,-20762.0,3620.0,1437.5,-615.0,326.5,4233.35069444,7395.70679012,5424.5617284,767.328703704,494.143518519,445.439429012,13147.9988426,13495.8489583,1018.1166088,536.016203704,10952,29200,3768,2844,284,-19800,19787,26189,2118,2120,-9912,1056,-18756,-2020,-2404,-22108,-27040,-32768,-2410,-801,0.0542865334826,0.488764079336,-0.101513768495,0.283922322768,-0.245262846651,0.0350680916634,0.169227743103,0.309928193216,9
852.583333333,12665.1111111,-7064.05555556,-1048.02777778,-1245.66666667,-20813.0555556,1627.23611111,-1598.02777778,25.5763888889,290.756944444,4732.71469799,8326.21313794,6524.81205557,804.249899795,559.199327711,467.012642314,14485.0692345,12268.2880437,1249.39141313,1191.07451193,506.0,11304.0,-6496.0,-1186.0,-1258.0,-20778.0,5694.0,340.0,-127.0,82.0,4058.90972222,7617.76851852,5597.44675926,659.081018519,449.62037037,397.891975309,13042.9631559,10464.5030864,1059.06086034,971.067033179,10952,26384,3524,932,256,-19944,20274,18219,2220,3509,-7284,744,-18756,-2804,-2404,-21960,-25624,-26522,-2410,-1568,0.366186767963,0.660308467951,-0.300356474856,0.295141186715,-0.217677261997,0.106593471481,0.337070213633,0.0636317017128,9
272.694444444,12690.6388889,-6634.27777778,-1064.75,-1527.27777778,-20780.0555556,1565.63194444,-3109.20138889,246.819444444,344.625,4151.05418792,8990.97905215,7139.39645492,791.211724513,726.38376692,584.653717101,14663.8145824,13819.0591072,999.700519161,1267.94978433,330.0,11074.0,-5856.0,-1128.0,-1556.0,-20726.0,5505.0,-1419.5,287.5,193.0,3584.63888889,8106.43325617,6361.03935185,615.229166667,540.964506173,479.894290123,13013.7839506,11795.0348187,811.871141975,1059.42534722,7716,26432,3664,1548,876,-19568,20274,20152,2220,3509,-7284,744,-17820,-2804,-3328,-22348,-25624,-26727,-1696,-1849,0.298275090893,0.746043360696,-0.289381614793,0.160729955165,-0.286048764463,0.254510046687,0.320491636791,-0.133746033016,9
-339.944444444,14128.6666667,-6815.22222222,-711.472222222,-1541.66666667,-20803.5,-475.361111111,-4659.46527778,273.527777778,399.104166667,3977.62488744,9271.79502238,7247.68986628,807.489591129,814.767820547,586.904526373,15665.8701385,16668.4225626,858.95479618,961.233776814,680.0,13286.0,-7086.0,-880.0,-1650.0,-20810.0,1434.0,-2715.5,360.5,329.0,3494.38348765,8439.91666667,6568.23302469,628.538194444,623.435185185,466.006944444,13940.7978395,14120.2540509,728.970679012,810.179398148,5780,28884,4468,1876,876,-19568,20179,24182,1908,2707,-7872,1380,-16692,-2520,-3328,-22476,-29792,-32089,-1472,-1849,0.118816328775,0.826103847109,-0.200611972388,0.315400037779,-0.499773711636,0.185112708635,0.395212375854,-0.454485407652,9
-291.194444444,15349.6944444,-5714.77777778,-688.111111111,-1502.16666667,-20848.4722222,-1393.22916667,-4289.73611111,118.847222222,461.263888889,4069.10173637,9698.21133338,6879.12935258,777.669884402,642.314325162,517.894067312,15534.7015919,18347.4609287,905.12742463,850.156233985,326.0,17510.0,-6138.0,-914.0,-1588.0,-20810.0,-886.0,-2503.5,192.0,421.5,3618.31635802,8905.46566358,6161.92283951,606.25617284,504.05787037,395.407021605,13883.6073495,15897.7770062,799.573688272,679.062885802,6832,28884,5300,1876,352,-19888,19478,24624,1791,2960,-7872,1156,-16500,-2128,-3116,-22476,-29792,-32089,-1668,-1374,0.0134995040744,0.930320264308,-0.0479306088033,0.304368523332,-0.551023856865,0.0808178375033,0.360165846428,-0.0852107905379,9
-164.361111111,15851.25,-4598.69444444,-734.027777778,-1535.63888889,-20833.9444444,-1722.66666667,-3362.47222222,193.381944444,364.993055556,4122.02092911,9505.84154851,6828.07099205,690.207549047,566.091131697,565.421505967,14547.094138,17285.362769,986.077650502,754.53574386,-98.0,17568.0,-5320.0,-796.0,-1562.0,-20750.0,1196.0,-2456.0,201.0,344.0,3515.86612654,8605.73611111,5999.74884259,546.829861111,450.926697531,440.909722222,13010.0416667,14901.6936728,830.529417438,553.103780864,8200,30840,7120,1292,-344,-19388,16789,24624,2606,2960,-11072,1156,-17324,-2128,-3116,-22284,-27790,-32553,-1668,-1631,-0.204318343785,0.772581021795,0.0472869916832,0.181002327453,-0.556438358945,0.094647399229,0.200702456738,0.0713509171921,9
-356.583333333,15769.9722222,-5123.80555556,-714.833333333,-1565.91666667,-20778.6388889,-2154.85416667,-881.888888889,64.3472222222,341.590277778,4070.31902239,9097.09410296,7522.70834029,669.893948396,709.573766475,604.521918383,14603.5909728,17600.6635424,1087.20093754,813.084857072,-280.0,15812.0,-5356.0,-774.0,-1544.0,-20704.0,2598.5,-1585.0,-11.5,378.0,3379.42476852,8032.30555556,6479.58603395,503.162037037,556.27662037,474.303240741,12862.3715278,15180.9182099,901.852623457,632.69068287,8200,30840,7120,1196,244,-19312,16149,26670,2606,1963,-11072,2212,-20172,-2676,-3444,-22420,-28567,-32553,-1637,-1631,-0.331923229163,0.709870186389,0.0172205957824,0.568084931407,-0.543323825318,-0.315391018836,0.049191699089,-0.103460086735,9
