mean_ax0,mean_ay0,mean_az0,mean_ax1,mean_ay1,mean_az1,mean_gx0,mean_gy0,mean_gx1,mean_gy1,std_ax0,std_ay0,std_az0,std_ax1,std_ay1,std_az1,std_gx0,std_gy0,std_gx1,std_gy1,median_ax0,median_ay0,median_az0,median_ax1,median_ay1,median_az1,median_gx0,median_gy0,median_gx1,median_gy1,mad_ax0,mad_ay0,mad_az0,mad_ax1,mad_ay1,mad_az1,mad_gx0,mad_gy0,mad_gx1,mad_gy1,max_ax0,max_ay0,max_az0,max_ax1,max_ay1,max_az1,max_gx0,max_gy0,max_gx1,max_gy1,min_ax0,min_ay0,min_az0,min_ax1,min_ay1,min_az1,min_gx0,min_gy0,min_gx1,min_gy1,corr_axy0,corr_axz0,corr_ayz0,corr_axy1,corr_axz1,corr_ayz1,corr_gxy0,corr_gxy1,label
4914.63888889,9452.83333333,-11067.3611111,-4385.05555556,-1163.83333333,-18220.1666667,-6340.09027778,-3022.38194444,175.416666667,-56.2569444444,5074.30571586,10923.9336635,10789.8439755,746.919901696,659.92326318,523.939862027,18393.2388794,19682.588264,1396.2067067,884.287170918,4602.0,7710.0,-7096.0,-4466.0,-1168.0,-18244.0,-7029.0,-8489.0,295.5,-60.5,4277.50771605,9843.71296296,9392.45910494,634.330246914,502.502314815,417.270833333,16583.6849923,16995.5650077,1208.32986111,705.201388889,15144,28048,1560,-2764,604,-16712,22415,32767,2722,2086,-4632,-5276,-32768,-5672,-3340,-19140,-32768,-28500,-2682,-2092,0.85007407816,-0.133650057708,-0.11445002054,0.0277107858116,-0.454533824603,0.168758019291,0.145135613271,-0.327491459704,9
5264.94444444,11340.6388889,-13421.0,-4070.72222222,-1221.5,-18282.8055556,-8290.17361111,946.006944444,4.32638888889,142.652777778,5307.8041392,9903.99631329,11461.5107414,715.400796702,895.540326018,505.472835177,19036.1324994,20907.3290828,1450.70816481,1053.1769276,6246.0,12084.0,-11476.0,-4036.0,-1190.0,-18342.0,-11224.0,-1815.5,-179.0,26.5,4617.18595679,8751.66782407,10423.0416667,579.168981481,680.673611111,399.382716049,17066.9115548,18485.3685378,1269.94627701,838.42033179,15144,28048,1560,-2704,952,-16848,22415,32767,2722,2883,-4632,-5732,-32768,-5672,-3460,-19400,-32768,-28500,-2623,-2092,0.859395703304,-0.201744185711,-0.00400267469034,0.0641084283551,-0.433430917051,0.118651460752,0.125015238803,-0.305820410503,9
3308.36111111,8955.5,-15082.25,-4074.08333333,-1349.52777778,-18236.3611111,-3416.85416667,4472.54861111,-241.145833333,199.986111111,4714.16574146,9728.57198211,10531.8731129,700.650801366,919.678508319,500.599453398,20214.4332643,20232.697867,1223.39008508,917.691303477,2930.0,8812.0,-16266.0,-4160.0,-1286.0,-18294.0,-882.0,5045.5,-352.5,34.5,3964.71450617,8749.43055556,9427.43402778,563.462962963,711.689429012,374.997685185,18438.1516204,17657.1167052,1029.55642361,720.511574074,12684,26368,1388,-2672,952,-16468,24226,32767,1988,2883,-6532,-5732,-31532,-5456,-3948,-19812,-32768,-27022,-2623,-1377,0.840991545854,-0.184580966192,-0.219371655461,0.0915393814219,-0.401726731806,0.234140648064,0.214848262666,-0.234938538058,9
2215.75,7506.77777778,-12661.0555556,-4146.80555556,-1459.44444444,-18243.8888889,-2715.31944444,831.534722222,-154.652777778,-36.3125,3739.14299201,10256.9880859,10394.2135918,671.934242514,691.856100663,562.154087717,20296.9602611,20457.2829581,1000.17204338,889.95618238,2622.0,2832.0,-10654.0,-4222.0,-1364.0,-18322.0,1240.5,-456.0,-152.5,-105.5,3060.98611111,9124.18981481,9231.85108025,539.399305556,523.779320988,415.734567901,18060.1143904,17806.3625579,824.472222222,729.336805556,11352,30800,1388,-2592,220,-16468,24226,32767,1818,2300,-6532,-3952,-31160,-5456,-3948,-19824,-32768,-30150,-2370,-1504,0.715388042238,0.181836876826,-0.306110867129,0.169164413018,-0.483489963397,0.297300561808,0.308116848858,-0.505876019937,9
3510.52777778,9936.27777778,-11398.25,-4221.36111111,-1458.77777778,-18252.1944444,-7714.47222222,-2016.85416667,-91.8194444444,101.465277778,3278.71855393,10928.7052742,9571.49292745,628.318597763,733.797293368,566.355213326,18720.0989523,21142.6545746,917.629315997,1087.33506209,3912.0,7278.0,-8948.0,-4236.0,-1476.0,-18332.0,-8635.5,-5827.0,15.5,318.5,2646.15046296,9901.84490741,8264.14236111,496.823302469,575.12808642,432.733796296,16816.369213,18521.9239005,769.573302469,894.086709105,10788,30800,708,-2592,828,-16588,23871,32767,1338,2169,-2856,-3500,-31160,-5764,-2920,-19824,-32768,-30620,-2370,-3495,0.753104271974,0.191705314583,-0.329400656245,0.15115330577,-0.5816042203,0.238288456681,0.373078533321,-0.408519832635,9
3596.83333333,11804.1666667,-13525.1111111,-4353.55555556,-1563.41666667,-18186.9444444,-9555.15972222,522.715277778,33.5,306.416666667,3066.48842241,10484.7893703,9694.12449774,655.81715192,770.305683579,535.95761989,18624.0438015,21145.6991612,1144.43609958,999.972702425,3730.0,13228.0,-11684.0,-4354.0,-1706.0,-18286.0,-15069.5,-426.5,73.5,493.5,2486.56481481,9366.21296296,8447.7037037,531.111111111,619.981481481,429.398148148,16906.227527,18586.4573688,951.430555556,774.802083333,10788,29948,-644,-2668,828,-16688,20926,32767,2567,1725,-1844,-2888,-32768,-5764,-3028,-19368,-32768,-30620,-2278,-3495,0.644704423089,0.108953839705,-0.316441720813,0.129853717138,-0.436304887228,0.326086149265,0.34054738283,-0.234063382869,9
2662.91666667,10624.5277778,-14343.3055556,-4498.72222222,-1484.88888889,-18150.0,-4834.05555556,3780.83333333,-161.979166667,55.9097222222,3230.88238721,10163.6141608,10635.1948593,705.356394016,745.889388968,545.469631493,19915.1496137,21217.60865,1427.43766459,879.22183421,3498.0,10514.0,-13870.0,-4658.0,-1550.0,-18224.0,-1005.0,3475.0,-191.0,96.5,2738.30439815,9012.13888889,9411.4070216,581.80632716,606.462962963,443.972222222,18081.628858,18849.6087963,1213.84085648,726.50945216,8852,29220,1432,-2268,936,-16896,22485,32767,2567,1597,-4060,-3996,-32768,-5632,-3028,-19200,-32768,-27760,-3254,-1792,0.418255109022,0.297929689781,-0.331446039067,-0.0590442899281,-0.33028281461,0.421867067014,0.276652048465,-0.0530917886552,9
1229.44444444,9355.72222222,-12680.3888889,-4493.86111111,-1284.97222222,-18159.9444444,-1320.17361111,1907.27777778,-259.340277778,-239.444444444,3276.11407577,10773.5568705,10321.9073894,635.772913357,731.907173835,545.865371575,19940.857183,21427.8905649,1197.85815943,878.58050467,578.0,7014.0,-10318.0,-4602.0,-1304.0,-18218.0,4096.5,752.5,-288.0,-192.5,2843.00925926,9417.80246914,9059.99305556,502.987654321,574.611882716,434.618055556,17497.6331019,18778.1010802,980.080825617,710.544753086,8852,31752,1432,-2268,936,-16772,26096,32767,2065,2221,-4060,-3996,-32176,-5624,-2924,-19200,-32768,-32768,-3254,-1792,0.202232207502,0.382681689944,-0.385586144604,-0.0599679747897,-0.441556240033,0.356664534465,0.40573442315,-0.118381387274,9
303.888888889,10807.6388889,-11058.8611111,-4282.22222222,-1140.80555556,-18227.1666667,-5765.84722222,-2995.02083333,-27.7291666667,-54.875,2094.63965595,11778.8424845,9689.41188009,524.106811892,691.454262328,520.571149487,20617.308601,22779.4645938,925.64105338,881.164509815,326.0,8140.0,-7990.0,-4334.0,-1178.0,-18300.0,-4997.0,-6494.5,-50.5,33.0,1772.83333333,10573.7249228,8283.08410494,418.265432099,530.438657407,394.960648148,18399.7756559,19937.1999421,781.566261574,721.197916667,5196,31752,-228,-2884,496,-16480,26096,32767,1713,2221,-3800,-4300,-32768,-5520,-2924,-19260,-32768,-32768,-2265,-1616,-0.0691760185988,0.580597678208,-0.446371775218,0.123214750476,-0.605503165884,0.224888033212,0.472185569238,-0.00898824181687,9
908.638888889,13438.5277778,-12401.7777778,-4277.33333333,-1142.41666667,-18275.7777778,-9703.04166667,-1100.79861111,-66.8125,23.2638888889,2671.93621059,11806.9385858,10179.4124416,630.467824969,811.689729381,597.418741813,20322.9832067,23632.0583866,1166.54073494,932.961410141,1778.0,14354.0,-9866.0,-4304.0,-1132.0,-18334.0,-12129.0,-3120.0,117.5,47.0,2212.14351852,10548.7411265,9005.91358025,499.222222222,606.505787037,436.864197531,18095.150463,21092.8375772,984.5078125,772.048225309,5196,31484,-136,-2304,1084,-16136,24029,32767,1713,2318,-5476,-4300,-32768,-5928,-3780,-19600,-32768,-32768,-3293,-1688,0.147477904381,0.359826791664,-0.481044550897,-0.0597547161012,-0.634535454216,0.389655797505,0.397915924877,-0.24177953786,9
