ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-15396,20524,-32768,32767,18748,-1,-13016,9204,-10692,-1501,-21447,-1
-17932,21024,-29088,32767,14645,-1,-16384,7140,-9920,-3107,-18442,-1
-19356,19028,-21896,32274,11490,-1,-20356,5928,-10860,-3764,-16378,-1
-19060,13888,-16020,27661,9344,-1,-21292,5804,-12412,-4910,-15921,-1
-17260,7344,-13708,25752,5920,-1,-17880,5068,-15268,-5994,-15293,-1
-12576,1040,-13048,26864,1892,-1,-17912,4424,-16384,-3057,-13300,-1
-8976,-2040,-12048,28303,-1850,-1,-17228,4412,-15556,-1503,-12259,-1
-7192,-1648,-10084,28024,-5519,-1,-15332,4172,-14000,193,-10929,-1
-6256,-444,-9052,27095,-8236,-1,-14220,3812,-11776,584,-10685,-1
-7764,1452,-7088,26150,-10929,-1,-12768,2664,-9560,678,-11127,-1
-7948,2324,-6692,25407,-13502,-1,-11472,2100,-8348,510,-11409,-1
-7516,2796,-5720,22791,-17549,-1,-10180,1656,-8460,-241,-11655,-1
-8428,4340,-4936,18780,-20732,-1,-10540,1864,-7508,-710,-11846,-1
-6740,4608,-4688,15526,-24201,-1,-9576,624,-9624,-1403,-12717,-1
-4384,4516,-5436,13684,-26820,-1,-10112,1504,-8580,-2432,-13127,-1
-6520,4820,-4480,10744,-28041,-1,-10224,3092,-8136,-3111,-12948,-1
-5252,5736,-4064,9604,-28878,-1,-10732,3548,-8900,-3741,-12457,-1
-4476,6832,-4140,7212,-29035,-1,-11636,3516,-10108,-4449,-11907,-1
-2764,7748,-3996,3832,-29683,-1,-12388,3008,-11664,-5019,-11175,-1
-2144,8284,-3856,996,-30385,-1,-12656,2232,-13180,-5212,-10594,-1
-1964,7932,-4844,-265,-31108,-1,-13560,1844,-13832,-4174,-10110,-1
-908,7348,-6128,168,-30486,-1,-13716,1748,-14640,-2264,-9896,-1
-248,8160,-7576,1026,-29229,-1,-13256,1300,-14304,-202,-9438,-1
1092,9728,-7772,1165,-28491,-1,-12520,912,-13640,1218,-9062,-1
2632,11408,-7992,492,-27323,-1,-11568,344,-13168,2054,-8804,-1
3512,12724,-10072,576,-26410,-1,-10992,464,-12208,1385,-9038,-1
3640,14116,-10360,583,-25442,-1,-9720,652,-11452,932,-9200,-1
3404,14716,-9736,868,-24567,-1,-9564,408,-10764,1351,-9217,-1
3232,13892,-8984,1238,-23839,-1,-10872,-72,-11368,1865,-9480,-1
2628,12260,-8164,1441,-23676,-1,-12512,-52,-12636,2260,-9629,-1
1784,11252,-7340,927,-24083,-1,-13408,516,-14356,804,-9445,-1
1132,10608,-6492,77,-24831,-1,-13164,1468,-14992,-1807,-8032,-1
-160,10588,-5260,-1049,-25113,-1,-12844,2372,-16920,-3167,-6670,-1
-1236,9848,-4412,-1651,-25174,-1,-11752,1956,-18436,-2668,-5347,-1
