ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-1668,224,11996,32767,-21241,-1,4,-2152,-20644,856,-755,-1
-672,4192,15024,30732,-24050,-1,380,-1932,-20952,749,-1025,-1
-1260,4616,15692,29882,-22630,-1,908,-1376,-21060,757,-1225,-1
-620,13164,18960,27550,-20755,-1,1528,-756,-20992,938,-1260,-1
2060,19708,21196,24042,-17572,-1,1772,-200,-21048,1151,-1135,-1
3700,23040,23640,20181,-13999,-1,1936,-40,-20732,1212,-932,-1
5420,23768,23440,14429,-11328,-1,2016,416,-20468,1333,-431,-1
7992,24132,24088,9960,-8446,-1,1680,572,-20052,1040,271,-1
8404,23676,23956,6161,-5478,-1,876,184,-20028,501,857,-1
7924,24364,25592,2147,-2371,-1,336,-156,-20356,33,1117,-1
7632,24068,25276,-2526,1213,-1,640,-968,-20824,-288,1112,-1
7164,23812,25180,-7706,4921,-1,1472,-1468,-21096,-437,1102,-1
6524,23444,23856,-12935,8296,-1,1840,-1776,-21144,-474,1224,-1
5780,21224,22084,-16997,11650,-1,1172,-1864,-21380,-309,1210,-1
4420,20084,20448,-21410,14502,-1,648,-1808,-21224,-271,1098,-1
2716,18112,18512,-25224,17248,-1,424,-1456,-20628,-406,1064,-1
1288,15704,16868,-28670,19773,-1,352,-820,-20452,-610,1140,-1
848,14264,14816,-32078,22125,-1,476,-392,-20316,-727,1307,-1
876,12800,12264,-32768,23636,-1,484,-436,-20068,-766,1383,-1
752,10440,10244,-32768,24659,-1,520,-464,-20084,-734,1332,-1
760,8724,7688,-32768,24760,-1,684,-820,-20164,-689,1218,-1
1044,7428,5420,-32768,24219,-1,812,-1096,-20064,-661,1131,-1
1764,4792,3632,-32768,23882,-1,600,-1536,-20276,-634,881,-1
2552,2756,1640,-32768,23692,-1,896,-1620,-20404,-767,618,-1
1812,3584,452,-32768,23372,-1,1028,-1460,-20480,-949,446,-1
2784,4364,-2084,-32768,22976,-1,1376,-1296,-20572,-1082,513,-1
3296,-1160,-1508,-32768,23349,-1,1284,-1140,-20872,-1180,724,-1
3720,-1812,-4364,-32768,22137,-1,732,-896,-20644,-1256,914,-1
3808,-752,-4788,-32768,21674,-1,56,-740,-20728,-1335,797,-1
3052,-1060,-8408,-32768,21733,-1,-184,-864,-20740,-1637,740,-1
2984,-1856,-8596,-32768,21691,-1,124,-880,-20728,-1909,696,-1
2280,-3168,-10192,-32768,21567,-1,208,-1324,-21104,-1950,605,-1
1896,-4428,-11420,-32768,20537,-1,288,-1456,-21472,-1774,388,-1
312,-4800,-14180,-32768,19335,-1,128,-1536,-21408,-1453,171,-1
-852,-6288,-15584,-32768,18081,-1,-68,-1456,-21292,-1188,-108,-1
-2420,-6200,-17508,-32768,15997,-1,-176,-1224,-21052,-1006,-355,-1
-3900,-5220,-19256,-32768,12787,-1,-1100,-968,-20748,-916,-516,-1
-5408,-6940,-21876,-32768,9649,-1,-868,-828,-21052,-825,-551,-1
-7152,-8036,-25520,-31623,7090,-1,-348,-592,-21344,-517,-303,-1
-8040,-9452,-27592,-26824,4626,-1,-392,-400,-21388,-265,8,-1
-8972,-10992,-30388,-19900,2436,-1,-480,-572,-21632,143,192,-1
-8664,-12424,-31768,-11952,-124,-1,-380,-960,-22128,642,351,-1
-8528,-12488,-32364,-3121,-3435,-1,-372,-908,-21968,1396,479,-1
-8276,-10428,-31168,5221,-7253,-1,-640,-916,-21584,1929,572,-1
-7640,-8796,-30036,12272,-12024,-1,-1160,-876,-20888,2167,523,-1
-6552,-8116,-28808,19230,-17193,-1,-1324,-1044,-20064,1894,419,-1
-4936,-8804,-26732,26045,-21437,-1,-1416,-1096,-19728,1404,373,-1
-4228,-8476,-24752,31706,-24418,-1,-1044,-1224,-20016,863,441,-1
-2956,-7596,-22792,32767,-26045,-1,-348,-1248,-20112,450,555,-1
-3036,-6364,-20608,32767,-26024,-1,204,-1260,-20456,160,704,-1
-2280,-3772,-17976,32767,-25962,-1,528,-1044,-20636,53,731,-1
-2456,-2516,-16012,32767,-24814,-1,312,-1184,-20916,18,537,-1
-2400,-1476,-13772,32767,-23372,-1,312,-944,-21044,153,409,-1
-1912,-852,-12312,32767,-21131,-1,292,-1032,-21416,219,276,-1
-2488,-1148,-9640,32767,-18440,-1,576,-856,-21160,373,303,-1
-2592,-176,-7344,32767,-16147,-1,784,-820,-21104,479,402,-1
-3236,796,-5492,32767,-14258,-1,864,-464,-20896,501,510,-1
-3892,1304,-3580,32767,-13303,-1,696,-380,-21048,535,597,-1
-3284,680,-1300,32767,-12942,-1,736,-372,-21440,807,575,-1
-2328,-1116,1604,32767,-13464,-1,576,-612,-21496,973,413,-1
-2628,-4780,2204,32767,-14615,-1,376,-1300,-21344,1213,169,-1
-2956,-6012,4176,32767,-16638,-1,8,-2008,-20992,1451,-257,-1
-4264,-6080,8384,32767,-20167,-1,-176,-2408,-20816,1459,-632,-1
-6604,-3064,12108,32767,-25155,-1,-320,-2320,-20872,1210,-963,-1
-8384,4912,15812,32767,-27706,-1,-404,-2052,-20728,1047,-1256,-1
-5704,14240,20312,32767,-28585,-1,292,-1576,-20872,1006,-1513,-1
-5744,16240,21600,32767,-22793,-1,1300,-848,-21348,1148,-1595,-1
-3424,17420,25148,32584,-17023,-1,1956,-376,-21380,1447,-1242,-1
-1268,18876,26500,28424,-13944,-1,2116,60,-21088,1943,-797,-1
568,20036,26020,22741,-12483,-1,1828,168,-20424,2021,-396,-1
1972,23948,26992,15284,-10695,-1,1368,144,-19872,1817,-29,-1
3568,25108,28900,9440,-7532,-1,1104,224,-19920,1449,41,-1
4800,26480,32132,4933,-4330,-1,540,-296,-19876,727,-4,-1
4712,27244,32767,627,-223,-1,556,-660,-20712,163,70,-1
3752,24848,31172,-6186,2790,-1,400,-1356,-20872,-415,228,-1
3508,22064,29288,-11627,6282,-1,1476,-1580,-20980,-931,588,-1
2768,22732,27172,-17014,9255,-1,1732,-1432,-20780,-1196,1093,-1
1648,21560,25232,-22005,12442,-1,1388,-1172,-20732,-1166,1269,-1
-20,19548,23152,-26433,15570,-1,1080,-824,-21156,-1038,1075,-1
-1112,17380,20556,-29896,18558,-1,888,-616,-21128,-904,1005,-1
-1812,14848,17712,-32768,21075,-1,1144,-308,-20760,-901,1206,-1
-2232,13848,14924,-32768,23748,-1,644,-312,-20452,-945,1526,-1
-2144,13172,13072,-32768,26257,-1,428,-580,-20312,-1030,1659,-1
-1724,10772,11344,-32768,28571,-1,552,-1024,-20448,-1111,1545,-1
-628,9620,7572,-32768,29538,-1,944,-1224,-20820,-1148,1364,-1
500,7536,4524,-32768,30088,-1,1324,-1508,-21108,-1066,1277,-1
1712,6184,2220,-32768,31217,-1,1180,-1424,-21204,-903,1204,-1
3428,4612,416,-32768,32254,-1,1020,-1220,-21316,-715,1199,-1
2484,5276,-256,-32768,31972,-1,616,-920,-21148,-811,1339,-1
2368,1368,-1800,-32768,32767,-1,124,-628,-20832,-1001,1489,-1
2116,1792,-2496,-31999,32767,-1,-116,-480,-20612,-1183,1701,-1
1272,1172,-3180,-30091,32767,-1,176,-268,-20708,-1297,1894,-1
656,944,-3520,-29923,32767,-1,672,-220,-20604,-1264,2165,-1
-1260,1000,-3808,-30199,32767,-1,628,-500,-20448,-1236,2253,-1
-2016,596,-4380,-31932,32767,-1,580,-960,-20492,-1001,2235,-1
-3096,-272,-5968,-32768,32767,-1,344,-1244,-20704,-859,2149,-1
-3808,-2460,-7164,-32768,32397,-1,-220,-1128,-20904,-891,2058,-1
-5472,-3812,-9168,-32768,31518,-1,-640,-1256,-20916,-892,2096,-1
-6024,-5224,-10924,-32768,30662,-1,-728,-1412,-20800,-911,1899,-1
-6944,-7192,-13644,-32768,29411,-1,-1000,-1704,-20560,-1086,1464,-1
-7556,-7568,-16256,-32768,27686,-1,-616,-1504,-21428,-861,950,-1
-7892,-9068,-18644,-32768,25097,-1,-644,-1524,-21060,-611,557,-1
-8396,-10180,-22304,-32768,22164,-1,-448,-1172,-21116,-500,419,-1
-8756,-11752,-26596,-30422,18018,-1,-436,-1068,-21228,-306,399,-1
-7476,-12420,-28644,-24366,14254,-1,-556,-804,-21412,-25,376,-1
-7976,-12704,-32152,-16204,9888,-1,-856,-964,-21700,442,329,-1
-8436,-12932,-32768,-7516,4706,-1,-728,-1432,-21940,914,52,-1
-8592,-13980,-32768,1024,-748,-1,-408,-1936,-21700,1304,-243,-1
-8220,-14368,-32768,9286,-5797,-1,-296,-2068,-21184,1613,-294,-1
-6996,-13408,-32768,16502,-11342,-1,-816,-1868,-20740,1597,-115,-1
-6440,-12212,-32768,23121,-16927,-1,-1412,-1028,-20540,1224,175,-1
-6196,-11684,-31092,28824,-21763,-1,-1468,-420,-20284,684,389,-1
-5652,-10752,-28344,32767,-25990,-1,-1416,-196,-20108,124,283,-1
-5188,-9608,-24684,32767,-29206,-1,-1092,-96,-20060,-212,2,-1
-4972,-7572,-20948,32767,-31180,-1,-308,-420,-20584,-387,-18,-1
-4648,-4828,-17848,32767,-32468,-1,52,-884,-20708,-474,175,-1
-4260,-2376,-14740,32767,-32535,-1,-124,-1400,-20836,-490,291,-1
-3448,-928,-11516,32767,-30868,-1,-272,-1736,-20840,-385,205,-1
-2804,144,-9248,32767,-28711,-1,-500,-1748,-20824,-399,-53,-1
-2404,676,-7564,32767,-26832,-1,-612,-1840,-20700,-442,-315,-1
-2192,1544,-6144,32767,-24604,-1,-356,-1636,-20668,-441,-518,-1
-2504,1496,-5536,32767,-22190,-1,-52,-1428,-20788,-388,-704,-1
-3340,340,-5092,32767,-19139,-1,356,-1240,-21000,-366,-880,-1
-3884,-1404,-3448,32767,-16312,-1,1284,-1056,-21012,-141,-1033,-1
-3892,-1844,-1900,32767,-13519,-1,2544,-764,-22160,539,-829,-1
-3252,-2424,776,32767,-12602,-1,1792,-716,-23588,1560,-338,-1
-2380,-5588,1672,32767,-13307,-1,-600,-484,-23636,2904,-131,-1
-2140,-6620,3964,32767,-15727,-1,-816,-900,-21724,3160,-560,-1
-3444,-5956,6700,32767,-20556,-1,-500,-1496,-19956,2802,-1244,-1
-4956,-188,9904,32767,-25527,-1,-404,-1560,-19432,2807,-1394,-1
-3048,8256,15292,32767,-31470,-1,-824,-1484,-19128,2346,-1340,-1
-2812,9848,15824,32767,-29866,-1,-1088,-1476,-19060,1509,-1347,-1
-2716,17116,19524,32767,-26922,-1,-276,-1448,-19464,970,-1325,-1
-2984,18128,21880,32767,-24891,-1,1892,-712,-20292,798,-971,-1
-3148,15584,21084,31768,-23878,-1,2320,-56,-20948,752,-127,-1
-4456,19940,19240,25209,-22685,-1,1384,768,-20980,790,673,-1
-4292,25172,22892,20637,-18956,-1,1128,1280,-20768,934,1019,-1
-2960,28316,25048,15573,-14270,-1,1440,832,-20260,958,1182,-1
-392,29484,25540,10109,-9859,-1,1868,-36,-20440,749,1191,-1
820,29812,25580,3573,-5327,-1,1048,-1412,-20336,387,1062,-1
1096,28496,25688,-2024,-248,-1,644,-2596,-20888,-90,981,-1
1084,28376,25824,-6987,4113,-1,536,-3176,-21156,-373,1088,-1
1208,27412,23512,-12130,7938,-1,348,-3192,-20988,-669,1069,-1
1052,27008,22308,-16026,11855,-1,632,-2580,-20916,-1015,911,-1
-368,25112,20924,-19614,15764,-1,1352,-1444,-21340,-1017,924,-1
-1884,22672,19300,-23513,19569,-1,996,-316,-21100,-895,1152,-1
-2608,20760,17704,-27101,22817,-1,1056,456,-20608,-597,1448,-1
-3196,18152,15568,-29838,25531,-1,784,448,-20520,-299,1663,-1
-4052,16408,13820,-32415,28015,-1,64,240,-20100,-126,1844,-1
-4688,14576,11916,-32768,30127,-1,-428,-380,-19984,-377,1948,-1
-5104,13380,10220,-32768,31197,-1,-372,-996,-20016,-861,1955,-1
-4172,9880,8452,-32768,32062,-1,-296,-1744,-20424,-1171,1750,-1
-2352,7340,5792,-32768,32330,-1,-332,-2476,-20840,-1342,1404,-1
-960,4972,2928,-32768,32527,-1,28,-2716,-21288,-1483,971,-1
-584,6256,500,-32768,32086,-1,84,-2624,-21264,-1561,631,-1
1028,4612,0,-32768,32767,-1,88,-2072,-21200,-1603,366,-1
524,4756,-704,-32768,32428,-1,4,-1308,-20880,-1658,179,-1
1108,1760,-2184,-32768,32736,-1,48,-896,-20552,-1749,180,-1
144,1000,-3136,-32768,32767,-1,144,-604,-20496,-1821,274,-1
168,-744,-4284,-32768,32767,-1,276,-324,-20224,-1786,407,-1
-720,988,-6492,-32768,32767,-1,248,-164,-19968,-1663,553,-1
-1420,-40,-6776,-32768,32767,-1,396,-172,-20188,-1596,826,-1
-1652,-3296,-7660,-32768,32767,-1,160,-284,-20264,-1712,1223,-1
-1540,-3544,-8212,-32768,32767,-1,12,-428,-20628,-1851,1618,-1
-2024,-3948,-10040,-32768,32238,-1,-404,-736,-20904,-1904,1737,-1
-2436,-5168,-10716,-32768,31480,-1,-776,-1044,-21120,-1772,1572,-1
-3904,-4352,-11728,-32768,29815,-1,-736,-1424,-21208,-1542,1172,-1
-5100,-6904,-13552,-32768,26645,-1,-460,-1716,-21044,-1224,794,-1
-6612,-7996,-17292,-32768,23129,-1,-848,-1704,-20984,-1083,555,-1
-7684,-10740,-20652,-32768,19219,-1,-792,-1476,-21132,-889,363,-1
-8328,-10744,-25484,-32768,15503,-1,-1156,-1316,-21708,-511,212,-1
-8616,-11980,-28756,-30787,11467,-1,-964,-1260,-22112,191,35,-1
-8696,-11444,-30832,-25158,7935,-1,-904,-1224,-22160,866,-216,-1
-8580,-11452,-32768,-18175,3588,-1,-1352,-1504,-22240,1380,-579,-1
-9112,-11320,-32768,-9081,-1118,-1,-1616,-1712,-22084,1781,-902,-1
-9520,-10376,-32768,314,-5723,-1,-1504,-1600,-21492,1983,-1011,-1
-9692,-8536,-32768,9262,-10645,-1,-1512,-1256,-20988,2046,-936,-1
-8924,-8960,-32612,16964,-15662,-1,-1716,-916,-20584,1772,-740,-1
-8080,-9668,-30864,23729,-19896,-1,-1672,-500,-20412,1335,-539,-1
-7236,-8748,-29356,29905,-23410,-1,-1336,-656,-20700,934,-534,-1
-6476,-7896,-27224,32767,-26161,-1,-1052,-972,-20972,796,-714,-1
-5988,-5864,-24316,32767,-27532,-1,-804,-1352,-20992,735,-993,-1
-5272,-4556,-20940,32767,-28610,-1,-560,-1424,-21076,702,-1174,-1
-4852,-3388,-17696,32767,-28692,-1,-216,-1348,-20732,615,-1141,-1
-4452,-3196,-15160,32767,-27907,-1,-76,-924,-20464,561,-1011,-1
-3684,-3028,-13612,32767,-26719,-1,204,-420,-20216,460,-736,-1
-3772,-1120,-12072,32767,-25586,-1,432,236,-20476,427,-283,-1
-4392,84,-9796,32767,-24145,-1,748,848,-20372,489,244,-1
-3676,1044,-8180,32767,-22713,-1,1012,1324,-20540,559,741,-1
-2832,2096,-6208,32767,-21372,-1,1068,1080,-20852,742,1329,-1
-1816,2876,-4104,32767,-20216,-1,828,428,-20828,955,1854,-1
-968,2260,-3492,32767,-19324,-1,736,-244,-21056,1250,2112,-1
-776,1480,-1848,32767,-18293,-1,200,-1100,-21440,1507,2027,-1
-124,1872,516,32767,-17875,-1,-336,-1688,-21696,1728,1779,-1
1496,1148,1632,32767,-18502,-1,-296,-2156,-21724,1807,1423,-1
2744,440,4596,32767,-19682,-1,-308,-2576,-21276,1802,1056,-1
724,-1272,6844,32767,-21621,-1,-512,-2724,-20696,1517,644,-1
-564,912,11000,32767,-23781,-1,-468,-2340,-20300,1251,269,-1
-2660,8284,14372,25477,-27811,-1,-496,-1664,-20120,1032,-89,-1
332,10712,17360,26548,-29240,-1,-104,-668,-19996,750,-420,-1
-716,11352,15856,25924,-26897,-1,728,-8,-19852,446,-589,-1
-1272,16008,17924,23851,-24478,-1,976,428,-20132,220,-504,-1
364,18084,19232,20689,-20733,-1,1260,400,-20652,193,-135,-1
2324,20760,19620,17029,-17775,-1,1288,-204,-20664,247,182,-1
2252,24436,18452,12905,-14832,-1,1120,-544,-20808,361,446,-1
3432,23752,18500,9379,-11074,-1,644,-836,-20936,387,662,-1
5540,24332,18896,4693,-7614,-1,572,-1016,-20836,220,797,-1
6048,25824,20080,1283,-4213,-1,612,-1120,-20816,52,795,-1
5724,26692,21184,-2621,-686,-1,536,-1096,-20888,-4,699,-1
5476,27180,21264,-6492,3806,-1,912,-904,-21216,-74,714,-1
5136,26068,20504,-10385,7633,-1,768,-756,-21524,-47,779,-1
4680,24396,18548,-14488,10705,-1,444,-924,-21388,169,754,-1
4632,23108,17340,-17509,13782,-1,324,-1076,-21216,224,780,-1
3468,21648,16596,-20453,16849,-1,304,-824,-21004,157,952,-1
1484,20460,15660,-24069,19975,-1,116,-556,-20644,62,1142,-1
1104,18044,13716,-27023,23232,-1,40,-532,-20516,-45,1254,-1
1048,16620,11840,-28372,26177,-1,-36,-588,-20564,-166,1326,-1
20,14532,9920,-29799,28530,-1,184,-740,-20452,-236,1355,-1
-380,12536,7912,-32312,30107,-1,184,-868,-20304,-379,1390,-1
572,10648,5716,-32768,30793,-1,116,-1088,-20528,-490,1440,-1
1168,7844,3604,-32768,30843,-1,256,-1172,-20468,-519,1463,-1
2004,7136,1484,-32768,30849,-1,488,-1268,-20736,-516,1479,-1
1316,5216,568,-32768,31110,-1,304,-1200,-20828,-557,1513,-1
1560,3824,-1160,-32768,30496,-1,428,-920,-20760,-492,1599,-1
1672,1436,-1584,-32768,29705,-1,212,-728,-20812,-461,1694,-1
568,480,-2688,-32768,28924,-1,-24,-680,-20716,-656,1748,-1
536,-1144,-3720,-32768,29051,-1,92,-732,-20508,-714,1688,-1
64,-904,-5320,-32768,28944,-1,88,-1108,-20676,-693,1589,-1
-624,-1272,-6288,-32768,28629,-1,260,-1244,-20860,-632,1426,-1
-1148,-1676,-7664,-32768,28411,-1,272,-1464,-20948,-509,1250,-1
-2292,-3108,-7372,-32768,28369,-1,152,-1508,-20876,-362,1089,-1
-3284,-4764,-9024,-32768,29336,-1,356,-1496,-20796,-350,1057,-1
-4028,-3812,-10976,-32768,29199,-1,116,-1480,-20772,-511,1104,-1
-3712,-3972,-12456,-32768,28961,-1,-232,-1340,-20684,-596,946,-1
-4700,-5576,-13828,-32768,28106,-1,-652,-1112,-20996,-593,579,-1
-5696,-6256,-14528,-32768,26866,-1,-708,-1136,-20840,-548,134,-1
-7076,-5656,-18444,-32768,24709,-1,-316,-1044,-20672,-500,-191,-1
