ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-324,28716,28084,-15794,30410,-1,-824,-2500,-19564,-4172,1296,-1
-2936,24156,27236,-19493,32234,-1,236,-2948,-20284,-5356,875,-1
-6400,20692,25264,-22021,32767,-1,1348,-2884,-21976,-5638,850,-1
-8276,18540,24456,-23553,32767,-1,1492,-2672,-23640,-5444,815,-1
-9472,16528,23324,-24016,32767,-1,1016,-2220,-23648,-5216,727,-1
-10912,13264,21840,-24167,32767,-1,572,-1848,-22804,-3922,161,-1
-12848,13744,19368,-24697,32767,-1,312,-1048,-22100,-3298,-444,-1
-12836,13164,16728,-23024,32767,-1,24,-232,-21184,-3583,-462,-1
-12516,8096,11952,-22402,32767,-1,-164,448,-20296,-3780,2,-1
-10712,9212,9948,-20990,32767,-1,-988,716,-19480,-4080,381,-1
-8832,9260,8608,-20245,32767,-1,-1304,568,-19052,-4118,501,-1
-6892,7436,9024,-15596,32767,-1,-724,-4,-19304,-3898,313,-1
-4912,5604,6608,-21473,32767,-1,-668,-640,-19656,-4013,-104,-1
-5136,6308,4932,-16183,32767,-1,-792,-1028,-20376,-4080,-167,-1
-6032,-5156,5184,-15818,32767,-1,-408,-1204,-22028,-4017,-416,-1
-2076,6872,3404,-18718,32767,-1,432,-1320,-21972,-3656,-42,-1
-3136,1044,1104,-13254,32767,-1,-476,-1548,-22484,-3168,25,-1
-2928,-612,-592,-16234,32767,-1,-504,-1032,-22012,-2371,209,-1
-3000,-1752,-3440,-15409,32767,-1,-1708,-848,-21264,-1997,16,-1
-872,-7208,-4772,-16089,32767,-1,-1664,-1004,-20640,-1760,-267,-1
-1380,-9628,-9244,-15390,30945,-1,-2124,-920,-21112,-1317,-376,-1
-1872,-13320,-14644,-15867,28072,-1,-1624,-932,-20448,-1449,-351,-1
-936,-18960,-15676,-11856,23720,-1,-1844,-148,-21040,-1099,-53,-1
-560,-18648,-19216,-11064,19094,-1,-1356,112,-20612,-852,493,-1
716,-24540,-21984,-8233,11928,-1,-1604,236,-21424,-37,1091,-1
596,-28656,-26376,-4617,5635,-1,-2268,-8,-22300,641,1040,-1
-780,-28184,-28488,-1706,-735,-1,-2796,-504,-22672,1369,1171,-1
-936,-26152,-27952,1032,-6474,-1,-3600,-1040,-22704,2311,1180,-1
-512,-24616,-25628,2850,-11891,-1,-3488,-1244,-21904,2992,1319,-1
-892,-20496,-24344,3884,-16649,-1,-4128,-1148,-21176,2990,1245,-1
-876,-17112,-21808,5671,-21167,-1,-4628,-992,-20252,2657,1118,-1
-828,-12320,-18884,7714,-25060,-1,-4428,-796,-19772,1990,912,-1
-488,-8588,-15820,8984,-28226,-1,-3296,-740,-19580,1483,871,-1
-840,-4628,-13260,10803,-29576,-1,-2068,-828,-19632,1230,1077,-1
-524,-1352,-10460,12424,-30810,-1,-1240,-792,-20128,1280,1217,-1
-512,1324,-7936,15197,-31170,-1,-980,-604,-20616,1558,1342,-1
-232,3000,-6136,17009,-31517,-1,-968,-664,-20908,1864,1276,-1
-236,2916,-4548,19965,-31247,-1,-508,-936,-21064,2219,1169,-1
-704,4336,-4060,21157,-30411,-1,-176,-1144,-21148,2530,1049,-1
-840,6224,-2164,22998,-28719,-1,-228,-1184,-20848,2554,904,-1
-1192,7960,-344,26376,-26328,-1,-32,-1372,-20788,2673,927,-1
-1676,8180,1808,29435,-23978,-1,112,-1400,-20904,2813,1051,-1
-1504,5644,4440,31765,-22826,-1,324,-1500,-21548,3003,1217,-1
-2416,2936,6408,32767,-22871,-1,764,-1524,-21624,3254,1381,-1
-4160,3308,9692,32767,-22507,-1,1128,-1448,-21932,3705,1666,-1
-5696,8996,13108,32767,-21732,-1,604,-980,-21012,4137,1642,-1
-6076,14240,15644,32386,-20079,-1,-556,-680,-20352,4350,1282,-1
-6812,11992,16040,29372,-19697,-1,-784,-712,-20572,4080,829,-1
-7332,6840,13764,25763,-22379,-1,-912,-732,-20772,3627,838,-1
-4956,11928,20068,22702,-22792,-1,-660,-1056,-20264,3153,1274,-1
