ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
6108,6336,-9524,1769,27916,-1,-12060,-2460,-13800,-1817,440,-1
6496,4060,-9752,1727,26927,-1,-12100,-2488,-13792,-1745,366,-1
5700,3296,-10056,1640,26210,-1,-12240,-2684,-13280,-1838,327,-1
4972,3908,-10360,1472,25795,-1,-12504,-2768,-13132,-1955,208,-1
4392,4324,-9952,852,25555,-1,-12760,-2940,-13156,-1986,49,-1
4152,2988,-9940,246,25016,-1,-12624,-2924,-13196,-1917,-132,-1
4704,796,-9692,-401,24021,-1,-12748,-2768,-13416,-1761,-209,-1
5168,-260,-9272,-1390,23554,-1,-13024,-2760,-13432,-1455,-265,-1
5308,-440,-8924,-2682,23916,-1,-13440,-2864,-13472,-1006,-317,-1
4940,-1164,-8784,-3945,24509,-1,-13260,-2764,-13368,-668,-483,-1
5132,-2536,-9580,-5312,24475,-1,-12544,-2560,-12948,-597,-568,-1
6016,-5964,-11960,-6063,23531,-1,-12000,-2260,-12756,-622,-637,-1
6480,-9052,-12580,-6087,21762,-1,-11688,-2104,-12772,-1075,-678,-1
8452,-11724,-13576,-5334,19598,-1,-11576,-1908,-12584,-1412,-542,-1
9640,-13812,-14612,-4016,17048,-1,-11628,-1764,-12888,-1368,-372,-1
10228,-15592,-15548,-2744,13852,-1,-11540,-1964,-13080,-1022,-166,-1
11408,-17932,-16080,-1369,10341,-1,-11920,-2268,-13220,-704,1,-1
12352,-18872,-16136,-336,7263,-1,-11888,-2428,-13096,-485,21,-1
12648,-19220,-16904,762,3919,-1,-12168,-2780,-13088,-269,-74,-1
12492,-17728,-16228,1200,628,-1,-12032,-2588,-13104,49,-141,-1
11588,-16344,-15424,1708,-2866,-1,-11984,-2492,-13148,320,-68,-1
11008,-14848,-14500,1820,-6394,-1,-11968,-2436,-12928,401,69,-1
10468,-13676,-13964,1543,-9681,-1,-12156,-2440,-12840,596,196,-1
9940,-12028,-13284,900,-12550,-1,-12416,-2596,-12664,672,225,-1
9824,-10948,-12544,385,-15036,-1,-12696,-2748,-12592,545,227,-1
9584,-9804,-12336,298,-17127,-1,-12608,-2576,-12580,410,240,-1
9284,-8324,-11796,199,-18735,-1,-12508,-2700,-12700,366,211,-1
8912,-7240,-11352,362,-20154,-1,-12584,-2772,-12748,406,200,-1
8508,-6032,-11072,393,-21429,-1,-12412,-2852,-12864,421,180,-1
8240,-4564,-10432,423,-22293,-1,-12332,-2996,-12912,431,83,-1
7944,-3344,-10200,223,-23177,-1,-12144,-2952,-12992,514,-17,-1
7592,-2152,-9728,-189,-23960,-1,-12172,-2884,-13240,668,-99,-1
7204,-1236,-9528,-569,-24761,-1,-12112,-2800,-13152,852,-117,-1
6988,4,-9400,-1224,-25610,-1,-12208,-2712,-13160,998,-159,-1
6936,912,-9348,-1799,-26534,-1,-11988,-2564,-13052,1057,-105,-1
6720,2288,-9672,-2356,-27372,-1,-12084,-2504,-13056,1036,-118,-1
6276,3180,-9916,-2532,-28097,-1,-11788,-2444,-13120,1022,-43,-1
5668,5296,-10640,-3078,-28550,-1,-11688,-2584,-13092,1034,-6,-1
4504,7264,-10932,-3207,-28469,-1,-11768,-2484,-12936,923,62,-1
4192,8460,-10832,-2613,-28190,-1,-11992,-2492,-13120,843,117,-1
3952,9088,-10640,-1899,-28000,-1,-12196,-2680,-13192,760,130,-1
3968,10040,-10596,-1171,-27409,-1,-12028,-2532,-13264,704,141,-1
3984,12768,-10416,-806,-25841,-1,-11820,-2560,-13732,815,217,-1
3536,14688,-10764,-291,-24161,-1,-11824,-2620,-13968,911,264,-1
2668,14652,-10876,477,-22675,-1,-11740,-2616,-13860,1040,264,-1
3576,14292,-10924,1578,-21320,-1,-11724,-2528,-14024,1209,277,-1
4572,14700,-10296,1980,-19969,-1,-11620,-2396,-13936,1288,265,-1
5188,16620,-9652,1793,-18118,-1,-11364,-2300,-13836,1499,292,-1
5840,16852,-10396,1924,-16794,-1,-11248,-2404,-13788,1633,412,-1
5032,17608,-10576,1892,-15694,-1,-11228,-2316,-13548,1588,478,-1
5680,20348,-10600,1489,-13563,-1,-11204,-2320,-13512,1449,536,-1
5472,21864,-10796,980,-11129,-1,-11144,-2332,-13352,1274,615,-1
5808,23064,-11160,976,-8453,-1,-11008,-2308,-13328,1004,624,-1
6440,24240,-11660,1369,-5693,-1,-11488,-2200,-13296,733,630,-1
7116,25048,-11468,1669,-3076,-1,-11320,-2416,-13608,436,627,-1
7536,25944,-11340,2086,-181,-1,-11236,-2616,-13840,-36,608,-1
6736,25840,-10912,2429,2847,-1,-11364,-2620,-13684,-331,524,-1
6936,25836,-10688,3023,6084,-1,-11388,-2576,-13564,-624,360,-1
6548,24820,-9956,3343,8956,-1,-11232,-2592,-13640,-876,176,-1
5840,23556,-9604,3420,11741,-1,-11336,-2456,-13484,-1064,113,-1
5028,22120,-8948,3446,14213,-1,-11188,-2384,-13360,-1322,29,-1
4240,20268,-8348,3347,16578,-1,-11200,-2220,-13500,-1553,52,-1
3860,18960,-7912,2990,18854,-1,-11264,-2168,-13552,-1673,114,-1
3640,17240,-7584,2553,20976,-1,-11468,-2248,-13656,-1791,280,-1
3624,15972,-7608,2052,22697,-1,-11448,-2332,-13764,-1932,375,-1
3764,14424,-7868,1796,24160,-1,-11896,-2388,-13800,-1903,404,-1
3632,13684,-7968,1624,25628,-1,-12064,-2480,-13880,-1779,426,-1
3880,12700,-8196,1431,26753,-1,-12064,-2548,-13808,-1636,343,-1
4292,11412,-8396,1340,27702,-1,-12144,-2752,-13704,-1546,214,-1
4980,9844,-9056,1491,28469,-1,-12136,-2676,-13784,-1415,88,-1
5484,9240,-9088,1592,29223,-1,-12080,-2592,-13836,-1227,-32,-1
5568,9072,-9276,1642,29856,-1,-12196,-2448,-13628,-995,-147,-1
5528,7476,-9264,1609,29941,-1,-12504,-2324,-13548,-830,-182,-1
5344,5764,-9480,1662,29836,-1,-12536,-2284,-13476,-710,-194,-1
4856,4312,-9124,1282,29861,-1,-12472,-2160,-13504,-633,-238,-1
4932,2432,-8664,762,29920,-1,-12316,-2236,-13488,-579,-302,-1
5236,1100,-9072,277,29895,-1,-12268,-2008,-13320,-605,-290,-1
5708,-848,-10188,273,29520,-1,-12304,-1984,-13300,-700,-227,-1
5640,-3108,-10212,209,28818,-1,-12528,-1992,-13344,-597,-57,-1
6004,-4432,-9736,271,28115,-1,-12376,-2028,-13368,-320,4,-1
6004,-5720,-10076,456,27453,-1,-12040,-1960,-13436,-278,99,-1
6420,-7500,-11240,565,26370,-1,-11960,-2044,-13412,-193,204,-1
6324,-8600,-11880,1007,25254,-1,-11964,-2120,-13416,-51,281,-1
6428,-8220,-11792,292,24084,-1,-11872,-2212,-13352,203,378,-1
6520,-9584,-12152,-1104,21805,-1,-11816,-2100,-13324,461,384,-1
6840,-12384,-13968,-1621,18491,-1,-12120,-2044,-13380,511,422,-1
7452,-17788,-14908,-2057,14633,-1,-12204,-2140,-13264,632,457,-1
11400,-21684,-15664,-2009,10200,-1,-12112,-2148,-13544,952,524,-1
12720,-24048,-15656,-737,6339,-1,-12232,-2448,-13508,1195,423,-1
13920,-24080,-15148,1066,3262,-1,-12088,-2560,-13400,1269,200,-1
13392,-22712,-14856,2544,64,-1,-11888,-2632,-13420,1279,2,-1
12792,-21428,-14676,3775,-3099,-1,-11732,-2612,-13248,1403,-161,-1
11612,-19048,-14104,3805,-6498,-1,-11824,-2480,-13004,1374,-202,-1
10672,-16680,-13692,2920,-9902,-1,-12088,-2400,-12884,1121,-262,-1
9764,-14264,-12368,1281,-13140,-1,-12116,-2140,-12820,968,-219,-1
9076,-11804,-11496,-230,-16084,-1,-12220,-2100,-13116,821,-136,-1
8948,-10256,-11112,-1498,-18638,-1,-12156,-2000,-13260,612,-96,-1
8564,-8476,-10656,-2659,-20654,-1,-12040,-2052,-13292,523,-10,-1
8328,-7256,-10436,-3700,-22183,-1,-11812,-2108,-13240,477,7,-1
8616,-6864,-11108,-4226,-23588,-1,-11780,-2228,-13204,439,-28,-1
8052,-6148,-10892,-4607,-24590,-1,-11584,-2200,-13368,417,-82,-1
7840,-5428,-10636,-4413,-25612,-1,-11632,-2340,-13572,450,-88,-1
7864,-4184,-10392,-4213,-26515,-1,-11792,-2392,-13596,608,-112,-1
7384,-2544,-10048,-4374,-27532,-1,-11724,-2396,-13604,766,-224,-1
6868,-872,-10144,-4699,-28553,-1,-11496,-2460,-13696,822,-323,-1
6864,668,-10100,-4945,-29406,-1,-11496,-2456,-13616,874,-478,-1
6536,1800,-11024,-5183,-30337,-1,-11468,-2284,-13716,922,-585,-1
5712,2908,-11552,-5518,-31234,-1,-11376,-2192,-13696,1025,-659,-1
5184,5136,-12648,-5369,-31589,-1,-11276,-2012,-13804,1074,-616,-1
4556,7336,-13552,-4746,-31513,-1,-11276,-1936,-13912,1155,-547,-1
4764,9224,-14492,-3685,-30832,-1,-11380,-2068,-14112,1194,-431,-1
4748,10248,-14304,-2580,-30369,-1,-11556,-1904,-14020,1070,-319,-1
4720,10940,-12456,-1693,-30412,-1,-11572,-1980,-13956,1004,-199,-1
4368,10936,-10816,-590,-30316,-1,-11420,-2032,-14016,946,-16,-1
4064,11716,-9888,1081,-29072,-1,-11212,-2084,-13896,880,243,-1
3776,12676,-9688,2845,-27399,-1,-11084,-2268,-13864,820,390,-1
3356,14296,-10532,4284,-25786,-1,-11232,-2388,-13756,698,471,-1
2228,17284,-10088,4514,-23663,-1,-11400,-2568,-13880,487,466,-1
2216,19532,-8944,3702,-21062,-1,-11420,-2764,-14016,424,334,-1
3064,21344,-8884,2873,-18351,-1,-11000,-2916,-14548,532,245,-1
3472,22588,-8184,2414,-15669,-1,-10744,-2812,-14468,881,144,-1
3596,24236,-8124,2302,-12867,-1,-10524,-2720,-14356,1053,62,-1
3764,26488,-8268,2099,-9530,-1,-10544,-2440,-14004,1012,8,-1
4336,28220,-8712,1832,-5750,-1,-10328,-2080,-13988,876,62,-1
4140,30744,-8008,720,-1293,-1,-10336,-1852,-14000,643,143,-1
4448,30716,-8544,115,2745,-1,-10248,-1740,-13864,336,320,-1
5120,29612,-9124,191,6603,-1,-10396,-1784,-13784,-98,462,-1
5728,28340,-8856,512,10359,-1,-10600,-2020,-13484,-699,532,-1
5832,26944,-8588,711,13805,-1,-10828,-2448,-13700,-1322,478,-1
4904,25584,-7772,563,16971,-1,-11112,-2884,-13664,-1916,324,-1
3748,23768,-7336,421,19873,-1,-11256,-3172,-13968,-2298,58,-1
3372,21712,-7760,496,22761,-1,-11320,-3284,-14224,-2376,-193,-1
3356,20148,-8464,381,25266,-1,-11236,-3172,-14444,-2282,-405,-1
2440,19640,-8388,-101,27430,-1,-11268,-2804,-14224,-2184,-556,-1
1172,17816,-8272,-268,29133,-1,-11376,-2416,-14056,-2207,-597,-1
1596,15196,-8344,-251,30302,-1,-11356,-1888,-13864,-2222,-460,-1
2484,12556,-8860,-337,30998,-1,-11352,-1604,-13584,-2145,-228,-1
3316,10804,-9000,-558,31575,-1,-11500,-1596,-13540,-2134,0,-1
3540,8880,-9568,-619,31609,-1,-11772,-1812,-13784,-2094,198,-1
2924,7928,-9868,-481,31947,-1,-11948,-1920,-13892,-2051,345,-1
2208,7096,-9760,-934,32051,-1,-12144,-2128,-13812,-1985,377,-1
1056,5628,-9640,-1804,32249,-1,-12164,-2524,-13812,-1802,323,-1
956,2604,-10348,-2438,32194,-1,-12268,-2668,-13740,-1625,159,-1
1456,204,-11360,-2970,31873,-1,-12444,-2632,-13804,-1665,93,-1
2460,-2240,-12532,-2683,31298,-1,-12288,-2116,-13768,-1583,84,-1
3272,-4060,-12356,-1997,30813,-1,-12320,-1892,-13596,-1488,158,-1
3672,-5384,-12604,-905,30107,-1,-12220,-1960,-13404,-1281,300,-1
3920,-7160,-12944,209,29062,-1,-11960,-1896,-13200,-1160,405,-1
4748,-8876,-13444,1402,27786,-1,-11796,-2008,-13040,-1034,509,-1
5088,-10728,-14400,2525,26129,-1,-11672,-2208,-12948,-942,550,-1
