ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-3728,-1828,17924,10311,-5487,-1,2016,-3584,-21024,1207,1567,-1
-3612,-4780,18884,11046,-6219,-1,2324,-3864,-20304,1271,1651,-1
-5732,-5444,17568,10699,-7953,-1,1800,-3720,-19868,1192,1607,-1
-5516,-7752,16152,11785,-8575,-1,1164,-3816,-20088,721,1413,-1
-4876,-6472,16496,10493,-8926,-1,1732,-3636,-19832,415,1022,-1
-4680,-3360,17996,10103,-9754,-1,1840,-3528,-20176,347,786,-1
-4768,-4676,17352,10283,-9281,-1,1876,-3828,-20668,526,499,-1
-7024,-1772,16944,8884,-10634,-1,2416,-4136,-20652,917,351,-1
-5532,-3052,16696,8621,-9579,-1,2276,-4032,-20112,815,374,-1
-5808,-188,17572,6198,-8809,-1,2148,-3876,-20416,622,343,-1
-6128,844,17328,5054,-8115,-1,2440,-3236,-20024,639,480,-1
-4856,1508,19044,5612,-6954,-1,2320,-3244,-19864,629,597,-1
-4612,508,17272,2737,-6498,-1,2252,-3544,-19972,625,744,-1
-4336,1180,16836,1862,-5013,-1,2436,-3896,-20040,655,773,-1
-5264,1288,16516,877,-3575,-1,2520,-4168,-20296,770,714,-1
-3872,1652,17456,-965,-3579,-1,2180,-4232,-19956,945,730,-1
-4300,1220,18356,-91,-2805,-1,2036,-4032,-19768,864,729,-1
-5144,12,17860,-381,-1722,-1,1636,-4216,-19692,641,570,-1
-5532,-1180,16904,-689,-588,-1,1724,-4024,-19852,380,427,-1
-5704,-2004,16080,-881,296,-1,1824,-3928,-19956,221,333,-1
-6128,-1796,16320,-2217,167,-1,1928,-3920,-20056,91,262,-1
-5376,-3844,16428,-1697,639,-1,1956,-3812,-20188,46,123,-1
-5612,-2988,16148,-3545,321,-1,2084,-3972,-20096,33,75,-1
-5036,-4356,15552,-3725,119,-1,2384,-4160,-20472,80,3,-1
-4660,-5640,14652,-3483,274,-1,2304,-4352,-20364,121,33,-1
-4580,-5468,14472,-4014,237,-1,2312,-4368,-20104,62,13,-1
-4364,-5764,14632,-4209,75,-1,2184,-4304,-20036,-26,30,-1
-4080,-5616,14424,-4300,123,-1,2104,-4260,-20236,-112,-73,-1
-4036,-5436,14160,-4350,17,-1,2064,-4188,-20244,-115,-69,-1
-3816,-5244,14060,-4460,-472,-1,2244,-4024,-20120,-188,-40,-1
-3816,-5388,13588,-3834,-578,-1,2160,-3932,-20292,-266,11,-1
-3604,-5540,13508,-3368,-479,-1,2296,-3764,-20388,-262,42,-1
-3396,-5240,13624,-2726,-463,-1,2312,-3768,-20536,-265,103,-1
-3348,-5020,13604,-2247,-480,-1,2372,-3916,-20320,-297,162,-1
-3348,-4524,13908,-1790,-440,-1,2376,-3896,-20416,-291,212,-1
-3380,-3972,13820,-1601,-455,-1,2256,-3864,-20268,-332,256,-1
-3152,-3756,14388,-1395,-394,-1,2264,-3648,-20252,-281,238,-1
-3324,-3136,14324,-1383,-242,-1,2460,-3760,-20244,-205,293,-1
-3268,-2984,14620,-1261,145,-1,2516,-3812,-20448,-138,397,-1
-3220,-2480,14800,-1309,470,-1,2228,-3872,-20304,-60,483,-1
