ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
2964,9164,952,-12961,1642,-1,-5532,-2148,-18260,-997,906,-1
3684,8716,-36,-12975,1622,-1,-5300,-2220,-18644,-970,611,-1
3476,7536,-2108,-13274,1190,-1,-5660,-1920,-18476,-727,393,-1
2956,7412,-3580,-13377,1013,-1,-5772,-1844,-18024,-675,163,-1
3280,8616,-4648,-13137,1037,-1,-5984,-1596,-17784,-671,-188,-1
3504,8768,-5380,-12127,1297,-1,-5480,-1632,-17688,-731,-433,-1
4256,6632,-4636,-11494,1222,-1,-5580,-1320,-18008,-783,-569,-1
3412,7224,-8292,-11470,1015,-1,-5540,-1352,-17960,-785,-652,-1
2576,8164,-9600,-10734,1862,-1,-5452,-1292,-18172,-782,-607,-1
2596,8732,-11064,-9964,2353,-1,-5480,-1140,-18148,-864,-474,-1
1820,7328,-12764,-9107,2802,-1,-5588,-888,-17980,-890,-418,-1
1392,6564,-13060,-7872,3343,-1,-5544,-592,-18212,-769,-324,-1
1052,6012,-13484,-6702,4364,-1,-5476,-372,-18164,-660,-380,-1
132,6328,-14280,-5840,4686,-1,-5648,-624,-18112,-380,-417,-1
-372,6676,-15312,-4877,4817,-1,-5864,-896,-18236,-203,-528,-1
-1076,6244,-15520,-4075,4950,-1,-6044,-1080,-18116,-258,-565,-1
-1276,5448,-16604,-3288,5554,-1,-5752,-984,-17900,-278,-781,-1
-1452,4752,-17432,-2273,5846,-1,-5800,-768,-18388,-406,-734,-1
-1416,4636,-17772,-1145,6025,-1,-5480,-328,-17920,-350,-847,-1
-1764,4628,-18260,123,6046,-1,-5364,-72,-17672,47,-827,-1
-1580,4760,-18468,1288,5925,-1,-5332,264,-17612,288,-725,-1
-1476,4280,-18960,2370,5739,-1,-5232,4,-17204,336,-542,-1
-1372,3780,-18492,3453,5488,-1,-5396,-116,-17388,197,-366,-1
-1168,3488,-18188,4264,5072,-1,-5400,-336,-17528,1,-234,-1
