ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-14716,3536,808,-2405,3406,-1,5692,3548,-18076,-41,-2141,-1
-14812,3596,628,-2557,2793,-1,5932,3588,-18652,-178,-1849,-1
-14760,3612,576,-2708,2173,-1,6120,3588,-18652,-273,-1468,-1
-14376,3352,632,-2788,1657,-1,6352,3628,-18604,-320,-929,-1
-14456,3396,280,-2751,825,-1,6600,3932,-18232,-578,-345,-1
-14316,3456,296,-2900,206,-1,5880,3448,-18332,-514,57,-1
-13964,3600,228,-3074,-489,-1,6580,3316,-19020,-160,387,-1
-13676,3524,176,-2973,-1163,-1,5920,3188,-19196,222,695,-1
-13544,3752,-60,-3109,-1831,-1,5720,3352,-18752,379,957,-1
-13392,4220,-156,-3095,-2551,-1,5580,3324,-18992,8,1344,-1
-13652,4496,-104,-3059,-3227,-1,5220,3116,-19832,-241,1818,-1
-13980,4864,-180,-2601,-3817,-1,4916,2948,-21468,-279,2256,-1
-14936,5596,-80,-1952,-4591,-1,5656,2368,-23120,-74,2984,-1
-15948,6004,300,-958,-5481,-1,6900,1040,-26644,-440,4099,-1
-17624,6336,684,309,-6831,-1,6536,-572,-29056,993,5406,-1
-18984,6716,1468,1961,-8300,-1,3640,-2104,-28364,3685,5991,-1
-19056,7176,1708,3925,-9734,-1,-328,-3232,-25100,4185,5147,-1
-18144,7832,1588,5733,-11064,-1,-1884,-4560,-22600,2307,3707,-1
-16944,7488,1096,7495,-12241,-1,-1252,-6076,-23240,744,2418,-1
-17620,6848,772,9169,-13262,-1,1060,-7048,-25172,136,1569,-1
-19144,6132,1324,11277,-14264,-1,4476,-5768,-27432,708,967,-1
-21444,6496,1952,13275,-15490,-1,7028,-2952,-27984,2540,1254,-1
-22652,6660,2948,15654,-16361,-1,5064,-508,-25352,4032,1907,-1
-23296,6880,2812,17605,-16702,-1,2204,624,-22424,4093,1999,-1
-22528,7000,2372,18099,-16575,-1,1440,532,-20324,3304,2036,-1
-21508,6784,1952,17434,-15970,-1,2500,-180,-19308,2522,2545,-1
-20344,5616,1300,15805,-14798,-1,3308,-1676,-19324,2010,3367,-1
-18736,4868,272,14172,-13172,-1,3548,-2928,-19372,1881,4103,-1
-17352,4844,-24,12362,-11498,-1,3256,-3392,-18564,1762,4469,-1
-15952,4376,-312,10733,-9482,-1,3160,-3280,-17272,1656,4584,-1
-14900,3896,68,9200,-7796,-1,2848,-2400,-15680,1329,4728,-1
-14100,3524,828,7602,-6266,-1,2428,-1760,-14640,808,4843,-1
-13520,3256,1480,6076,-4928,-1,2040,-1528,-13888,236,4862,-1
-13180,3100,1792,4885,-3732,-1,1940,-1696,-13844,-577,4836,-1
-13164,3228,2152,3918,-2713,-1,2220,-2476,-14760,-1345,4818,-1
-13396,3640,2396,3302,-1830,-1,2308,-3508,-16144,-2015,4648,-1
-13724,4556,2816,2993,-1171,-1,2584,-4640,-17660,-2445,4236,-1
-14100,5316,2716,2942,-519,-1,3384,-5484,-19396,-2724,3673,-1
-14532,5752,2984,2999,88,-1,4208,-5540,-20568,-2751,3100,-1
-14960,5976,3020,3127,826,-1,5036,-5016,-21240,-2344,2496,-1
-15328,6296,2796,3141,1642,-1,5360,-3944,-21136,-1580,1856,-1
-15692,5984,2628,2966,2685,-1,4660,-2976,-20704,-970,1199,-1
-15916,5596,2864,2652,3970,-1,4460,-2432,-20012,-706,819,-1
-16488,5388,2600,1429,5143,-1,4372,-1708,-19316,-632,851,-1
-16320,4796,2672,138,6414,-1,4472,-1380,-19084,-624,1218,-1
-16568,4264,2416,-1334,7663,-1,4748,-1312,-18872,-603,1780,-1
-16732,3808,2216,-3172,8873,-1,5356,-1532,-18984,-427,2461,-1
-16600,3568,1972,-5113,9987,-1,5504,-1640,-19380,-139,3090,-1
-16692,3560,1612,-7020,10712,-1,5256,-1764,-19344,221,3498,-1
-17080,2644,1400,-9220,11611,-1,4948,-2092,-19392,705,3699,-1
-16532,2504,1832,-10584,11988,-1,4596,-2508,-19020,1354,3909,-1
-16676,2384,1320,-12501,12400,-1,4092,-2820,-18244,1460,4114,-1
-16620,1896,1720,-13471,12893,-1,4260,-2908,-18604,1275,4043,-1
-16924,1864,1836,-14662,12750,-1,3936,-2552,-20180,1582,3375,-1
-17648,1656,1928,-15314,12615,-1,2676,-1212,-21884,1652,2044,-1
-18816,1756,2192,-15628,11942,-1,4312,-392,-23868,2604,737,-1
-19932,2440,2480,-15449,11133,-1,5168,88,-24220,4122,55,-1
-20268,3012,2508,-15310,10537,-1,3760,-532,-22556,5113,408,-1
-19636,3876,2352,-15096,10108,-1,-8,-1240,-21828,4043,892,-1
-20360,4556,1976,-14977,9518,-1,-1996,40,-26988,34,436,-1
-24300,4996,2016,-15050,8213,-1,-500,1260,-32768,-2084,-118,-1
-28496,5800,2560,-14775,6510,-1,96,3724,-32768,2197,-27,-1
-29380,6304,2612,-14401,4597,-1,1864,3372,-26100,6042,827,-1
-25232,7120,1188,-13211,3528,-1,1168,-1228,-20740,4039,2211,-1
-18892,8172,-1008,-12244,3154,-1,-1508,-5160,-18164,-517,3212,-1
-13372,8468,-3472,-12395,3863,-1,-2584,-6592,-17836,-1206,2244,-1
-10212,7144,-5748,-13268,4224,-1,-3036,-5508,-16928,-646,-341,-1
-8648,5848,-7764,-13436,5555,-1,-1468,-3900,-16036,-782,-2675,-1
-9188,5268,-7584,-14211,6617,-1,-548,-1852,-15744,-1596,-3675,-1
-10392,5568,-5940,-13705,7061,-1,596,-336,-16528,-2189,-3363,-1
-12212,7220,-4840,-12590,6779,-1,1672,1336,-18468,-2427,-2250,-1
-13316,8400,-3308,-10730,5399,-1,3396,2592,-21824,-2477,-879,-1
-12544,9636,-2004,-8374,2965,-1,2404,4460,-23020,-2658,464,-1
-11264,10600,-1676,-5251,-152,-1,2388,5320,-23340,-2019,1247,-1
-10132,11280,-1948,-1594,-3975,-1,2384,4424,-22668,-781,1666,-1
-8980,10924,-2316,1658,-7841,-1,1996,2148,-21456,443,1908,-1
-8428,9532,-3140,4760,-10617,-1,1804,140,-20976,592,1854,-1
-8292,8264,-3036,7609,-12296,-1,1508,-1472,-20564,201,1669,-1
-8796,7876,-2956,10307,-13708,-1,988,-1832,-20396,-29,1358,-1
-9232,6540,-2292,13111,-14305,-1,964,-1972,-20072,-78,1176,-1
-11032,6756,-1644,15126,-14861,-1,748,-1268,-20316,-117,683,-1
