ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-27792,5536,2100,-1559,13244,-1,2680,3924,-31936,5570,2233,-1
-29804,7620,2780,-806,11795,-1,636,1280,-32348,4767,3771,-1
-30660,8408,3328,-788,10085,-1,-3140,408,-32768,1908,5049,-1
-30464,7724,2212,-1961,8849,-1,-4700,1520,-32768,-496,5522,-1
-29004,6424,240,-3939,8017,-1,-3560,1448,-32244,-965,5470,-1
-26300,5644,-3144,-6054,7400,-1,-1360,-380,-28880,-658,5388,-1
-22308,4636,-5924,-7592,6550,-1,360,-2928,-25188,-1100,5036,-1
-18196,4260,-7084,-8300,5449,-1,560,-4492,-22340,-1370,4194,-1
-14648,3632,-7268,-8264,4848,-1,940,-4744,-20360,-993,2946,-1
-11772,3432,-6468,-8519,5045,-1,1048,-3464,-18272,-317,1680,-1
-9812,3344,-5448,-8420,5563,-1,1044,-1304,-16456,424,669,-1
-8536,3468,-4116,-7950,6167,-1,1652,784,-14676,622,228,-1
-7868,4000,-3088,-6973,6365,-1,2224,2500,-14156,916,370,-1
-8124,4748,-2400,-6160,6319,-1,2600,3788,-14148,1094,610,-1
-8376,5372,-1824,-5439,5685,-1,2440,4832,-15456,1013,859,-1
-8920,5168,-1440,-4331,4441,-1,2544,4608,-17112,1176,1027,-1
-9904,4916,-1876,-3305,2391,-1,2164,3392,-18956,1618,1174,-1
-10876,5672,-2432,-2404,-203,-1,1568,1560,-20720,1793,1407,-1
-12196,5648,-2704,-1791,-2816,-1,1096,-104,-21924,1629,1509,-1
-14076,6248,-3132,-1363,-5594,-1,744,-1372,-22808,1348,1351,-1
-15424,6464,-3164,-812,-8184,-1,296,-1920,-22908,1281,851,-1
-16172,6392,-3620,-351,-10193,-1,184,-2004,-22300,1389,131,-1
-16288,6440,-3968,-68,-11308,-1,392,-2024,-21380,1358,-425,-1
-15916,5940,-4044,-11,-11820,-1,552,-1932,-20592,1255,-860,-1
-15476,5384,-3868,93,-11704,-1,68,-1620,-20520,1188,-1316,-1
-15420,4820,-3608,207,-11235,-1,440,-1376,-20760,1338,-1830,-1
-15688,4556,-2960,325,-10174,-1,1532,-1180,-21080,1433,-2104,-1
-16048,4404,-2328,710,-8864,-1,1580,-668,-20888,1478,-2273,-1
-16476,4868,-1900,1093,-7594,-1,660,-36,-20560,1340,-2620,-1
-16696,5588,-1428,1469,-6739,-1,636,532,-20244,1284,-2826,-1
-16956,5956,-1616,2134,-6199,-1,856,948,-20520,1170,-2996,-1
-17340,6544,-1716,2579,-5601,-1,1436,1084,-20784,841,-3123,-1
