ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-18616,1948,388,-1487,1190,-1,-88,-6372,-19604,3487,-651,-1
-17860,2604,1340,-1419,754,-1,-664,-7508,-20084,2939,52,-1
-17388,2232,1704,-1180,311,-1,-1324,-7916,-20184,2694,441,-1
-17472,2012,1560,-720,-350,-1,-796,-6964,-19340,2650,-22,-1
-16464,2196,2480,-338,-1497,-1,-348,-5364,-18040,2574,-635,-1
-15520,2128,3164,-391,-2760,-1,-648,-4372,-17344,2387,-511,-1
-14388,2456,2980,-704,-3182,-1,-1420,-4332,-15628,2549,287,-1
-13708,3052,2748,-1142,-2948,-1,-1248,-5156,-14160,2549,778,-1
-13336,2852,2732,-1551,-2484,-1,-676,-5828,-12740,1909,865,-1
-13356,2828,2272,-1765,-1916,-1,-300,-5784,-13392,1168,248,-1
-13508,2332,2184,-1881,-1790,-1,-508,-5472,-13424,156,-304,-1
-14068,2124,1876,-1793,-1615,-1,-1068,-5064,-14804,42,-550,-1
-14492,2120,1156,-1840,-1709,-1,-452,-4944,-16264,-89,-404,-1
-14976,1744,388,-1659,-1809,-1,-464,-5356,-16832,-115,-429,-1
-15816,1444,136,-1460,-1681,-1,-888,-5804,-17248,234,-885,-1
-16416,1100,-8,-1404,-1606,-1,-728,-5336,-17744,562,-1301,-1
-16700,796,44,-1414,-1501,-1,-832,-4400,-18152,451,-1556,-1
-17236,464,-344,-1377,-1476,-1,-1168,-3360,-18296,341,-1651,-1
-17996,296,-808,-1280,-1425,-1,-1456,-2904,-18076,634,-1581,-1
-18312,216,-1256,-986,-1239,-1,-988,-3220,-17600,707,-1474,-1
-18540,136,-1472,-781,-964,-1,-560,-3620,-16960,228,-1340,-1
-18468,-24,-1236,-795,-467,-1,-828,-4008,-16816,-402,-1366,-1
-18340,-276,-1568,-959,287,-1,-1668,-4072,-16336,-716,-1255,-1
-17808,-56,-1680,-1348,1328,-1,-2264,-3788,-16092,-1104,-1164,-1
-17320,-328,-2064,-1616,2315,-1,-2048,-3336,-15956,-1928,-1111,-1
-16964,-648,-2456,-1712,3386,-1,-2084,-3188,-16396,-2653,-1092,-1
-16516,-1144,-2552,-1453,4316,-1,-2200,-3412,-17148,-2873,-1162,-1
-16628,-896,-2480,-1012,4711,-1,-1808,-4192,-18432,-3126,-1474,-1
-16504,-1008,-2304,-524,4648,-1,-1044,-4592,-19848,-3331,-1764,-1
-16732,-1052,-2100,-273,4378,-1,-1204,-4196,-21040,-2822,-2074,-1
-17012,-1092,-2212,-161,3866,-1,-1596,-3216,-21732,-1816,-2286,-1
-17112,-1276,-2008,-168,3124,-1,-1448,-1832,-21740,-1290,-2187,-1
-17516,-1184,-2100,-298,2137,-1,-660,-892,-20792,-548,-1715,-1
-17356,-740,-2108,-412,1170,-1,-880,-468,-19200,71,-893,-1
-16612,-368,-1924,-678,367,-1,-1388,-872,-18240,4,-129,-1
-15864,-160,-1916,-1249,-107,-1,-1740,-1636,-17676,-335,536,-1
-15268,-596,-2048,-1676,-295,-1,-1828,-2336,-17708,-518,933,-1
