ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-14792,4972,-4544,-2777,98,-1,-2312,-3288,-16500,2522,-647,-1
-14788,3508,-5976,-1182,1053,-1,-2708,-1712,-15236,931,-1421,-1
-14364,1820,-7528,-373,2054,-1,-2892,204,-15268,-830,-1994,-1
-14672,3680,-8156,456,3227,-1,-2744,1836,-15820,-1835,-2409,-1
-14724,4432,-7100,1325,3419,-1,-2244,2844,-16368,-1907,-2462,-1
-15008,5020,-5316,1747,3403,-1,-2040,3024,-16968,-1637,-2415,-1
-15688,6168,-4332,2127,3457,-1,-1696,2940,-17460,-1441,-2312,-1
-16736,6116,-4172,2443,3572,-1,-1380,2636,-18468,-1562,-2089,-1
-17172,6176,-4340,3260,3911,-1,-1184,2204,-19724,-1688,-1604,-1
-16924,6032,-4156,4003,4254,-1,-1332,1628,-19872,-633,-1013,-1
-16716,5908,-4144,4384,4570,-1,-1596,1148,-19228,173,-610,-1
-16280,5460,-4452,4356,4940,-1,-1736,1024,-18404,22,-450,-1
-15476,5200,-3944,3995,5020,-1,-2280,852,-18380,-425,-536,-1
-15132,4560,-3476,3431,4909,-1,-2624,584,-18788,-982,-770,-1
-14992,4228,-3380,2774,4658,-1,-2384,1076,-18580,-1135,-1026,-1
-15224,4084,-3604,2089,4400,-1,-2732,1320,-19132,-963,-1287,-1
-15188,4212,-4312,1338,4198,-1,-2496,1672,-18860,-771,-1403,-1
-15244,4496,-4836,844,3904,-1,-2140,2424,-18652,-717,-1231,-1
-15108,4688,-5460,514,3629,-1,-1948,3020,-18188,-941,-975,-1
-14992,4808,-5808,372,3402,-1,-2032,3316,-18392,-1356,-697,-1
-15064,5300,-6004,359,3261,-1,-2252,3408,-19144,-1772,-520,-1
-15512,5648,-5976,557,3028,-1,-2660,3444,-20008,-1862,-362,-1
-16224,5592,-5984,792,2610,-1,-2856,3684,-20352,-1820,-380,-1
-16624,5548,-6288,1345,2031,-1,-2700,3920,-20548,-1505,-455,-1
-16804,5736,-6776,1882,1422,-1,-2624,4160,-20500,-1392,-378,-1
-16616,5664,-7164,2428,819,-1,-2800,4524,-20420,-1573,-221,-1
-16328,5828,-7464,2847,345,-1,-3224,4568,-20120,-1549,-161,-1
-15704,5740,-7768,3169,-147,-1,-3216,4584,-19572,-1295,-91,-1
-15040,5772,-8092,3345,-358,-1,-3040,4416,-18628,-1231,-135,-1
-14096,5260,-8640,3398,-365,-1,-2456,4328,-17652,-1288,-125,-1
-12924,4728,-8628,3216,-250,-1,-1844,4500,-17096,-1309,149,-1
-11624,4240,-8188,3014,-35,-1,-1980,4436,-16024,-1528,326,-1
-10928,3544,-7772,2817,98,-1,-1860,4564,-15520,-1757,215,-1
-10692,3116,-7556,2613,174,-1,-1676,4360,-15240,-1841,124,-1
-10220,2992,-7336,2426,256,-1,-1588,4124,-14900,-1745,-3,-1
-9784,3000,-7060,2378,258,-1,-1844,3792,-14332,-1673,-175,-1
-9696,3260,-6784,2354,157,-1,-2224,3760,-14240,-1785,-405,-1
-10032,3324,-6224,2420,-26,-1,-2312,4120,-14224,-2119,-769,-1
-10396,3692,-5532,2383,-274,-1,-2464,4812,-14724,-2559,-1238,-1
-11148,4020,-5552,2414,-625,-1,-2412,5604,-15464,-2837,-1620,-1
-12016,4188,-5324,2320,-1021,-1,-2204,6392,-16196,-2517,-1699,-1
-12648,4308,-5256,2129,-1418,-1,-1964,7180,-16368,-1774,-1641,-1
-13316,4724,-5260,1643,-1730,-1,-1540,7980,-17460,-1996,-1474,-1
-14788,5104,-5168,1015,-1897,-1,-168,7300,-19404,-2329,-733,-1
-16424,5156,-6000,913,-2212,-1,-472,5380,-21812,-1949,511,-1
-18012,6060,-6624,620,-1913,-1,-1484,3240,-23684,-2155,1119,-1
-19812,8244,-6488,156,-1703,-1,-3244,-68,-24344,28,1666,-1
-20356,8696,-6896,504,-2281,-1,-2460,-3172,-24360,1808,1556,-1
-19732,8660,-7204,1257,-2807,-1,-784,-5548,-23824,2542,1289,-1
-18784,8696,-5728,1778,-3272,-1,-828,-7316,-23208,2253,1157,-1
-18112,8496,-4008,2546,-3623,-1,-2492,-8616,-23144,1009,527,-1
-18788,7120,-2644,3753,-3261,-1,-2432,-9996,-22956,709,-739,-1
-19120,6864,-892,4999,-2384,-1,-2548,-10184,-23136,899,-2081,-1
-19684,6340,588,6471,-1253,-1,-2796,-8040,-22484,913,-2809,-1
-19788,5232,1356,7722,5,-1,-2704,-5224,-21524,314,-2498,-1
-19184,4592,2056,8618,1279,-1,-2696,-3364,-21208,-895,-1339,-1
-18576,4364,1936,8647,2730,-1,-3572,-2192,-20576,-1464,-202,-1
-17904,4556,1620,8023,4032,-1,-3936,-2244,-19848,-1615,416,-1
-17168,4992,1072,7456,4925,-1,-3548,-3812,-19476,-1688,490,-1
-16728,5108,828,6353,5020,-1,-3280,-5256,-19044,-1693,277,-1
-15724,4764,880,6003,5650,-1,-3372,-6456,-19064,-1833,-160,-1
-15312,5740,528,5688,5117,-1,-3192,-6776,-18880,-1843,-726,-1
-14700,5860,984,5139,4428,-1,-2728,-6324,-18508,-1543,-1071,-1
-14352,5852,1192,4701,3586,-1,-2276,-5060,-17996,-1539,-1270,-1
-14240,5368,1120,3764,2751,-1,-2560,-3784,-17712,-1420,-1291,-1
-14480,4704,1300,2904,1851,-1,-3188,-2804,-17816,-1037,-1383,-1
-14848,4024,1284,1762,878,-1,-3268,-2096,-17824,-811,-1502,-1
-15456,3668,1268,649,112,-1,-3476,-2188,-17584,-634,-1865,-1
-16040,3804,1240,-309,-600,-1,-3976,-2788,-17416,-244,-2207,-1
-16444,3884,1260,-1383,-978,-1,-4432,-3544,-17076,111,-2721,-1
-16444,4484,988,-2100,-1285,-1,-4392,-3968,-17744,-672,-3152,-1
-16924,4980,1200,-2888,-1561,-1,-2600,-3928,-18392,-880,-3352,-1
-16788,5064,924,-3624,-1695,-1,-3852,-3288,-19936,-1268,-3511,-1
-17440,5324,708,-4372,-1658,-1,-3628,-1692,-21316,-1951,-3650,-1
-18596,5640,324,-5226,-1612,-1,-3060,-16,-22128,-135,-4268,-1
-18680,5568,156,-5961,-1675,-1,-2576,768,-20516,3504,-4829,-1
-17412,5196,-376,-6597,-1840,-1,-616,-156,-18308,5501,-4941,-1
-16200,5040,-1052,-7365,-1895,-1,-968,-1036,-16260,4433,-3473,-1
-15164,5104,-1572,-8060,-1895,-1,-2236,-2164,-16348,3392,-2040,-1
-14584,5012,-2352,-8544,-1837,-1,-3208,-2900,-16440,1931,-1172,-1
-14264,4800,-2688,-8845,-1789,-1,-2684,-2816,-16504,1482,-496,-1
-14160,4876,-2692,-9105,-1884,-1,-1940,-2748,-17468,873,-35,-1
-14212,5192,-2664,-8951,-2150,-1,-1308,-2588,-18204,497,488,-1
-14572,5376,-2872,-8848,-2684,-1,-1484,-2548,-19216,791,1030,-1
-14892,5804,-2464,-8281,-3382,-1,-2212,-2776,-19260,1751,1551,-1
-15284,6296,-2452,-7394,-4352,-1,-2208,-2584,-18588,2754,2133,-1
-15220,6584,-2340,-6290,-5488,-1,-2436,-2972,-17388,2740,2572,-1
-15020,6788,-2068,-4943,-6649,-1,-2420,-3284,-16912,2108,3011,-1
-14940,6936,-2004,-3600,-7762,-1,-2388,-3932,-16864,1218,3393,-1
-14840,7100,-2036,-2161,-8685,-1,-2268,-4508,-17024,689,3534,-1
-15828,6628,-2480,-1043,-9262,-1,-2392,-4988,-17452,451,3461,-1
-15484,7644,-2480,605,-9639,-1,-2260,-5412,-17740,390,3269,-1
-15724,7228,-2780,1671,-9739,-1,-1944,-5808,-18216,350,3040,-1
-15824,7004,-2368,2808,-9293,-1,-1912,-5916,-17964,736,2753,-1
-15772,7260,-1768,3845,-8336,-1,-1620,-6120,-17808,871,2312,-1
-15780,6304,-1180,4813,-7055,-1,-1324,-5892,-17540,849,1962,-1
-15028,5708,-860,5264,-5484,-1,-1216,-5944,-17372,736,1727,-1
-14868,5236,-84,5496,-3606,-1,-1516,-5400,-16752,877,1553,-1
-14632,4800,472,5395,-1892,-1,-980,-5576,-16424,613,1343,-1
-14584,4132,636,5448,-130,-1,-960,-5940,-16160,282,1156,-1
-14392,3916,684,5340,1911,-1,-828,-6248,-16132,139,910,-1
-13980,3952,1016,5084,3799,-1,-628,-6552,-16112,-1,691,-1
-13908,4132,1336,4868,5378,-1,-452,-6692,-15808,-151,614,-1
-14220,3720,1676,4664,6531,-1,-364,-6572,-15696,-317,539,-1
-14416,3712,1308,4107,7057,-1,-412,-6396,-15336,-675,522,-1
-14280,2724,1356,4091,7711,-1,-316,-6284,-15268,-1081,539,-1
-14156,2928,1304,4034,7647,-1,-132,-6220,-15480,-1434,612,-1
