ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-24528,3820,-792,941,-1246,-1,-16448,-924,-32768,-32768,2512,-1
-32768,2896,-1792,-2329,-1040,-1,-14036,140,-32768,-32768,1115,-1
-32768,3296,-4464,-1669,2281,-1,-24180,-1660,-32768,-32768,4933,-1
-32768,1856,-2652,1356,2538,-1,-32768,-10536,-32768,-7734,-192,-1
-32768,1076,-1020,466,1194,-1,-31884,-11764,-32768,3114,-1856,-1
-32768,1132,-776,-852,2663,-1,-24272,-7872,-32768,7962,-2679,-1
-30948,1232,-552,-1089,1741,-1,-21276,-5484,-32768,7179,-2675,-1
-32768,-100,-636,-2541,-413,-1,-22640,-2288,-30744,2903,-2627,-1
-32768,-2272,-892,-5296,-1495,-1,-24972,-556,-28024,2805,-2438,-1
-32768,-2396,-1312,-3549,-2265,-1,-18544,-1292,-27072,1742,-1820,-1
-32768,2052,-1060,1466,-535,-1,-13824,-1112,-22584,1360,-692,-1
-28016,3788,-760,3913,-2370,-1,-11088,-2724,-18756,-211,-914,-1
-19540,2264,-336,5529,-4207,-1,-10272,-3468,-17604,-934,-2113,-1
-13272,-888,88,5178,-4612,-1,-7888,-4444,-15836,-729,-2564,-1
-7504,-2456,-268,2489,-4799,-1,-6884,-3956,-13724,681,-2510,-1
-1800,-1540,-1240,-1056,-5938,-1,-6228,-1728,-11476,113,-2769,-1
1912,1740,-1988,-3625,-4949,-1,-1916,-460,-9340,2491,-2085,-1
4132,1660,-2908,-5451,-2578,-1,1596,-228,-9380,6711,-382,-1
4572,-352,-2892,-4969,-577,-1,3404,1604,-5080,11991,-213,-1
3256,-168,-2408,-2912,-1093,-1,4268,3012,-3420,18578,375,-1
744,1000,-924,-714,-714,-1,3440,2476,-2540,24187,188,-1
-1084,1320,-56,-2,-119,-1,3552,1036,-2176,25807,225,-1
-1124,1492,728,268,352,-1,1464,252,172,23259,-784,-1
-304,1768,452,337,682,-1,744,-404,816,19223,-2155,-1
-1000,1160,176,425,985,-1,1200,-1104,356,13342,-2935,-1
-1452,132,-1148,295,856,-1,2024,-1108,1036,7057,-2348,-1
-1320,-76,-2216,336,813,-1,-384,-876,2240,2295,-2165,-1
-1388,452,-3184,749,1220,-1,2916,-1188,1736,-27,-2587,-1
-2800,1568,-3036,1362,1120,-1,3544,-1356,1968,-84,-1931,-1
-5840,2576,-2976,2241,947,-1,-216,-1688,1200,-1931,-1538,-1
-11088,3912,-2900,3649,1108,-1,-3828,-1824,-3680,-10276,-1118,-1
-19940,3276,-2412,5929,-151,-1,-5740,-5200,-29360,-32653,1466,-1
-32768,460,-2060,3634,641,-1,-19532,-2912,-32768,-32768,3096,-1
-32768,100,-2396,2651,2666,-1,-25312,-7512,-32768,-32768,2107,-1
