ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
588,748,-2184,0,7365,-1,1604,-392,1328,2230,63,-1
584,772,-1572,1053,7226,-1,1292,132,1616,-653,1813,-1
-700,1356,-1168,1002,7439,-1,-64,124,1468,-2407,3175,-1
-596,-268,-1268,1342,8135,-1,-1424,304,616,-3110,3665,-1
-320,-532,-1428,2935,8689,-1,-3444,356,56,-3332,2945,-1
-56,-404,-1516,4749,8767,-1,-2244,-148,-2384,-3010,1827,-1
-344,116,-1248,6403,7948,-1,-3744,-1036,-2196,-3162,1026,-1
-144,772,-1640,7578,7183,-1,-2464,-1740,-3704,-2149,931,-1
-1456,972,-1628,7704,6050,-1,-1980,-2592,-5104,-1613,895,-1
-3972,724,-1544,7329,4686,-1,-428,-2692,-8552,-3299,984,-1
-11384,-312,-2344,7033,1920,-1,292,-2300,-13832,-9521,649,-1
-24208,-76,-3620,6588,-2583,-1,-2028,-944,-30100,-20410,-647,-1
-32768,4604,-1060,7507,-7718,-1,-9408,-1084,-32768,-32768,1677,-1
-32768,6968,4280,12724,-10468,-1,-1308,7708,-32768,-21997,-3769,-1
-32768,10984,6468,10141,-14664,-1,-1984,3676,-32768,2497,791,-1
-32768,8488,-868,-1900,-17959,-1,-584,-1100,-32768,11610,5011,-1
-32768,3916,-14184,-12279,-14995,-1,-9388,-4820,-32768,7256,3500,-1
-32768,168,-22432,-16197,-9191,-1,-12976,-6468,-32768,-333,362,-1
-32768,720,-22100,-9257,-9561,-1,-8144,-5600,-32768,-5031,-784,-1
-32768,3540,-18804,964,-10722,-1,-5032,-3972,-32504,-6003,-1007,-1
-26628,8192,-17360,5876,-11316,-1,1648,-1604,-28484,-3246,-1668,-1
-19256,10388,-13784,6553,-10566,-1,3288,612,-23176,-238,-1967,-1
-12612,9992,-12464,7814,-9281,-1,4596,2016,-15836,5108,-1993,-1
-6964,8216,-10528,11743,-7545,-1,3020,3320,-9328,8899,-1625,-1
-3240,11512,-6304,15549,-2998,-1,1536,4152,-5508,9700,-1711,-1
-3628,14828,-1932,15034,3170,-1,1620,4244,-2276,9589,-1711,-1
-4380,14068,1608,11015,6890,-1,1224,2864,152,10426,-1379,-1
-4800,10048,2452,9322,11041,-1,784,1040,200,11343,-536,-1
-2944,6936,4652,8447,16001,-1,244,284,-188,12146,-40,-1
-2560,6752,6456,7300,20872,-1,1588,-264,20,11693,329,-1
-1496,5816,7052,9248,23457,-1,-952,-1280,-240,8623,454,-1
-3584,5396,6792,13949,23292,-1,-840,-1388,496,5720,-273,-1
-6240,5452,5700,17165,21273,-1,-924,-2068,828,3158,-1330,-1
-3824,5040,1252,19255,20601,-1,-240,-1964,1688,1412,-1598,-1
-5544,1492,-1348,18221,21748,-1,364,-1484,2032,-366,-880,-1
-5812,1016,-1452,16208,23290,-1,400,-952,1020,-1600,419,-1
-5432,932,-344,14663,24907,-1,-244,-756,-248,-2836,1679,-1
-7320,604,484,13087,24583,-1,-1568,-624,-2344,-3857,1838,-1
-11016,580,116,10844,22873,-1,-2564,-324,-4060,-4765,390,-1
-17384,1572,-656,7316,19977,-1,-552,-180,-7644,-5839,-949,-1
-25168,2752,-4564,2980,17205,-1,-436,1064,-13852,-10512,-188,-1
-25668,3128,-11124,368,14466,-1,-1652,3336,-24204,-21244,1698,-1
-25784,4000,-18664,1097,11266,-1,-4900,6668,-32768,-30381,4510,-1
-24060,6252,-22408,2134,8047,-1,-1040,8756,-32768,-32768,-1725,-1
-21132,8452,-17216,-1300,3881,-1,-8604,-2392,-32768,-16617,394,-1
-22348,5864,-16036,-4981,-5311,-1,-10700,-6484,-32768,3835,4719,-1
-21056,1952,-18484,-6638,-15208,-1,-11140,-7052,-32768,12919,604,-1
-19856,1576,-17668,-4460,-19112,-1,-11624,-5512,-32768,7892,-3160,-1
-20600,8808,-14640,-3946,-20148,-1,-8216,-320,-29188,-2246,-3044,-1
-19096,10652,-10204,-4164,-20352,-1,-5876,1312,-26304,-7109,-1529,-1
-17684,10828,-6192,-4205,-19589,-1,-3180,2508,-23196,-5395,88,-1
-14700,10572,-2984,-6440,-19398,-1,732,1984,-20224,-3214,418,-1
-10876,10300,-2520,-7368,-19134,-1,3832,1220,-17596,-1362,80,-1
-8180,11220,-5980,-10385,-16232,-1,5232,804,-13172,1120,-557,-1
-4888,11056,-9940,-10872,-12507,-1,6104,1376,-8100,6966,-810,-1
-1556,10316,-12312,-6543,-10501,-1,3236,1008,-6432,11263,-1842,-1
820,10656,-16584,-1076,-8497,-1,2532,1472,-4028,14223,-2768,-1
1668,10888,-16756,4862,-6165,-1,2184,928,-1744,16274,-3208,-1
588,12396,-11452,6663,-4261,-1,2644,-84,-1308,18042,-2951,-1
-2796,15156,-4748,4495,-1727,-1,1296,-688,-2352,17625,-3160,-1
-2484,16216,-2420,3136,1657,-1,800,-708,-1900,13077,-2247,-1
-3244,12672,-4088,2824,1199,-1,1360,-520,-1360,8542,-360,-1
-1900,3068,-1780,2416,120,-1,8,-208,-288,6036,1515,-1
1436,-2516,1212,2796,288,-1,-1400,-196,-248,3235,2463,-1
-1288,-2720,2708,3747,6736,-1,-1892,84,-276,2384,3057,-1
-7008,7448,2568,605,16039,-1,-2828,420,264,2464,3051,-1
-9840,12660,-236,-3033,22277,-1,-3680,748,1000,2491,2606,-1
-12912,9724,-2500,-3565,24108,-1,-3760,1248,1656,2280,2040,-1
-16288,5044,-4032,-1923,22238,-1,-4124,1072,484,2175,1114,-1
-19024,2700,-5852,-640,18720,-1,-4248,532,-2472,1219,19,-1
-22188,3252,-6620,-2907,15780,-1,-7364,76,-14560,-5845,-321,-1
-24444,4272,-5660,-6263,12040,-1,-2736,2032,-32768,-29445,1572,-1
-24488,5688,-7400,-9785,7108,-1,8180,8100,-32768,-32768,304,-1
-24244,4624,-10668,-11616,1410,-1,15520,4248,-32768,-29642,1511,-1
-24044,4332,-11164,-11697,-5770,-1,-8272,-5264,-32768,3246,4692,-1
-29368,6872,-12064,-10685,-13922,-1,-10924,-7808,-32768,9320,4308,-1
-32016,6284,-9988,-9796,-21810,-1,-11676,-9976,-32768,7202,-77,-1
-32768,7708,-5508,-10519,-27727,-1,-13396,-5052,-32768,4110,-2018,-1
-32768,8132,-3724,-13045,-31828,-1,-5868,-3148,-27788,-4195,-5205,-1
-30156,7808,-5928,-14442,-32768,-1,-2948,504,-25416,-5877,-3433,-1
-26424,6320,-8644,-13693,-32768,-1,-1220,2144,-22348,-5798,-1949,-1
-20836,6652,-11452,-10197,-30419,-1,1996,3420,-18108,-3754,-1949,-1
-14872,5524,-9524,-6048,-26201,-1,5668,3344,-14736,685,-2219,-1
-11120,5756,-7588,-2636,-21512,-1,5672,2804,-11344,4824,-1840,-1
-8004,6196,-5424,-1086,-16892,-1,4764,2480,-7824,8803,-921,-1
-7772,7156,-3256,-1819,-12405,-1,3520,2032,-4800,11490,-230,-1
-6996,6644,-2380,-3644,-7481,-1,3616,1072,-2908,14073,-138,-1
-5016,7296,-5532,-4819,-3319,-1,572,1152,432,15526,-143,-1
-4268,6876,-8676,-3790,287,-1,224,540,-864,15838,-994,-1
-3296,6596,-8460,-3065,2337,-1,-220,724,256,13462,-2174,-1
-3336,5996,-6640,-4173,3621,-1,1680,596,104,9704,-2184,-1
-2196,5128,-5380,-5278,4414,-1,1384,552,588,6213,-543,-1
-2012,3848,-4956,-5788,4768,-1,1224,636,1008,3584,602,-1
-2200,2952,-4516,-5467,5294,-1,836,192,276,2143,1807,-1
-2156,2444,-4272,-4950,6201,-1,-436,64,-900,1452,3002,-1
-3000,1976,-5084,-3926,7008,-1,-2356,-328,-2636,755,3088,-1
-4876,2152,-6812,-1953,7444,-1,-3848,-908,-3840,618,2248,-1
-8900,2724,-8852,554,7444,-1,-5044,-1684,-5500,179,1336,-1
-14456,3808,-8820,2135,7763,-1,-5512,-2120,-9032,-708,1005,-1
-22332,3136,-7576,2613,7243,-1,-9092,-2656,-19920,-7323,370,-1
-32768,1640,-4972,848,5660,-1,-8600,-4388,-32768,-22605,2965,-1
-32768,1440,-4112,2296,3683,-1,-8720,-784,-32768,-32768,6044,-1
-32768,1760,-6512,5199,1293,-1,27180,4448,-32768,-24856,-4781,-1
-32768,3308,-6648,6102,-2028,-1,5288,-1208,-32768,-3340,113,-1
-32768,5196,-7028,4067,-4186,-1,-15992,-5428,-32768,3439,1110,-1
-32768,4952,-5220,2116,-4794,-1,-9612,-4816,-32768,4970,-348,-1
-32768,2592,-4036,-483,-5271,-1,-9512,-2824,-32768,-288,-972,-1
-32768,1144,-4536,-1627,-4697,-1,-8244,-1832,-31300,-6218,-2330,-1
-30932,2012,-6332,-2521,-3334,-1,-2236,-1588,-30896,-7216,-1808,-1
-24088,3092,-7344,-2656,-2193,-1,-1868,308,-25024,-6445,-1079,-1
-17092,3840,-6576,-1366,-1192,-1,356,1200,-22680,-3198,-1002,-1
-11156,4160,-5164,461,-167,-1,2616,2228,-17756,37,-2421,-1
-6856,4352,-3836,1396,1055,-1,4544,3128,-13668,4385,-2545,-1
-2748,4516,-2856,1729,2222,-1,4052,3540,-10048,8231,-1456,-1
-416,4156,-2308,1807,3325,-1,2776,3132,-7016,9094,-844,-1
492,3864,-2008,2303,4512,-1,3316,2436,-3236,9882,-189,-1
184,3224,-1440,2903,5746,-1,2320,1432,-1592,11969,709,-1
-440,3168,-336,3223,6691,-1,1396,604,-1624,13459,632,-1
-812,2992,44,3084,7357,-1,-264,356,-1524,13284,333,-1
-728,2696,144,2797,7617,-1,864,272,-80,11095,-55,-1
-976,2352,280,2502,7769,-1,-280,-24,1268,8351,702,-1
-1068,1924,-120,2289,8012,-1,40,-516,480,5348,1550,-1
-1340,1524,-424,2164,8430,-1,-1240,-380,1152,3298,2214,-1
-1680,1228,-736,1900,8995,-1,-1488,-460,612,2640,2655,-1
-1488,852,-984,1883,9348,-1,-2272,-560,-364,2873,2702,-1
-1500,352,-1636,2204,9280,-1,-2140,-712,-532,3301,2591,-1
-2212,72,-1992,2620,8876,-1,-1996,-1044,-1004,3174,2488,-1
-4536,116,-1988,2703,8038,-1,-620,-1376,-1912,2698,2149,-1
-8704,280,-2368,2893,7034,-1,272,-1560,-3676,862,1417,-1
-14056,716,-2296,3124,6363,-1,960,-1140,-5828,-4009,650,-1
-19796,1304,-1904,2827,5745,-1,-1384,556,-12348,-10610,-9,-1
-26432,492,-668,1131,4228,-1,-4224,1976,-31356,-19955,-991,-1
-30432,-64,-1564,-652,2169,-1,-9328,3968,-32768,-32768,-650,-1
-32768,-1172,-5936,-730,-26,-1,6348,7772,-32768,-24305,-3118,-1
-32768,-1436,-8964,-1589,-3536,-1,1628,5860,-32768,-2510,2758,-1
-32768,1364,-11032,-3898,-6582,-1,-4600,1252,-32768,4713,7663,-1
-32768,1844,-8040,-6776,-9847,-1,-10296,-3352,-32768,6535,4807,-1
-32768,1388,-7688,-7810,-12933,-1,-10548,-6156,-32768,66,703,-1
-32768,1300,-9188,-6861,-15507,-1,-10044,-6720,-32768,-4417,-2304,-1
-32768,2704,-11272,-5324,-15374,-1,-6680,-4464,-32768,-5809,-3758,-1
-30616,3684,-12160,-4080,-14111,-1,-2788,-1608,-30584,-4888,-3782,-1
-24368,3920,-10776,-2801,-13172,-1,1000,1944,-25944,-2298,-3534,-1
-19064,4740,-8224,-2073,-11994,-1,3104,4532,-20532,1500,-2875,-1
-13440,5712,-6376,-1782,-9578,-1,3896,5472,-14844,5901,-1875,-1
-9384,6116,-5400,-2377,-6922,-1,3404,5464,-10520,8749,-591,-1
-5460,6100,-4732,-2713,-4290,-1,1852,4448,-7556,9619,250,-1
-2316,5284,-4384,-2729,-1856,-1,2784,3444,-4224,10530,1109,-1
-996,5136,-4952,-1417,292,-1,1988,1564,-2164,11555,1880,-1
-748,4464,-4976,225,2087,-1,828,312,-184,12827,1681,-1
-444,4648,-3744,955,2990,-1,-188,-656,-420,13746,673,-1
-740,4524,-2468,807,3697,-1,-380,-1672,436,11814,-1017,-1
-664,3908,-1672,433,4343,-1,884,-1480,376,9544,-1385,-1
-164,3888,-1296,63,4536,-1,732,-1980,692,5613,-1181,-1
-576,3372,-1476,-225,4684,-1,724,-1216,1320,3547,-517,-1
-536,3104,-1508,-367,5133,-1,820,-992,1252,2568,73,-1
-712,2564,-1740,-412,5662,-1,-408,-992,224,1793,1457,-1
-912,2012,-1676,-109,6109,-1,-1436,-656,-1244,1330,2324,-1
-1144,1888,-1716,659,6126,-1,-2808,-192,-2936,495,2064,-1
-2204,1788,-1984,1413,6000,-1,-3032,340,-2976,531,1784,-1
-5336,1504,-2608,1914,5885,-1,-2780,752,-2596,1291,1543,-1
-10028,1172,-2796,2357,5699,-1,-2540,516,-3308,1498,1482,-1
-16848,1132,-2776,2466,5512,-1,-3548,-340,-9252,-906,913,-1
-24244,1760,-2484,1911,4806,-1,1996,1260,-27392,-20313,-408,-1
-32768,-48,-2732,-129,1898,-1,14424,6036,-32768,-32768,353,-1
-32768,-1480,-6084,634,-1353,-1,11880,8348,-32768,-32768,3586,-1
-32768,-3920,-7672,851,-5101,-1,-17776,904,-32768,-7415,3857,-1
-32768,-244,-7004,-400,-7780,-1,-19092,-4584,-32768,-1945,6254,-1
-32768,2236,-5996,-4704,-9936,-1,-8992,-9972,-32768,8105,3786,-1
-32768,-1088,-7300,-8173,-10980,-1,-7020,-9620,-32768,6446,-995,-1
-32768,-4928,-8636,-7060,-9954,-1,-8404,-7596,-30776,-1553,-3933,-1
-32768,-2828,-10036,-5222,-7159,-1,-4740,-3992,-25968,-6041,-4593,-1
-25348,-40,-10884,-3841,-5571,-1,-2320,-536,-24612,-6581,-4725,-1
-17516,568,-9508,-2227,-4678,-1,1672,3556,-20792,-2593,-4709,-1
-9036,2640,-7228,-57,-3543,-1,5892,5168,-16000,2648,-5265,-1
-4056,5160,-5320,381,-1799,-1,7288,5092,-11500,6870,-3594,-1
-600,6792,-3920,-902,-352,-1,4880,4644,-7828,9130,-1867,-1
1956,6352,-3556,-1522,1089,-1,3160,3436,-4996,11816,-1761,-1
2300,4676,-3012,-306,2401,-1,3408,1860,-2984,14469,-2017,-1
1876,4092,-2820,1027,3678,-1,1236,544,-1348,17374,-2408,-1
1196,3672,-1944,1844,4634,-1,0,-808,-960,15975,-3289,-1
532,3256,-1532,2401,5372,-1,2024,184,-332,13403,-3194,-1
-284,2816,-1436,2570,6023,-1,1944,-500,-304,9634,-2298,-1
-928,2544,-1400,2820,6228,-1,2064,64,924,6876,-754,-1
-1156,2964,-1388,3028,6278,-1,192,-260,1172,4876,-153,-1
-1864,2560,-1772,2904,6618,-1,-48,-236,904,2688,375,-1
-1724,2368,-1780,2468,6788,-1,-1052,120,1016,1020,779,-1
-1528,1884,-1448,2055,7358,-1,-2232,-24,620,-95,623,-1
-1536,1776,-1412,1762,7629,-1,-2628,-304,-304,-1717,506,-1
-2284,1744,-1064,1579,7563,-1,-2804,-464,-1104,-3032,519,-1
-2956,1092,-1280,1467,8012,-1,-2952,-332,-1676,-2123,489,-1
-6548,764,-2008,1055,8016,-1,-3604,-560,-2128,-1342,-124,-1
-12148,-968,-1960,981,8150,-1,-3756,-712,-2652,-578,-996,-1
-18676,-1188,-1648,959,7823,-1,-4088,-576,-6140,-1580,-1205,-1
-27828,-516,-644,-746,6955,-1,-7524,892,-23432,-15294,-1077,-1
-32768,-284,172,-3681,4229,-1,5288,7760,-32768,-32768,2653,-1
-32768,92,-4896,-4631,866,-1,20248,13184,-32768,-32768,4886,-1
-32768,-100,-10368,-3179,-3147,-1,-8028,2780,-32768,-5091,6073,-1
-32768,4156,-11900,-3450,-6453,-1,-20024,-5644,-32768,4178,7279,-1
-32768,5556,-10156,-4837,-7096,-1,-7440,-10964,-32768,10031,5837,-1
-32768,1680,-5948,-4901,-7807,-1,-10180,-13080,-32768,4101,911,-1
-32768,496,-4264,-2645,-8430,-1,-10592,-8028,-32768,-3833,-2334,-1
-32768,4608,-5600,-2077,-7437,-1,-7716,-2432,-32768,-6367,-2639,-1
-32552,7672,-6312,-2133,-6802,-1,-7232,504,-32768,-5636,-3221,-1
-26428,7000,-7136,-2050,-6390,-1,-2020,1400,-30064,-3075,-4310,-1
-20896,6032,-6716,-1175,-5045,-1,3408,1984,-23908,188,-4530,-1
-13760,5644,-5856,-401,-2857,-1,6188,3148,-17436,4070,-3846,-1
-7232,5252,-5100,-477,-1211,-1,6456,3768,-11916,8907,-1863,-1
-3448,4804,-4152,-1259,449,-1,4340,3564,-7724,11209,-52,-1
