ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-27704,9788,13808,-16702,32767,-1,-740,2012,-3176,2216,-932,-1
-27888,9748,12996,-16934,32767,-1,1676,2120,-3008,7246,-257,-1
-27960,12056,11212,-19398,32767,-1,660,2784,-1328,11312,514,-1
-29284,15220,11124,-19910,32767,-1,412,3312,-828,11811,1944,-1
-18600,12216,6984,-22525,32767,-1,288,2848,-2508,9599,3569,-1
-25388,7156,13104,-22063,32767,-1,-948,3624,-1464,5428,5219,-1
-25848,14980,14596,-24626,32767,-1,-1216,3140,-972,1511,6473,-1
-32768,13216,19500,-29592,32767,-1,-2796,1960,-980,-1695,7461,-1
-23736,17272,4916,-22663,32767,-1,-6200,624,-1000,-6139,6749,-1
-27760,8380,556,-31398,32767,-1,-6748,-1388,-1132,-9440,5974,-1
-28008,-2344,-1920,-32768,32676,-1,-3720,-776,3816,-8563,5192,-1
-12156,-10820,-15088,-32768,28102,-1,-8840,-4420,-1772,-8339,3998,-1
-13040,-14624,-22140,-32768,19586,-1,-19716,-5356,-8156,-26745,4325,-1
-25188,-26320,-32768,-32768,8991,-1,-32768,-15232,-32768,-32768,4655,-1
-3932,-32768,-25968,-32768,8518,-1,-32768,-13692,-19660,-32768,7686,-1
-10036,32767,-32768,32767,32767,-1,-32768,-15916,-16884,-32768,-605,-1
1356,-29604,23624,-1860,2487,-1,-32768,-1544,-32768,-19135,-4701,-1
28996,-20880,-19028,-5255,-348,-1,-32768,5444,-31752,4108,-3073,-1
7972,-21812,-32748,-9478,-13554,-1,-32768,1920,-17832,18722,-1690,-1
8308,-16272,-22964,6783,-18923,-1,-18472,-3184,-16876,24402,-671,-1
5836,-3224,-23884,12117,-18666,-1,-22512,-4912,-9332,26544,-122,-1
-1096,-4492,-18668,15019,-14421,-1,-21460,-5184,-9076,25377,1048,-1
-2464,-6636,-16132,15105,-14009,-1,-18428,-5472,-11500,19844,165,-1
-5236,-4508,-13272,21441,-21909,-1,-15296,-4872,-8612,17574,-485,-1
-7496,-3284,-5392,27860,-32768,-1,-10300,-4488,-7588,17880,-1178,-1
-10932,-4172,-276,32767,-32768,-1,-9360,-3916,-6480,20070,-1719,-1
-15656,-2584,4032,32767,-32768,-1,-7256,-2912,-4396,22960,-2511,-1
-19396,-1128,6696,32767,-32768,-1,-9012,-3212,-3712,20654,-4014,-1
-20680,288,6852,32767,-32768,-1,-6644,-3932,-4840,16381,-5414,-1
-21360,728,9496,32767,-32768,-1,-2176,-2916,-2740,14988,-5106,-1
-27020,4296,16172,32767,-32768,-1,2376,36,-748,19321,-4967,-1
-30868,5844,20288,32767,-32768,-1,4412,1844,1428,26160,-5098,-1
-32520,7088,18240,32767,-32768,-1,3688,1408,404,30646,-5728,-1
-32768,6840,16188,30259,-32768,-1,3068,1196,932,30327,-5763,-1
-28472,11228,18156,23528,-32768,-1,3608,1004,-664,27977,-5706,-1
-25692,12872,18712,18252,-32768,-1,2188,1656,-1808,23468,-5765,-1
-20588,13924,19392,14545,-32768,-1,2336,2168,-3432,18822,-6655,-1
-19564,11692,17652,12399,-32768,-1,3620,2212,-3940,16465,-5874,-1
-18012,11264,13740,11709,-32768,-1,2992,2864,-3512,12521,-4247,-1
