ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-32768,15612,-2164,32767,32767,-1,10184,2712,-5460,-3869,-2946,-1
-32768,9316,4492,32767,32767,-1,18864,2088,-5428,-1255,-5559,-1
-32768,7440,7292,32767,32767,-1,12156,1776,-4208,-1079,-2441,-1
-32768,6048,8784,32767,32767,-1,3792,552,-3608,1612,-193,-1
-32768,8332,9072,32767,32767,-1,-376,452,-5240,3735,196,-1
-32768,10228,10988,32767,32767,-1,-1452,636,-3404,3686,561,-1
-32768,10536,12864,32767,32767,-1,-900,404,-3256,3535,1443,-1
-32768,11064,14996,32578,32767,-1,-1660,76,-3492,4128,1724,-1
-32768,7404,15476,24050,32767,-1,-2040,-184,-3872,3838,1792,-1
-32768,3208,13836,16743,32767,-1,-2092,-260,-3404,2775,2198,-1
-32768,-1352,12000,11618,32767,-1,-3020,-600,-4964,830,2224,-1
-32768,-1368,14428,7224,32767,-1,-5372,-1564,-6380,-1948,1427,-1
-32768,2204,16216,-1991,32767,-1,-6256,-1980,-6248,-4360,-492,-1
-32768,1116,11012,-16415,32767,-1,-6664,-2832,-5788,-5627,-2330,-1
-32768,-14372,5008,-30602,32767,-1,-11724,-4892,-9236,-11454,-4275,-1
-32768,-32768,-9548,-32768,32767,-1,-15980,-7956,-12760,-20638,-5882,-1
-4640,-32768,-32768,-32768,32767,-1,-17540,-11176,-32768,-27483,-5050,-1
20424,-32768,-32768,-17136,32767,-1,32767,3464,-32768,-32768,108,-1
7220,-32768,-32768,-14758,19717,-1,-12148,1008,-32768,-25084,1625,-1
1728,-32768,-32768,612,-1182,-1,-30468,-116,-32768,5909,-1267,-1
6716,-32768,-32768,-1208,-27982,-1,-12332,340,-32768,11076,-2207,-1
-7664,-32768,-10904,-1607,-32768,-1,-5692,-2628,-32768,6426,-22,-1
-4836,-32768,-26480,-182,-32768,-1,-7316,-3048,-30736,4725,3869,-1
-10096,-32768,-32768,7152,-32768,-1,-9132,-2952,-24684,5029,5754,-1
-21480,-32768,-18584,9916,-32768,-1,-9424,-2288,-23444,3956,5712,-1
-32768,-17372,-1212,4594,-32768,-1,-8448,-2420,-22144,1229,4218,-1
-32768,-312,7444,-1751,-32768,-1,-4004,-3288,-21988,2426,1851,-1
-32768,5252,15012,-2812,-32768,-1,876,-4244,-20476,7164,-305,-1
-32768,948,19040,-1375,-32768,-1,616,-4388,-15616,13509,-381,-1
-32768,440,23348,-466,-32768,-1,720,-2940,-10420,17154,323,-1
-32768,1388,28204,-560,-32768,-1,12,-1584,-7648,17919,1291,-1
-32768,8036,30676,-5249,-32768,-1,-1376,-660,-4804,17814,1306,-1
-32768,10932,28808,-13615,-32768,-1,436,-68,-2936,17356,933,-1
-32768,12828,27180,-20320,-32768,-1,-388,-72,-1512,16663,644,-1
-32768,13556,25016,-26181,-32768,-1,1648,-220,640,19021,-51,-1
-32768,14352,23484,-32633,-32768,-1,1968,-264,1460,21870,-336,-1
-32768,15184,20020,-32768,-32768,-1,872,-524,1300,24139,-1593,-1
-32768,12460,15048,-32768,-32768,-1,776,-192,1916,25096,-3249,-1
-32768,7828,7888,-32768,-32768,-1,992,-472,2488,25343,-5320,-1
-32768,14084,-2328,-32768,-32768,-1,644,-424,3512,24638,-6523,-1
-32768,22696,-13248,-32768,-32768,-1,-1716,-2040,3036,18885,-7280,-1
-32768,27740,-23092,-32768,-32768,-1,-588,-1348,2852,11638,-5457,-1
-32768,32767,-32768,-32768,-32768,-1,-1472,512,1096,2402,-2084,-1
-32768,32767,-32768,-32768,-23903,-1,-13136,-148,-13524,-21261,2992,-1
-32768,32767,-32768,-20862,-8031,-1,-6652,-768,-32768,-32768,5628,-1
-32768,32767,-32768,25418,6247,-1,-8868,3028,-32768,-32768,7017,-1
-32768,32767,-32768,17480,13087,-1,-14908,1140,-32768,-25802,8708,-1
-32768,10232,-32768,21312,22105,-1,10072,1088,-32768,-7614,-2980,-1
-32768,20496,-32768,32767,28477,-1,32767,-4096,-32768,1645,-8672,-1
-32768,12244,-23960,32767,28436,-1,16696,-116,-32768,3551,-1714,-1
-32768,10676,-18912,32767,31735,-1,-7276,-1356,-31704,1083,3372,-1
-32768,10392,-13616,32767,32767,-1,-10676,148,-20672,-3371,3340,-1
-32768,11284,-4856,32767,32767,-1,-10620,-40,-14860,-4206,550,-1
-32768,10456,3564,32767,32767,-1,-4720,1128,-13140,-2878,-1324,-1
-32768,7892,7316,32767,32767,-1,-288,1088,-6972,-2422,-2276,-1
-32768,7856,8784,31876,32767,-1,5380,1752,-4500,-2130,-1555,-1
-32768,5372,8304,31025,32767,-1,6080,1472,-3428,-1135,-1046,-1
-32768,4280,8812,32712,32767,-1,6308,976,-3956,1134,-422,-1
-32768,7092,8752,32767,32767,-1,4648,976,-3280,3190,379,-1
-32768,11120,10392,32767,32767,-1,2980,808,-2868,5414,925,-1
-32768,11368,12976,32455,32767,-1,572,1128,-3176,5296,1610,-1
-32768,10616,14528,27801,32767,-1,-452,664,-3760,3624,2139,-1
-32768,10004,12696,23052,32767,-1,-1340,448,-2980,1991,2608,-1
-32768,8588,11960,18274,32767,-1,-1064,180,-2900,1155,3330,-1
-32768,8548,11848,14848,32767,-1,-1532,216,-3476,562,3364,-1
-32768,9996,12996,11367,32767,-1,-1996,256,-3620,-284,3633,-1
-32768,12404,11940,5883,32767,-1,-3268,-376,-5824,-3388,3978,-1
-32768,10016,10012,-2799,32767,-1,-5640,-1788,-5656,-6773,3187,-1
-32768,6200,7832,-14887,32767,-1,-8432,-2916,-5524,-9209,525,-1
-32768,-8004,-944,-27396,32767,-1,-11152,-4856,-5924,-10344,-3287,-1
-32768,-26780,-11064,-32768,32767,-1,-12340,-7672,-9360,-11226,-7149,-1
-17648,-32768,-31264,-32768,32767,-1,-14832,-11672,-24228,-17196,-8222,-1
9076,-32768,-32768,-30496,32767,-1,18028,-2948,-32768,-32768,-3051,-1
32767,-32768,-32768,2628,17175,-1,-2664,4640,-32768,-32768,3719,-1
5976,-32768,-32768,11108,-15966,-1,-28384,4680,-32768,-66,4866,-1
596,-32768,-32768,6290,-21536,-1,-19884,6556,-32768,8635,1307,-1
-728,-31368,-13444,5318,-32768,-1,-9684,592,-32768,6193,1496,-1
-1496,-32768,-26504,362,-32768,-1,-5092,-2252,-32768,4643,6803,-1
-1228,-32768,-32768,4508,-32768,-1,-7628,-2940,-27496,1224,9454,-1
-15168,-32768,-32768,16683,-32768,-1,-9792,-3700,-23420,-99,9105,-1
-31936,-21600,-18352,20395,-32768,-1,-11640,-3756,-20864,490,6472,-1
-32768,-2712,2004,16501,-32768,-1,-10084,-5036,-21768,2834,2634,-1
-32768,3788,15240,10792,-32768,-1,-4888,-6252,-21720,5440,-689,-1
-32768,4008,16236,8299,-32768,-1,2036,-6636,-20884,9869,-2485,-1
-32768,336,15444,7165,-32768,-1,4712,-5068,-16580,16441,-1889,-1
-32768,-2020,20460,5689,-32768,-1,3608,-2992,-9868,21734,-603,-1
-32768,1964,24280,1649,-32768,-1,648,-1532,-6092,23651,-238,-1
-32768,7412,23640,-7060,-32768,-1,-1260,-644,-4260,23328,-1145,-1
-32768,8136,21536,-17974,-32768,-1,-928,-772,-3260,20625,-2233,-1
-32768,9660,18764,-26288,-32768,-1,1220,-816,-2804,18303,-2902,-1
-32768,11760,14936,-32493,-32768,-1,1688,-268,-640,18060,-2878,-1
-32768,13504,13468,-32768,-32768,-1,1592,-268,500,19481,-2173,-1
-32768,12732,11848,-32768,-32768,-1,2860,336,1328,22724,-1450,-1
-32768,8488,10260,-32768,-32768,-1,1416,468,2240,25644,-1737,-1
-32768,5116,6844,-32768,-32768,-1,788,1352,4000,28564,-3593,-1
-32768,8944,-2744,-32768,-32768,-1,-712,1532,4056,28488,-4927,-1
-32768,14756,-15476,-32768,-32768,-1,-6776,2056,5844,21496,-6147,-1
-32768,23376,-23208,-32768,-30432,-1,-10616,1492,3284,8442,-7348,-1
-32768,29444,-32768,-32768,-22690,-1,-9596,3568,-200,-10418,-2228,-1
-32768,29340,-32768,-32768,-14088,-1,-19932,-2984,-32768,-32768,2893,-1
-32768,25796,-32768,14838,-1806,-1,-18688,-60,-32768,-32768,5680,-1
-32768,32767,-32768,28794,17121,-1,-7264,-960,-32768,-32768,13051,-1
-32768,29552,-32768,2043,23567,-1,11660,-2564,-32768,-5386,2206,-1
-32768,9760,-32768,27357,27340,-1,28452,-8272,-32768,6322,-10696,-1
-32768,17044,-32768,32767,29760,-1,3512,-5920,-32768,8796,-5830,-1
-32768,15244,-30044,32767,28490,-1,-9212,-1368,-23132,4130,-2422,-1
-32768,13248,-24748,32767,31377,-1,-14256,1032,-17300,-4834,-2927,-1
-32768,14216,-18440,32767,32767,-1,-10528,1168,-14288,-7020,-4157,-1
-32768,11884,-8128,32767,32767,-1,-3488,1916,-13664,-7974,-3924,-1
-32768,10940,2156,32767,32767,-1,7740,3100,-10200,-6777,-3625,-1
-32768,9744,6824,32767,32767,-1,14120,3396,-4396,-3417,-1277,-1
-32768,9952,6448,32767,32767,-1,7580,3276,-7612,-2232,515,-1
-32768,9140,6292,32767,32767,-1,3460,1760,-5836,-805,764,-1
-32768,9112,7620,32767,32767,-1,1908,1156,-4908,2863,1267,-1
-32768,10860,10124,32767,32767,-1,552,1620,-3868,6595,2127,-1
-32768,11416,13356,32767,32767,-1,-1624,1060,-2340,7940,1979,-1
-32768,11088,13996,32767,32767,-1,-1760,140,-3660,5548,2223,-1
-32768,8304,12864,28631,32767,-1,-2400,460,-2696,2269,2538,-1
-32768,6408,11592,23898,32767,-1,-1296,216,-2380,738,2904,-1
-32768,6120,10952,19692,32767,-1,-2848,-432,-664,1689,3466,-1
-32768,7164,14392,14855,32767,-1,-5276,-1432,-5056,-189,3167,-1
-32768,7568,13868,7708,32767,-1,-6108,-2428,-5804,-3659,1633,-1
-32768,2404,9468,-3485,32767,-1,-5596,-3612,-4932,-5699,334,-1
-32768,-9904,3884,-14442,32767,-1,-6064,-5200,-5912,-7184,-870,-1
-29516,-27592,504,-22401,32767,-1,-8116,-6808,-11624,-13731,-2274,-1
-15096,-32768,-8256,-26849,32767,-1,-944,-5724,-25728,-27483,-6659,-1
3664,-32768,-19484,-26603,32767,-1,12880,-6004,-32768,-32768,-6288,-1
17900,-32768,-21424,-24513,28834,-1,-7844,-6808,-32768,-24079,148,-1
29316,-32768,-32768,-8300,334,-1,-28548,1360,-32768,-3347,3370,-1
16740,-32768,-32768,-3700,-18552,-1,-12688,10364,-32768,-811,-324,-1
8308,-32768,-32768,10551,-26797,-1,1040,4504,-32768,1198,1976,-1
-2436,-32768,-8524,13643,-28834,-1,-7564,-1644,-32768,3464,6584,-1
800,-32768,-6804,8746,-32768,-1,-13912,-3696,-32768,3974,6905,-1
-1956,-32768,-16064,3281,-32768,-1,-13656,-3644,-31556,2592,5084,-1
-14288,-32768,-8424,-7246,-32768,-1,-8240,-4268,-29720,-2322,2180,-1
-26020,-26444,136,-14332,-32768,-1,-4,-3532,-24908,-107,393,-1
-32768,-11840,4968,-17463,-32768,-1,4208,-2428,-19832,5838,-481,-1
-32768,-2712,13044,-19371,-32768,-1,2380,-1824,-13200,11747,-287,-1
-32768,-4396,17392,-15072,-32768,-1,-156,-1400,-9024,14648,-668,-1
-32768,1580,15528,-12642,-32768,-1,-252,-936,-7916,14734,-975,-1
-32768,6304,16348,-14571,-32768,-1,-1600,-508,-6224,15433,-1267,-1
-32768,11648,21184,-20422,-32768,-1,836,-272,-3540,14687,-2669,-1
-32768,14492,22120,-30026,-32768,-1,-848,-600,-1844,12036,-3202,-1
-32768,11132,18328,-32768,-32768,-1,772,-540,-2164,10975,-3111,-1
-32768,12784,12880,-32768,-32768,-1,380,-112,-2004,10682,-2993,-1
-32768,13428,11152,-32768,-32768,-1,2156,-556,-1604,12775,-2676,-1
-32768,15008,10500,-32768,-32768,-1,2732,-244,-1360,14672,-1636,-1
-32768,12980,8236,-32768,-32768,-1,1112,-304,-1220,15476,-1465,-1
-32768,5420,4804,-32768,-32768,-1,2568,-144,-988,15784,-750,-1
-32768,8832,-252,-32768,-32768,-1,2240,-44,340,15961,415,-1
-32768,11924,-4452,-32768,-32768,-1,2356,-132,772,16305,1192,-1
-32768,12408,-15044,-32768,-30348,-1,-68,424,2848,16495,1920,-1
-32768,9548,-18464,-32768,-26591,-1,-11224,944,2160,6655,612,-1
-32768,12916,-32768,-32768,-20916,-1,-16784,-2360,-24272,-24646,2108,-1
-32768,17660,-32768,-32768,-12246,-1,-12420,-3716,-32768,-32768,9099,-1
25060,11872,-32768,13754,-14549,-1,-14788,-1132,-32768,-32768,11877,-1
-32768,32767,-32768,32767,15548,-1,-19660,-2664,-32768,-11607,8327,-1
-32768,15368,-32768,-11782,10112,-1,26372,-8228,-32768,-1633,-6847,-1
-32768,-2404,-32768,32767,21242,-1,19832,-5632,-32768,8464,-9420,-1
-32768,27748,-32472,32767,17166,-1,-1064,-2244,-32768,1439,-3132,-1
-32768,15312,-27536,32767,24853,-1,-6524,180,-27680,-5476,-192,-1
-32768,17664,-18764,32767,31956,-1,-15560,-500,-18584,-4959,-609,-1
-32768,14296,-15564,32767,32767,-1,-12760,-1332,-16084,-5683,-2928,-1
-32768,11764,-6232,32767,32767,-1,-9948,-468,-14076,-5410,-3966,-1
-32768,13444,-2952,32767,32767,-1,-3136,168,-15256,-9568,-4645,-1
-32768,14260,1116,32767,32767,-1,10780,3304,-13144,-12736,-3987,-1
-32768,14684,5444,32767,32767,-1,18260,4496,-14240,-6234,-1903,-1
-32768,13416,8380,32767,32767,-1,7696,3092,-8596,365,695,-1
-32768,11820,7448,32767,32767,-1,2080,1700,-6876,5588,1842,-1
-32768,11472,6980,32767,32767,-1,-984,956,-6164,10631,2097,-1
-32768,11792,9312,32767,32767,-1,-2004,576,-3580,13812,1736,-1
-32768,12056,15436,32767,32767,-1,-2188,768,-3768,12066,1764,-1
-32768,12164,16248,27549,32767,-1,-628,-488,-5136,10124,2234,-1
-32768,6456,10808,20692,32767,-1,-3056,360,-1444,7570,2583,-1
-32768,1868,9840,15564,32767,-1,-2512,-636,-3716,5103,1021,-1
-32768,304,12156,12027,32767,-1,-2932,-1268,-5324,3642,-241,-1
-32768,1932,15060,7720,32767,-1,-5076,-2004,-5368,287,-1549,-1
-32768,-664,9076,1290,32767,-1,-6256,-2800,-5264,-2683,-2671,-1
-30144,-7620,4740,-4048,32767,-1,-7612,-3204,-7724,-7333,-4020,-1
-24240,-18056,2920,-8887,32767,-1,-10288,-5944,-8932,-13842,-4942,-1
-16912,-32496,-1312,-17024,32767,-1,-14212,-9968,-15148,-16955,-5429,-1
-6280,-32768,-17300,-25557,32767,-1,-19504,-10248,-32768,-24991,-9331,-1
10560,-32768,-5552,-25097,25920,-1,30060,5880,-32768,-32768,-6442,-1
15396,-32768,-32768,-22045,6072,-1,-20308,-192,-32768,-17945,1204,-1
12528,-32768,-32768,3421,-16645,-1,-25580,6648,-32768,4071,204,-1
-6092,-32768,-31372,6751,-26279,-1,-3912,6020,-32768,10627,1075,-1
-2452,-32768,-22792,10358,-25263,-1,-3396,3668,-32008,4815,4198,-1
-11328,-32768,-32768,9203,-32768,-1,-6568,-448,-26620,2129,7789,-1
-5868,-32768,-27908,8216,-32768,-1,-9088,-1820,-24240,5397,8949,-1
-19036,-29008,-17756,7906,-32768,-1,-10500,-2116,-23712,5361,6730,-1
-29752,-14972,-9032,6432,-32768,-1,-6628,-3244,-19896,3031,3557,-1
-32768,-6604,4468,8001,-32768,-1,-4792,-4132,-18104,3375,676,-1
-32768,-208,16484,9558,-32768,-1,-1740,-4664,-17220,6369,-928,-1
-32768,5856,17612,9850,-32768,-1,-288,-4052,-14456,9526,-826,-1
-32768,3180,18884,10448,-32768,-1,620,-2628,-11248,12691,241,-1
-32768,3464,25408,9063,-32768,-1,124,-2140,-8864,14360,1341,-1
-32768,8640,29192,3176,-32768,-1,364,-1196,-5900,15800,1447,-1
-32768,8888,28960,-5093,-32768,-1,-152,-652,-4056,17287,510,-1
-32768,7992,27188,-12865,-32768,-1,388,-332,-3568,15979,-723,-1
-32768,8208,24620,-18788,-32768,-1,564,-556,-1072,15904,-1975,-1
-32768,9860,21516,-24131,-32768,-1,1324,-92,164,15579,-3292,-1
-32768,11660,18780,-29852,-32768,-1,1380,-260,1004,17000,-4089,-1
-32768,14884,16776,-32768,-32768,-1,2516,208,1772,18094,-4185,-1
-32768,13008,12392,-32768,-32768,-1,2800,440,1928,18960,-4257,-1
-32768,11028,9836,-32768,-32768,-1,1996,812,2728,20211,-5039,-1
-32768,14008,3312,-32768,-32768,-1,-960,392,564,18257,-6605,-1
-32768,19480,-6012,-32768,-32768,-1,188,1268,-3860,5751,-5980,-1
-32768,32767,-28552,-32768,-32768,-1,-1064,1144,-16200,-19376,204,-1
-32768,32767,-32768,-32768,-32768,-1,-1020,360,-32768,-32768,8830,-1
-32768,32767,-32768,-32768,-20814,-1,-12432,2592,-32768,-32768,13030,-1
-32768,-31044,-32768,32767,-29874,-1,-29356,3140,-32768,-12365,7091,-1
-25604,32767,-32768,32767,32767,-1,216,-1516,-32768,5738,-1229,-1
-32768,28812,-32768,-22352,12112,-1,17388,-3300,-32768,13143,-5383,-1
-32768,-2408,-32768,11948,28628,-1,2088,-6020,-28868,7063,-5287,-1
-32768,10492,-32768,32767,27625,-1,-4972,-4160,-25144,-6442,-2399,-1
-32768,16960,-26296,32767,24442,-1,-8684,-1248,-23460,-11793,-521,-1
-32768,19908,-23760,32767,23258,-1,-9940,116,-19848,-8593,58,-1
-32768,21172,-18400,32767,31300,-1,-7336,1312,-18740,-6748,-1660,-1
-32768,14356,-10672,32767,32767,-1,-296,1868,-15120,-8064,-3976,-1
-32768,10564,-616,32767,32767,-1,12288,1704,-14048,-6458,-3480,-1
-32768,9520,6300,32767,32767,-1,11788,2108,-11140,-1137,-396,-1
-32768,8632,11356,32767,32767,-1,4712,1256,-6340,1675,1415,-1
-32768,7460,11140,32767,32767,-1,168,468,-5392,3687,1898,-1
-32768,8584,10376,32767,32767,-1,480,156,-4068,7121,1868,-1
-32768,12756,9152,32767,32767,-1,-308,64,-3504,10140,1503,-1
-32768,14856,12060,32767,32767,-1,-1552,524,-2612,10498,1211,-1
-32768,14360,16796,29202,32767,-1,-1352,-180,-3588,7457,1466,-1
-32768,10512,15104,21078,32767,-1,-1332,-36,-1480,4013,2278,-1
-32768,4388,11384,13735,32767,-1,-1744,-204,-2792,2209,2415,-1
-32768,-660,7604,9806,32767,-1,-2820,-192,-3392,810,1756,-1
-32768,464,10704,7746,32767,-1,-3224,-1064,-3616,-934,797,-1
-32768,3432,13268,1540,32767,-1,-4420,-1476,-4664,-3323,380,-1
-32768,1064,11012,-9980,32767,-1,-5068,-1148,-6048,-6081,-789,-1
-32768,-13360,1764,-20574,32767,-1,-8012,-4136,-9112,-9896,-2608,-1
-25676,-29712,-3952,-25846,32767,-1,-10728,-6188,-10944,-14606,-3453,-1
-11296,-32768,-12940,-28242,32767,-1,-16180,-11476,-29524,-22182,-5557,-1
10156,-32768,-22232,-24061,32767,-1,7544,-7064,-32768,-32768,-6133,-1
14776,-32768,-29564,-24272,30593,-1,-21096,-4332,-32768,-24961,-112,-1
30624,-32768,-32768,-12296,6902,-1,-29736,4528,-32768,6809,-2833,-1
18212,-32768,-32768,2886,-18513,-1,-4224,8864,-32768,9220,-2710,-1
6108,-32768,-32768,12570,-32768,-1,1332,2724,-26196,2078,771,-1
-4204,-32768,7268,12837,-31292,-1,-6776,-400,-26304,-4297,4094,-1
