ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-32768,14408,11292,32767,-32768,-1,-1428,-1832,-17844,208,-24049,-1
-32768,16876,12956,32767,-32768,-1,-916,-3300,-18952,-960,-23724,-1
-32768,11328,9904,32767,-32768,-1,-1164,-4688,-19884,-2109,-23924,-1
-32768,11192,8040,32767,-32768,-1,-104,-5844,-21276,-2872,-24726,-1
-32768,6400,7656,32767,-24680,-1,516,-6576,-21840,-2492,-26077,-1
-31768,3832,9860,32767,-16198,-1,-1100,-6292,-21848,-2203,-28099,-1
-30092,3636,9308,29938,-9451,-1,-2916,-5376,-21640,-1938,-30469,-1
-30440,2196,10244,28536,-2704,-1,-4120,-4640,-21164,-1978,-32310,-1
-28632,900,14384,29644,1600,-1,-4456,-3640,-20828,-2420,-32768,-1
-27660,1348,18480,29023,5404,-1,-4872,-2892,-20588,-2621,-32768,-1
-25284,-128,18440,28421,8136,-1,-4936,-1648,-20596,-2729,-32768,-1
-24928,-448,17896,27025,11840,-1,-4856,-740,-21076,-2539,-32768,-1
-23928,1416,19352,25816,15424,-1,-4932,-344,-21260,-2380,-32768,-1
-21416,3660,19176,24475,16874,-1,-5744,-784,-21096,-2340,-32768,-1
-18724,5356,18156,24388,17050,-1,-6656,-1724,-21552,-2515,-32768,-1
-16448,7492,17764,23915,17243,-1,-7520,-2404,-22368,-2582,-32768,-1
-15360,8404,18372,23114,17852,-1,-7152,-2100,-23684,-2963,-32768,-1
-14072,8800,17812,21348,17450,-1,-6040,-1228,-25444,-3131,-32768,-1
-12444,9288,17364,19213,16971,-1,-5356,-388,-27084,-2616,-32768,-1
-9664,9684,18272,17817,16969,-1,-7212,-212,-27652,-1815,-32768,-1
-7488,10340,19128,17160,16657,-1,-9504,912,-26084,-1636,-32768,-1
-7956,10844,18060,16256,15777,-1,-7428,2096,-24768,-1468,-32768,-1
-7340,9612,16804,15318,14773,-1,-6636,3216,-24660,-1225,-32768,-1
-6864,9116,15112,13872,13193,-1,-8496,4492,-23568,-1557,-32768,-1
-6680,10080,13448,12668,11780,-1,-8440,5452,-21340,-1929,-32768,-1
-6512,10940,11756,12021,10326,-1,-7676,6208,-18532,-2049,-32768,-1
-5080,10268,9708,11380,9305,-1,-7516,6052,-16152,-2604,-32768,-1
-3940,9784,8004,11029,8945,-1,-7484,4744,-15840,-3438,-32768,-1
-2604,9032,5492,11310,8326,-1,-7752,3100,-16660,-4484,-32768,-1
-2084,8892,4208,12738,7873,-1,-8028,1048,-17516,-5064,-32768,-1
-2028,9220,4592,14274,7334,-1,-5004,312,-20920,-4772,-32768,-1
-1784,9712,6640,15697,7173,-1,-2916,216,-22416,-3790,-32768,-1
-2304,12012,6752,17568,6725,-1,-864,-352,-23288,-2409,-32768,-1
-2684,13416,5796,20400,6997,-1,-1172,-420,-24796,-365,-32768,-1
-4308,15124,5824,23361,7598,-1,-3020,-680,-24120,1105,-32768,-1
-5268,13732,5804,26331,9068,-1,-4772,-1160,-24148,1304,-32768,-1
-4172,15132,8348,29337,9420,-1,-7868,-1564,-22132,-224,-32768,-1
-5892,16716,7660,31611,9482,-1,-10104,-2452,-21976,-1725,-32768,-1
-7072,18048,7060,32767,10428,-1,-10844,-1800,-22336,-2846,-32768,-1
-7560,18920,8808,32767,11717,-1,-8820,1076,-24968,-3384,-32768,-1
