ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-32768,-3580,-6152,-10209,-32768,-1,-2676,844,-19400,4317,2126,-1
-32768,-556,-6248,-9679,-32768,-1,-2328,1400,-19012,4172,2360,-1
-32768,204,-6260,-9763,-32768,-1,-2176,2012,-18996,4458,2814,-1
-31952,-108,-6108,-9610,-32768,-1,-2288,2012,-19240,3865,2937,-1
-28684,-1372,-6308,-9256,-28396,-1,-2652,1840,-17088,3305,2748,-1
-25896,-3388,-5892,-8255,-23260,-1,-3552,1724,-19080,3468,2663,-1
-23356,-3992,-4992,-6603,-18673,-1,-2672,872,-18352,2681,1895,-1
-21416,-3424,-3744,-5401,-14306,-1,-3060,344,-17812,2393,1341,-1
-20248,-2284,-2872,-4938,-10641,-1,-2596,-324,-17432,1974,309,-1
-19256,-768,-2104,-4854,-7898,-1,-2020,-848,-17388,1519,-841,-1
-18184,1100,-1304,-4766,-5819,-1,-1996,-1260,-17484,1119,-2350,-1
-17200,2692,-1092,-4379,-4240,-1,-1724,-1420,-17684,915,-3873,-1
-15960,3948,-1416,-4248,-2970,-1,-840,-1328,-18364,815,-5095,-1
-15940,4180,-1604,-4254,-1607,-1,-628,-1192,-17768,750,-6116,-1
-14680,3972,-2316,-3684,-406,-1,-1340,-932,-18808,1199,-7236,-1
-14200,3252,-2252,-3045,896,-1,-1712,-848,-18188,1069,-8546,-1
-13352,2492,-2200,-2752,2422,-1,-1604,-728,-17084,844,-9814,-1
-14028,2136,-1992,-3230,4155,-1,-2320,-920,-17388,467,-10921,-1
-14668,1744,-1172,-4249,6214,-1,-2964,-1672,-17284,-405,-12407,-1
-16192,652,-724,-5384,8396,-1,-3376,-1968,-17104,-1271,-13849,-1
-17468,-344,-80,-6726,10920,-1,-3988,-2548,-17320,-2322,-15591,-1
-18600,-1152,-228,-8107,13590,-1,-4488,-2628,-17512,-3094,-17020,-1
-19804,-2084,-860,-9354,16138,-1,-4696,-2644,-18260,-3740,-18674,-1
-20996,-2776,-1844,-10060,18502,-1,-4676,-2732,-18996,-4057,-20421,-1
-21684,-3112,-2520,-10380,20475,-1,-4076,-2596,-19344,-3920,-21904,-1
-22016,-3416,-2352,-10651,21977,-1,-3724,-2328,-20052,-4337,-23001,-1
-22300,-4132,-3020,-10333,22682,-1,-3416,-2828,-20852,-4378,-23576,-1
-22056,-4380,-3320,-9197,22892,-1,-4072,-3828,-19604,-2429,-24527,-1
-20624,-4140,-3820,-7182,22661,-1,-5184,-3600,-16880,-2720,-26934,-1
-19604,-3912,-4084,-4846,21922,-1,-6492,-2312,-16232,-4753,-29638,-1
-19508,-4324,-3700,-2547,20742,-1,-7416,-744,-17736,-5397,-31691,-1
-18956,-4492,-2944,-89,19286,-1,-6676,540,-20008,-4578,-31953,-1
-19360,-3976,-2284,1965,17524,-1,-6316,1324,-18808,-4361,-31331,-1
-17692,-2584,-2200,4113,15618,-1,-5784,1296,-17704,-4621,-30758,-1
-18088,-1420,-1952,5869,13683,-1,-6664,-108,-17248,-5155,-30992,-1
-17152,-1324,-2384,6871,12196,-1,-7400,-1736,-17672,-5245,-31689,-1
-15956,-1228,-3112,8347,10829,-1,-7688,-3204,-19756,-5139,-32768,-1
-15360,-920,-3192,9698,9368,-1,-7160,-4292,-20916,-4492,-32768,-1
-14788,-460,-2500,11962,7847,-1,-8172,-4924,-21172,-3879,-32768,-1
-14188,592,-828,14684,5586,-1,-8404,-4792,-20728,-3532,-32768,-1
-14592,2684,1644,17231,2966,-1,-9840,-4584,-20216,-2975,-32768,-1
-13688,3808,3544,18925,271,-1,-11376,-3808,-19080,-2744,-32768,-1
-14008,4876,4424,20429,-2047,-1,-12668,-2832,-17904,-2848,-32768,-1
-14792,4608,4936,22514,-3621,-1,-13420,-1748,-16608,-3283,-32768,-1
-16212,4696,5816,24762,-4064,-1,-13772,-1328,-15800,-3986,-32768,-1
-17628,5264,7252,26247,-3800,-1,-13964,-704,-15916,-4640,-32768,-1
-18676,4908,8804,26661,-3570,-1,-13972,-160,-16916,-4909,-32768,-1
-19032,4728,9336,26581,-3440,-1,-14588,292,-16680,-5372,-32768,-1
-19352,4800,9356,25662,-3609,-1,-14944,1024,-18064,-4774,-32768,-1
-18712,5348,8684,24233,-3961,-1,-15108,2048,-17500,-4893,-32768,-1
-17672,5788,8156,22484,-4201,-1,-15324,3032,-17156,-5370,-32768,-1
-16872,5364,6936,21172,-4394,-1,-14576,4072,-17592,-5750,-32768,-1
-15624,4348,6292,20803,-4899,-1,-13896,4384,-17804,-6036,-32768,-1
-14528,4364,5924,20649,-5685,-1,-13252,4884,-17948,-5664,-32768,-1
-14212,4740,6156,20107,-6779,-1,-12004,5876,-18084,-5126,-32768,-1
-13892,4648,6048,19366,-7911,-1,-10456,6248,-17768,-4563,-32768,-1
-13932,4288,6096,18884,-8846,-1,-10524,5984,-17552,-3845,-32768,-1
-13792,5076,5448,18334,-9226,-1,-10424,5484,-16504,-3626,-32768,-1
-14160,5492,4772,17588,-9324,-1,-10052,4704,-15620,-3605,-32768,-1
-14440,5324,4720,16816,-9384,-1,-9532,3968,-15316,-3832,-32768,-1
-14992,5552,4620,16285,-9352,-1,-9064,3220,-15648,-3743,-32768,-1
-15640,6092,3684,16524,-9035,-1,-8780,2328,-15596,-3511,-32768,-1
-16688,7740,3196,16676,-8350,-1,-8668,1568,-15744,-3219,-32768,-1
-17188,8224,2684,16566,-7321,-1,-8740,964,-15672,-3251,-32768,-1
-17316,7560,2316,16708,-5984,-1,-8140,684,-16264,-3146,-32768,-1
-17440,7268,1960,16998,-4480,-1,-8212,552,-17424,-2909,-32768,-1
-18028,6904,1984,17229,-3115,-1,-7028,-64,-18988,-2790,-32768,-1
-18604,6844,1652,17520,-2053,-1,-7096,-428,-20416,-2015,-32768,-1
-19128,6924,1588,17709,-1111,-1,-7604,-404,-20508,-861,-32768,-1
-19540,7084,1004,18155,-324,-1,-7524,64,-19436,131,-32768,-1
-19668,7036,376,18785,312,-1,-7368,444,-18120,326,-32768,-1
-19180,6552,-172,19377,862,-1,-7504,700,-17060,-259,-32768,-1
-18544,5980,-692,19679,1155,-1,-7976,720,-18328,-1535,-32768,-1
-18892,5080,-1128,19796,1011,-1,-7708,1284,-21064,-2367,-32768,-1
-20208,4852,-988,20366,595,-1,-5928,1648,-23464,-1717,-32642,-1
-21692,5264,-720,21273,335,-1,-5364,1216,-22488,187,-31758,-1
