ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-6556,2372,4672,-25890,13996,-1,-1524,-408,-22592,-5345,-488,-1
-6980,2984,2156,-29027,9625,-1,-3540,-596,-19044,-3128,-983,-1
-7772,2720,-1868,-31258,5733,-1,-3220,-568,-19280,-1532,-1607,-1
-9480,2516,-7724,-32768,1449,-1,-2400,76,-18852,-992,-2373,-1
-32768,32767,-32768,32767,29888,-1,-1172,172,-20188,-357,-3544,-1
15236,-6976,-15852,-9431,3602,-1,868,-1036,-20384,1697,-4736,-1
-11092,-3120,6708,1826,-706,-1,932,-2284,-21628,3646,-5829,-1
48,-924,-2076,9340,-335,-1,-248,-3048,-22264,3164,-7279,-1
-5660,2860,-8696,11667,-10201,-1,152,-2688,-21916,2585,-8395,-1
-5592,5600,-9540,12946,-14284,-1,672,-1044,-20676,2414,-9382,-1
-8576,2480,-11440,15812,-20980,-1,1580,300,-20288,2140,-10473,-1
-5848,5604,-8860,16448,-22747,-1,2480,1676,-20740,2299,-10438,-1
-4476,5420,-8012,15544,-25622,-1,1952,2520,-20156,2336,-10406,-1
-3676,8060,-2664,17216,-28789,-1,1112,2392,-20176,2494,-10693,-1
-3620,7784,708,21007,-31842,-1,908,2168,-20652,2603,-11086,-1
-5008,7064,1160,20872,-32768,-1,1008,1772,-21008,2561,-11396,-1
-5416,6532,3568,21102,-32768,-1,764,1464,-20848,2431,-11838,-1
-6500,6520,4160,22481,-32768,-1,800,1100,-20944,2060,-12234,-1
-9576,8308,4044,23992,-32768,-1,476,1064,-20472,1511,-12711,-1
-11364,9252,3596,24548,-32768,-1,184,876,-19820,1228,-13142,-1
-13040,8320,2992,25167,-32768,-1,-32,828,-20168,1130,-13576,-1
-14944,7924,2416,26285,-32768,-1,-452,408,-20652,839,-14108,-1
-18204,9852,2684,27620,-32768,-1,-728,-172,-20968,724,-14754,-1
-21476,13768,4416,28963,-32768,-1,-256,-708,-21172,954,-15401,-1
-24476,18568,5648,30973,-32768,-1,356,-908,-21476,1462,-15966,-1
-25660,20372,5720,32767,-32768,-1,1336,-576,-20692,2285,-16100,-1
-26564,19748,3296,32306,-32768,-1,2564,-464,-20380,2830,-15518,-1
-25880,12628,2464,30735,-32768,-1,3588,-984,-20340,2925,-14459,-1
-25200,9884,2580,29546,-32660,-1,3080,-1580,-21416,3382,-13580,-1
-24420,10828,3648,27975,-28404,-1,2468,-1556,-22636,3994,-13793,-1
-24140,11308,4896,26179,-23887,-1,2748,-1252,-21644,4777,-15315,-1
-22452,10900,8972,23972,-20243,-1,5684,-1692,-19912,5790,-16884,-1
-20776,11216,11800,22714,-16736,-1,6392,-3640,-19700,7129,-16802,-1
-18488,11800,12188,21343,-12810,-1,3352,-5896,-20788,7331,-16662,-1
-17104,12880,11992,20245,-9272,-1,1112,-7432,-21380,7560,-17748,-1
-16060,11752,13168,20042,-7012,-1,1944,-7956,-21084,7653,-19269,-1
-17332,7400,13452,18976,-4624,-1,3632,-7984,-21784,7348,-19937,-1
