ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-496,-8672,-12668,-18080,-11043,-1,-6160,-6852,-15676,-161,2083,-1
-3944,-6628,-12892,-12460,-14570,-1,-4056,-4540,-19640,-1344,-788,-1
-5932,-1924,-13244,-7513,-17790,-1,-3236,-2724,-22500,-961,-2487,-1
-11200,1688,-11940,-4374,-20068,-1,-2092,-2008,-25224,1820,-4064,-1
-15684,6224,-10908,-3660,-21396,-1,-2036,-992,-25656,6689,-4892,-1
-18768,7628,-9140,-6370,-24247,-1,-864,196,-21548,10435,-5070,-1
-15888,5240,-6940,-7990,-27189,-1,-2976,-456,-18432,11247,-5632,-1
-13772,2944,-4612,-9362,-29135,-1,-2652,-516,-15796,11321,-6565,-1
-13144,544,-3516,-8406,-31767,-1,-3520,-1784,-15596,12177,-7783,-1
-12156,-1836,-3064,-6419,-32768,-1,-2884,-2444,-15964,12985,-8916,-1
-11864,-2632,-2860,-3134,-32768,-1,-2080,-2796,-16312,14017,-10685,-1
-12632,-1608,-2372,284,-32768,-1,-284,-3152,-16448,15252,-12186,-1
-14596,516,-2348,2384,-32768,-1,-968,-2572,-16184,16818,-12986,-1
-16596,2792,-1804,3851,-31883,-1,-2244,-1468,-14404,18235,-13544,-1
-17824,5028,-1884,4928,-30293,-1,-3496,136,-11912,19107,-14109,-1
-18492,7460,-1988,5448,-27534,-1,-1708,1696,-9836,19487,-15228,-1
-18672,8476,-2552,6256,-23548,-1,-740,2960,-8416,18621,-15041,-1
-18008,8860,-2760,7130,-19140,-1,-316,4584,-8072,16756,-14303,-1
-17896,8892,-2832,7292,-14432,-1,324,6100,-8244,14610,-13643,-1
-17676,8528,-2296,7132,-10407,-1,1964,6644,-9732,12248,-13375,-1
-17784,7468,-1928,7973,-6824,-1,2644,6988,-13648,10377,-13242,-1
-17880,8008,-1904,9346,-3672,-1,4592,6532,-18184,9438,-12701,-1
-18228,10404,-1660,10279,-505,-1,6440,5356,-21136,11428,-11259,-1
-17740,10728,-1560,10897,1747,-1,4724,4088,-21608,13874,-9870,-1
-16380,9964,-2028,10918,3908,-1,2624,3288,-19840,14276,-10121,-1
-15628,8628,-2696,11607,6392,-1,3028,5076,-17768,12879,-10379,-1
-15680,8712,-2820,12346,9027,-1,4912,6208,-19764,11133,-10662,-1
-15260,9064,-2400,12876,10636,-1,7348,6676,-20768,10215,-10329,-1
-15020,9292,-2832,12720,11862,-1,6252,6060,-21452,10053,-9302,-1
-17060,8448,-2648,12046,13158,-1,5528,4724,-22848,11180,-8758,-1
-14884,7884,-3116,11655,13372,-1,5364,4220,-21588,11649,-8855,-1
-15084,7520,-4020,11830,13181,-1,6880,3924,-20684,11407,-9098,-1
-15328,7816,-3168,11269,12616,-1,8180,5204,-19904,10995,-9588,-1
-15960,7704,-2424,10082,11826,-1,11144,5756,-19336,10581,-9177,-1
