ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-13056,6236,-8928,22981,17172,-1,-952,312,-20568,-680,364,-1
-11432,4216,-7108,23758,16135,-1,-1092,-444,-20004,-602,467,-1
-10612,3632,-7468,23151,14521,-1,-1216,-884,-19772,-626,434,-1
-9052,2252,-6352,22789,12627,-1,-780,-1124,-19588,-670,492,-1
-7500,848,-6108,23012,11116,-1,-808,-1532,-20024,-600,305,-1
-6640,1128,-5664,22495,9147,-1,-768,-1796,-20252,-531,98,-1
-6484,832,-5028,22350,7102,-1,-676,-1584,-20536,-479,-103,-1
-5112,32,-3656,22545,4920,-1,-12,-1064,-20828,-272,-277,-1
-4384,156,-3680,21702,2664,-1,232,-952,-21172,66,-372,-1
-4264,-516,-2964,21318,772,-1,504,-516,-21004,577,-329,-1
-4032,-504,-1836,20518,-1628,-1,-108,-452,-21236,894,-163,-1
-3980,-140,-292,19445,-4438,-1,-240,-532,-21212,1311,-123,-1
-2644,0,664,18131,-7338,-1,-456,-968,-20692,1799,-243,-1
-2344,392,1072,16758,-10243,-1,-588,-1068,-20720,1775,-397,-1
-3104,1012,1832,15533,-13715,-1,284,-1060,-21772,2028,-538,-1
-4076,1484,2384,14193,-17308,-1,400,-1080,-21292,1881,-560,-1
-2048,2664,3932,12720,-21065,-1,552,-880,-21308,2094,-352,-1
-2208,4348,5028,10961,-25202,-1,584,-704,-21424,2314,-193,-1
-3088,7128,6088,9043,-29423,-1,472,-444,-21140,2710,-76,-1
-3352,9812,7080,6462,-32768,-1,536,-564,-21412,2912,18,-1
-3336,13476,8520,4095,-32768,-1,396,-324,-20836,2863,148,-1
-2644,16040,8912,1193,-32768,-1,236,-388,-20492,2705,288,-1
-2572,18412,9536,-1321,-32768,-1,184,-736,-20148,2330,279,-1
-3116,22216,10468,-3987,-32768,-1,416,-1132,-20016,2024,270,-1
-1872,25936,11780,-6898,-32768,-1,1288,-1060,-20296,1696,353,-1
-1784,29368,11992,-9787,-32768,-1,1408,-924,-20276,1243,505,-1
-1016,30324,11248,-12183,-32768,-1,1296,-724,-20232,639,512,-1
432,31192,9952,-15521,-32768,-1,1260,-648,-20732,662,463,-1
860,30696,8884,-18966,-32768,-1,1592,-556,-21568,521,669,-1
-92,32460,7660,-22681,-30761,-1,2316,-476,-21880,410,769,-1
-864,32767,5600,-27210,-27269,-1,2668,-160,-21440,451,1144,-1
-520,32767,3340,-30779,-23166,-1,2792,536,-20904,471,1855,-1
-1856,32767,1400,-32768,-18639,-1,2264,656,-21152,295,2533,-1
-3528,32767,-1176,-32768,-14173,-1,996,196,-21668,247,2680,-1
-5756,32767,-3444,-32768,-9321,-1,40,-592,-22256,209,1984,-1
-7748,32688,-5820,-32768,-4019,-1,304,-1344,-21828,196,1241,-1
-9632,32096,-7832,-32768,1400,-1,848,-1660,-20920,174,975,-1
-10296,31272,-10232,-32768,6862,-1,828,-1792,-19752,-236,1100,-1
-9660,31320,-12540,-32768,12835,-1,-536,-1576,-19740,-904,1067,-1
-8908,31752,-14344,-30720,18775,-1,-1776,-1392,-19768,-1700,833,-1
-9652,32740,-16888,-24512,24223,-1,-1936,-1220,-19252,-2479,479,-1
-10272,30908,-17948,-18200,28295,-1,520,-1292,-21508,-2580,-163,-1
-11336,29388,-19464,-12153,31335,-1,220,-1456,-21212,-2106,-393,-1
-12336,26324,-20108,-7550,32455,-1,-204,-1468,-21052,-1825,-455,-1
-12828,23204,-20252,-3284,32366,-1,-16,-1372,-21376,-1196,-592,-1
-12604,20300,-19548,575,31817,-1,-768,-956,-20908,-1334,-631,-1
-12536,18484,-18756,4599,30798,-1,-1176,-716,-20452,-1507,-657,-1
-12156,17300,-17500,8510,29245,-1,-1512,-812,-20244,-1935,-491,-1
-11808,15928,-16744,12196,27128,-1,-1852,-1152,-20488,-2379,-386,-1
-11724,14124,-16336,15087,24616,-1,-860,-1184,-21472,-2106,-300,-1
-11720,12696,-15628,16710,22010,-1,-540,-1336,-22004,-1680,-183,-1
-11700,10220,-14660,17625,19411,-1,-496,-648,-21772,-1292,21,-1
-11172,7996,-13328,19275,16910,-1,-816,-304,-21632,-856,217,-1
-10376,4848,-12764,20400,14503,-1,-1296,-336,-21256,-639,366,-1
-11024,4092,-11632,20018,12365,-1,-1128,-328,-20304,-516,542,-1
-9712,3216,-10932,19879,10162,-1,-648,-316,-20280,-371,703,-1
-8748,2980,-9176,20322,8134,-1,-776,-700,-20068,-384,793,-1
-7324,2220,-7716,20988,5775,-1,-896,-1192,-20452,-321,743,-1
-6668,1492,-7016,20823,3578,-1,-1004,-1460,-20428,-310,624,-1
-5540,1192,-5844,21362,1330,-1,-900,-1796,-20544,-168,377,-1
-4880,944,-4816,21334,-685,-1,-692,-1568,-20500,-72,234,-1
-4456,164,-3644,21733,-2538,-1,-712,-1284,-20644,24,91,-1
-3960,696,-2580,21774,-4463,-1,-664,-1140,-20640,183,-43,-1
-3884,544,-1664,21339,-6530,-1,-776,-832,-20528,320,-123,-1
-3496,752,-672,20305,-8337,-1,-1044,-784,-20344,481,-185,-1
-3392,1156,-188,18787,-10127,-1,-624,-880,-20652,820,-325,-1
-4088,1008,780,17600,-12376,-1,-676,-1004,-20120,910,-392,-1
-3816,1568,1252,16343,-14712,-1,-420,-944,-20944,1121,-394,-1
-2692,2480,2664,15195,-17380,-1,-408,-884,-21452,987,-319,-1
-3580,3504,3024,12954,-19937,-1,-24,-684,-21536,1201,-257,-1
-4960,5540,3972,10957,-22608,-1,348,-456,-21204,1727,-117,-1
-5780,8084,5468,8804,-25474,-1,536,-4,-21020,1938,8,-1
-4380,10088,6848,7050,-28233,-1,152,240,-20776,2239,458,-1
-4064,12764,7224,4868,-31003,-1,284,476,-21256,2219,1135,-1
-4112,16328,7720,2350,-32768,-1,208,180,-21032,2226,1430,-1
-3524,19228,9324,738,-32768,-1,508,40,-20660,2555,1499,-1
-2236,21300,9860,-1325,-32768,-1,1032,-236,-20448,2676,1472,-1
764,22896,9784,-4675,-32768,-1,840,-756,-20744,2525,1471,-1
76,23892,10008,-8207,-32768,-1,1212,-1300,-20448,2055,1479,-1
