ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
-6680,3488,-29620,13543,12028,-1,5216,-540,15812,-5819,16987,-1
-8132,4912,-31600,14692,9215,-1,3424,1560,18208,-4904,18090,-1
-9308,4352,-31140,16890,6988,-1,4904,2528,16576,-1056,17875,-1
-9408,2428,-30092,18694,4902,-1,5024,1988,15088,1415,17474,-1
-9832,-348,-29084,21898,3258,-1,2180,1468,13640,1308,16547,-1
-11016,-424,-28380,23297,1060,-1,3848,960,11380,620,16418,-1
-11656,456,-28164,24795,-418,-1,5340,540,10268,161,16569,-1
-12356,3068,-27676,24293,-2308,-1,6328,1012,8776,-2110,16425,-1
-12980,4564,-26900,23605,-3608,-1,5664,1676,10432,-3761,16235,-1
-12596,4808,-24536,22001,-4752,-1,6504,2132,11748,-4103,16008,-1
-11972,2660,-23460,20396,-5989,-1,6692,2544,12508,-3809,15727,-1
-11388,864,-21844,19294,-6762,-1,6924,3468,11396,-3195,15188,-1
-10576,920,-20624,18714,-7643,-1,7348,4260,10100,-3023,14526,-1
-9920,1696,-19656,17844,-8357,-1,6832,4604,9952,-3463,13996,-1
-9392,3068,-19324,17008,-8274,-1,7528,4340,8968,-3816,13454,-1
-9036,3528,-18760,15410,-8957,-1,7484,3804,9532,-4466,13137,-1
-8892,3964,-17416,13099,-9997,-1,8116,3232,9840,-4584,13105,-1
-8456,3688,-15696,11530,-11446,-1,8284,2928,10448,-4708,13179,-1
-7652,344,-16828,10352,-13009,-1,8324,3000,10680,-4371,13191,-1
-7392,2068,-7880,12731,-14833,-1,8248,2744,11272,-3881,13726,-1
-7172,472,-8136,12181,-19089,-1,8148,3040,11368,-3171,14022,-1
-6652,2056,-8012,12050,-20635,-1,7472,3580,10760,-2539,14353,-1
-7340,76,-8928,10980,-20853,-1,7648,3808,10692,-2185,14545,-1
-8036,-1248,-9032,9860,-21049,-1,7120,3956,10392,-1907,14392,-1
-7388,-48,-8308,7453,-22059,-1,7168,4384,10428,-1698,14071,-1
-7220,1892,-7876,4326,-24111,-1,7436,4296,10568,-1750,13794,-1
-6664,2136,-8236,3107,-24998,-1,7160,3740,11360,-1794,13218,-1
-6544,2592,-8240,1532,-26389,-1,6744,3048,11972,-2031,13160,-1
-5964,3560,-8376,-107,-28534,-1,6576,2640,12436,-1861,13133,-1
-4796,4372,-7776,-655,-30476,-1,6664,1928,12976,-1167,13000,-1
-4372,4372,-7920,-2677,-29469,-1,6672,1576,13148,-50,12598,-1
-3696,4484,-7824,-4655,-30095,-1,6612,1496,13216,1120,12327,-1
-3272,4964,-8056,-5661,-30865,-1,6396,1584,12832,2041,12211,-1
-2568,5896,-8584,-6705,-31749,-1,6072,1512,11884,2581,12113,-1
-2268,7636,-8472,-7606,-32647,-1,6360,1532,11212,3454,12083,-1
-1964,8396,-7868,-7797,-32768,-1,5220,1248,10628,4235,12342,-1
-1796,9548,-7692,-7909,-32768,-1,4212,1708,9432,4533,11856,-1
-1596,9352,-6844,-7979,-32768,-1,5156,1852,8676,4780,11292,-1
-1608,10140,-6824,-7970,-32768,-1,4900,1720,8676,4375,10916,-1
-1132,10296,-7876,-8450,-32768,-1,3120,1704,10068,3900,10259,-1
-808,11692,-8620,-10141,-32768,-1,3252,1244,10412,3896,9363,-1
-256,13264,-9664,-12164,-32768,-1,3036,520,11648,3852,8208,-1
300,15216,-8440,-14192,-32768,-1,4264,-736,13320,3392,7128,-1
-344,17448,-7708,-16404,-32768,-1,6720,-1992,14736,2347,6755,-1
-288,18492,-11596,-19221,-32317,-1,8172,-3188,16884,1784,7043,-1
52,20116,-15140,-21660,-30988,-1,7052,-3300,17116,1454,7518,-1
320,20952,-14948,-23799,-29531,-1,8696,-3392,14940,2758,8419,-1
-480,22276,-13528,-24987,-27583,-1,6232,-3028,14512,4574,9685,-1
-1784,21756,-13640,-26134,-25481,-1,5156,-2888,13232,5561,10494,-1
-1668,20488,-18708,-28032,-23289,-1,4436,-2232,10128,5237,10588,-1
-1572,21168,-21684,-28186,-20465,-1,2704,-1524,9524,3909,10102,-1
-1904,22200,-21192,-28461,-17693,-1,3360,-1252,8184,3232,9494,-1
-2188,21432,-17800,-27638,-14884,-1,3112,-1532,7420,2867,9090,-1
-3264,19376,-17532,-27027,-12665,-1,5280,-2212,6636,2020,8809,-1
-4652,18804,-19184,-26958,-10560,-1,4720,-3356,9032,206,9346,-1
-5628,19004,-21880,-27015,-7480,-1,4952,-4748,11124,-150,10327,-1
-5148,19780,-22816,-27582,-4558,-1,3952,-6064,14280,513,11583,-1
