ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1
1632,572,-2048,1886,14024,-1,-812,-972,-8736,-2731,514,-1
1112,1436,-1928,1660,12594,-1,-412,-1324,-7064,-5319,826,-1
1848,760,-1156,2222,12278,-1,-228,-652,-4916,-5412,643,-1
1648,740,-1068,2318,11765,-1,1176,-1424,-5552,-5445,946,-1
1568,-580,-804,3318,11737,-1,1004,-768,-3096,-3911,600,-1
1048,-252,-476,3442,11261,-1,-120,-732,-2616,-2838,626,-1
-140,104,-292,2945,10775,-1,1752,-740,-1348,-1914,645,-1
-928,-736,-492,3405,10599,-1,3284,-600,-1676,-1869,637,-1
-1852,-716,-384,3476,9765,-1,3984,-440,-1172,-1920,326,-1
-4332,-256,348,3866,8624,-1,6388,-164,-528,-3269,253,-1
-7236,292,1036,4305,6789,-1,9252,12,2912,-6458,145,-1
-11380,1316,1568,4777,4020,-1,13284,-68,10244,-14090,-50,-1
-17188,968,1552,5775,122,-1,22324,740,17936,-26314,-432,-1
-23684,2952,1264,5772,-5365,-1,25540,244,19968,-28842,-269,-1
-29568,4772,2664,7344,-11417,-1,32767,-568,23988,-17282,746,-1
-32768,8028,2104,6662,-18096,-1,32767,-816,26492,-6378,1736,-1
-32768,6424,3172,7177,-21724,-1,32236,576,26300,3503,1211,-1
-32768,4276,356,4408,-21448,-1,32767,2496,25256,7896,1801,-1
-32768,4820,136,-427,-21563,-1,29964,3156,18128,6197,1029,-1
-32768,1128,616,-5650,-21865,-1,31648,5356,10336,1574,1009,-1
-32768,-1536,736,-6253,-24409,-1,32767,5380,6112,-2926,-770,-1
-32768,-1952,-1236,-9032,-28587,-1,32767,2188,16336,-7927,-489,-1
-32768,-344,-776,-9677,-32768,-1,32767,-400,22916,-10285,47,-1
-32768,764,520,-10305,-32768,-1,32660,-496,23644,-6926,446,-1
-32768,680,2352,-10200,-32768,-1,31356,736,21156,-1842,1165,-1
-32768,-3740,1092,-9455,-32768,-1,28872,2192,15164,2853,762,-1
-32768,-5172,-1716,-7863,-32768,-1,21364,2368,10232,5014,1143,-1
-26164,-4684,-1852,-5735,-29964,-1,12876,1724,8204,6189,1126,-1
-16732,1676,-1460,-5111,-23164,-1,7784,516,6156,7589,1009,-1
-9188,5836,8,-3019,-16289,-1,3728,-800,4772,9589,908,-1
-3916,7932,-2784,-3415,-10026,-1,-4,-1148,2668,11830,859,-1
-812,6148,-3836,-3557,-3636,-1,-3024,-1408,328,14508,849,-1
1712,3460,-4556,-3453,1960,-1,-3196,-1216,-2340,18317,498,-1
40,5124,-3420,-3320,6026,-1,-4348,-1064,-4988,19243,669,-1
296,3500,-3060,-2966,8686,-1,-2520,-792,-6120,19040,653,-1
-1544,5112,-3312,-3266,9400,-1,-348,-796,-7892,15783,501,-1
-1704,4828,-2920,-919,9714,-1,-372,-900,-7604,10418,946,-1
-360,3772,-1028,425,8833,-1,-1852,-1152,-7652,5687,849,-1
-2476,5472,-732,2690,8009,-1,-2164,-896,-7308,2574,699,-1
-1892,6396,-740,3290,6150,-1,-2372,-1240,-7152,1101,540,-1
-1612,6148,-1848,4104,5297,-1,-1196,-1236,-7380,843,634,-1
-1112,4292,-2784,3839,4583,-1,936,-1360,-7412,-403,1426,-1
-1208,4496,-3308,4577,4575,-1,624,-1172,-6660,-2647,1617,-1
-668,3516,-2696,4982,4922,-1,-84,-1024,-5124,-3852,1505,-1
-228,3060,-2308,4017,5976,-1,-500,-728,-3188,-3105,1529,-1
-448,2700,-1968,3258,7291,-1,-192,-604,-4012,-2587,1659,-1
-424,2264,-896,2711,7961,-1,-272,-88,-2420,-1162,1110,-1
-1156,1904,-480,3238,8975,-1,-136,120,-2652,-743,875,-1
-2132,1852,104,3034,8995,-1,1032,352,-1564,-446,548,-1
-4020,2192,688,2875,8739,-1,2484,416,-1300,-1814,360,-1
-8060,1324,1368,3459,7899,-1,4752,616,780,-4364,-26,-1
-13812,-212,2696,4498,6709,-1,10364,504,3844,-10023,227,-1
-22600,-2972,3144,4539,4816,-1,17736,212,11896,-21894,124,-1
-30480,-4408,1104,4864,2049,-1,26520,240,23520,-32768,-449,-1
-32768,-3400,1988,4214,-1961,-1,31500,-68,27280,-32768,-922,-1
-32768,-2968,2128,6434,-6093,-1,32767,-2560,31132,-21756,1406,-1
-32768,-2780,3576,6349,-9244,-1,32767,724,32767,337,1910,-1
-32768,-2332,5500,6024,-10349,-1,32767,3540,26896,13242,1790,-1
-32768,-4840,3180,19,-7127,-1,32767,5596,15492,13481,471,-1
-32768,-8100,1648,-2892,-1854,-1,32767,6272,13380,6569,-550,-1
-32768,-14248,752,-6600,2792,-1,32767,5360,12608,-3824,-1678,-1
-32768,-15632,-844,-6806,5520,-1,32767,2552,17456,-11644,-2143,-1
-32768,-12240,-912,-7282,7187,-1,32767,1304,20612,-11286,-2312,-1
-32768,-10672,-1292,-7673,9522,-1,32767,-260,23560,-5833,-1024,-1
-32768,-9256,-2428,-9368,10051,-1,29368,532,19008,1352,-814,-1
-28804,-3964,316,-4833,8547,-1,23200,1120,13832,4761,-344,-1
-23020,-36,-900,-3838,5873,-1,17472,440,10296,5857,-102,-1
-16648,340,-2544,-2897,5288,-1,12396,56,7796,6934,191,-1
-11160,1808,-4036,-1882,5672,-1,7512,-624,5780,8780,149,-1
-6220,2032,-3164,-638,6744,-1,1484,-896,5824,10620,185,-1
-2552,688,-4172,-387,9690,-1,-1704,-984,3360,13842,164,-1
340,-928,-3456,-933,12741,-1,-2384,-1172,-504,17440,-116,-1
1592,-356,780,-416,15725,-1,-2408,-1120,-2916,19902,-607,-1
-1756,-472,-972,-3148,18734,-1,-1772,-1152,-5672,19899,-572,-1
364,-588,-1972,-3561,20824,-1,-2064,-940,-6616,17971,-435,-1
552,-2068,-1828,-2267,20519,-1,-416,-800,-7696,13331,-666,-1
288,-1372,-2788,-1816,19143,-1,-1192,-868,-9124,9054,-678,-1
-856,96,-3104,-2555,16483,-1,-804,-916,-8964,5220,-652,-1
-200,-260,-2980,-1662,14003,-1,-1748,-1212,-8672,2307,-734,-1
576,-372,-2860,-187,11496,-1,-1376,-952,-7836,1364,-471,-1
1080,-696,-2080,680,9829,-1,-532,-1012,-7256,-830,89,-1
2248,-1292,-2472,207,8998,-1,-1120,-420,-6304,-3055,-31,-1
1556,-272,-1036,97,8166,-1,-1188,-64,-4700,-4603,37,-1
1800,-1432,-1300,-696,8021,-1,-1172,-600,-4400,-5111,-297,-1
